Start Training:
Iter: 0, Loss: 5.29937e-01, Loss_0: 8.22210e-02, Loss_b: 4.41019e-01, Loss_f: 6.69659e-03
Iter: 100, Loss: 1.29039e-02, Loss_0: 1.27972e-02, Loss_b: 8.11729e-05, Loss_f: 2.55565e-05
Iter: 200, Loss: 1.17742e-02, Loss_0: 1.15779e-02, Loss_b: 1.48161e-04, Loss_f: 4.81606e-05
Iter: 300, Loss: 1.06679e-02, Loss_0: 1.03467e-02, Loss_b: 1.83980e-04, Loss_f: 1.37185e-04
Iter: 400, Loss: 9.66008e-03, Loss_0: 9.18779e-03, Loss_b: 1.81874e-04, Loss_f: 2.90412e-04
Iter: 500, Loss: 8.81274e-03, Loss_0: 8.27104e-03, Loss_b: 1.33633e-04, Loss_f: 4.08060e-04
Iter: 600, Loss: 7.83372e-03, Loss_0: 7.40877e-03, Loss_b: 4.73035e-05, Loss_f: 3.77655e-04
Iter: 700, Loss: 6.75209e-03, Loss_0: 6.50054e-03, Loss_b: 7.23117e-06, Loss_f: 2.44314e-04
Iter: 800, Loss: 6.15755e-03, Loss_0: 5.87395e-03, Loss_b: 1.59729e-04, Loss_f: 1.23872e-04
Iter: 900, Loss: 6.39403e-03, Loss_0: 5.74447e-03, Loss_b: 5.76980e-04, Loss_f: 7.25842e-05
Iter: 1000, Loss: 5.17738e-03, Loss_0: 5.03257e-03, Loss_b: 8.94882e-05, Loss_f: 5.53242e-05
Iter: 1100, Loss: 4.61325e-03, Loss_0: 4.43470e-03, Loss_b: 9.78899e-05, Loss_f: 8.06658e-05
Iter: 1200, Loss: 4.15351e-03, Loss_0: 3.52255e-03, Loss_b: 4.88581e-04, Loss_f: 1.42383e-04
Iter: 1300, Loss: 2.93616e-03, Loss_0: 2.60432e-03, Loss_b: 1.12816e-04, Loss_f: 2.19027e-04
Iter: 1400, Loss: 2.22527e-03, Loss_0: 1.79333e-03, Loss_b: 1.66821e-04, Loss_f: 2.65118e-04
Iter: 1500, Loss: 1.47577e-03, Loss_0: 1.16684e-03, Loss_b: 3.30030e-05, Loss_f: 2.75929e-04
Iter: 1600, Loss: 9.93554e-04, Loss_0: 6.98697e-04, Loss_b: 1.07331e-05, Loss_f: 2.84124e-04
Iter: 1700, Loss: 7.80954e-04, Loss_0: 4.80025e-04, Loss_b: 2.27934e-05, Loss_f: 2.78135e-04
Iter: 1800, Loss: 5.74728e-04, Loss_0: 3.17530e-04, Loss_b: 2.81454e-06, Loss_f: 2.54383e-04
Iter: 1900, Loss: 3.92262e-04, Loss_0: 1.96645e-04, Loss_b: 2.70425e-06, Loss_f: 1.92912e-04
Iter: 2000, Loss: 2.94207e-04, Loss_0: 1.25896e-04, Loss_b: 2.50499e-06, Loss_f: 1.65805e-04
Iter: 2100, Loss: 2.44884e-04, Loss_0: 9.63797e-05, Loss_b: 4.24988e-06, Loss_f: 1.44254e-04
Iter: 2200, Loss: 1.94583e-04, Loss_0: 7.09564e-05, Loss_b: 2.48433e-06, Loss_f: 1.21143e-04
Iter: 2300, Loss: 1.48682e-04, Loss_0: 5.11567e-05, Loss_b: 2.08382e-06, Loss_f: 9.54413e-05
Iter: 2400, Loss: 1.33216e-04, Loss_0: 4.39600e-05, Loss_b: 1.84429e-05, Loss_f: 7.08131e-05
Iter: 2500, Loss: 8.87937e-05, Loss_0: 2.78104e-05, Loss_b: 1.03801e-06, Loss_f: 5.99453e-05
Iter: 2600, Loss: 7.21567e-05, Loss_0: 1.94718e-05, Loss_b: 8.10508e-07, Loss_f: 5.18744e-05
Iter: 2700, Loss: 6.05915e-05, Loss_0: 1.48619e-05, Loss_b: 6.62986e-07, Loss_f: 4.50667e-05
Iter: 2800, Loss: 6.02074e-05, Loss_0: 1.34751e-05, Loss_b: 6.59171e-06, Loss_f: 4.01406e-05
Iter: 2900, Loss: 4.53235e-05, Loss_0: 1.01234e-05, Loss_b: 4.79954e-07, Loss_f: 3.47201e-05
Iter: 3000, Loss: 3.84187e-05, Loss_0: 7.70456e-06, Loss_b: 4.15242e-07, Loss_f: 3.02989e-05
Iter: 3100, Loss: 5.60931e-05, Loss_0: 1.10536e-05, Loss_b: 1.72131e-05, Loss_f: 2.78264e-05
Iter: 3200, Loss: 3.09749e-05, Loss_0: 5.92950e-06, Loss_b: 4.49303e-07, Loss_f: 2.45961e-05
Iter: 3300, Loss: 2.69342e-05, Loss_0: 4.10491e-06, Loss_b: 2.08310e-07, Loss_f: 2.26209e-05
Iter: 3400, Loss: 2.41968e-05, Loss_0: 3.11395e-06, Loss_b: 1.59380e-07, Loss_f: 2.09234e-05
Iter: 3500, Loss: 7.97563e-05, Loss_0: 1.36155e-05, Loss_b: 4.48878e-05, Loss_f: 2.12530e-05
Iter: 3600, Loss: 2.12780e-05, Loss_0: 2.71487e-06, Loss_b: 1.45413e-07, Loss_f: 1.84178e-05
Iter: 3700, Loss: 1.93631e-05, Loss_0: 1.98257e-06, Loss_b: 9.69694e-08, Loss_f: 1.72835e-05
