Start Training:
Iter: 0, Loss: 3.54193e+03, Loss_0: 4.82102e-01, Loss_b: 1.34710e-02, Loss_f: 3.54143e+03
Iter: 100, Loss: 2.41060e-01, Loss_0: 6.23664e-03, Loss_b: 1.11624e-03, Loss_f: 2.33708e-01
Iter: 200, Loss: 9.95617e-02, Loss_0: 6.20336e-03, Loss_b: 2.23526e-03, Loss_f: 9.11231e-02
Iter: 300, Loss: 4.22287e-02, Loss_0: 6.25897e-03, Loss_b: 2.55453e-03, Loss_f: 3.34152e-02
Iter: 400, Loss: 2.16750e-02, Loss_0: 6.32673e-03, Loss_b: 2.38621e-03, Loss_f: 1.29621e-02
Iter: 500, Loss: 1.57145e-02, Loss_0: 6.39899e-03, Loss_b: 1.94429e-03, Loss_f: 7.37118e-03
Iter: 600, Loss: 1.39568e-02, Loss_0: 6.47248e-03, Loss_b: 1.44727e-03, Loss_f: 6.03704e-03
Iter: 700, Loss: 1.31842e-02, Loss_0: 6.54373e-03, Loss_b: 1.02146e-03, Loss_f: 5.61904e-03
Iter: 800, Loss: 1.26692e-02, Loss_0: 6.60902e-03, Loss_b: 7.04431e-04, Loss_f: 5.35578e-03
Iter: 900, Loss: 1.22633e-02, Loss_0: 6.66564e-03, Loss_b: 4.86347e-04, Loss_f: 5.11130e-03
Iter: 1000, Loss: 1.19207e-02, Loss_0: 6.71239e-03, Loss_b: 3.42884e-04, Loss_f: 4.86544e-03
Iter: 1100, Loss: 1.16166e-02, Loss_0: 6.74938e-03, Loss_b: 2.50763e-04, Loss_f: 4.61647e-03
Iter: 1200, Loss: 1.13359e-02, Loss_0: 6.77763e-03, Loss_b: 1.92230e-04, Loss_f: 4.36608e-03
Iter: 1300, Loss: 1.10702e-02, Loss_0: 6.79856e-03, Loss_b: 1.55171e-04, Loss_f: 4.11647e-03
Iter: 1400, Loss: 1.08153e-02, Loss_0: 6.81374e-03, Loss_b: 1.31667e-04, Loss_f: 3.86990e-03
Iter: 1500, Loss: 1.05695e-02, Loss_0: 6.82460e-03, Loss_b: 1.16649e-04, Loss_f: 3.62822e-03
Iter: 1600, Loss: 1.03323e-02, Loss_0: 6.83235e-03, Loss_b: 1.06966e-04, Loss_f: 3.39298e-03
Iter: 1700, Loss: 1.01040e-02, Loss_0: 6.83792e-03, Loss_b: 1.00628e-04, Loss_f: 3.16543e-03
Iter: 1800, Loss: 9.88495e-03, Loss_0: 6.84199e-03, Loss_b: 9.63714e-05, Loss_f: 2.94659e-03
Iter: 1900, Loss: 9.67549e-03, Loss_0: 6.84505e-03, Loss_b: 9.33679e-05, Loss_f: 2.73707e-03
Iter: 2000, Loss: 9.47586e-03, Loss_0: 6.84741e-03, Loss_b: 9.11423e-05, Loss_f: 2.53731e-03
