Start Training:
Iter: 0, Loss: 1.83852e+01, Loss_0: 1.79539e+01, Loss_b: 3.11123e-01, Loss_f: 1.20218e-01
Iter: 100, Loss: 2.97774e+00, Loss_0: 2.19353e+00, Loss_b: 9.35484e-04, Loss_f: 7.83282e-01
Iter: 200, Loss: 2.24382e+00, Loss_0: 1.64744e+00, Loss_b: 1.79493e-04, Loss_f: 5.96207e-01
Iter: 300, Loss: 1.51620e+00, Loss_0: 9.62254e-01, Loss_b: 3.57812e-04, Loss_f: 5.53585e-01
Iter: 400, Loss: 1.24428e+00, Loss_0: 7.07257e-01, Loss_b: 2.63552e-04, Loss_f: 5.36756e-01
Iter: 500, Loss: 1.13760e+00, Loss_0: 6.04044e-01, Loss_b: 2.14611e-04, Loss_f: 5.33340e-01
Iter: 600, Loss: 1.04751e+00, Loss_0: 5.45151e-01, Loss_b: 2.15263e-04, Loss_f: 5.02144e-01
Iter: 700, Loss: 9.49093e-01, Loss_0: 4.60364e-01, Loss_b: 2.31955e-04, Loss_f: 4.88497e-01
Iter: 800, Loss: 8.89275e-01, Loss_0: 4.11026e-01, Loss_b: 1.35934e-04, Loss_f: 4.78114e-01
Iter: 900, Loss: 8.34753e-01, Loss_0: 3.69219e-01, Loss_b: 5.87798e-05, Loss_f: 4.65475e-01
Iter: 1000, Loss: 7.79962e-01, Loss_0: 3.34835e-01, Loss_b: 3.23052e-05, Loss_f: 4.45094e-01
Iter: 1100, Loss: 7.32216e-01, Loss_0: 3.10413e-01, Loss_b: 9.86212e-06, Loss_f: 4.21792e-01
Iter: 1200, Loss: 7.16035e-01, Loss_0: 2.89531e-01, Loss_b: 1.64163e-04, Loss_f: 4.26340e-01
Iter: 1300, Loss: 6.31583e-01, Loss_0: 2.71760e-01, Loss_b: 3.12994e-05, Loss_f: 3.59791e-01
Iter: 1400, Loss: 6.78032e-01, Loss_0: 2.92701e-01, Loss_b: 4.62974e-04, Loss_f: 3.84867e-01
Iter: 1500, Loss: 6.27287e-01, Loss_0: 2.51460e-01, Loss_b: 3.59880e-04, Loss_f: 3.75467e-01
Iter: 1600, Loss: 5.14383e-01, Loss_0: 2.17082e-01, Loss_b: 1.38930e-04, Loss_f: 2.97162e-01
Iter: 1700, Loss: 5.21319e-01, Loss_0: 2.25006e-01, Loss_b: 1.53052e-04, Loss_f: 2.96160e-01
Iter: 1800, Loss: 4.59432e-01, Loss_0: 1.92887e-01, Loss_b: 1.36367e-04, Loss_f: 2.66409e-01
Iter: 1900, Loss: 5.13791e-01, Loss_0: 2.00966e-01, Loss_b: 5.03619e-04, Loss_f: 3.12322e-01
Iter: 2000, Loss: 4.70162e-01, Loss_0: 1.99624e-01, Loss_b: 1.74117e-05, Loss_f: 2.70521e-01
Iter: 2100, Loss: 4.80113e-01, Loss_0: 1.78137e-01, Loss_b: 3.00450e-04, Loss_f: 3.01675e-01
Iter: 2200, Loss: 4.17538e-01, Loss_0: 1.68875e-01, Loss_b: 1.09195e-04, Loss_f: 2.48553e-01
Iter: 2300, Loss: 3.60712e-01, Loss_0: 1.42830e-01, Loss_b: 1.21356e-04, Loss_f: 2.17761e-01
Iter: 2400, Loss: 3.80390e-01, Loss_0: 1.69884e-01, Loss_b: 1.08654e-04, Loss_f: 2.10397e-01
Iter: 2500, Loss: 3.46308e-01, Loss_0: 1.35996e-01, Loss_b: 8.64546e-05, Loss_f: 2.10226e-01
Iter: 2600, Loss: 3.95122e-01, Loss_0: 1.55038e-01, Loss_b: 8.22216e-05, Loss_f: 2.40001e-01
Iter: 2700, Loss: 3.30625e-01, Loss_0: 1.27451e-01, Loss_b: 1.17586e-04, Loss_f: 2.03056e-01
Iter: 2800, Loss: 3.11862e-01, Loss_0: 1.22798e-01, Loss_b: 7.61851e-05, Loss_f: 1.88988e-01
Iter: 2900, Loss: 3.23477e-01, Loss_0: 1.38232e-01, Loss_b: 1.10403e-04, Loss_f: 1.85134e-01
Iter: 3000, Loss: 4.48430e-01, Loss_0: 1.25263e-01, Loss_b: 3.65388e-05, Loss_f: 3.23131e-01
Iter: 3100, Loss: 4.12918e-01, Loss_0: 1.31770e-01, Loss_b: 9.60096e-05, Loss_f: 2.81052e-01
Iter: 3200, Loss: 3.69432e-01, Loss_0: 1.21614e-01, Loss_b: 8.95800e-05, Loss_f: 2.47728e-01
Iter: 3300, Loss: 2.98210e-01, Loss_0: 1.09326e-01, Loss_b: 2.83232e-05, Loss_f: 1.88855e-01
Iter: 3400, Loss: 2.80363e-01, Loss_0: 1.04110e-01, Loss_b: 5.63950e-05, Loss_f: 1.76197e-01
Iter: 3500, Loss: 2.67600e-01, Loss_0: 1.03735e-01, Loss_b: 2.09799e-05, Loss_f: 1.63844e-01
Iter: 3600, Loss: 3.11171e-01, Loss_0: 1.06877e-01, Loss_b: 2.35756e-05, Loss_f: 2.04270e-01
Iter: 3700, Loss: 2.61664e-01, Loss_0: 9.07387e-02, Loss_b: 5.08376e-05, Loss_f: 1.70874e-01
Iter: 3800, Loss: 2.96821e-01, Loss_0: 1.07635e-01, Loss_b: 4.19305e-05, Loss_f: 1.89144e-01
Iter: 3900, Loss: 2.33327e-01, Loss_0: 8.61519e-02, Loss_b: 4.94492e-05, Loss_f: 1.47126e-01
Iter: 4000, Loss: 3.28351e-01, Loss_0: 1.09754e-01, Loss_b: 1.11239e-05, Loss_f: 2.18586e-01
Iter: 4100, Loss: 2.38272e-01, Loss_0: 8.65339e-02, Loss_b: 5.86389e-05, Loss_f: 1.51679e-01
Iter: 4200, Loss: 3.04435e-01, Loss_0: 1.01435e-01, Loss_b: 4.32643e-04, Loss_f: 2.02567e-01
Iter: 4300, Loss: 2.71711e-01, Loss_0: 9.35434e-02, Loss_b: 4.84998e-06, Loss_f: 1.78163e-01
Iter: 4400, Loss: 2.18163e-01, Loss_0: 7.74514e-02, Loss_b: 4.59655e-05, Loss_f: 1.40666e-01
Iter: 4500, Loss: 2.21026e-01, Loss_0: 8.24419e-02, Loss_b: 1.37908e-05, Loss_f: 1.38570e-01
Iter: 4600, Loss: 2.04775e-01, Loss_0: 7.34108e-02, Loss_b: 2.53834e-05, Loss_f: 1.31339e-01
Iter: 4700, Loss: 2.05799e-01, Loss_0: 7.82590e-02, Loss_b: 1.19158e-05, Loss_f: 1.27528e-01
Iter: 4800, Loss: 5.16769e-01, Loss_0: 7.88230e-02, Loss_b: 8.86053e-06, Loss_f: 4.37937e-01
Iter: 4900, Loss: 2.47029e-01, Loss_0: 7.38925e-02, Loss_b: 5.70030e-05, Loss_f: 1.73080e-01
Iter: 5000, Loss: 1.98771e-01, Loss_0: 7.30281e-02, Loss_b: 1.55360e-05, Loss_f: 1.25727e-01
Iter: 5100, Loss: 1.56236e-01, Loss_0: 4.09235e-02, Loss_b: 2.36995e-04, Loss_f: 1.15075e-01
Iter: 5200, Loss: 1.30025e-01, Loss_0: 2.75736e-02, Loss_b: 1.30940e-04, Loss_f: 1.02320e-01
Iter: 5300, Loss: 1.09522e-01, Loss_0: 2.13553e-02, Loss_b: 9.18334e-05, Loss_f: 8.80750e-02
Iter: 5400, Loss: 9.36844e-02, Loss_0: 1.52462e-02, Loss_b: 9.87728e-05, Loss_f: 7.83395e-02
Iter: 5500, Loss: 7.99847e-02, Loss_0: 1.21423e-02, Loss_b: 1.79785e-04, Loss_f: 6.76627e-02
Iter: 5600, Loss: 6.89963e-02, Loss_0: 8.54414e-03, Loss_b: 3.15250e-04, Loss_f: 6.01370e-02
Iter: 5700, Loss: 6.18520e-02, Loss_0: 9.60891e-03, Loss_b: 1.26743e-04, Loss_f: 5.21164e-02
