Start Training:
Iter: 0, Loss: 1.00470e+01, Loss_0: 1.00382e+01, Loss_b: 4.04269e-03, Loss_f: 4.78289e-03
Iter: 100, Loss: 3.35365e+00, Loss_0: 3.22450e+00, Loss_b: 7.02672e-04, Loss_f: 1.28455e-01
Iter: 200, Loss: 2.79093e+00, Loss_0: 2.69163e+00, Loss_b: 2.82834e-04, Loss_f: 9.90101e-02
Iter: 300, Loss: 1.52714e+00, Loss_0: 1.41970e+00, Loss_b: 3.31716e-04, Loss_f: 1.07113e-01
Iter: 400, Loss: 1.50298e+00, Loss_0: 1.21424e+00, Loss_b: 3.55906e-04, Loss_f: 2.88388e-01
Iter: 500, Loss: 9.37625e-01, Loss_0: 8.75956e-01, Loss_b: 1.84877e-03, Loss_f: 5.98201e-02
Iter: 600, Loss: 8.83589e-01, Loss_0: 8.18162e-01, Loss_b: 1.76222e-04, Loss_f: 6.52504e-02
Iter: 700, Loss: 7.36301e-01, Loss_0: 6.40091e-01, Loss_b: 8.11875e-04, Loss_f: 9.53980e-02
Iter: 800, Loss: 7.00477e-01, Loss_0: 6.39522e-01, Loss_b: 1.77006e-04, Loss_f: 6.07779e-02
Iter: 900, Loss: 9.68837e-01, Loss_0: 8.05388e-01, Loss_b: 1.07501e-03, Loss_f: 1.62374e-01
Iter: 1000, Loss: 1.59383e+00, Loss_0: 5.66949e-01, Loss_b: 1.02547e-03, Loss_f: 1.02586e+00
Iter: 1100, Loss: 5.93977e-01, Loss_0: 5.35851e-01, Loss_b: 1.53143e-04, Loss_f: 5.79729e-02
Iter: 1200, Loss: 9.32354e-01, Loss_0: 8.47425e-01, Loss_b: 1.08859e-04, Loss_f: 8.48196e-02
Iter: 1300, Loss: 6.28695e-01, Loss_0: 5.57335e-01, Loss_b: 1.81626e-04, Loss_f: 7.11777e-02
Iter: 1400, Loss: 7.60329e-01, Loss_0: 6.72609e-01, Loss_b: 8.89879e-04, Loss_f: 8.68301e-02
Iter: 1500, Loss: 5.06273e-01, Loss_0: 4.31384e-01, Loss_b: 7.78852e-05, Loss_f: 7.48110e-02
Iter: 1600, Loss: 5.72364e-01, Loss_0: 5.13063e-01, Loss_b: 1.09438e-04, Loss_f: 5.91916e-02
Iter: 1700, Loss: 8.45092e-01, Loss_0: 7.53209e-01, Loss_b: 6.23378e-04, Loss_f: 9.12590e-02
Iter: 1800, Loss: 5.45139e-01, Loss_0: 4.80010e-01, Loss_b: 7.78849e-05, Loss_f: 6.50510e-02
Iter: 1900, Loss: 7.85539e-01, Loss_0: 6.85698e-01, Loss_b: 1.48087e-03, Loss_f: 9.83597e-02
Iter: 2000, Loss: 5.01151e-01, Loss_0: 4.40430e-01, Loss_b: 3.94786e-05, Loss_f: 6.06815e-02
Iter: 2100, Loss: 7.41421e-01, Loss_0: 6.49698e-01, Loss_b: 8.82587e-04, Loss_f: 9.08401e-02
Iter: 2200, Loss: 4.66783e-01, Loss_0: 4.07890e-01, Loss_b: 2.19606e-05, Loss_f: 5.88704e-02
Iter: 2300, Loss: 1.03959e+00, Loss_0: 9.43521e-01, Loss_b: 2.31208e-04, Loss_f: 9.58358e-02
Iter: 2400, Loss: 7.49361e-01, Loss_0: 6.50052e-01, Loss_b: 9.92251e-05, Loss_f: 9.92093e-02
Iter: 2500, Loss: 5.13520e-01, Loss_0: 4.46626e-01, Loss_b: 5.55736e-05, Loss_f: 6.68383e-02
Iter: 2600, Loss: 5.57736e-01, Loss_0: 4.34236e-01, Loss_b: 7.83762e-06, Loss_f: 1.23492e-01
Iter: 2700, Loss: 8.34847e-01, Loss_0: 4.41923e-01, Loss_b: 2.72964e-03, Loss_f: 3.90195e-01
Iter: 2800, Loss: 3.80512e-01, Loss_0: 3.22953e-01, Loss_b: 9.65815e-06, Loss_f: 5.75486e-02
Iter: 2900, Loss: 4.28930e-01, Loss_0: 3.76816e-01, Loss_b: 1.91256e-05, Loss_f: 5.20952e-02
Iter: 3000, Loss: 8.28321e-01, Loss_0: 7.15314e-01, Loss_b: 2.56032e-03, Loss_f: 1.10446e-01
Iter: 3100, Loss: 5.41730e-01, Loss_0: 4.74325e-01, Loss_b: 5.70655e-05, Loss_f: 6.73483e-02
Iter: 3200, Loss: 3.76465e-01, Loss_0: 3.16989e-01, Loss_b: 5.58021e-06, Loss_f: 5.94706e-02
Iter: 3300, Loss: 8.44006e-01, Loss_0: 7.55128e-01, Loss_b: 9.08298e-05, Loss_f: 8.87877e-02
Iter: 3400, Loss: 5.91279e-01, Loss_0: 5.08626e-01, Loss_b: 6.26240e-05, Loss_f: 8.25906e-02
Iter: 3500, Loss: 4.04443e-01, Loss_0: 3.41353e-01, Loss_b: 6.85169e-06, Loss_f: 6.30827e-02
Iter: 3600, Loss: 4.57531e-01, Loss_0: 3.97717e-01, Loss_b: 3.74118e-05, Loss_f: 5.97771e-02
Iter: 3700, Loss: 1.36765e+00, Loss_0: 5.43649e-01, Loss_b: 7.40152e-06, Loss_f: 8.23993e-01
Iter: 3800, Loss: 5.06065e-01, Loss_0: 4.42032e-01, Loss_b: 1.79795e-05, Loss_f: 6.40152e-02
Iter: 3900, Loss: 3.41179e-01, Loss_0: 2.85296e-01, Loss_b: 1.78789e-05, Loss_f: 5.58648e-02
Iter: 4000, Loss: 6.00734e-01, Loss_0: 5.24176e-01, Loss_b: 7.07699e-05, Loss_f: 7.64869e-02
Iter: 4100, Loss: 3.87925e-01, Loss_0: 3.32939e-01, Loss_b: 8.13803e-07, Loss_f: 5.49854e-02
Iter: 4200, Loss: 5.29898e-01, Loss_0: 4.42390e-01, Loss_b: 4.54294e-04, Loss_f: 8.70532e-02
Iter: 4300, Loss: 3.36422e-01, Loss_0: 2.84854e-01, Loss_b: 1.22488e-05, Loss_f: 5.15559e-02
Iter: 4400, Loss: 6.65522e-01, Loss_0: 5.79389e-01, Loss_b: 5.86263e-05, Loss_f: 8.60744e-02
Iter: 4500, Loss: 4.13699e-01, Loss_0: 3.59365e-01, Loss_b: 1.73914e-06, Loss_f: 5.43320e-02
Iter: 4600, Loss: 1.07219e+00, Loss_0: 4.09767e-01, Loss_b: 4.48119e-04, Loss_f: 6.61977e-01
Iter: 4700, Loss: 3.26873e-01, Loss_0: 2.78059e-01, Loss_b: 1.38829e-05, Loss_f: 4.88007e-02
Iter: 4800, Loss: 4.54799e-01, Loss_0: 3.95618e-01, Loss_b: 5.04574e-05, Loss_f: 5.91313e-02
Iter: 4900, Loss: 3.06037e-01, Loss_0: 2.54256e-01, Loss_b: 1.01141e-05, Loss_f: 5.17704e-02
Iter: 5000, Loss: 3.80412e-01, Loss_0: 3.32151e-01, Loss_b: 7.79166e-06, Loss_f: 4.82532e-02
Iter: 5100, Loss: 2.30164e-01, Loss_0: 1.63269e-01, Loss_b: 1.25892e-05, Loss_f: 6.68828e-02
Iter: 5200, Loss: 1.96038e-01, Loss_0: 1.36506e-01, Loss_b: 9.64675e-05, Loss_f: 5.94351e-02
Iter: 5300, Loss: 1.73703e-01, Loss_0: 1.25653e-01, Loss_b: 1.62018e-04, Loss_f: 4.78882e-02
Iter: 5400, Loss: 1.56328e-01, Loss_0: 1.11367e-01, Loss_b: 3.66514e-04, Loss_f: 4.45944e-02
Iter: 5500, Loss: 1.47116e-01, Loss_0: 1.05287e-01, Loss_b: 2.62298e-04, Loss_f: 4.15659e-02
Iter: 5600, Loss: 1.38693e-01, Loss_0: 9.68569e-02, Loss_b: 1.54760e-04, Loss_f: 4.16816e-02
Iter: 5700, Loss: 1.34874e-01, Loss_0: 9.21997e-02, Loss_b: 1.29411e-04, Loss_f: 4.25449e-02
Iter: 5800, Loss: 1.29029e-01, Loss_0: 8.60960e-02, Loss_b: 3.12711e-05, Loss_f: 4.29014e-02
Iter: 5900, Loss: 1.24580e-01, Loss_0: 8.37142e-02, Loss_b: 1.19577e-05, Loss_f: 4.08540e-02
Iter: 6000, Loss: 1.19052e-01, Loss_0: 8.03785e-02, Loss_b: 3.75986e-05, Loss_f: 3.86360e-02
Iter: 6100, Loss: 1.13735e-01, Loss_0: 7.66196e-02, Loss_b: 1.56271e-04, Loss_f: 3.69589e-02
Iter: 6200, Loss: 1.08307e-01, Loss_0: 7.28547e-02, Loss_b: 9.19900e-05, Loss_f: 3.53606e-02
Iter: 6300, Loss: 1.03368e-01, Loss_0: 6.82268e-02, Loss_b: 1.06039e-04, Loss_f: 3.50346e-02
Iter: 6400, Loss: 9.91411e-02, Loss_0: 6.43222e-02, Loss_b: 6.30220e-05, Loss_f: 3.47558e-02
Iter: 6500, Loss: 9.63407e-02, Loss_0: 6.28760e-02, Loss_b: 3.63267e-05, Loss_f: 3.34284e-02
