Start Training:
Iter: 0, Loss: 2.35680e+01, Loss_0: 2.35258e+01, Loss_b: 7.41344e-03, Loss_f: 3.48243e-02
Iter: 100, Loss: 8.18687e+00, Loss_0: 7.79453e+00, Loss_b: 3.62267e-02, Loss_f: 3.56116e-01
Iter: 200, Loss: 6.37292e+00, Loss_0: 6.06523e+00, Loss_b: 1.19437e-03, Loss_f: 3.06497e-01
Iter: 300, Loss: 4.57530e+00, Loss_0: 4.35014e+00, Loss_b: 1.04969e-03, Loss_f: 2.24115e-01
Iter: 400, Loss: 3.53118e+00, Loss_0: 3.31269e+00, Loss_b: 3.64087e-04, Loss_f: 2.18123e-01
Iter: 500, Loss: 3.06929e+00, Loss_0: 2.73655e+00, Loss_b: 6.08445e-04, Loss_f: 3.32128e-01
Iter: 600, Loss: 2.65643e+00, Loss_0: 2.44465e+00, Loss_b: 6.31056e-04, Loss_f: 2.11150e-01
Iter: 700, Loss: 2.47682e+00, Loss_0: 2.30110e+00, Loss_b: 1.82603e-04, Loss_f: 1.75544e-01
Iter: 800, Loss: 2.26432e+00, Loss_0: 2.08117e+00, Loss_b: 2.85584e-04, Loss_f: 1.82864e-01
Iter: 900, Loss: 2.11470e+00, Loss_0: 1.87143e+00, Loss_b: 1.05810e-04, Loss_f: 2.43168e-01
Iter: 1000, Loss: 1.98054e+00, Loss_0: 1.77333e+00, Loss_b: 1.38347e-04, Loss_f: 2.07066e-01
Iter: 1100, Loss: 1.90662e+00, Loss_0: 1.70481e+00, Loss_b: 1.41679e-04, Loss_f: 2.01673e-01
Iter: 1200, Loss: 2.16546e+00, Loss_0: 1.86463e+00, Loss_b: 7.26454e-04, Loss_f: 3.00108e-01
Iter: 1300, Loss: 1.91326e+00, Loss_0: 1.72166e+00, Loss_b: 4.14251e-04, Loss_f: 1.91181e-01
Iter: 1400, Loss: 1.80923e+00, Loss_0: 1.62398e+00, Loss_b: 7.97136e-04, Loss_f: 1.84451e-01
Iter: 1500, Loss: 1.66322e+00, Loss_0: 1.47639e+00, Loss_b: 5.07799e-04, Loss_f: 1.86322e-01
Iter: 1600, Loss: 1.63767e+00, Loss_0: 1.45818e+00, Loss_b: 3.20444e-04, Loss_f: 1.79175e-01
Iter: 1700, Loss: 1.57011e+00, Loss_0: 1.39280e+00, Loss_b: 2.29365e-04, Loss_f: 1.77077e-01
Iter: 1800, Loss: 1.58869e+00, Loss_0: 1.42085e+00, Loss_b: 2.10759e-04, Loss_f: 1.67629e-01
