Start Training:
Iter: 0, Loss: 1.96940e+01, Loss_0: 1.81471e+01, Loss_b: 3.22621e-02, Loss_f: 1.51471e+00
Iter: 100, Loss: 3.92803e+00, Loss_0: 3.47042e+00, Loss_b: 1.09436e-03, Loss_f: 4.56516e-01
Iter: 200, Loss: 1.79271e+00, Loss_0: 1.41321e+00, Loss_b: 1.66883e-04, Loss_f: 3.79337e-01
Iter: 300, Loss: 1.28445e+00, Loss_0: 1.01988e+00, Loss_b: 5.48483e-06, Loss_f: 2.64562e-01
Iter: 400, Loss: 1.14497e+00, Loss_0: 8.44868e-01, Loss_b: 9.20310e-05, Loss_f: 3.00005e-01
Iter: 500, Loss: 9.51003e-01, Loss_0: 7.72430e-01, Loss_b: 2.93876e-05, Loss_f: 1.78543e-01
Iter: 600, Loss: 8.79665e-01, Loss_0: 7.25956e-01, Loss_b: 6.28719e-05, Loss_f: 1.53646e-01
Iter: 700, Loss: 8.51255e-01, Loss_0: 7.12083e-01, Loss_b: 1.04432e-04, Loss_f: 1.39068e-01
Iter: 800, Loss: 8.15035e-01, Loss_0: 6.81276e-01, Loss_b: 1.08298e-04, Loss_f: 1.33651e-01
Iter: 900, Loss: 8.38722e-01, Loss_0: 6.26250e-01, Loss_b: 1.12340e-04, Loss_f: 2.12360e-01
Iter: 1000, Loss: 7.60593e-01, Loss_0: 5.93806e-01, Loss_b: 1.40555e-04, Loss_f: 1.66646e-01
Iter: 1100, Loss: 6.89675e-01, Loss_0: 5.65881e-01, Loss_b: 8.91830e-05, Loss_f: 1.23704e-01
Iter: 1200, Loss: 7.76673e-01, Loss_0: 5.25536e-01, Loss_b: 5.00077e-05, Loss_f: 2.51087e-01
Iter: 1300, Loss: 6.34219e-01, Loss_0: 4.93117e-01, Loss_b: 3.62575e-05, Loss_f: 1.41065e-01
Iter: 1400, Loss: 5.91989e-01, Loss_0: 4.72579e-01, Loss_b: 3.91948e-05, Loss_f: 1.19371e-01
Iter: 1500, Loss: 5.75487e-01, Loss_0: 4.47432e-01, Loss_b: 1.97741e-05, Loss_f: 1.28035e-01
Iter: 1600, Loss: 7.03001e-01, Loss_0: 4.25928e-01, Loss_b: 4.89956e-05, Loss_f: 2.77024e-01
Iter: 1700, Loss: 5.12336e-01, Loss_0: 4.09495e-01, Loss_b: 5.33126e-05, Loss_f: 1.02788e-01
Iter: 1800, Loss: 4.94351e-01, Loss_0: 3.95586e-01, Loss_b: 3.80254e-05, Loss_f: 9.87276e-02
Iter: 1900, Loss: 4.89649e-01, Loss_0: 3.79819e-01, Loss_b: 4.55748e-05, Loss_f: 1.09784e-01
Iter: 2000, Loss: 4.73234e-01, Loss_0: 3.66565e-01, Loss_b: 2.04904e-04, Loss_f: 1.06465e-01
Iter: 2100, Loss: 4.43658e-01, Loss_0: 3.39655e-01, Loss_b: 5.42307e-05, Loss_f: 1.03949e-01
Iter: 2200, Loss: 4.14191e-01, Loss_0: 3.28445e-01, Loss_b: 4.14845e-05, Loss_f: 8.57042e-02
Iter: 2300, Loss: 5.16904e-01, Loss_0: 3.63783e-01, Loss_b: 3.30498e-04, Loss_f: 1.52790e-01
Iter: 2400, Loss: 4.23387e-01, Loss_0: 3.23997e-01, Loss_b: 4.09947e-05, Loss_f: 9.93487e-02
Iter: 2500, Loss: 3.84894e-01, Loss_0: 3.11322e-01, Loss_b: 3.04975e-05, Loss_f: 7.35411e-02
Iter: 2600, Loss: 3.56741e-01, Loss_0: 2.83686e-01, Loss_b: 1.55498e-05, Loss_f: 7.30391e-02
Iter: 2700, Loss: 4.37368e-01, Loss_0: 3.23621e-01, Loss_b: 7.12607e-05, Loss_f: 1.13676e-01
Iter: 2800, Loss: 3.77708e-01, Loss_0: 2.68195e-01, Loss_b: 7.19844e-05, Loss_f: 1.09441e-01
Iter: 2900, Loss: 3.30264e-01, Loss_0: 2.66315e-01, Loss_b: 2.06325e-05, Loss_f: 6.39283e-02
Iter: 3000, Loss: 3.17883e-01, Loss_0: 2.55297e-01, Loss_b: 2.28476e-05, Loss_f: 6.25631e-02
Iter: 3100, Loss: 3.16629e-01, Loss_0: 2.35520e-01, Loss_b: 1.02321e-05, Loss_f: 8.10993e-02
Iter: 3200, Loss: 3.26029e-01, Loss_0: 2.37788e-01, Loss_b: 3.83924e-05, Loss_f: 8.82027e-02
Iter: 3300, Loss: 3.73892e-01, Loss_0: 2.43548e-01, Loss_b: 1.85249e-05, Loss_f: 1.30326e-01
Iter: 3400, Loss: 2.95091e-01, Loss_0: 2.11258e-01, Loss_b: 8.91327e-06, Loss_f: 8.38241e-02
Iter: 3500, Loss: 2.81876e-01, Loss_0: 2.21533e-01, Loss_b: 2.95825e-05, Loss_f: 6.03133e-02
Iter: 3600, Loss: 2.59875e-01, Loss_0: 2.04399e-01, Loss_b: 1.98453e-05, Loss_f: 5.54566e-02
Iter: 3700, Loss: 3.34241e-01, Loss_0: 2.09600e-01, Loss_b: 1.33052e-04, Loss_f: 1.24508e-01
Iter: 3800, Loss: 2.37731e-01, Loss_0: 1.88538e-01, Loss_b: 9.19442e-06, Loss_f: 4.91837e-02
Iter: 3900, Loss: 2.57262e-01, Loss_0: 2.03822e-01, Loss_b: 1.40729e-05, Loss_f: 5.34261e-02
Iter: 4000, Loss: 2.54142e-01, Loss_0: 2.05482e-01, Loss_b: 9.03613e-05, Loss_f: 4.85696e-02
Iter: 4100, Loss: 2.29561e-01, Loss_0: 1.84871e-01, Loss_b: 1.51045e-05, Loss_f: 4.46743e-02
Iter: 4200, Loss: 2.13256e-01, Loss_0: 1.65181e-01, Loss_b: 5.81573e-06, Loss_f: 4.80694e-02
Iter: 4300, Loss: 2.49395e-01, Loss_0: 1.69601e-01, Loss_b: 1.23005e-04, Loss_f: 7.96705e-02
Iter: 4400, Loss: 2.18181e-01, Loss_0: 1.62763e-01, Loss_b: 1.96397e-05, Loss_f: 5.53980e-02
Iter: 4500, Loss: 2.58700e-01, Loss_0: 1.49418e-01, Loss_b: 2.88470e-05, Loss_f: 1.09253e-01
Iter: 4600, Loss: 2.13509e-01, Loss_0: 1.45330e-01, Loss_b: 3.14268e-05, Loss_f: 6.81476e-02
Iter: 4700, Loss: 2.37960e-01, Loss_0: 1.54847e-01, Loss_b: 6.11471e-05, Loss_f: 8.30516e-02
Iter: 4800, Loss: 1.86117e-01, Loss_0: 1.45872e-01, Loss_b: 2.09394e-05, Loss_f: 4.02247e-02
Iter: 4900, Loss: 2.72784e-01, Loss_0: 1.64665e-01, Loss_b: 1.31492e-04, Loss_f: 1.07988e-01
Iter: 5000, Loss: 2.17407e-01, Loss_0: 1.43215e-01, Loss_b: 1.19305e-05, Loss_f: 7.41800e-02
Iter: 5100, Loss: 1.71489e-01, Loss_0: 1.35661e-01, Loss_b: 9.75832e-06, Loss_f: 3.58185e-02
Iter: 5200, Loss: 4.50552e-01, Loss_0: 1.22273e-01, Loss_b: 2.33426e-05, Loss_f: 3.28256e-01
Iter: 5300, Loss: 1.70122e-01, Loss_0: 1.37386e-01, Loss_b: 1.06555e-05, Loss_f: 3.27258e-02
Iter: 5400, Loss: 3.78638e-01, Loss_0: 1.31824e-01, Loss_b: 5.96416e-05, Loss_f: 2.46755e-01
Iter: 5500, Loss: 1.91585e-01, Loss_0: 1.44346e-01, Loss_b: 7.65160e-06, Loss_f: 4.72314e-02
Iter: 5600, Loss: 1.82190e-01, Loss_0: 1.29539e-01, Loss_b: 2.83511e-04, Loss_f: 5.23676e-02
Iter: 5700, Loss: 1.67181e-01, Loss_0: 1.16521e-01, Loss_b: 1.33829e-04, Loss_f: 5.05262e-02
Iter: 5800, Loss: 1.57157e-01, Loss_0: 1.21918e-01, Loss_b: 6.56588e-06, Loss_f: 3.52317e-02
Iter: 5900, Loss: 1.59525e-01, Loss_0: 1.26681e-01, Loss_b: 2.23481e-05, Loss_f: 3.28220e-02
