Start Training:
Iter: 0, Loss: 1.43996e+01, Loss_0: 1.39516e+01, Loss_b: 7.35835e-02, Loss_f: 3.74452e-01
Iter: 100, Loss: 2.56795e+00, Loss_0: 1.97773e+00, Loss_b: 2.02014e-05, Loss_f: 5.90199e-01
Iter: 200, Loss: 1.54314e+00, Loss_0: 1.24533e+00, Loss_b: 5.46307e-04, Loss_f: 2.97267e-01
Iter: 300, Loss: 1.14077e+00, Loss_0: 9.36217e-01, Loss_b: 1.58181e-05, Loss_f: 2.04542e-01
Iter: 400, Loss: 9.24470e-01, Loss_0: 7.65244e-01, Loss_b: 8.34307e-06, Loss_f: 1.59218e-01
Iter: 500, Loss: 7.96231e-01, Loss_0: 6.48395e-01, Loss_b: 3.89344e-05, Loss_f: 1.47796e-01
Iter: 600, Loss: 7.65424e-01, Loss_0: 6.10626e-01, Loss_b: 3.16021e-04, Loss_f: 1.54482e-01
Iter: 700, Loss: 6.22130e-01, Loss_0: 5.12415e-01, Loss_b: 2.28246e-05, Loss_f: 1.09693e-01
Iter: 800, Loss: 6.22015e-01, Loss_0: 5.21495e-01, Loss_b: 1.68660e-05, Loss_f: 1.00504e-01
Iter: 900, Loss: 5.56691e-01, Loss_0: 4.63440e-01, Loss_b: 1.19280e-05, Loss_f: 9.32390e-02
Iter: 1000, Loss: 5.44131e-01, Loss_0: 4.14667e-01, Loss_b: 7.93037e-06, Loss_f: 1.29456e-01
Iter: 1100, Loss: 4.98056e-01, Loss_0: 3.85783e-01, Loss_b: 2.49384e-05, Loss_f: 1.12247e-01
Iter: 1200, Loss: 4.52890e-01, Loss_0: 3.68130e-01, Loss_b: 1.22172e-05, Loss_f: 8.47475e-02
Iter: 1300, Loss: 4.31578e-01, Loss_0: 3.52108e-01, Loss_b: 1.09634e-05, Loss_f: 7.94594e-02
Iter: 1400, Loss: 4.26655e-01, Loss_0: 3.51304e-01, Loss_b: 6.58567e-06, Loss_f: 7.53438e-02
Iter: 1500, Loss: 4.04799e-01, Loss_0: 3.33491e-01, Loss_b: 1.86151e-05, Loss_f: 7.12890e-02
Iter: 1600, Loss: 7.69333e-01, Loss_0: 3.04945e-01, Loss_b: 1.86951e-05, Loss_f: 4.64369e-01
Iter: 1700, Loss: 4.04468e-01, Loss_0: 3.32121e-01, Loss_b: 4.87659e-05, Loss_f: 7.22981e-02
Iter: 1800, Loss: 3.78544e-01, Loss_0: 3.03725e-01, Loss_b: 2.13829e-06, Loss_f: 7.48169e-02
Iter: 1900, Loss: 3.68514e-01, Loss_0: 3.04395e-01, Loss_b: 2.03027e-05, Loss_f: 6.40993e-02
Iter: 2000, Loss: 3.42053e-01, Loss_0: 2.83783e-01, Loss_b: 3.74466e-06, Loss_f: 5.82659e-02
Iter: 2100, Loss: 3.43186e-01, Loss_0: 2.85054e-01, Loss_b: 2.20470e-05, Loss_f: 5.81098e-02
Iter: 2200, Loss: 3.17096e-01, Loss_0: 2.59061e-01, Loss_b: 1.43941e-06, Loss_f: 5.80337e-02
Iter: 2300, Loss: 3.04504e-01, Loss_0: 2.45693e-01, Loss_b: 9.19749e-07, Loss_f: 5.88100e-02
Iter: 2400, Loss: 2.84934e-01, Loss_0: 2.32417e-01, Loss_b: 3.42770e-06, Loss_f: 5.25133e-02
Iter: 2500, Loss: 3.57547e-01, Loss_0: 2.62248e-01, Loss_b: 3.96855e-05, Loss_f: 9.52599e-02
Iter: 2600, Loss: 3.03300e-01, Loss_0: 2.37863e-01, Loss_b: 5.29363e-06, Loss_f: 6.54308e-02
Iter: 2700, Loss: 3.24858e-01, Loss_0: 2.07968e-01, Loss_b: 5.10408e-06, Loss_f: 1.16885e-01
Iter: 2800, Loss: 3.13896e-01, Loss_0: 2.18892e-01, Loss_b: 5.04331e-06, Loss_f: 9.49991e-02
Iter: 2900, Loss: 2.90316e-01, Loss_0: 2.36023e-01, Loss_b: 3.93029e-06, Loss_f: 5.42889e-02
Iter: 3000, Loss: 2.60652e-01, Loss_0: 1.96822e-01, Loss_b: 9.29834e-06, Loss_f: 6.38199e-02
Iter: 3100, Loss: 2.55704e-01, Loss_0: 1.89291e-01, Loss_b: 6.04321e-05, Loss_f: 6.63528e-02
Iter: 3200, Loss: 2.54544e-01, Loss_0: 1.79198e-01, Loss_b: 8.38347e-06, Loss_f: 7.53379e-02
Iter: 3300, Loss: 2.45484e-01, Loss_0: 1.74025e-01, Loss_b: 5.66881e-05, Loss_f: 7.14020e-02
Iter: 3400, Loss: 2.27386e-01, Loss_0: 1.73481e-01, Loss_b: 5.25465e-05, Loss_f: 5.38528e-02
Iter: 3500, Loss: 2.12172e-01, Loss_0: 1.67523e-01, Loss_b: 1.16560e-05, Loss_f: 4.46371e-02
Iter: 3600, Loss: 2.18512e-01, Loss_0: 1.63779e-01, Loss_b: 6.06227e-06, Loss_f: 5.47275e-02
Iter: 3700, Loss: 2.02526e-01, Loss_0: 1.58286e-01, Loss_b: 5.30277e-06, Loss_f: 4.42356e-02
Iter: 3800, Loss: 2.73245e-01, Loss_0: 1.72168e-01, Loss_b: 8.92875e-06, Loss_f: 1.01067e-01
