Start Training:
Iter: 0, Loss: 1.33770e+01, Loss_0: 1.07527e+01, Loss_b: 4.69039e-05, Loss_f: 2.62419e+00
Iter: 100, Loss: 6.32361e+00, Loss_0: 6.28159e+00, Loss_b: 1.90675e-03, Loss_f: 4.01162e-02
Iter: 200, Loss: 3.47596e+00, Loss_0: 3.39957e+00, Loss_b: 1.92338e-04, Loss_f: 7.62009e-02
Iter: 300, Loss: 3.36601e+00, Loss_0: 3.07271e+00, Loss_b: 3.11366e-03, Loss_f: 2.90183e-01
Iter: 400, Loss: 2.01763e+00, Loss_0: 1.94617e+00, Loss_b: 1.62052e-04, Loss_f: 7.12980e-02
Iter: 500, Loss: 1.62841e+00, Loss_0: 1.55538e+00, Loss_b: 1.27893e-03, Loss_f: 7.17478e-02
Iter: 600, Loss: 1.46513e+00, Loss_0: 1.36045e+00, Loss_b: 1.23764e-03, Loss_f: 1.03443e-01
Iter: 700, Loss: 1.57518e+00, Loss_0: 1.44081e+00, Loss_b: 8.13294e-04, Loss_f: 1.33557e-01
Iter: 800, Loss: 1.51390e+00, Loss_0: 1.36937e+00, Loss_b: 9.58085e-05, Loss_f: 1.44433e-01
Iter: 900, Loss: 2.22885e+00, Loss_0: 1.88271e+00, Loss_b: 2.61103e-02, Loss_f: 3.20034e-01
Iter: 1000, Loss: 1.11831e+00, Loss_0: 1.01952e+00, Loss_b: 1.47185e-03, Loss_f: 9.73181e-02
Iter: 1100, Loss: 1.29304e+00, Loss_0: 1.17042e+00, Loss_b: 3.19272e-03, Loss_f: 1.19421e-01
Iter: 1200, Loss: 2.37428e+00, Loss_0: 1.46226e+00, Loss_b: 3.83630e-02, Loss_f: 8.73663e-01
Iter: 1300, Loss: 1.00739e+00, Loss_0: 9.06676e-01, Loss_b: 1.51166e-03, Loss_f: 9.91997e-02
Iter: 1400, Loss: 1.37942e+00, Loss_0: 1.22629e+00, Loss_b: 1.10623e-02, Loss_f: 1.42076e-01
Iter: 1500, Loss: 7.53660e-01, Loss_0: 6.69604e-01, Loss_b: 9.57282e-04, Loss_f: 8.30993e-02
Iter: 1600, Loss: 1.17534e+00, Loss_0: 1.06431e+00, Loss_b: 3.03869e-03, Loss_f: 1.07993e-01
Iter: 1700, Loss: 7.21603e-01, Loss_0: 6.35682e-01, Loss_b: 1.07550e-03, Loss_f: 8.48454e-02
Iter: 1800, Loss: 1.01670e+00, Loss_0: 9.26569e-01, Loss_b: 1.18478e-03, Loss_f: 8.89423e-02
Iter: 1900, Loss: 3.50468e+00, Loss_0: 1.88630e+00, Loss_b: 5.10746e-02, Loss_f: 1.56731e+00
Iter: 2000, Loss: 8.20384e-01, Loss_0: 7.36319e-01, Loss_b: 1.03337e-03, Loss_f: 8.30320e-02
Iter: 2100, Loss: 1.33062e+00, Loss_0: 9.58201e-01, Loss_b: 9.94761e-05, Loss_f: 3.72317e-01
Iter: 2200, Loss: 6.89270e-01, Loss_0: 6.06614e-01, Loss_b: 7.89678e-04, Loss_f: 8.18664e-02
