Start Training:
Iter: 0, Loss: 5.53484e+01, Loss_0: 2.84826e+01, Loss_b: 3.28999e-01, Loss_f: 2.65369e+01
Iter: 100, Loss: 1.27846e+01, Loss_0: 1.26987e+01, Loss_b: 3.09147e-04, Loss_f: 8.56258e-02
Iter: 200, Loss: 9.08710e+00, Loss_0: 8.84119e+00, Loss_b: 8.41095e-03, Loss_f: 2.37498e-01
Iter: 300, Loss: 6.57405e+00, Loss_0: 6.41823e+00, Loss_b: 7.41331e-04, Loss_f: 1.55073e-01
Iter: 400, Loss: 4.88042e+00, Loss_0: 4.63589e+00, Loss_b: 1.20745e-04, Loss_f: 2.44407e-01
Iter: 500, Loss: 4.00623e+00, Loss_0: 3.78566e+00, Loss_b: 3.43636e-04, Loss_f: 2.20222e-01
Iter: 600, Loss: 3.44726e+00, Loss_0: 3.27845e+00, Loss_b: 5.86355e-04, Loss_f: 1.68226e-01
Iter: 700, Loss: 3.58428e+00, Loss_0: 3.30106e+00, Loss_b: 7.87147e-03, Loss_f: 2.75348e-01
Iter: 800, Loss: 3.91294e+00, Loss_0: 2.56151e+00, Loss_b: 6.05975e-04, Loss_f: 1.35082e+00
Iter: 900, Loss: 3.26621e+00, Loss_0: 3.06829e+00, Loss_b: 6.82800e-03, Loss_f: 1.91090e-01
Iter: 1000, Loss: 2.76450e+00, Loss_0: 2.62785e+00, Loss_b: 9.20992e-04, Loss_f: 1.35733e-01
Iter: 1100, Loss: 2.49219e+00, Loss_0: 2.35066e+00, Loss_b: 1.95914e-04, Loss_f: 1.41326e-01
Iter: 1200, Loss: 2.29903e+00, Loss_0: 2.18261e+00, Loss_b: 2.07124e-04, Loss_f: 1.16212e-01
Iter: 1300, Loss: 2.30727e+00, Loss_0: 2.17048e+00, Loss_b: 1.19589e-04, Loss_f: 1.36666e-01
Iter: 1400, Loss: 2.50563e+00, Loss_0: 2.38199e+00, Loss_b: 7.69208e-04, Loss_f: 1.22868e-01
Iter: 1500, Loss: 3.30887e+00, Loss_0: 3.16493e+00, Loss_b: 2.88025e-04, Loss_f: 1.43654e-01
Iter: 1600, Loss: 5.02179e+00, Loss_0: 2.12485e+00, Loss_b: 2.35501e-04, Loss_f: 2.89670e+00
Iter: 1700, Loss: 2.11387e+00, Loss_0: 1.98836e+00, Loss_b: 5.17507e-04, Loss_f: 1.24998e-01
Iter: 1800, Loss: 2.70061e+00, Loss_0: 2.58071e+00, Loss_b: 9.89496e-04, Loss_f: 1.18909e-01
Iter: 1900, Loss: 2.89497e+00, Loss_0: 2.49593e+00, Loss_b: 4.89135e-04, Loss_f: 3.98551e-01
Iter: 2000, Loss: 3.28705e+00, Loss_0: 1.70749e+00, Loss_b: 9.81682e-05, Loss_f: 1.57946e+00
Iter: 2100, Loss: 1.91823e+00, Loss_0: 1.79415e+00, Loss_b: 4.78189e-04, Loss_f: 1.23600e-01
Iter: 2200, Loss: 2.76833e+00, Loss_0: 2.65636e+00, Loss_b: 1.75612e-03, Loss_f: 1.10215e-01
Iter: 2300, Loss: 1.81435e+00, Loss_0: 1.67698e+00, Loss_b: 4.69927e-04, Loss_f: 1.36898e-01
Iter: 2400, Loss: 2.52826e+00, Loss_0: 2.43744e+00, Loss_b: 1.07971e-03, Loss_f: 8.97439e-02
Iter: 2500, Loss: 1.71628e+00, Loss_0: 1.58672e+00, Loss_b: 3.36661e-04, Loss_f: 1.29224e-01
Iter: 2600, Loss: 1.98192e+00, Loss_0: 1.86886e+00, Loss_b: 8.14144e-04, Loss_f: 1.12247e-01
Iter: 2700, Loss: 3.02686e+00, Loss_0: 2.71808e+00, Loss_b: 1.04382e-03, Loss_f: 3.07731e-01
Iter: 2800, Loss: 1.80161e+00, Loss_0: 1.68804e+00, Loss_b: 6.16489e-04, Loss_f: 1.12948e-01
Iter: 2900, Loss: 3.32601e+00, Loss_0: 2.84910e+00, Loss_b: 1.62910e-03, Loss_f: 4.75283e-01
Iter: 3000, Loss: 1.87663e+00, Loss_0: 1.79731e+00, Loss_b: 5.53425e-04, Loss_f: 7.87679e-02
Iter: 3100, Loss: 2.39985e+00, Loss_0: 2.28713e+00, Loss_b: 8.62298e-04, Loss_f: 1.11852e-01
Iter: 3200, Loss: 1.60806e+00, Loss_0: 1.48825e+00, Loss_b: 5.04853e-04, Loss_f: 1.19314e-01
Iter: 3300, Loss: 2.15805e+00, Loss_0: 2.04534e+00, Loss_b: 1.05145e-03, Loss_f: 1.11661e-01
Iter: 3400, Loss: 1.48074e+00, Loss_0: 1.35973e+00, Loss_b: 4.63526e-04, Loss_f: 1.20554e-01
Iter: 3500, Loss: 2.14413e+00, Loss_0: 2.04591e+00, Loss_b: 3.67252e-04, Loss_f: 9.78570e-02
Iter: 3600, Loss: 1.46799e+00, Loss_0: 1.35105e+00, Loss_b: 3.39516e-04, Loss_f: 1.16608e-01
Iter: 3700, Loss: 2.31166e+00, Loss_0: 2.19031e+00, Loss_b: 1.64077e-03, Loss_f: 1.19704e-01
Iter: 3800, Loss: 1.51054e+00, Loss_0: 1.40495e+00, Loss_b: 3.61418e-04, Loss_f: 1.05228e-01
Iter: 3900, Loss: 2.35789e+00, Loss_0: 2.18887e+00, Loss_b: 3.22960e-03, Loss_f: 1.65792e-01
Iter: 4000, Loss: 1.48146e+00, Loss_0: 1.37268e+00, Loss_b: 5.05343e-04, Loss_f: 1.08274e-01
Iter: 4100, Loss: 2.66088e+00, Loss_0: 2.45824e+00, Loss_b: 1.57372e-03, Loss_f: 2.01063e-01
Iter: 4200, Loss: 1.55386e+00, Loss_0: 1.45753e+00, Loss_b: 3.56838e-04, Loss_f: 9.59688e-02
Iter: 4300, Loss: 3.20569e+00, Loss_0: 2.19793e+00, Loss_b: 3.13317e-02, Loss_f: 9.76436e-01
Iter: 4400, Loss: 1.49187e+00, Loss_0: 1.38037e+00, Loss_b: 4.61579e-04, Loss_f: 1.11032e-01
Iter: 4500, Loss: 2.37724e+00, Loss_0: 2.17623e+00, Loss_b: 3.67319e-03, Loss_f: 1.97331e-01
Iter: 4600, Loss: 1.39455e+00, Loss_0: 1.29341e+00, Loss_b: 2.42629e-04, Loss_f: 1.00896e-01
Iter: 4700, Loss: 1.22260e+00, Loss_0: 1.10296e+00, Loss_b: 5.76790e-04, Loss_f: 1.19062e-01
Iter: 4800, Loss: 1.24284e+00, Loss_0: 1.14947e+00, Loss_b: 1.01447e-04, Loss_f: 9.32663e-02
Iter: 4900, Loss: 1.66817e+00, Loss_0: 1.55156e+00, Loss_b: 1.41624e-03, Loss_f: 1.15194e-01
Iter: 5000, Loss: 1.09018e+00, Loss_0: 9.73428e-01, Loss_b: 2.41439e-04, Loss_f: 1.16514e-01
Iter: 5100, Loss: 1.25408e+00, Loss_0: 1.17126e+00, Loss_b: 2.36402e-04, Loss_f: 8.25818e-02
Iter: 5200, Loss: 3.12728e+00, Loss_0: 1.76545e+00, Loss_b: 6.44581e-03, Loss_f: 1.35538e+00
Iter: 5300, Loss: 1.19258e+00, Loss_0: 1.10693e+00, Loss_b: 2.53680e-04, Loss_f: 8.54018e-02
Iter: 5400, Loss: 1.85243e+00, Loss_0: 1.63092e+00, Loss_b: 1.07465e-03, Loss_f: 2.20437e-01
Iter: 5500, Loss: 1.09954e+00, Loss_0: 1.00425e+00, Loss_b: 2.63559e-04, Loss_f: 9.50283e-02
Iter: 5600, Loss: 9.76322e-01, Loss_0: 8.55386e-01, Loss_b: 1.07361e-04, Loss_f: 1.20829e-01
Iter: 5700, Loss: 9.03278e-01, Loss_0: 7.90158e-01, Loss_b: 1.20863e-04, Loss_f: 1.13000e-01
Iter: 5800, Loss: 9.19240e-01, Loss_0: 8.22434e-01, Loss_b: 1.82956e-04, Loss_f: 9.66232e-02
Iter: 5900, Loss: 8.55446e-01, Loss_0: 7.55091e-01, Loss_b: 7.18791e-05, Loss_f: 1.00283e-01
Iter: 6000, Loss: 1.00335e+00, Loss_0: 9.24574e-01, Loss_b: 1.94421e-04, Loss_f: 7.85785e-02
Iter: 6100, Loss: 1.62385e+00, Loss_0: 1.45000e+00, Loss_b: 2.44368e-03, Loss_f: 1.71412e-01
Iter: 6200, Loss: 9.49116e-01, Loss_0: 8.68700e-01, Loss_b: 1.77163e-04, Loss_f: 8.02380e-02
Iter: 6300, Loss: 9.89074e-01, Loss_0: 9.00676e-01, Loss_b: 7.29164e-04, Loss_f: 8.76682e-02
Iter: 6400, Loss: 1.22917e+00, Loss_0: 1.04174e+00, Loss_b: 1.11478e-03, Loss_f: 1.86313e-01
Iter: 6500, Loss: 8.18112e-01, Loss_0: 6.63645e-01, Loss_b: 1.11960e-04, Loss_f: 1.54356e-01
Iter: 6600, Loss: 1.13475e+00, Loss_0: 1.07030e+00, Loss_b: 2.47525e-04, Loss_f: 6.42031e-02
Iter: 6700, Loss: 1.18293e+00, Loss_0: 7.10071e-01, Loss_b: 2.09569e-04, Loss_f: 4.72654e-01
Iter: 6800, Loss: 9.65030e-01, Loss_0: 7.91899e-01, Loss_b: 1.15988e-03, Loss_f: 1.71971e-01
Iter: 6900, Loss: 9.53988e-01, Loss_0: 8.67385e-01, Loss_b: 9.49071e-04, Loss_f: 8.56537e-02
Iter: 7000, Loss: 2.51594e+00, Loss_0: 1.56242e+00, Loss_b: 4.19314e-04, Loss_f: 9.53096e-01
Iter: 7100, Loss: 9.44463e-01, Loss_0: 8.77698e-01, Loss_b: 1.64843e-04, Loss_f: 6.65999e-02
Iter: 7200, Loss: 3.17388e+00, Loss_0: 1.58108e+00, Loss_b: 2.34505e-03, Loss_f: 1.59045e+00
Iter: 7300, Loss: 1.01405e+00, Loss_0: 9.53505e-01, Loss_b: 1.79268e-04, Loss_f: 6.03670e-02
Iter: 7400, Loss: 4.36966e+00, Loss_0: 1.15210e+00, Loss_b: 1.75709e-02, Loss_f: 3.19999e+00
