Start Training:
Iter: 0, Loss: 1.27907e+00, Loss_0: 6.67377e-02, Loss_b: 3.02493e-01, Loss_f: 9.09840e-01
Iter: 100, Loss: 2.09708e-02, Loss_0: 2.09267e-02, Loss_b: 6.45444e-07, Loss_f: 4.33928e-05
Iter: 200, Loss: 2.05262e-02, Loss_0: 2.04753e-02, Loss_b: 3.21749e-06, Loss_f: 4.76854e-05
Iter: 300, Loss: 1.95421e-02, Loss_0: 1.93490e-02, Loss_b: 2.07366e-06, Loss_f: 1.91043e-04
Iter: 400, Loss: 1.28580e-02, Loss_0: 1.22511e-02, Loss_b: 1.94055e-06, Loss_f: 6.04963e-04
Iter: 500, Loss: 2.63554e-03, Loss_0: 2.17629e-03, Loss_b: 3.29592e-06, Loss_f: 4.55953e-04
Iter: 600, Loss: 1.12196e-03, Loss_0: 7.85419e-04, Loss_b: 2.28418e-06, Loss_f: 3.34253e-04
Iter: 700, Loss: 5.09538e-04, Loss_0: 1.85959e-04, Loss_b: 5.79961e-06, Loss_f: 3.17778e-04
Iter: 800, Loss: 3.93129e-04, Loss_0: 1.28674e-04, Loss_b: 5.09081e-07, Loss_f: 2.63946e-04
Iter: 900, Loss: 3.73438e-04, Loss_0: 1.24828e-04, Loss_b: 4.28532e-05, Loss_f: 2.05758e-04
Iter: 1000, Loss: 2.52322e-04, Loss_0: 6.88873e-05, Loss_b: 1.48995e-07, Loss_f: 1.83286e-04
Iter: 1100, Loss: 1.79096e-04, Loss_0: 3.94817e-05, Loss_b: 1.58214e-06, Loss_f: 1.38032e-04
Iter: 1200, Loss: 1.24939e-04, Loss_0: 2.52628e-05, Loss_b: 9.94840e-07, Loss_f: 9.86810e-05
Iter: 1300, Loss: 8.47939e-05, Loss_0: 1.34362e-05, Loss_b: 1.57754e-07, Loss_f: 7.11999e-05
Iter: 1400, Loss: 2.59227e-04, Loss_0: 3.93639e-05, Loss_b: 1.67301e-04, Loss_f: 5.25620e-05
Iter: 1500, Loss: 5.33711e-05, Loss_0: 7.50577e-06, Loss_b: 6.64469e-08, Loss_f: 4.57989e-05
Iter: 1600, Loss: 7.94931e-05, Loss_0: 1.56581e-05, Loss_b: 2.69495e-05, Loss_f: 3.68855e-05
Iter: 1700, Loss: 3.97719e-05, Loss_0: 5.14931e-06, Loss_b: 1.24452e-06, Loss_f: 3.33781e-05
Iter: 1800, Loss: 3.20487e-05, Loss_0: 4.59361e-06, Loss_b: 5.17239e-08, Loss_f: 2.74034e-05
Iter: 1900, Loss: 3.52824e-03, Loss_0: 4.47745e-04, Loss_b: 2.98695e-03, Loss_f: 9.35462e-05
Iter: 2000, Loss: 4.09449e-05, Loss_0: 3.08923e-06, Loss_b: 2.44637e-08, Loss_f: 3.78312e-05
Iter: 2100, Loss: 6.44207e-04, Loss_0: 9.36211e-05, Loss_b: 5.17918e-04, Loss_f: 3.26683e-05
Iter: 2200, Loss: 2.35536e-05, Loss_0: 4.04044e-06, Loss_b: 1.00550e-06, Loss_f: 1.85077e-05
Iter: 2300, Loss: 2.21191e-05, Loss_0: 4.69287e-06, Loss_b: 3.78889e-06, Loss_f: 1.36374e-05
Iter: 2400, Loss: 1.88636e-05, Loss_0: 2.56855e-06, Loss_b: 3.21821e-06, Loss_f: 1.30768e-05
Iter: 2500, Loss: 1.31273e-05, Loss_0: 2.17885e-06, Loss_b: 6.13583e-07, Loss_f: 1.03349e-05
Iter: 2600, Loss: 4.15449e-03, Loss_0: 5.37396e-04, Loss_b: 3.36245e-03, Loss_f: 2.54646e-04
Iter: 2700, Loss: 3.11016e-05, Loss_0: 1.96383e-06, Loss_b: 3.36106e-07, Loss_f: 2.88017e-05
Iter: 2800, Loss: 1.04030e-04, Loss_0: 1.17137e-05, Loss_b: 6.77710e-05, Loss_f: 2.45454e-05
Iter: 2900, Loss: 2.86562e-04, Loss_0: 2.13811e-05, Loss_b: 5.69085e-05, Loss_f: 2.08272e-04
Iter: 3000, Loss: 1.84048e-04, Loss_0: 2.70151e-05, Loss_b: 1.43356e-04, Loss_f: 1.36776e-05
Iter: 3100, Loss: 1.24489e-05, Loss_0: 2.12747e-06, Loss_b: 5.08859e-06, Loss_f: 5.23288e-06
Iter: 3200, Loss: 1.61453e-04, Loss_0: 1.45485e-05, Loss_b: 3.15100e-05, Loss_f: 1.15395e-04
Iter: 3300, Loss: 2.11168e-05, Loss_0: 2.46588e-06, Loss_b: 1.05593e-05, Loss_f: 8.09164e-06
Iter: 3400, Loss: 2.28985e-05, Loss_0: 2.87779e-06, Loss_b: 5.13875e-07, Loss_f: 1.95068e-05
Iter: 3500, Loss: 2.20408e-03, Loss_0: 2.90022e-04, Loss_b: 1.84955e-03, Loss_f: 6.45139e-05
Iter: 3600, Loss: 1.63746e-05, Loss_0: 3.94473e-06, Loss_b: 1.14378e-06, Loss_f: 1.12861e-05
Iter: 3700, Loss: 4.00986e-05, Loss_0: 6.79303e-06, Loss_b: 1.58388e-05, Loss_f: 1.74668e-05
Iter: 3800, Loss: 3.15013e-05, Loss_0: 5.08178e-06, Loss_b: 2.12649e-06, Loss_f: 2.42930e-05
Iter: 3900, Loss: 1.93096e-05, Loss_0: 2.65128e-06, Loss_b: 8.94151e-07, Loss_f: 1.57642e-05
Iter: 4000, Loss: 1.27203e-04, Loss_0: 2.60586e-05, Loss_b: 7.93318e-05, Loss_f: 2.18121e-05
Iter: 4100, Loss: 2.97818e-05, Loss_0: 3.86229e-06, Loss_b: 3.40577e-07, Loss_f: 2.55790e-05
Iter: 4200, Loss: 4.38026e-04, Loss_0: 6.00177e-05, Loss_b: 3.32895e-04, Loss_f: 4.51136e-05
Iter: 4300, Loss: 8.49193e-05, Loss_0: 8.03752e-06, Loss_b: 1.90183e-06, Loss_f: 7.49799e-05
Iter: 4400, Loss: 1.50543e-04, Loss_0: 2.03450e-05, Loss_b: 9.74505e-05, Loss_f: 3.27475e-05
Iter: 4500, Loss: 1.11638e-03, Loss_0: 1.54923e-04, Loss_b: 8.07415e-04, Loss_f: 1.54042e-04
Iter: 4600, Loss: 8.56709e-04, Loss_0: 1.16454e-04, Loss_b: 6.92166e-04, Loss_f: 4.80886e-05
Iter: 4700, Loss: 1.36247e-04, Loss_0: 2.40361e-05, Loss_b: 8.29252e-05, Loss_f: 2.92859e-05
Iter: 4800, Loss: 3.78255e-03, Loss_0: 5.18821e-04, Loss_b: 3.14158e-03, Loss_f: 1.22141e-04
Iter: 4900, Loss: 1.68812e-05, Loss_0: 2.27459e-06, Loss_b: 2.35441e-06, Loss_f: 1.22522e-05
Iter: 5000, Loss: 2.25738e-05, Loss_0: 3.07937e-06, Loss_b: 5.22418e-06, Loss_f: 1.42702e-05
