Start Training:
Iter: 0, Loss: 1.39290e+00, Loss_0: 9.37737e-02, Loss_b: 9.08240e-01, Loss_f: 3.90886e-01
Iter: 100, Loss: 2.07925e-02, Loss_0: 2.04840e-02, Loss_b: 1.61234e-05, Loss_f: 2.92308e-04
Iter: 200, Loss: 2.03641e-02, Loss_0: 2.01700e-02, Loss_b: 3.30003e-06, Loss_f: 1.90760e-04
Iter: 300, Loss: 1.99927e-02, Loss_0: 1.97423e-02, Loss_b: 2.50237e-06, Loss_f: 2.47988e-04
Iter: 400, Loss: 1.94172e-02, Loss_0: 1.90835e-02, Loss_b: 1.79243e-06, Loss_f: 3.31940e-04
Iter: 500, Loss: 1.81758e-02, Loss_0: 1.77548e-02, Loss_b: 2.73898e-06, Loss_f: 4.18284e-04
Iter: 600, Loss: 1.50956e-02, Loss_0: 1.45670e-02, Loss_b: 1.03836e-05, Loss_f: 5.18203e-04
Iter: 700, Loss: 1.03293e-02, Loss_0: 9.65117e-03, Loss_b: 1.28660e-05, Loss_f: 6.65234e-04
Iter: 800, Loss: 7.18454e-03, Loss_0: 6.65651e-03, Loss_b: 3.36291e-06, Loss_f: 5.24672e-04
Iter: 900, Loss: 4.33661e-03, Loss_0: 4.00135e-03, Loss_b: 9.01359e-06, Loss_f: 3.26249e-04
Iter: 1000, Loss: 2.49761e-03, Loss_0: 2.00536e-03, Loss_b: 2.30697e-06, Loss_f: 4.89948e-04
Iter: 1100, Loss: 2.15003e-03, Loss_0: 1.57222e-03, Loss_b: 1.35638e-06, Loss_f: 5.76454e-04
Iter: 1200, Loss: 1.97698e-03, Loss_0: 1.39857e-03, Loss_b: 1.06858e-06, Loss_f: 5.77343e-04
Iter: 1300, Loss: 1.84728e-03, Loss_0: 1.27124e-03, Loss_b: 8.41474e-07, Loss_f: 5.75208e-04
Iter: 1400, Loss: 1.75048e-03, Loss_0: 1.18024e-03, Loss_b: 6.62202e-07, Loss_f: 5.69584e-04
Iter: 1500, Loss: 1.66741e-03, Loss_0: 1.11074e-03, Loss_b: 5.14611e-07, Loss_f: 5.56149e-04
Iter: 1600, Loss: 1.59014e-03, Loss_0: 1.05058e-03, Loss_b: 3.91953e-07, Loss_f: 5.39165e-04
Iter: 1700, Loss: 1.51652e-03, Loss_0: 9.95817e-04, Loss_b: 2.90205e-07, Loss_f: 5.20417e-04
Iter: 1800, Loss: 1.44593e-03, Loss_0: 9.45067e-04, Loss_b: 5.97993e-07, Loss_f: 5.00270e-04
Iter: 1900, Loss: 1.38006e-03, Loss_0: 9.01152e-04, Loss_b: 3.91651e-07, Loss_f: 4.78519e-04
Iter: 2000, Loss: 1.31736e-03, Loss_0: 8.62167e-04, Loss_b: 4.52470e-08, Loss_f: 4.55145e-04
Iter: 2100, Loss: 1.26076e-03, Loss_0: 8.27831e-04, Loss_b: 1.70202e-07, Loss_f: 4.32754e-04
Iter: 2200, Loss: 1.20836e-03, Loss_0: 7.97879e-04, Loss_b: 3.64553e-08, Loss_f: 4.10441e-04
Iter: 2300, Loss: 1.16318e-03, Loss_0: 7.71593e-04, Loss_b: 3.60376e-07, Loss_f: 3.91227e-04
Iter: 2400, Loss: 1.11841e-03, Loss_0: 7.46389e-04, Loss_b: 5.85848e-08, Loss_f: 3.71962e-04
Iter: 2500, Loss: 1.25984e-03, Loss_0: 7.54964e-04, Loss_b: 1.74910e-04, Loss_f: 3.29962e-04
