Start Training:
Iter: 0, Loss: 5.65581e-01, Loss_0: 3.49449e-01, Loss_1: 2.72594e-02, Loss_b: 1.43448e-02, Loss_f: 1.74527e-01
Iter: 100, Loss: 2.13765e-02, Loss_0: 3.46069e-06, Loss_1: 2.09666e-02, Loss_b: 6.22543e-06, Loss_f: 4.00206e-04
Iter: 200, Loss: 1.09847e-02, Loss_0: 4.35806e-06, Loss_1: 1.00995e-02, Loss_b: 7.02646e-05, Loss_f: 8.10593e-04
Iter: 300, Loss: 3.54679e-03, Loss_0: 7.22001e-06, Loss_1: 3.02966e-03, Loss_b: 1.58005e-05, Loss_f: 4.94110e-04
Iter: 400, Loss: 2.23285e-03, Loss_0: 1.66585e-07, Loss_1: 1.62653e-03, Loss_b: 1.73534e-05, Loss_f: 5.88809e-04
Iter: 500, Loss: 2.04725e-03, Loss_0: 8.40409e-05, Loss_1: 1.02646e-03, Loss_b: 4.63693e-04, Loss_f: 4.73056e-04
Iter: 600, Loss: 4.32484e-04, Loss_0: 9.56679e-07, Loss_1: 1.81042e-04, Loss_b: 8.27697e-07, Loss_f: 2.49657e-04
Iter: 700, Loss: 4.17893e-04, Loss_0: 4.64651e-05, Loss_1: 1.58444e-04, Loss_b: 2.89477e-05, Loss_f: 1.84036e-04
Iter: 800, Loss: 2.48023e-04, Loss_0: 1.80952e-07, Loss_1: 7.80069e-05, Loss_b: 6.50779e-07, Loss_f: 1.69184e-04
Iter: 900, Loss: 1.49341e-04, Loss_0: 9.04520e-08, Loss_1: 4.23511e-05, Loss_b: 2.80661e-07, Loss_f: 1.06619e-04
Iter: 1000, Loss: 1.04366e-04, Loss_0: 4.43940e-06, Loss_1: 3.00939e-05, Loss_b: 1.91755e-05, Loss_f: 5.06576e-05
Iter: 1100, Loss: 4.27893e-05, Loss_0: 5.97374e-08, Loss_1: 1.03722e-05, Loss_b: 5.25164e-07, Loss_f: 3.18322e-05
Iter: 1200, Loss: 1.33153e-04, Loss_0: 2.92593e-06, Loss_1: 1.31448e-05, Loss_b: 3.04076e-05, Loss_f: 8.66749e-05
Iter: 1300, Loss: 2.92900e-05, Loss_0: 6.07056e-08, Loss_1: 7.61049e-06, Loss_b: 3.42801e-07, Loss_f: 2.12760e-05
