Start Training:
Iter: 0, Loss: 1.22798e+01, Loss_0: 1.80717e-01, Loss_1: 1.16051e+01, Loss_b: 8.61457e-02, Loss_f: 4.07901e-01
Iter: 100, Loss: 3.20835e+00, Loss_0: 2.26430e-02, Loss_1: 2.97318e+00, Loss_b: 3.37048e-04, Loss_f: 2.12184e-01
Iter: 200, Loss: 2.46277e+00, Loss_0: 1.38025e-04, Loss_1: 2.06432e+00, Loss_b: 2.12778e-04, Loss_f: 3.98096e-01
Iter: 300, Loss: 2.17219e+00, Loss_0: 3.08726e-04, Loss_1: 1.85194e+00, Loss_b: 2.04625e-04, Loss_f: 3.19738e-01
Iter: 400, Loss: 1.58416e+00, Loss_0: 4.77029e-04, Loss_1: 1.34175e+00, Loss_b: 1.10702e-04, Loss_f: 2.41823e-01
Iter: 500, Loss: 1.11722e+00, Loss_0: 1.97894e-04, Loss_1: 9.69990e-01, Loss_b: 3.25928e-04, Loss_f: 1.46705e-01
Iter: 600, Loss: 8.46122e-01, Loss_0: 8.32236e-04, Loss_1: 7.42455e-01, Loss_b: 2.83469e-04, Loss_f: 1.02552e-01
Iter: 700, Loss: 6.71963e-01, Loss_0: 2.19230e-04, Loss_1: 5.93863e-01, Loss_b: 1.98880e-04, Loss_f: 7.76823e-02
Iter: 800, Loss: 6.79190e-01, Loss_0: 2.83229e-04, Loss_1: 5.84105e-01, Loss_b: 8.51630e-04, Loss_f: 9.39498e-02
Iter: 900, Loss: 5.56380e-01, Loss_0: 1.00909e-04, Loss_1: 4.68690e-01, Loss_b: 2.16432e-03, Loss_f: 8.54252e-02
Iter: 1000, Loss: 4.75059e-01, Loss_0: 3.75711e-04, Loss_1: 4.14414e-01, Loss_b: 6.77188e-04, Loss_f: 5.95917e-02
Iter: 1100, Loss: 4.34684e-01, Loss_0: 2.25400e-04, Loss_1: 3.50909e-01, Loss_b: 2.40394e-04, Loss_f: 8.33099e-02
Iter: 1200, Loss: 3.51294e-01, Loss_0: 1.12491e-04, Loss_1: 3.03882e-01, Loss_b: 6.79057e-04, Loss_f: 4.66208e-02
