Start Training:
Iter: 0, Loss: 1.58890e+01, Loss_0: 2.51235e-02, Loss_1: 1.58171e+01, Loss_b: 1.17718e-02, Loss_f: 3.49774e-02
Iter: 100, Loss: 4.30988e+00, Loss_0: 1.82717e-03, Loss_1: 4.12191e+00, Loss_b: 2.18965e-04, Loss_f: 1.85920e-01
Iter: 200, Loss: 2.02690e+00, Loss_0: 3.11746e-03, Loss_1: 1.84060e+00, Loss_b: 8.17695e-05, Loss_f: 1.83100e-01
Iter: 300, Loss: 2.01017e+00, Loss_0: 2.73810e-03, Loss_1: 1.62516e+00, Loss_b: 1.64431e-03, Loss_f: 3.80623e-01
Iter: 400, Loss: 1.29941e+00, Loss_0: 1.86596e-03, Loss_1: 1.19522e+00, Loss_b: 9.25453e-05, Loss_f: 1.02231e-01
Iter: 500, Loss: 1.18963e+00, Loss_0: 8.37630e-04, Loss_1: 1.10114e+00, Loss_b: 4.94487e-05, Loss_f: 8.76040e-02
Iter: 600, Loss: 1.24788e+00, Loss_0: 1.13263e-02, Loss_1: 1.08600e+00, Loss_b: 3.60838e-03, Loss_f: 1.46936e-01
Iter: 700, Loss: 9.40679e-01, Loss_0: 1.43967e-03, Loss_1: 8.74174e-01, Loss_b: 1.95743e-04, Loss_f: 6.48704e-02
Iter: 800, Loss: 9.34256e-01, Loss_0: 1.52121e-03, Loss_1: 8.28187e-01, Loss_b: 1.14822e-03, Loss_f: 1.03400e-01
Iter: 900, Loss: 8.05949e-01, Loss_0: 5.11395e-04, Loss_1: 7.24049e-01, Loss_b: 9.10470e-05, Loss_f: 8.12981e-02
Iter: 1000, Loss: 7.18099e-01, Loss_0: 4.09368e-04, Loss_1: 6.49069e-01, Loss_b: 1.28635e-05, Loss_f: 6.86072e-02
Iter: 1100, Loss: 6.20638e-01, Loss_0: 2.81957e-03, Loss_1: 5.61432e-01, Loss_b: 1.04747e-05, Loss_f: 5.63756e-02
Iter: 1200, Loss: 6.68916e-01, Loss_0: 9.73841e-04, Loss_1: 5.91752e-01, Loss_b: 1.12204e-04, Loss_f: 7.60770e-02
Iter: 1300, Loss: 7.66764e-01, Loss_0: 1.66062e-03, Loss_1: 4.63964e-01, Loss_b: 1.43077e-05, Loss_f: 3.01126e-01
Iter: 1400, Loss: 5.85494e-01, Loss_0: 4.32172e-03, Loss_1: 4.45329e-01, Loss_b: 2.44128e-05, Loss_f: 1.35819e-01
Iter: 1500, Loss: 5.19692e-01, Loss_0: 4.34093e-04, Loss_1: 4.49228e-01, Loss_b: 3.08403e-04, Loss_f: 6.97216e-02
Iter: 1600, Loss: 4.30835e-01, Loss_0: 4.93690e-04, Loss_1: 3.73946e-01, Loss_b: 2.89768e-05, Loss_f: 5.63666e-02
Iter: 1700, Loss: 4.35902e-01, Loss_0: 4.11355e-04, Loss_1: 3.70916e-01, Loss_b: 8.73350e-05, Loss_f: 6.44874e-02
Iter: 1800, Loss: 3.88827e-01, Loss_0: 3.96469e-04, Loss_1: 3.23881e-01, Loss_b: 2.46253e-05, Loss_f: 6.45249e-02
Iter: 1900, Loss: 3.58073e-01, Loss_0: 4.33962e-04, Loss_1: 3.09634e-01, Loss_b: 1.32536e-04, Loss_f: 4.78730e-02
Iter: 2000, Loss: 4.15547e-01, Loss_0: 3.97802e-04, Loss_1: 3.00690e-01, Loss_b: 1.42321e-04, Loss_f: 1.14316e-01
Iter: 2100, Loss: 5.57817e-01, Loss_0: 6.36983e-04, Loss_1: 2.58750e-01, Loss_b: 2.29858e-05, Loss_f: 2.98407e-01
Iter: 2200, Loss: 3.11211e-01, Loss_0: 3.95822e-04, Loss_1: 2.69855e-01, Loss_b: 2.08330e-05, Loss_f: 4.09395e-02
Iter: 2300, Loss: 2.71907e-01, Loss_0: 4.68524e-04, Loss_1: 2.27406e-01, Loss_b: 1.79410e-05, Loss_f: 4.40152e-02
Iter: 2400, Loss: 2.73253e-01, Loss_0: 4.23502e-04, Loss_1: 2.14562e-01, Loss_b: 1.51507e-04, Loss_f: 5.81162e-02
Iter: 2500, Loss: 2.42823e-01, Loss_0: 4.17118e-04, Loss_1: 2.05300e-01, Loss_b: 7.47297e-05, Loss_f: 3.70309e-02
Iter: 2600, Loss: 3.14336e-01, Loss_0: 7.42655e-04, Loss_1: 1.94864e-01, Loss_b: 4.83028e-04, Loss_f: 1.18246e-01
Iter: 2700, Loss: 4.26208e-01, Loss_0: 2.31683e-03, Loss_1: 2.24962e-01, Loss_b: 1.86468e-03, Loss_f: 1.97064e-01
Iter: 2800, Loss: 2.53701e-01, Loss_0: 3.96122e-04, Loss_1: 1.72668e-01, Loss_b: 9.95870e-06, Loss_f: 8.06268e-02
Iter: 2900, Loss: 1.81582e-01, Loss_0: 3.98261e-04, Loss_1: 1.48332e-01, Loss_b: 4.68120e-05, Loss_f: 3.28050e-02
Iter: 3000, Loss: 2.15123e-01, Loss_0: 5.41986e-04, Loss_1: 1.69443e-01, Loss_b: 9.23776e-05, Loss_f: 4.50456e-02
Iter: 3100, Loss: 1.62804e-01, Loss_0: 3.96130e-04, Loss_1: 1.35547e-01, Loss_b: 2.07007e-05, Loss_f: 2.68404e-02
Iter: 3200, Loss: 4.61831e-01, Loss_0: 9.75885e-03, Loss_1: 1.85148e-01, Loss_b: 1.56996e-04, Loss_f: 2.66767e-01
Iter: 3300, Loss: 3.21841e-01, Loss_0: 7.13738e-03, Loss_1: 1.57571e-01, Loss_b: 1.81240e-04, Loss_f: 1.56952e-01
Iter: 3400, Loss: 1.45609e-01, Loss_0: 3.96944e-04, Loss_1: 1.19582e-01, Loss_b: 3.94240e-05, Loss_f: 2.55905e-02
Iter: 3500, Loss: 1.65922e-01, Loss_0: 4.03769e-04, Loss_1: 1.00505e-01, Loss_b: 4.51616e-05, Loss_f: 6.49679e-02
Iter: 3600, Loss: 1.29724e-01, Loss_0: 4.32768e-04, Loss_1: 1.06950e-01, Loss_b: 1.69277e-05, Loss_f: 2.23240e-02
