Start Training:
Iter: 0, Loss: 1.23864e+01, Loss_0: 1.59947e-01, Loss_1: 1.18161e+01, Loss_b: 2.46446e-01, Loss_f: 1.63944e-01
Iter: 100, Loss: 8.40627e+00, Loss_0: 4.87432e-05, Loss_1: 8.26473e+00, Loss_b: 1.72834e-02, Loss_f: 1.24212e-01
Iter: 200, Loss: 7.43358e+00, Loss_0: 5.64947e-04, Loss_1: 7.33690e+00, Loss_b: 5.57049e-03, Loss_f: 9.05501e-02
Iter: 300, Loss: 1.42787e+00, Loss_0: 8.38399e-05, Loss_1: 1.18563e+00, Loss_b: 1.87120e-03, Loss_f: 2.40286e-01
Iter: 400, Loss: 6.36960e-01, Loss_0: 2.16508e-04, Loss_1: 4.61959e-01, Loss_b: 7.34469e-04, Loss_f: 1.74051e-01
Iter: 500, Loss: 5.30489e-01, Loss_0: 3.50888e-04, Loss_1: 3.90958e-01, Loss_b: 2.91344e-03, Loss_f: 1.36267e-01
Iter: 600, Loss: 3.35941e-01, Loss_0: 2.56239e-04, Loss_1: 2.31254e-01, Loss_b: 8.62162e-05, Loss_f: 1.04345e-01
Iter: 700, Loss: 3.13557e-01, Loss_0: 4.76734e-04, Loss_1: 2.17935e-01, Loss_b: 1.62140e-04, Loss_f: 9.49840e-02
Iter: 800, Loss: 2.60369e-01, Loss_0: 1.80011e-04, Loss_1: 1.85255e-01, Loss_b: 1.37796e-04, Loss_f: 7.47962e-02
Iter: 900, Loss: 2.89164e-01, Loss_0: 2.84224e-04, Loss_1: 2.11301e-01, Loss_b: 4.67051e-05, Loss_f: 7.75321e-02
Iter: 1000, Loss: 3.35478e-01, Loss_0: 5.41764e-04, Loss_1: 2.16876e-01, Loss_b: 1.24498e-03, Loss_f: 1.16816e-01
Iter: 1100, Loss: 1.89663e-01, Loss_0: 4.12732e-05, Loss_1: 1.35472e-01, Loss_b: 1.24552e-04, Loss_f: 5.40250e-02
Iter: 1200, Loss: 1.75514e-01, Loss_0: 2.59911e-05, Loss_1: 1.27867e-01, Loss_b: 9.52592e-05, Loss_f: 4.75258e-02
Iter: 1300, Loss: 1.72589e-01, Loss_0: 2.93354e-05, Loss_1: 1.27762e-01, Loss_b: 7.79526e-05, Loss_f: 4.47193e-02
Iter: 1400, Loss: 1.96091e-01, Loss_0: 8.35419e-05, Loss_1: 1.48907e-01, Loss_b: 2.31930e-05, Loss_f: 4.70765e-02
Iter: 1500, Loss: 1.46774e+00, Loss_0: 1.56610e-03, Loss_1: 1.98244e-01, Loss_b: 1.09196e-02, Loss_f: 1.25701e+00
