Start Training:
Iter: 0, Loss: 2.87605e+01, Loss_0: 1.00473e+00, Loss_1: 2.58116e+01, Loss_b: 1.11777e+00, Loss_f: 8.26355e-01
Iter: 100, Loss: 9.36505e+00, Loss_0: 9.15383e-01, Loss_1: 8.11774e+00, Loss_b: 1.93165e-02, Loss_f: 3.12611e-01
Iter: 200, Loss: 6.24734e+00, Loss_0: 9.38366e-01, Loss_1: 5.12309e+00, Loss_b: 3.89937e-04, Loss_f: 1.85486e-01
Iter: 300, Loss: 4.02185e+00, Loss_0: 9.29805e-01, Loss_1: 2.84859e+00, Loss_b: 4.81736e-04, Loss_f: 2.42972e-01
Iter: 400, Loss: 3.38057e+00, Loss_0: 9.05595e-01, Loss_1: 2.18544e+00, Loss_b: 6.67574e-03, Loss_f: 2.82851e-01
Iter: 500, Loss: 2.78948e+00, Loss_0: 8.97641e-01, Loss_1: 1.71113e+00, Loss_b: 2.20794e-04, Loss_f: 1.80489e-01
Iter: 600, Loss: 2.49572e+00, Loss_0: 8.93977e-01, Loss_1: 1.44156e+00, Loss_b: 1.74752e-04, Loss_f: 1.60007e-01
Iter: 700, Loss: 2.31977e+00, Loss_0: 8.92027e-01, Loss_1: 1.28563e+00, Loss_b: 9.78472e-04, Loss_f: 1.41138e-01
Iter: 800, Loss: 2.44342e+00, Loss_0: 9.18424e-01, Loss_1: 1.34679e+00, Loss_b: 2.36191e-04, Loss_f: 1.77970e-01
Iter: 900, Loss: 2.05733e+00, Loss_0: 8.86364e-01, Loss_1: 1.02953e+00, Loss_b: 2.85437e-04, Loss_f: 1.41147e-01
Iter: 1000, Loss: 2.23221e+00, Loss_0: 8.93837e-01, Loss_1: 1.16880e+00, Loss_b: 1.22443e-03, Loss_f: 1.68350e-01
Iter: 1100, Loss: 2.11932e+00, Loss_0: 8.85157e-01, Loss_1: 1.09028e+00, Loss_b: 1.80030e-04, Loss_f: 1.43701e-01
Iter: 1200, Loss: 2.07563e+00, Loss_0: 8.91551e-01, Loss_1: 9.38862e-01, Loss_b: 5.76697e-04, Loss_f: 2.44644e-01
Iter: 1300, Loss: 1.88683e+00, Loss_0: 8.79097e-01, Loss_1: 8.92140e-01, Loss_b: 1.57510e-04, Loss_f: 1.15434e-01
Iter: 1400, Loss: 1.80590e+00, Loss_0: 8.78934e-01, Loss_1: 8.21664e-01, Loss_b: 1.17273e-04, Loss_f: 1.05188e-01
Iter: 1500, Loss: 1.69168e+00, Loss_0: 8.75879e-01, Loss_1: 7.18704e-01, Loss_b: 1.89314e-04, Loss_f: 9.69126e-02
Iter: 1600, Loss: 1.62429e+00, Loss_0: 8.74294e-01, Loss_1: 6.59567e-01, Loss_b: 3.73108e-05, Loss_f: 9.03878e-02
Iter: 1700, Loss: 1.59205e+00, Loss_0: 8.73111e-01, Loss_1: 6.41670e-01, Loss_b: 1.35429e-05, Loss_f: 7.72556e-02
Iter: 1800, Loss: 1.65656e+00, Loss_0: 8.74096e-01, Loss_1: 6.70715e-01, Loss_b: 2.30665e-05, Loss_f: 1.11723e-01
Iter: 1900, Loss: 1.59064e+00, Loss_0: 8.72796e-01, Loss_1: 6.25662e-01, Loss_b: 2.44223e-04, Loss_f: 9.19421e-02
Iter: 2000, Loss: 1.48272e+00, Loss_0: 8.69623e-01, Loss_1: 5.43324e-01, Loss_b: 1.07657e-04, Loss_f: 6.96670e-02
Iter: 2100, Loss: 2.77919e+00, Loss_0: 8.74028e-01, Loss_1: 4.98789e-01, Loss_b: 6.79832e-05, Loss_f: 1.40630e+00
Iter: 2200, Loss: 1.45088e+00, Loss_0: 8.68275e-01, Loss_1: 5.23177e-01, Loss_b: 1.01413e-04, Loss_f: 5.93238e-02
Iter: 2300, Loss: 1.37633e+00, Loss_0: 8.67310e-01, Loss_1: 4.46622e-01, Loss_b: 2.42212e-05, Loss_f: 6.23742e-02
Iter: 2400, Loss: 1.35815e+00, Loss_0: 8.66376e-01, Loss_1: 4.36498e-01, Loss_b: 6.62023e-05, Loss_f: 5.52138e-02
Iter: 2500, Loss: 1.41156e+00, Loss_0: 8.79848e-01, Loss_1: 4.45107e-01, Loss_b: 8.80135e-05, Loss_f: 8.65122e-02
Iter: 2600, Loss: 1.30818e+00, Loss_0: 8.64559e-01, Loss_1: 3.87034e-01, Loss_b: 3.11940e-05, Loss_f: 5.65540e-02
Iter: 2700, Loss: 1.41199e+00, Loss_0: 8.89368e-01, Loss_1: 4.13734e-01, Loss_b: 3.42703e-06, Loss_f: 1.08889e-01
Iter: 2800, Loss: 1.28390e+00, Loss_0: 8.62705e-01, Loss_1: 3.71428e-01, Loss_b: 7.44544e-06, Loss_f: 4.97625e-02
Iter: 2900, Loss: 1.24514e+00, Loss_0: 8.61686e-01, Loss_1: 3.33840e-01, Loss_b: 1.96594e-06, Loss_f: 4.96078e-02
Iter: 3000, Loss: 1.22335e+00, Loss_0: 8.60690e-01, Loss_1: 3.16275e-01, Loss_b: 9.52221e-06, Loss_f: 4.63742e-02
Iter: 3100, Loss: 1.21198e+00, Loss_0: 8.59933e-01, Loss_1: 3.07606e-01, Loss_b: 1.27041e-05, Loss_f: 4.44297e-02
Iter: 3200, Loss: 1.20960e+00, Loss_0: 8.58883e-01, Loss_1: 3.05215e-01, Loss_b: 6.23779e-05, Loss_f: 4.54408e-02
Iter: 3300, Loss: 1.28885e+00, Loss_0: 8.59644e-01, Loss_1: 3.70171e-01, Loss_b: 2.09490e-04, Loss_f: 5.88272e-02
Iter: 3400, Loss: 1.16135e+00, Loss_0: 8.57322e-01, Loss_1: 2.63294e-01, Loss_b: 1.56375e-05, Loss_f: 4.07158e-02
Iter: 3500, Loss: 1.14497e+00, Loss_0: 8.56709e-01, Loss_1: 2.49129e-01, Loss_b: 9.05056e-06, Loss_f: 3.91235e-02
