Start Training:
Iter: 0, Loss: 2.99494e-01, Loss_0: 7.25252e-02, Loss_1: 7.81828e-02, Loss_b: 1.41401e-01, Loss_f: 7.38542e-03
Iter: 100, Loss: 2.55338e-02, Loss_0: 4.11301e-04, Loss_1: 2.48964e-02, Loss_b: 8.47086e-05, Loss_f: 1.41375e-04
Iter: 200, Loss: 1.53452e-02, Loss_0: 4.10894e-04, Loss_1: 1.39006e-02, Loss_b: 5.55794e-05, Loss_f: 9.78141e-04
Iter: 300, Loss: 3.03725e-03, Loss_0: 4.09026e-04, Loss_1: 1.68633e-03, Loss_b: 2.07788e-04, Loss_f: 7.34104e-04
Iter: 400, Loss: 2.00853e-03, Loss_0: 4.09226e-04, Loss_1: 1.01522e-03, Loss_b: 1.53267e-04, Loss_f: 4.30815e-04
Iter: 500, Loss: 1.64532e-03, Loss_0: 4.10934e-04, Loss_1: 7.77919e-04, Loss_b: 8.20606e-05, Loss_f: 3.74407e-04
Iter: 600, Loss: 1.23511e-03, Loss_0: 4.15213e-04, Loss_1: 5.05077e-04, Loss_b: 4.05508e-05, Loss_f: 2.74267e-04
Iter: 700, Loss: 9.50375e-04, Loss_0: 4.09165e-04, Loss_1: 2.97477e-04, Loss_b: 2.59684e-05, Loss_f: 2.17764e-04
Iter: 800, Loss: 9.47361e-04, Loss_0: 4.34135e-04, Loss_1: 2.57055e-04, Loss_b: 5.32969e-05, Loss_f: 2.02874e-04
Iter: 900, Loss: 8.31810e-04, Loss_0: 4.09124e-04, Loss_1: 2.14915e-04, Loss_b: 1.52452e-05, Loss_f: 1.92526e-04
Iter: 1000, Loss: 9.90028e-04, Loss_0: 4.91425e-04, Loss_1: 1.95004e-04, Loss_b: 1.18704e-04, Loss_f: 1.84895e-04
Iter: 1100, Loss: 7.44965e-04, Loss_0: 4.09139e-04, Loss_1: 1.56635e-04, Loss_b: 1.05300e-05, Loss_f: 1.68661e-04
Iter: 1200, Loss: 7.01796e-04, Loss_0: 4.09121e-04, Loss_1: 1.28715e-04, Loss_b: 8.77701e-06, Loss_f: 1.55183e-04
Iter: 1300, Loss: 1.49751e-03, Loss_0: 6.90764e-04, Loss_1: 1.74035e-04, Loss_b: 4.73480e-04, Loss_f: 1.59230e-04
Iter: 1400, Loss: 6.10539e-04, Loss_0: 4.09128e-04, Loss_1: 7.66506e-05, Loss_b: 7.23284e-06, Loss_f: 1.17528e-04
Iter: 1500, Loss: 5.84183e-04, Loss_0: 4.09082e-04, Loss_1: 5.97786e-05, Loss_b: 6.95116e-06, Loss_f: 1.08372e-04
Iter: 1600, Loss: 5.72707e-04, Loss_0: 4.09963e-04, Loss_1: 4.87327e-05, Loss_b: 9.11468e-06, Loss_f: 1.04896e-04
Iter: 1700, Loss: 1.39231e-03, Loss_0: 6.33311e-04, Loss_1: 9.14732e-05, Loss_b: 5.04628e-04, Loss_f: 1.62897e-04
Iter: 1800, Loss: 6.97814e-04, Loss_0: 4.46158e-04, Loss_1: 4.60987e-05, Loss_b: 8.83395e-05, Loss_f: 1.17217e-04
Iter: 1900, Loss: 5.18490e-04, Loss_0: 4.09064e-04, Loss_1: 2.66284e-05, Loss_b: 7.62042e-06, Loss_f: 7.51770e-05
Iter: 2000, Loss: 5.15628e-04, Loss_0: 4.11364e-04, Loss_1: 2.43120e-05, Loss_b: 1.35496e-05, Loss_f: 6.64030e-05
Iter: 2100, Loss: 5.33103e-04, Loss_0: 4.10764e-04, Loss_1: 1.61319e-05, Loss_b: 1.92579e-05, Loss_f: 8.69499e-05
Iter: 2200, Loss: 4.81658e-04, Loss_0: 4.10266e-04, Loss_1: 1.59687e-05, Loss_b: 1.18796e-05, Loss_f: 4.35434e-05
Iter: 2300, Loss: 8.05156e-04, Loss_0: 4.89962e-04, Loss_1: 4.87166e-05, Loss_b: 2.18750e-04, Loss_f: 4.77267e-05
Iter: 2400, Loss: 4.67697e-04, Loss_0: 4.09246e-04, Loss_1: 1.46496e-05, Loss_b: 1.05832e-05, Loss_f: 3.32182e-05
Iter: 2500, Loss: 4.87633e-04, Loss_0: 4.09193e-04, Loss_1: 1.27074e-05, Loss_b: 1.28358e-05, Loss_f: 5.28968e-05
Iter: 2600, Loss: 4.67546e-04, Loss_0: 4.10786e-04, Loss_1: 1.25191e-05, Loss_b: 1.30171e-05, Loss_f: 3.12243e-05
Iter: 2700, Loss: 4.63987e-04, Loss_0: 4.09183e-04, Loss_1: 1.00043e-05, Loss_b: 1.03993e-05, Loss_f: 3.44000e-05
Iter: 2800, Loss: 5.47506e-04, Loss_0: 4.26982e-04, Loss_1: 2.08763e-05, Loss_b: 1.17599e-05, Loss_f: 8.78876e-05
Iter: 2900, Loss: 5.07189e-04, Loss_0: 4.10440e-04, Loss_1: 1.13629e-05, Loss_b: 1.98420e-05, Loss_f: 6.55445e-05
Iter: 3000, Loss: 4.81655e-04, Loss_0: 4.09195e-04, Loss_1: 9.77726e-06, Loss_b: 1.03441e-05, Loss_f: 5.23380e-05
Iter: 3100, Loss: 4.55746e-04, Loss_0: 4.08973e-04, Loss_1: 1.40461e-05, Loss_b: 8.87681e-06, Loss_f: 2.38500e-05
Iter: 3200, Loss: 4.51255e-04, Loss_0: 4.09219e-04, Loss_1: 9.77589e-06, Loss_b: 1.01947e-05, Loss_f: 2.20661e-05
Iter: 3300, Loss: 4.51653e-04, Loss_0: 4.09091e-04, Loss_1: 7.38420e-06, Loss_b: 1.05592e-05, Loss_f: 2.46189e-05
Iter: 3400, Loss: 4.48248e-04, Loss_0: 4.08997e-04, Loss_1: 7.00076e-06, Loss_b: 9.89693e-06, Loss_f: 2.23535e-05
Iter: 3500, Loss: 4.48244e-04, Loss_0: 4.09119e-04, Loss_1: 7.20031e-06, Loss_b: 9.91924e-06, Loss_f: 2.20054e-05
Iter: 3600, Loss: 4.93003e-04, Loss_0: 4.22508e-04, Loss_1: 8.96908e-06, Loss_b: 3.78255e-05, Loss_f: 2.36998e-05
Iter: 3700, Loss: 4.56251e-04, Loss_0: 4.10127e-04, Loss_1: 1.00915e-05, Loss_b: 9.84746e-06, Loss_f: 2.61846e-05
Iter: 3800, Loss: 4.47895e-04, Loss_0: 4.09196e-04, Loss_1: 7.01451e-06, Loss_b: 1.00709e-05, Loss_f: 2.16140e-05
Iter: 3900, Loss: 4.48200e-04, Loss_0: 4.08992e-04, Loss_1: 8.56959e-06, Loss_b: 9.47184e-06, Loss_f: 2.11661e-05
Iter: 4000, Loss: 4.58835e-04, Loss_0: 4.12278e-04, Loss_1: 5.65250e-06, Loss_b: 2.04496e-05, Loss_f: 2.04547e-05
Iter: 4100, Loss: 4.72371e-04, Loss_0: 4.12422e-04, Loss_1: 6.46259e-06, Loss_b: 3.34306e-05, Loss_f: 2.00565e-05
Iter: 4200, Loss: 4.48211e-04, Loss_0: 4.09418e-04, Loss_1: 8.29225e-06, Loss_b: 1.20469e-05, Loss_f: 1.84539e-05
Iter: 4300, Loss: 4.43542e-04, Loss_0: 4.08964e-04, Loss_1: 6.45997e-06, Loss_b: 9.83084e-06, Loss_f: 1.82880e-05
Iter: 4400, Loss: 4.67103e-04, Loss_0: 4.08907e-04, Loss_1: 5.62277e-06, Loss_b: 2.09475e-05, Loss_f: 3.16263e-05
Iter: 4500, Loss: 6.32100e-04, Loss_0: 4.13939e-04, Loss_1: 1.84430e-05, Loss_b: 2.55614e-05, Loss_f: 1.74156e-04
Iter: 4600, Loss: 4.46436e-04, Loss_0: 4.09844e-04, Loss_1: 5.86687e-06, Loss_b: 1.27656e-05, Loss_f: 1.79593e-05
Iter: 4700, Loss: 5.05483e-04, Loss_0: 4.15101e-04, Loss_1: 5.53277e-06, Loss_b: 5.58775e-05, Loss_f: 2.89719e-05
Iter: 4800, Loss: 4.44652e-04, Loss_0: 4.09540e-04, Loss_1: 5.40440e-06, Loss_b: 1.27024e-05, Loss_f: 1.70055e-05
Iter: 4900, Loss: 4.40948e-04, Loss_0: 4.08927e-04, Loss_1: 5.71440e-06, Loss_b: 9.77805e-06, Loss_f: 1.65279e-05
Iter: 5000, Loss: 4.51700e-04, Loss_0: 4.11403e-04, Loss_1: 5.85652e-06, Loss_b: 1.65852e-05, Loss_f: 1.78553e-05
Iter: 5100, Loss: 4.62216e-04, Loss_0: 4.09044e-04, Loss_1: 4.45194e-06, Loss_b: 1.24827e-05, Loss_f: 3.62379e-05
Iter: 5200, Loss: 4.40584e-04, Loss_0: 4.09123e-04, Loss_1: 5.75444e-06, Loss_b: 9.46157e-06, Loss_f: 1.62447e-05
Iter: 5300, Loss: 4.48147e-04, Loss_0: 4.09027e-04, Loss_1: 1.13789e-05, Loss_b: 1.12071e-05, Loss_f: 1.65338e-05
Iter: 5400, Loss: 4.79669e-04, Loss_0: 4.08980e-04, Loss_1: 4.02011e-06, Loss_b: 2.23625e-05, Loss_f: 4.43056e-05
Iter: 5500, Loss: 4.52315e-04, Loss_0: 4.10149e-04, Loss_1: 4.70437e-06, Loss_b: 2.01468e-05, Loss_f: 1.73145e-05
