Start Training:
Iter: 0, Loss: 5.15590e-01, Loss_0: 1.19162e-02, Loss_1: 6.88931e-02, Loss_b: 4.28989e-01, Loss_f: 5.79187e-03
Iter: 100, Loss: 2.30722e-02, Loss_0: 2.16634e-06, Loss_1: 2.29568e-02, Loss_b: 4.87284e-05, Loss_f: 6.44969e-05
Iter: 200, Loss: 2.24389e-02, Loss_0: 2.94357e-06, Loss_1: 2.23768e-02, Loss_b: 2.71274e-05, Loss_f: 3.20343e-05
Iter: 300, Loss: 2.11995e-02, Loss_0: 3.78519e-06, Loss_1: 2.11332e-02, Loss_b: 1.41676e-05, Loss_f: 4.83524e-05
Iter: 400, Loss: 1.77834e-02, Loss_0: 1.35705e-05, Loss_1: 1.75454e-02, Loss_b: 2.36176e-06, Loss_f: 2.22043e-04
Iter: 500, Loss: 1.25262e-02, Loss_0: 1.36157e-05, Loss_1: 1.20229e-02, Loss_b: 3.14683e-05, Loss_f: 4.58235e-04
Iter: 600, Loss: 9.84672e-03, Loss_0: 2.69311e-06, Loss_1: 9.56192e-03, Loss_b: 8.32837e-05, Loss_f: 1.98822e-04
Iter: 700, Loss: 7.13397e-03, Loss_0: 2.65801e-06, Loss_1: 6.80306e-03, Loss_b: 1.17337e-04, Loss_f: 2.10909e-04
Iter: 800, Loss: 4.21111e-03, Loss_0: 2.33924e-04, Loss_1: 3.45960e-03, Loss_b: 1.15464e-04, Loss_f: 4.02126e-04
Iter: 900, Loss: 2.37462e-03, Loss_0: 1.69959e-06, Loss_1: 1.94067e-03, Loss_b: 2.37430e-06, Loss_f: 4.29875e-04
Iter: 1000, Loss: 1.54431e-03, Loss_0: 2.03049e-06, Loss_1: 1.13509e-03, Loss_b: 5.64579e-06, Loss_f: 4.01536e-04
Iter: 1100, Loss: 6.58340e-04, Loss_0: 2.12254e-06, Loss_1: 4.20866e-04, Loss_b: 2.08725e-09, Loss_f: 2.35350e-04
Iter: 1200, Loss: 1.27100e-03, Loss_0: 2.93080e-04, Loss_1: 3.22821e-04, Loss_b: 4.24976e-04, Loss_f: 2.30120e-04
Iter: 1300, Loss: 3.78158e-04, Loss_0: 1.62130e-06, Loss_1: 1.48457e-04, Loss_b: 3.32421e-07, Loss_f: 2.27748e-04
Iter: 1400, Loss: 3.18190e-04, Loss_0: 1.56872e-06, Loss_1: 1.09064e-04, Loss_b: 2.86211e-07, Loss_f: 2.07271e-04
Iter: 1500, Loss: 2.69967e-04, Loss_0: 1.67539e-06, Loss_1: 8.74027e-05, Loss_b: 2.55431e-07, Loss_f: 1.80634e-04
Iter: 1600, Loss: 2.19240e-04, Loss_0: 1.48930e-06, Loss_1: 6.39300e-05, Loss_b: 4.43732e-07, Loss_f: 1.53377e-04
Iter: 1700, Loss: 1.77006e-04, Loss_0: 2.23811e-06, Loss_1: 4.92172e-05, Loss_b: 7.93424e-07, Loss_f: 1.24757e-04
Iter: 1800, Loss: 1.30960e-04, Loss_0: 1.31401e-06, Loss_1: 3.53684e-05, Loss_b: 3.86847e-07, Loss_f: 9.38910e-05
Iter: 1900, Loss: 9.52477e-05, Loss_0: 1.34962e-06, Loss_1: 2.65900e-05, Loss_b: 2.97299e-07, Loss_f: 6.70108e-05
Iter: 2000, Loss: 8.09346e-05, Loss_0: 2.95021e-06, Loss_1: 2.41996e-05, Loss_b: 2.34389e-07, Loss_f: 5.35504e-05
Iter: 2100, Loss: 6.30587e-05, Loss_0: 1.11930e-06, Loss_1: 1.84716e-05, Loss_b: 1.82401e-07, Loss_f: 4.32854e-05
Iter: 2200, Loss: 1.13350e-04, Loss_0: 3.40167e-05, Loss_1: 2.03309e-05, Loss_b: 3.31407e-06, Loss_f: 5.56886e-05
Iter: 2300, Loss: 2.14911e-04, Loss_0: 7.07623e-06, Loss_1: 1.90051e-05, Loss_b: 1.48940e-04, Loss_f: 3.98890e-05
Iter: 2400, Loss: 4.28429e-05, Loss_0: 9.59653e-07, Loss_1: 1.24354e-05, Loss_b: 2.91161e-08, Loss_f: 2.94188e-05
Iter: 2500, Loss: 4.12649e-04, Loss_0: 3.96769e-06, Loss_1: 6.75720e-05, Loss_b: 3.08220e-04, Loss_f: 3.28892e-05
Iter: 2600, Loss: 3.62594e-05, Loss_0: 8.05645e-07, Loss_1: 9.72931e-06, Loss_b: 2.62674e-08, Loss_f: 2.56982e-05
Iter: 2700, Loss: 6.05143e-05, Loss_0: 5.69335e-06, Loss_1: 1.69847e-05, Loss_b: 1.17829e-05, Loss_f: 2.60534e-05
Iter: 2800, Loss: 4.12148e-05, Loss_0: 1.54302e-06, Loss_1: 6.97808e-06, Loss_b: 8.25316e-06, Loss_f: 2.44405e-05
Iter: 2900, Loss: 2.04881e-03, Loss_0: 4.01218e-04, Loss_1: 1.92353e-04, Loss_b: 1.20692e-03, Loss_f: 2.48311e-04
Iter: 3000, Loss: 2.87158e-05, Loss_0: 6.44362e-07, Loss_1: 6.84015e-06, Loss_b: 3.02314e-08, Loss_f: 2.12010e-05
Iter: 3100, Loss: 1.55881e-04, Loss_0: 1.81057e-06, Loss_1: 2.72063e-05, Loss_b: 1.04335e-04, Loss_f: 2.25294e-05
Iter: 3200, Loss: 5.54803e-05, Loss_0: 4.79606e-06, Loss_1: 1.12022e-05, Loss_b: 1.93939e-05, Loss_f: 2.00881e-05
Iter: 3300, Loss: 2.47403e-05, Loss_0: 5.64338e-07, Loss_1: 5.15980e-06, Loss_b: 6.31696e-08, Loss_f: 1.89529e-05
Iter: 3400, Loss: 2.80168e-05, Loss_0: 5.44140e-07, Loss_1: 5.70634e-06, Loss_b: 3.25968e-06, Loss_f: 1.85066e-05
Iter: 3500, Loss: 2.04063e-03, Loss_0: 2.34309e-04, Loss_1: 2.15989e-04, Loss_b: 1.45782e-03, Loss_f: 1.32512e-04
Iter: 3600, Loss: 2.22010e-05, Loss_0: 5.05176e-07, Loss_1: 4.37963e-06, Loss_b: 8.79615e-08, Loss_f: 1.72282e-05
Iter: 3700, Loss: 2.24358e-05, Loss_0: 4.82942e-07, Loss_1: 4.40624e-06, Loss_b: 9.49074e-07, Loss_f: 1.65976e-05
Iter: 3800, Loss: 2.09436e-05, Loss_0: 4.47953e-07, Loss_1: 3.82058e-06, Loss_b: 3.98774e-07, Loss_f: 1.62763e-05
