Start Training:
Iter: 0, Loss: 1.23626e+01, Loss_0: 9.35395e-03, Loss_1: 1.21057e+01, Loss_b: 1.81675e-01, Loss_f: 6.58018e-02
Iter: 100, Loss: 4.07120e+00, Loss_0: 2.48044e-04, Loss_1: 3.85462e+00, Loss_b: 1.84966e-03, Loss_f: 2.14479e-01
Iter: 200, Loss: 3.20364e+00, Loss_0: 6.90089e-04, Loss_1: 2.90703e+00, Loss_b: 2.03464e-04, Loss_f: 2.95714e-01
Iter: 300, Loss: 1.57963e+00, Loss_0: 1.67218e-04, Loss_1: 1.45018e+00, Loss_b: 2.75668e-04, Loss_f: 1.29007e-01
Iter: 400, Loss: 8.08189e-01, Loss_0: 4.85362e-04, Loss_1: 6.98627e-01, Loss_b: 5.01711e-04, Loss_f: 1.08575e-01
Iter: 500, Loss: 6.71339e-01, Loss_0: 1.46993e-04, Loss_1: 4.14010e-01, Loss_b: 4.80603e-04, Loss_f: 2.56701e-01
Iter: 600, Loss: 4.00384e-01, Loss_0: 6.05177e-04, Loss_1: 3.39053e-01, Loss_b: 1.10551e-03, Loss_f: 5.96206e-02
Iter: 700, Loss: 2.88399e-01, Loss_0: 1.28057e-04, Loss_1: 2.44324e-01, Loss_b: 2.04763e-04, Loss_f: 4.37424e-02
Iter: 800, Loss: 2.72228e-01, Loss_0: 1.50401e-04, Loss_1: 2.28277e-01, Loss_b: 1.33076e-04, Loss_f: 4.36677e-02
Iter: 900, Loss: 2.23243e-01, Loss_0: 1.26431e-04, Loss_1: 1.85814e-01, Loss_b: 1.01036e-04, Loss_f: 3.72018e-02
Iter: 1000, Loss: 2.27534e-01, Loss_0: 1.63289e-04, Loss_1: 1.89783e-01, Loss_b: 7.24416e-05, Loss_f: 3.75149e-02
Iter: 1100, Loss: 1.97623e-01, Loss_0: 1.25647e-04, Loss_1: 1.65104e-01, Loss_b: 4.90898e-05, Loss_f: 3.23446e-02
Iter: 1200, Loss: 1.80775e-01, Loss_0: 1.20700e-04, Loss_1: 1.51081e-01, Loss_b: 5.27459e-05, Loss_f: 2.95203e-02
Iter: 1300, Loss: 1.89868e-01, Loss_0: 1.43315e-04, Loss_1: 1.54947e-01, Loss_b: 3.77726e-05, Loss_f: 3.47397e-02
Iter: 1400, Loss: 1.66623e-01, Loss_0: 1.23651e-04, Loss_1: 1.38832e-01, Loss_b: 4.14223e-05, Loss_f: 2.76258e-02
Iter: 1500, Loss: 1.80720e-01, Loss_0: 2.33123e-04, Loss_1: 1.50132e-01, Loss_b: 1.27951e-04, Loss_f: 3.02267e-02
