Start Training:
Iter: 0, Loss: 2.76547e+01, Loss_0: 2.34141e+00, Loss_1: 2.52506e+01, Loss_b: 3.36393e-02, Loss_f: 2.90790e-02
Iter: 100, Loss: 8.00096e+00, Loss_0: 1.56722e+00, Loss_1: 5.89619e+00, Loss_b: 5.59621e-03, Loss_f: 5.31952e-01
Iter: 200, Loss: 4.49085e+00, Loss_0: 1.59614e+00, Loss_1: 2.60576e+00, Loss_b: 1.21870e-03, Loss_f: 2.87740e-01
Iter: 300, Loss: 3.26661e+00, Loss_0: 1.56764e+00, Loss_1: 1.55125e+00, Loss_b: 4.92398e-04, Loss_f: 1.47222e-01
Iter: 400, Loss: 2.93553e+00, Loss_0: 1.56802e+00, Loss_1: 1.28012e+00, Loss_b: 2.93517e-04, Loss_f: 8.70916e-02
Iter: 500, Loss: 2.68584e+00, Loss_0: 1.56718e+00, Loss_1: 1.03050e+00, Loss_b: 6.20989e-04, Loss_f: 8.75373e-02
Iter: 600, Loss: 2.41810e+00, Loss_0: 1.56715e+00, Loss_1: 7.86353e-01, Loss_b: 2.55397e-05, Loss_f: 6.45733e-02
Iter: 700, Loss: 2.27560e+00, Loss_0: 1.56715e+00, Loss_1: 6.53493e-01, Loss_b: 1.57101e-05, Loss_f: 5.49444e-02
Iter: 800, Loss: 2.19501e+00, Loss_0: 1.56715e+00, Loss_1: 5.83152e-01, Loss_b: 9.30068e-06, Loss_f: 4.46913e-02
Iter: 900, Loss: 2.14155e+00, Loss_0: 1.56715e+00, Loss_1: 5.35560e-01, Loss_b: 1.52049e-05, Loss_f: 3.88258e-02
Iter: 1000, Loss: 2.10249e+00, Loss_0: 1.56715e+00, Loss_1: 5.01168e-01, Loss_b: 3.09629e-05, Loss_f: 3.41438e-02
Iter: 1100, Loss: 2.05772e+00, Loss_0: 1.56715e+00, Loss_1: 4.60178e-01, Loss_b: 2.55574e-05, Loss_f: 3.03687e-02
Iter: 1200, Loss: 2.00989e+00, Loss_0: 1.56716e+00, Loss_1: 4.15861e-01, Loss_b: 1.26242e-04, Loss_f: 2.67437e-02
Iter: 1300, Loss: 1.96089e+00, Loss_0: 1.56715e+00, Loss_1: 3.67780e-01, Loss_b: 1.54251e-05, Loss_f: 2.59374e-02
Iter: 1400, Loss: 1.91734e+00, Loss_0: 1.56717e+00, Loss_1: 3.21224e-01, Loss_b: 1.53480e-05, Loss_f: 2.89288e-02
Iter: 1500, Loss: 1.86367e+00, Loss_0: 1.56715e+00, Loss_1: 2.73756e-01, Loss_b: 8.90469e-05, Loss_f: 2.26700e-02
Iter: 1600, Loss: 1.81996e+00, Loss_0: 1.56715e+00, Loss_1: 2.30008e-01, Loss_b: 9.76751e-06, Loss_f: 2.27871e-02
Iter: 1700, Loss: 1.78024e+00, Loss_0: 1.56716e+00, Loss_1: 1.90236e-01, Loss_b: 4.49498e-05, Loss_f: 2.28013e-02
Iter: 1800, Loss: 1.75418e+00, Loss_0: 1.56717e+00, Loss_1: 1.61714e-01, Loss_b: 4.99506e-04, Loss_f: 2.47968e-02
Iter: 1900, Loss: 1.72432e+00, Loss_0: 1.56717e+00, Loss_1: 1.33494e-01, Loss_b: 1.47254e-04, Loss_f: 2.35131e-02
Iter: 2000, Loss: 1.70021e+00, Loss_0: 1.56716e+00, Loss_1: 1.12855e-01, Loss_b: 1.44604e-05, Loss_f: 2.01843e-02
Iter: 2100, Loss: 1.68032e+00, Loss_0: 1.56716e+00, Loss_1: 9.56068e-02, Loss_b: 1.59498e-05, Loss_f: 1.75359e-02
Iter: 2200, Loss: 1.67033e+00, Loss_0: 1.56715e+00, Loss_1: 8.59464e-02, Loss_b: 2.56066e-05, Loss_f: 1.72064e-02
Iter: 2300, Loss: 1.65554e+00, Loss_0: 1.56715e+00, Loss_1: 7.43793e-02, Loss_b: 1.08217e-05, Loss_f: 1.39994e-02
Iter: 2400, Loss: 1.65191e+00, Loss_0: 1.56721e+00, Loss_1: 6.90123e-02, Loss_b: 1.87402e-04, Loss_f: 1.55044e-02
Iter: 2500, Loss: 1.63893e+00, Loss_0: 1.56715e+00, Loss_1: 6.06416e-02, Loss_b: 4.67907e-06, Loss_f: 1.11365e-02
Iter: 2600, Loss: 1.64744e+00, Loss_0: 1.56716e+00, Loss_1: 6.07496e-02, Loss_b: 9.04876e-04, Loss_f: 1.86257e-02
Iter: 2700, Loss: 1.62911e+00, Loss_0: 1.56716e+00, Loss_1: 5.20153e-02, Loss_b: 9.22482e-06, Loss_f: 9.92876e-03
Iter: 2800, Loss: 1.62348e+00, Loss_0: 1.56715e+00, Loss_1: 4.82562e-02, Loss_b: 9.78627e-06, Loss_f: 8.06244e-03
Iter: 2900, Loss: 1.64875e+00, Loss_0: 1.56744e+00, Loss_1: 4.72286e-02, Loss_b: 1.31460e-04, Loss_f: 3.39541e-02
Iter: 3000, Loss: 1.61833e+00, Loss_0: 1.56715e+00, Loss_1: 4.33129e-02, Loss_b: 2.79069e-06, Loss_f: 7.85846e-03
Iter: 3100, Loss: 1.64189e+00, Loss_0: 1.56760e+00, Loss_1: 4.46920e-02, Loss_b: 9.14556e-04, Loss_f: 2.86859e-02
Iter: 3200, Loss: 1.61572e+00, Loss_0: 1.56715e+00, Loss_1: 4.04316e-02, Loss_b: 8.42290e-06, Loss_f: 8.12550e-03
Iter: 3300, Loss: 1.61357e+00, Loss_0: 1.56715e+00, Loss_1: 3.82136e-02, Loss_b: 2.14456e-05, Loss_f: 8.17613e-03
Iter: 3400, Loss: 1.61157e+00, Loss_0: 1.56715e+00, Loss_1: 3.73902e-02, Loss_b: 9.12242e-06, Loss_f: 7.02109e-03
Iter: 3500, Loss: 1.61647e+00, Loss_0: 1.56715e+00, Loss_1: 3.60567e-02, Loss_b: 2.09655e-05, Loss_f: 1.32402e-02
Iter: 3600, Loss: 1.60813e+00, Loss_0: 1.56716e+00, Loss_1: 3.45879e-02, Loss_b: 1.09740e-06, Loss_f: 6.37704e-03
Iter: 3700, Loss: 1.62535e+00, Loss_0: 1.56723e+00, Loss_1: 3.43524e-02, Loss_b: 1.40244e-05, Loss_f: 2.37552e-02
Iter: 3800, Loss: 1.60779e+00, Loss_0: 1.56717e+00, Loss_1: 3.26495e-02, Loss_b: 2.04160e-05, Loss_f: 7.94867e-03
Iter: 3900, Loss: 1.60487e+00, Loss_0: 1.56715e+00, Loss_1: 3.14532e-02, Loss_b: 1.47255e-06, Loss_f: 6.25864e-03
