Start Training:
Iter: 0, Loss: 1.26804e+01, Loss_0: 4.68101e-01, Loss_1: 1.18021e+01, Loss_b: 3.76850e-01, Loss_f: 3.32813e-02
Iter: 100, Loss: 5.91143e+00, Loss_0: 1.63878e-04, Loss_1: 5.85125e+00, Loss_b: 1.46719e-02, Loss_f: 4.53443e-02
Iter: 200, Loss: 4.97020e+00, Loss_0: 1.85107e-04, Loss_1: 4.84926e+00, Loss_b: 4.14981e-03, Loss_f: 1.16607e-01
Iter: 300, Loss: 3.72368e+00, Loss_0: 2.31880e-04, Loss_1: 3.65963e+00, Loss_b: 5.52241e-04, Loss_f: 6.32628e-02
Iter: 400, Loss: 1.25794e+00, Loss_0: 3.05529e-03, Loss_1: 1.03304e+00, Loss_b: 1.58430e-03, Loss_f: 2.20264e-01
Iter: 500, Loss: 5.08103e-01, Loss_0: 8.40682e-04, Loss_1: 3.99852e-01, Loss_b: 1.62878e-03, Loss_f: 1.05782e-01
Iter: 600, Loss: 3.43850e-01, Loss_0: 1.71458e-04, Loss_1: 2.61493e-01, Loss_b: 1.27341e-03, Loss_f: 8.09121e-02
Iter: 700, Loss: 3.09081e-01, Loss_0: 1.63392e-04, Loss_1: 2.37742e-01, Loss_b: 1.51737e-03, Loss_f: 6.96583e-02
Iter: 800, Loss: 2.82059e-01, Loss_0: 2.17377e-04, Loss_1: 2.17833e-01, Loss_b: 1.69337e-03, Loss_f: 6.23154e-02
Iter: 900, Loss: 3.38228e-01, Loss_0: 1.62097e-04, Loss_1: 2.58307e-01, Loss_b: 2.10427e-03, Loss_f: 7.76542e-02
Iter: 1000, Loss: 2.44073e-01, Loss_0: 1.59511e-04, Loss_1: 1.86486e-01, Loss_b: 1.62720e-03, Loss_f: 5.58009e-02
Iter: 1100, Loss: 2.46668e-01, Loss_0: 1.59358e-04, Loss_1: 1.93645e-01, Loss_b: 1.95451e-03, Loss_f: 5.09094e-02
Iter: 1200, Loss: 3.37446e-01, Loss_0: 8.07390e-03, Loss_1: 2.14499e-01, Loss_b: 1.63274e-02, Loss_f: 9.85449e-02
Iter: 1300, Loss: 1.98402e-01, Loss_0: 1.59695e-04, Loss_1: 1.52260e-01, Loss_b: 1.48668e-03, Loss_f: 4.44954e-02
Iter: 1400, Loss: 2.08370e-01, Loss_0: 1.61155e-04, Loss_1: 1.64744e-01, Loss_b: 1.77613e-03, Loss_f: 4.16889e-02
Iter: 1500, Loss: 2.23679e-01, Loss_0: 3.05046e-04, Loss_1: 1.69027e-01, Loss_b: 1.52494e-03, Loss_f: 5.28218e-02
Iter: 1600, Loss: 3.88687e-01, Loss_0: 3.87635e-03, Loss_1: 1.97382e-01, Loss_b: 6.21296e-03, Loss_f: 1.81215e-01
Iter: 1700, Loss: 1.71061e-01, Loss_0: 1.59879e-04, Loss_1: 1.34548e-01, Loss_b: 1.37403e-03, Loss_f: 3.49785e-02
Iter: 1800, Loss: 2.05225e-01, Loss_0: 2.99132e-04, Loss_1: 1.65718e-01, Loss_b: 1.36072e-03, Loss_f: 3.78473e-02
Iter: 1900, Loss: 1.52196e-01, Loss_0: 1.60332e-04, Loss_1: 1.17704e-01, Loss_b: 1.05660e-03, Loss_f: 3.32751e-02
Iter: 2000, Loss: 1.85651e-01, Loss_0: 2.05088e-04, Loss_1: 1.49878e-01, Loss_b: 1.37196e-03, Loss_f: 3.41964e-02
Iter: 2100, Loss: 1.42720e-01, Loss_0: 1.60707e-04, Loss_1: 1.10694e-01, Loss_b: 7.88996e-04, Loss_f: 3.10762e-02
Iter: 2200, Loss: 2.46321e-01, Loss_0: 5.31899e-04, Loss_1: 1.93019e-01, Loss_b: 1.46458e-03, Loss_f: 5.13057e-02
Iter: 2300, Loss: 1.56760e-01, Loss_0: 1.61079e-04, Loss_1: 1.23145e-01, Loss_b: 8.53597e-04, Loss_f: 3.26003e-02
Iter: 2400, Loss: 1.29980e-01, Loss_0: 1.61019e-04, Loss_1: 9.90706e-02, Loss_b: 5.23414e-04, Loss_f: 3.02250e-02
Iter: 2500, Loss: 1.57921e-01, Loss_0: 1.87373e-04, Loss_1: 1.27689e-01, Loss_b: 1.19341e-03, Loss_f: 2.88515e-02
Iter: 2600, Loss: 1.22070e-01, Loss_0: 1.60910e-04, Loss_1: 9.42523e-02, Loss_b: 4.07939e-04, Loss_f: 2.72485e-02
Iter: 2700, Loss: 1.79041e-01, Loss_0: 8.69167e-04, Loss_1: 1.36789e-01, Loss_b: 2.39163e-03, Loss_f: 3.89910e-02
Iter: 2800, Loss: 1.20249e-01, Loss_0: 1.61065e-04, Loss_1: 9.28084e-02, Loss_b: 3.37505e-04, Loss_f: 2.69419e-02
Iter: 2900, Loss: 2.04114e-01, Loss_0: 2.85302e-04, Loss_1: 1.32902e-01, Loss_b: 4.21970e-04, Loss_f: 7.05056e-02
Iter: 3000, Loss: 1.15483e-01, Loss_0: 1.61133e-04, Loss_1: 8.93305e-02, Loss_b: 3.06311e-04, Loss_f: 2.56855e-02
Iter: 3100, Loss: 2.53223e-01, Loss_0: 2.37889e-03, Loss_1: 1.52815e-01, Loss_b: 2.79238e-03, Loss_f: 9.52372e-02
Iter: 3200, Loss: 1.24073e-01, Loss_0: 1.61081e-04, Loss_1: 9.75731e-02, Loss_b: 4.21012e-04, Loss_f: 2.59174e-02
Iter: 3300, Loss: 1.05271e-01, Loss_0: 1.61027e-04, Loss_1: 8.05980e-02, Loss_b: 2.03398e-04, Loss_f: 2.43085e-02
Iter: 3400, Loss: 1.32245e-01, Loss_0: 1.61287e-04, Loss_1: 1.04169e-01, Loss_b: 2.34979e-04, Loss_f: 2.76796e-02
