Start Training:
Iter: 0, Loss: 1.23004e+01, Loss_0: 1.22251e+00, Loss_1: 1.08423e+01, Loss_b: 3.07454e-04, Loss_f: 2.35249e-01
Iter: 100, Loss: 5.73206e+00, Loss_0: 5.00123e-02, Loss_1: 5.63478e+00, Loss_b: 1.23977e-02, Loss_f: 3.48662e-02
Iter: 200, Loss: 4.18963e+00, Loss_0: 4.99958e-02, Loss_1: 4.00538e+00, Loss_b: 4.26125e-03, Loss_f: 1.29989e-01
Iter: 300, Loss: 2.35046e+00, Loss_0: 4.99960e-02, Loss_1: 2.13533e+00, Loss_b: 4.56948e-04, Loss_f: 1.64685e-01
Iter: 400, Loss: 7.14838e-01, Loss_0: 5.05977e-02, Loss_1: 5.52524e-01, Loss_b: 2.36223e-03, Loss_f: 1.09355e-01
Iter: 500, Loss: 4.64004e-01, Loss_0: 5.00903e-02, Loss_1: 3.01600e-01, Loss_b: 1.07111e-03, Loss_f: 1.11243e-01
Iter: 600, Loss: 2.91898e-01, Loss_0: 5.00064e-02, Loss_1: 1.83506e-01, Loss_b: 1.76425e-04, Loss_f: 5.82087e-02
Iter: 700, Loss: 7.61224e-01, Loss_0: 5.22169e-02, Loss_1: 2.28795e-01, Loss_b: 8.07786e-04, Loss_f: 4.79404e-01
Iter: 800, Loss: 2.95505e-01, Loss_0: 5.12859e-02, Loss_1: 1.90810e-01, Loss_b: 1.13518e-03, Loss_f: 5.22735e-02
Iter: 900, Loss: 2.74794e-01, Loss_0: 5.08760e-02, Loss_1: 1.74777e-01, Loss_b: 1.12439e-03, Loss_f: 4.80165e-02
Iter: 1000, Loss: 3.05692e-01, Loss_0: 5.01504e-02, Loss_1: 1.58845e-01, Loss_b: 1.13329e-03, Loss_f: 9.55625e-02
Iter: 1100, Loss: 2.51602e-01, Loss_0: 5.01171e-02, Loss_1: 1.62470e-01, Loss_b: 5.51650e-04, Loss_f: 3.84631e-02
Iter: 1200, Loss: 2.65689e-01, Loss_0: 5.00895e-02, Loss_1: 1.38745e-01, Loss_b: 7.41129e-05, Loss_f: 7.67803e-02
Iter: 1300, Loss: 2.71515e-01, Loss_0: 5.04110e-02, Loss_1: 1.68890e-01, Loss_b: 8.56524e-04, Loss_f: 5.13574e-02
Iter: 1400, Loss: 4.05736e-01, Loss_0: 5.00427e-02, Loss_1: 1.17215e-01, Loss_b: 3.08000e-04, Loss_f: 2.38170e-01
Iter: 1500, Loss: 1.92223e-01, Loss_0: 4.99957e-02, Loss_1: 1.14262e-01, Loss_b: 2.28237e-04, Loss_f: 2.77369e-02
Iter: 1600, Loss: 2.14277e-01, Loss_0: 5.00216e-02, Loss_1: 1.33246e-01, Loss_b: 4.82539e-04, Loss_f: 3.05269e-02
Iter: 1700, Loss: 1.75010e-01, Loss_0: 4.99882e-02, Loss_1: 9.91789e-02, Loss_b: 2.35003e-04, Loss_f: 2.56077e-02
Iter: 1800, Loss: 1.97507e-01, Loss_0: 4.99854e-02, Loss_1: 1.18123e-01, Loss_b: 2.90590e-04, Loss_f: 2.91075e-02
Iter: 1900, Loss: 1.92148e-01, Loss_0: 4.99950e-02, Loss_1: 1.15906e-01, Loss_b: 3.47665e-04, Loss_f: 2.58997e-02
Iter: 2000, Loss: 2.25865e-01, Loss_0: 4.99992e-02, Loss_1: 1.05999e-01, Loss_b: 4.38398e-04, Loss_f: 6.94291e-02
Iter: 2100, Loss: 3.82974e-01, Loss_0: 5.00666e-02, Loss_1: 8.78089e-02, Loss_b: 8.20670e-04, Loss_f: 2.44278e-01
Iter: 2200, Loss: 1.58500e-01, Loss_0: 4.99857e-02, Loss_1: 8.80575e-02, Loss_b: 3.06761e-04, Loss_f: 2.01502e-02
Iter: 2300, Loss: 1.80666e-01, Loss_0: 5.00801e-02, Loss_1: 1.04095e-01, Loss_b: 3.06598e-04, Loss_f: 2.61841e-02
Iter: 2400, Loss: 2.97329e-01, Loss_0: 5.17974e-02, Loss_1: 1.62755e-01, Loss_b: 9.68763e-03, Loss_f: 7.30887e-02
Iter: 2500, Loss: 1.62752e-01, Loss_0: 4.99888e-02, Loss_1: 9.26294e-02, Loss_b: 3.04308e-04, Loss_f: 1.98295e-02
Iter: 2600, Loss: 1.44583e-01, Loss_0: 4.99902e-02, Loss_1: 7.57982e-02, Loss_b: 2.66433e-04, Loss_f: 1.85286e-02
Iter: 2700, Loss: 1.46164e-01, Loss_0: 4.99874e-02, Loss_1: 7.82562e-02, Loss_b: 2.88502e-04, Loss_f: 1.76314e-02
Iter: 2800, Loss: 1.52446e-01, Loss_0: 5.00077e-02, Loss_1: 8.22972e-02, Loss_b: 2.86647e-04, Loss_f: 1.98543e-02
Iter: 2900, Loss: 2.08501e-01, Loss_0: 4.99912e-02, Loss_1: 8.61938e-02, Loss_b: 1.94640e-03, Loss_f: 7.03698e-02
Iter: 3000, Loss: 1.99288e-01, Loss_0: 5.01402e-02, Loss_1: 7.54214e-02, Loss_b: 1.24209e-03, Loss_f: 7.24845e-02
Iter: 3100, Loss: 1.47986e-01, Loss_0: 5.00186e-02, Loss_1: 7.30142e-02, Loss_b: 3.21750e-04, Loss_f: 2.46314e-02
Iter: 3200, Loss: 1.69165e-01, Loss_0: 5.03699e-02, Loss_1: 8.95926e-02, Loss_b: 5.39166e-04, Loss_f: 2.86635e-02
Iter: 3300, Loss: 1.27798e-01, Loss_0: 4.99861e-02, Loss_1: 6.29620e-02, Loss_b: 2.55567e-04, Loss_f: 1.45947e-02
Iter: 3400, Loss: 1.44123e-01, Loss_0: 4.99858e-02, Loss_1: 7.71415e-02, Loss_b: 2.27480e-04, Loss_f: 1.67683e-02
Iter: 3500, Loss: 1.55483e-01, Loss_0: 5.00216e-02, Loss_1: 7.20059e-02, Loss_b: 3.01575e-04, Loss_f: 3.31538e-02
Iter: 3600, Loss: 1.81445e-01, Loss_0: 5.03618e-02, Loss_1: 8.83698e-02, Loss_b: 8.94038e-04, Loss_f: 4.18196e-02
Iter: 3700, Loss: 1.24256e-01, Loss_0: 4.99833e-02, Loss_1: 6.06363e-02, Loss_b: 2.08365e-04, Loss_f: 1.34283e-02
Iter: 3800, Loss: 1.32330e-01, Loss_0: 5.00247e-02, Loss_1: 6.43723e-02, Loss_b: 3.05404e-04, Loss_f: 1.76280e-02
Iter: 3900, Loss: 2.12076e-01, Loss_0: 4.99860e-02, Loss_1: 9.46543e-02, Loss_b: 1.21474e-03, Loss_f: 6.62209e-02
Iter: 4000, Loss: 1.22133e-01, Loss_0: 4.99851e-02, Loss_1: 5.92194e-02, Loss_b: 1.68612e-04, Loss_f: 1.27596e-02
Iter: 4100, Loss: 1.51715e-01, Loss_0: 4.99906e-02, Loss_1: 7.99611e-02, Loss_b: 4.73379e-04, Loss_f: 2.12898e-02
Iter: 4200, Loss: 1.15805e-01, Loss_0: 4.99835e-02, Loss_1: 5.37662e-02, Loss_b: 1.81676e-04, Loss_f: 1.18738e-02
Iter: 4300, Loss: 1.20256e-01, Loss_0: 5.00016e-02, Loss_1: 5.78319e-02, Loss_b: 2.00320e-04, Loss_f: 1.22221e-02
Iter: 4400, Loss: 1.29528e-01, Loss_0: 5.00229e-02, Loss_1: 6.04706e-02, Loss_b: 1.48597e-04, Loss_f: 1.88858e-02
Iter: 4500, Loss: 1.43013e-01, Loss_0: 5.00302e-02, Loss_1: 5.64652e-02, Loss_b: 2.51046e-04, Loss_f: 3.62661e-02
Iter: 4600, Loss: 1.68865e-01, Loss_0: 5.00933e-02, Loss_1: 5.66724e-02, Loss_b: 4.13955e-04, Loss_f: 6.16857e-02
Iter: 4700, Loss: 2.44868e-01, Loss_0: 5.00132e-02, Loss_1: 4.55363e-02, Loss_b: 3.72463e-04, Loss_f: 1.48946e-01
Iter: 4800, Loss: 1.22354e-01, Loss_0: 4.99833e-02, Loss_1: 6.00625e-02, Loss_b: 1.64090e-04, Loss_f: 1.21443e-02
Iter: 4900, Loss: 1.08678e-01, Loss_0: 4.99859e-02, Loss_1: 4.78111e-02, Loss_b: 1.20604e-04, Loss_f: 1.07604e-02
Iter: 5000, Loss: 1.12530e-01, Loss_0: 4.99840e-02, Loss_1: 5.18345e-02, Loss_b: 1.72679e-04, Loss_f: 1.05388e-02
Iter: 5100, Loss: 1.02347e-01, Loss_0: 5.00194e-02, Loss_1: 4.01866e-02, Loss_b: 6.61804e-05, Loss_f: 1.20747e-02
Iter: 5200, Loss: 9.58825e-02, Loss_0: 4.99898e-02, Loss_1: 3.43336e-02, Loss_b: 7.14873e-05, Loss_f: 1.14876e-02
Iter: 5300, Loss: 8.98847e-02, Loss_0: 5.00301e-02, Loss_1: 3.01630e-02, Loss_b: 8.36585e-05, Loss_f: 9.60805e-03
Iter: 5400, Loss: 8.71509e-02, Loss_0: 4.99974e-02, Loss_1: 2.86203e-02, Loss_b: 3.45074e-05, Loss_f: 8.49868e-03
Iter: 5500, Loss: 8.44092e-02, Loss_0: 4.99885e-02, Loss_1: 2.61189e-02, Loss_b: 6.05154e-05, Loss_f: 8.24126e-03
Iter: 5600, Loss: 8.23400e-02, Loss_0: 4.99867e-02, Loss_1: 2.41465e-02, Loss_b: 4.73631e-05, Loss_f: 8.15947e-03
Iter: 5700, Loss: 8.01558e-02, Loss_0: 4.99943e-02, Loss_1: 2.24027e-02, Loss_b: 8.02785e-05, Loss_f: 7.67854e-03
Iter: 5800, Loss: 7.81441e-02, Loss_0: 4.99920e-02, Loss_1: 2.09580e-02, Loss_b: 6.61799e-05, Loss_f: 7.12789e-03
Iter: 5900, Loss: 7.68449e-02, Loss_0: 4.99931e-02, Loss_1: 1.98481e-02, Loss_b: 4.63587e-05, Loss_f: 6.95731e-03
