Start Training:
Iter: 0, Loss: 3.97310e-02, Loss0: 1.48839e-02, Loss_b: 1.07992e-02, Loss_f: 1.40480e-02, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.16660e-02, Loss0: 1.10850e-02, Loss_b: 1.38495e-04, Loss_f: 4.42513e-04, Loss_prev: 0.00000e+00
Iter: 200, Loss: 9.21968e-03, Loss0: 8.40609e-03, Loss_b: 5.62121e-05, Loss_f: 7.57380e-04, Loss_prev: 0.00000e+00
Iter: 300, Loss: 5.16402e-03, Loss0: 4.84613e-03, Loss_b: 1.24114e-04, Loss_f: 1.93772e-04, Loss_prev: 0.00000e+00
Iter: 400, Loss: 5.10357e-03, Loss0: 3.75923e-03, Loss_b: 1.03323e-03, Loss_f: 3.11114e-04, Loss_prev: 0.00000e+00
Iter: 500, Loss: 2.77255e-03, Loss0: 2.46175e-03, Loss_b: 3.71277e-05, Loss_f: 2.73672e-04, Loss_prev: 0.00000e+00
Iter: 600, Loss: 1.87902e-03, Loss0: 1.57639e-03, Loss_b: 1.54073e-05, Loss_f: 2.87225e-04, Loss_prev: 0.00000e+00
Iter: 700, Loss: 1.29382e-03, Loss0: 9.53101e-04, Loss_b: 5.25322e-06, Loss_f: 3.35465e-04, Loss_prev: 0.00000e+00
Iter: 800, Loss: 1.12437e-03, Loss0: 7.82904e-04, Loss_b: 6.77066e-06, Loss_f: 3.34698e-04, Loss_prev: 0.00000e+00
Iter: 900, Loss: 9.82333e-04, Loss0: 6.58495e-04, Loss_b: 1.37589e-06, Loss_f: 3.22462e-04, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 9.06487e-04, Loss0: 5.34537e-04, Loss_b: 1.25297e-04, Loss_f: 2.46652e-04, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 2.59013e-04, Loss0: 1.51394e-04, Loss_b: 1.97872e-06, Loss_f: 1.05640e-04, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 1.52582e-03, Loss0: 1.72433e-04, Loss_b: 1.28109e-03, Loss_f: 7.22978e-05, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 5.82622e-05, Loss0: 1.73645e-05, Loss_b: 1.14917e-06, Loss_f: 3.97486e-05, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 4.35148e-05, Loss0: 1.13402e-05, Loss_b: 7.29054e-07, Loss_f: 3.14456e-05, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 3.87542e-05, Loss0: 1.09612e-05, Loss_b: 1.72024e-06, Loss_f: 2.60728e-05, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 3.01421e-05, Loss0: 6.87094e-06, Loss_b: 4.27375e-07, Loss_f: 2.28438e-05, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 5.16761e-05, Loss0: 9.21769e-06, Loss_b: 2.22454e-05, Loss_f: 2.02131e-05, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 2.22039e-05, Loss0: 4.20576e-06, Loss_b: 2.45129e-07, Loss_f: 1.77530e-05, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 2.00331e-05, Loss0: 3.64094e-06, Loss_b: 1.69498e-07, Loss_f: 1.62226e-05, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 1.75066e-05, Loss0: 2.63093e-06, Loss_b: 1.87638e-07, Loss_f: 1.46880e-05, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 1.76078e-05, Loss0: 3.40970e-06, Loss_b: 9.81098e-07, Loss_f: 1.32170e-05, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 1.44019e-05, Loss0: 1.96061e-06, Loss_b: 1.21147e-07, Loss_f: 1.23201e-05, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 6.96530e-05, Loss0: 1.40202e-05, Loss_b: 4.21935e-05, Loss_f: 1.34393e-05, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 1.21435e-05, Loss0: 1.56648e-06, Loss_b: 8.72415e-08, Loss_f: 1.04898e-05, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 4.73844e-05, Loss0: 2.26358e-06, Loss_b: 3.54803e-07, Loss_f: 4.47660e-05, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 1.17437e-05, Loss0: 2.44076e-06, Loss_b: 2.65858e-07, Loss_f: 9.03713e-06, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 9.64738e-06, Loss0: 9.80797e-07, Loss_b: 5.38107e-08, Loss_f: 8.61278e-06, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 1.26851e-05, Loss0: 2.42523e-06, Loss_b: 2.25085e-06, Loss_f: 8.00905e-06, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 2.60727e-05, Loss0: 1.30728e-06, Loss_b: 6.04654e-08, Loss_f: 2.47050e-05, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 1.99917e-05, Loss0: 3.51290e-06, Loss_b: 8.42186e-06, Loss_f: 8.05697e-06, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 7.40617e-06, Loss0: 7.04627e-07, Loss_b: 3.76692e-08, Loss_f: 6.66387e-06, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 9.77940e-06, Loss0: 1.77552e-06, Loss_b: 1.72573e-06, Loss_f: 6.27815e-06, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 6.86734e-06, Loss0: 9.14448e-07, Loss_b: 5.04992e-08, Loss_f: 5.90239e-06, Loss_prev: 0.00000e+00
