Start Training:
Iter: 0, Loss: 3.12198e+01, Loss0: 2.33427e+01, Loss_b: 8.41262e-07, Loss_f: 1.53132e-03, Loss_prev: 7.87557e+00
Iter: 100, Loss: 7.95898e+00, Loss0: 5.04729e+00, Loss_b: 5.23029e-02, Loss_f: 1.62915e+00, Loss_prev: 1.23023e+00
Iter: 200, Loss: 1.78316e+00, Loss0: 5.91640e-01, Loss_b: 8.99935e-03, Loss_f: 6.34008e-01, Loss_prev: 5.48515e-01
Iter: 300, Loss: 1.30461e+00, Loss0: 3.71002e-01, Loss_b: 7.23094e-04, Loss_f: 4.45478e-01, Loss_prev: 4.87405e-01
Iter: 400, Loss: 1.14687e+00, Loss0: 3.32457e-01, Loss_b: 2.31955e-03, Loss_f: 3.51496e-01, Loss_prev: 4.60593e-01
Iter: 500, Loss: 1.06505e+00, Loss0: 3.13011e-01, Loss_b: 2.05999e-03, Loss_f: 3.11359e-01, Loss_prev: 4.38617e-01
Iter: 600, Loss: 1.05466e+00, Loss0: 2.95671e-01, Loss_b: 1.66973e-03, Loss_f: 3.33237e-01, Loss_prev: 4.24078e-01
Iter: 700, Loss: 9.58332e-01, Loss0: 2.83367e-01, Loss_b: 1.20418e-03, Loss_f: 2.64381e-01, Loss_prev: 4.09380e-01
Iter: 800, Loss: 9.21321e-01, Loss0: 2.71549e-01, Loss_b: 8.37066e-04, Loss_f: 2.47663e-01, Loss_prev: 4.01271e-01
Iter: 900, Loss: 8.90127e-01, Loss0: 2.60262e-01, Loss_b: 5.98792e-04, Loss_f: 2.33738e-01, Loss_prev: 3.95527e-01
Iter: 1000, Loss: 8.65856e-01, Loss0: 2.51629e-01, Loss_b: 3.90551e-04, Loss_f: 2.21852e-01, Loss_prev: 3.91984e-01
Iter: 1100, Loss: 8.38153e-01, Loss0: 2.38626e-01, Loss_b: 3.39522e-04, Loss_f: 2.11044e-01, Loss_prev: 3.88144e-01
Iter: 1200, Loss: 8.16488e-01, Loss0: 2.29869e-01, Loss_b: 2.47182e-04, Loss_f: 1.99338e-01, Loss_prev: 3.87034e-01
Iter: 1300, Loss: 7.99182e-01, Loss0: 2.22357e-01, Loss_b: 1.69451e-04, Loss_f: 1.90905e-01, Loss_prev: 3.85750e-01
Iter: 1400, Loss: 7.76985e-01, Loss0: 2.10576e-01, Loss_b: 1.52167e-04, Loss_f: 1.83130e-01, Loss_prev: 3.83128e-01
Iter: 1500, Loss: 7.59798e-01, Loss0: 2.02874e-01, Loss_b: 1.29128e-04, Loss_f: 1.74310e-01, Loss_prev: 3.82484e-01
Iter: 1600, Loss: 8.11030e-01, Loss0: 1.95376e-01, Loss_b: 1.37823e-04, Loss_f: 2.31861e-01, Loss_prev: 3.83654e-01
Iter: 1700, Loss: 7.27317e-01, Loss0: 1.86264e-01, Loss_b: 7.89607e-05, Loss_f: 1.61546e-01, Loss_prev: 3.79428e-01
Iter: 1800, Loss: 7.12854e-01, Loss0: 1.79458e-01, Loss_b: 5.46606e-05, Loss_f: 1.54714e-01, Loss_prev: 3.78627e-01
Iter: 1900, Loss: 6.98277e-01, Loss0: 1.72659e-01, Loss_b: 4.22723e-05, Loss_f: 1.48030e-01, Loss_prev: 3.77546e-01
