Start Training:
Iter: 0, Loss: 3.49471e+01, Loss0: 2.82592e+01, Loss_b: 8.30288e-02, Loss_f: 6.60488e+00, Loss_prev: 0.00000e+00
Iter: 100, Loss: 1.22731e+01, Loss0: 1.22224e+01, Loss_b: 1.16009e-03, Loss_f: 4.95508e-02, Loss_prev: 0.00000e+00
Iter: 200, Loss: 8.43709e+00, Loss0: 8.14697e+00, Loss_b: 4.08794e-03, Loss_f: 2.86030e-01, Loss_prev: 0.00000e+00
Iter: 300, Loss: 6.50387e+00, Loss0: 6.30215e+00, Loss_b: 3.28033e-04, Loss_f: 2.01398e-01, Loss_prev: 0.00000e+00
Iter: 400, Loss: 4.57394e+00, Loss0: 4.35270e+00, Loss_b: 7.49576e-04, Loss_f: 2.20492e-01, Loss_prev: 0.00000e+00
Iter: 500, Loss: 3.73133e+00, Loss0: 3.52209e+00, Loss_b: 1.07413e-03, Loss_f: 2.08168e-01, Loss_prev: 0.00000e+00
Iter: 600, Loss: 3.38254e+00, Loss0: 3.13970e+00, Loss_b: 5.44609e-04, Loss_f: 2.42301e-01, Loss_prev: 0.00000e+00
Iter: 700, Loss: 2.98065e+00, Loss0: 2.81751e+00, Loss_b: 9.19609e-04, Loss_f: 1.62224e-01, Loss_prev: 0.00000e+00
Iter: 800, Loss: 2.60977e+00, Loss0: 2.45881e+00, Loss_b: 3.34673e-04, Loss_f: 1.50621e-01, Loss_prev: 0.00000e+00
Iter: 900, Loss: 2.52780e+00, Loss0: 2.38580e+00, Loss_b: 2.24588e-04, Loss_f: 1.41780e-01, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 2.71650e+00, Loss0: 2.57436e+00, Loss_b: 6.35473e-05, Loss_f: 1.42085e-01, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 3.06019e+00, Loss0: 2.78487e+00, Loss_b: 2.64719e-03, Loss_f: 2.72678e-01, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 2.10708e+00, Loss0: 1.98832e+00, Loss_b: 1.24232e-04, Loss_f: 1.18636e-01, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 2.25570e+00, Loss0: 2.13190e+00, Loss_b: 6.68623e-05, Loss_f: 1.23727e-01, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 2.34332e+00, Loss0: 2.19758e+00, Loss_b: 1.98575e-05, Loss_f: 1.45723e-01, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 2.83544e+00, Loss0: 2.55710e+00, Loss_b: 5.10585e-03, Loss_f: 2.73242e-01, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 1.85159e+00, Loss0: 1.74062e+00, Loss_b: 7.72581e-05, Loss_f: 1.10889e-01, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 1.83955e+00, Loss0: 1.74019e+00, Loss_b: 4.36165e-05, Loss_f: 9.93204e-02, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 2.21164e+00, Loss0: 2.08226e+00, Loss_b: 2.31400e-05, Loss_f: 1.29353e-01, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 4.29608e+00, Loss0: 1.61917e+00, Loss_b: 1.57979e-04, Loss_f: 2.67675e+00, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 1.72979e+00, Loss0: 1.62809e+00, Loss_b: 6.74563e-05, Loss_f: 1.01632e-01, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 1.89481e+00, Loss0: 1.77770e+00, Loss_b: 2.01385e-05, Loss_f: 1.17092e-01, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 2.10113e+00, Loss0: 1.96323e+00, Loss_b: 1.93887e-04, Loss_f: 1.37712e-01, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 1.53664e+00, Loss0: 1.42328e+00, Loss_b: 7.05804e-05, Loss_f: 1.13289e-01, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 1.75980e+00, Loss0: 1.64455e+00, Loss_b: 2.60585e-05, Loss_f: 1.15224e-01, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 2.22824e+00, Loss0: 2.03564e+00, Loss_b: 6.94443e-04, Loss_f: 1.91906e-01, Loss_prev: 0.00000e+00
Iter: 2600, Loss: 1.53724e+00, Loss0: 1.43843e+00, Loss_b: 7.36407e-05, Loss_f: 9.87327e-02, Loss_prev: 0.00000e+00
Iter: 2700, Loss: 1.91857e+00, Loss0: 1.79480e+00, Loss_b: 1.21326e-03, Loss_f: 1.22561e-01, Loss_prev: 0.00000e+00
Iter: 2800, Loss: 1.41863e+00, Loss0: 1.31714e+00, Loss_b: 7.69159e-05, Loss_f: 1.01416e-01, Loss_prev: 0.00000e+00
Iter: 2900, Loss: 1.78540e+00, Loss0: 1.65811e+00, Loss_b: 1.23989e-04, Loss_f: 1.27168e-01, Loss_prev: 0.00000e+00
Iter: 3000, Loss: 1.37769e+00, Loss0: 1.27944e+00, Loss_b: 5.47319e-05, Loss_f: 9.81974e-02, Loss_prev: 0.00000e+00
Iter: 3100, Loss: 1.82400e+00, Loss0: 1.69892e+00, Loss_b: 1.00109e-04, Loss_f: 1.24982e-01, Loss_prev: 0.00000e+00
Iter: 3200, Loss: 1.35104e+00, Loss0: 1.25793e+00, Loss_b: 7.25857e-05, Loss_f: 9.30376e-02, Loss_prev: 0.00000e+00
Iter: 3300, Loss: 1.84609e+00, Loss0: 1.73074e+00, Loss_b: 2.81098e-04, Loss_f: 1.15067e-01, Loss_prev: 0.00000e+00
Iter: 3400, Loss: 1.37217e+00, Loss0: 1.28099e+00, Loss_b: 7.90887e-05, Loss_f: 9.11014e-02, Loss_prev: 0.00000e+00
Iter: 3500, Loss: 1.99877e+00, Loss0: 1.78195e+00, Loss_b: 2.03720e-03, Loss_f: 2.14788e-01, Loss_prev: 0.00000e+00
Iter: 3600, Loss: 1.34826e+00, Loss0: 1.25497e+00, Loss_b: 5.77199e-05, Loss_f: 9.32271e-02, Loss_prev: 0.00000e+00
Iter: 3700, Loss: 2.10855e+00, Loss0: 1.74786e+00, Loss_b: 2.22817e-03, Loss_f: 3.58453e-01, Loss_prev: 0.00000e+00
Iter: 3800, Loss: 1.36863e+00, Loss0: 1.27065e+00, Loss_b: 5.52510e-05, Loss_f: 9.79296e-02, Loss_prev: 0.00000e+00
Iter: 3900, Loss: 1.28047e+01, Loss0: 1.06383e+00, Loss_b: 2.49022e-04, Loss_f: 1.17406e+01, Loss_prev: 0.00000e+00
