Start Training:
Iter: 0, Loss: 3.52218e+01, Loss0: 2.35430e+01, Loss_b: 3.35143e-06, Loss_f: 1.24019e-03, Loss_prev: 1.16776e+01
Iter: 100, Loss: 2.96540e+01, Loss0: 1.77448e+01, Loss_b: 6.10848e-03, Loss_f: 3.68747e+00, Loss_prev: 8.21566e+00
Iter: 200, Loss: 2.55606e+01, Loss0: 1.60918e+01, Loss_b: 1.42296e-03, Loss_f: 2.12764e+00, Loss_prev: 7.33976e+00
Iter: 300, Loss: 2.32075e+01, Loss0: 1.42003e+01, Loss_b: 1.54295e-03, Loss_f: 2.07773e+00, Loss_prev: 6.92789e+00
Iter: 400, Loss: 2.07592e+01, Loss0: 1.19381e+01, Loss_b: 1.21470e-03, Loss_f: 2.36558e+00, Loss_prev: 6.45429e+00
Iter: 500, Loss: 1.85307e+01, Loss0: 1.00679e+01, Loss_b: 1.97518e-04, Loss_f: 2.57233e+00, Loss_prev: 5.89036e+00
Iter: 600, Loss: 1.59820e+01, Loss0: 8.22771e+00, Loss_b: 1.51072e-05, Loss_f: 2.72372e+00, Loss_prev: 5.03051e+00
Iter: 700, Loss: 1.15030e+01, Loss0: 5.85042e+00, Loss_b: 4.25237e-04, Loss_f: 2.55707e+00, Loss_prev: 3.09512e+00
Iter: 800, Loss: 6.95014e+00, Loss0: 4.04025e+00, Loss_b: 3.51783e-04, Loss_f: 1.08001e+00, Loss_prev: 1.82953e+00
Iter: 900, Loss: 5.38036e+00, Loss0: 3.25085e+00, Loss_b: 2.10727e-04, Loss_f: 6.34600e-01, Loss_prev: 1.49471e+00
Iter: 1000, Loss: 4.50731e+00, Loss0: 2.61731e+00, Loss_b: 2.20825e-04, Loss_f: 5.04643e-01, Loss_prev: 1.38513e+00
Iter: 1100, Loss: 3.82131e+00, Loss0: 2.04392e+00, Loss_b: 2.88470e-04, Loss_f: 4.40658e-01, Loss_prev: 1.33645e+00
Iter: 1200, Loss: 3.31739e+00, Loss0: 1.61146e+00, Loss_b: 3.67856e-04, Loss_f: 4.04678e-01, Loss_prev: 1.30088e+00
Iter: 1300, Loss: 2.94555e+00, Loss0: 1.29307e+00, Loss_b: 2.67467e-04, Loss_f: 3.90781e-01, Loss_prev: 1.26143e+00
Iter: 1400, Loss: 2.65547e+00, Loss0: 1.04457e+00, Loss_b: 2.09475e-04, Loss_f: 3.81736e-01, Loss_prev: 1.22896e+00
Iter: 1500, Loss: 2.42836e+00, Loss0: 8.63026e-01, Loss_b: 1.38948e-04, Loss_f: 3.68840e-01, Loss_prev: 1.19635e+00
Iter: 1600, Loss: 2.25141e+00, Loss0: 7.29563e-01, Loss_b: 1.26189e-04, Loss_f: 3.60660e-01, Loss_prev: 1.16106e+00
Iter: 1700, Loss: 2.09651e+00, Loss0: 6.14416e-01, Loss_b: 1.46688e-04, Loss_f: 3.54758e-01, Loss_prev: 1.12718e+00
Iter: 1800, Loss: 1.96539e+00, Loss0: 5.17031e-01, Loss_b: 1.70262e-04, Loss_f: 3.50567e-01, Loss_prev: 1.09762e+00
Iter: 1900, Loss: 1.85257e+00, Loss0: 4.38578e-01, Loss_b: 1.80257e-04, Loss_f: 3.43062e-01, Loss_prev: 1.07075e+00
Iter: 2000, Loss: 1.75248e+00, Loss0: 3.74594e-01, Loss_b: 1.72380e-04, Loss_f: 3.32870e-01, Loss_prev: 1.04484e+00
Iter: 2100, Loss: 1.66319e+00, Loss0: 3.21192e-01, Loss_b: 1.48068e-04, Loss_f: 3.23810e-01, Loss_prev: 1.01804e+00
Iter: 2200, Loss: 1.58253e+00, Loss0: 2.76055e-01, Loss_b: 1.07299e-04, Loss_f: 3.15712e-01, Loss_prev: 9.90652e-01
Iter: 2300, Loss: 1.50643e+00, Loss0: 2.37127e-01, Loss_b: 7.94907e-05, Loss_f: 3.04845e-01, Loss_prev: 9.64377e-01
Iter: 2400, Loss: 1.43502e+00, Loss0: 2.03559e-01, Loss_b: 5.90765e-05, Loss_f: 2.93838e-01, Loss_prev: 9.37559e-01
Iter: 2500, Loss: 1.37339e+00, Loss0: 1.75227e-01, Loss_b: 5.58677e-05, Loss_f: 2.87029e-01, Loss_prev: 9.11081e-01
Iter: 2600, Loss: 1.30924e+00, Loss0: 1.50042e-01, Loss_b: 6.43306e-05, Loss_f: 2.77394e-01, Loss_prev: 8.81735e-01
Iter: 2700, Loss: 1.25285e+00, Loss0: 1.30433e-01, Loss_b: 1.71829e-04, Loss_f: 2.64374e-01, Loss_prev: 8.57866e-01
Iter: 2800, Loss: 1.19572e+00, Loss0: 1.14294e-01, Loss_b: 1.33886e-04, Loss_f: 2.46315e-01, Loss_prev: 8.34978e-01
Iter: 2900, Loss: 1.12760e+00, Loss0: 9.93686e-02, Loss_b: 1.95327e-04, Loss_f: 2.26063e-01, Loss_prev: 8.01973e-01
Iter: 3000, Loss: 1.07144e+00, Loss0: 8.83652e-02, Loss_b: 2.14438e-04, Loss_f: 2.12043e-01, Loss_prev: 7.70821e-01
Iter: 3100, Loss: 1.02116e+00, Loss0: 7.95728e-02, Loss_b: 2.67316e-04, Loss_f: 1.99040e-01, Loss_prev: 7.42284e-01
Iter: 3200, Loss: 9.97736e-01, Loss0: 7.22764e-02, Loss_b: 2.69183e-04, Loss_f: 2.07376e-01, Loss_prev: 7.17814e-01
Iter: 3300, Loss: 9.31846e-01, Loss0: 6.63534e-02, Loss_b: 3.17767e-04, Loss_f: 1.79394e-01, Loss_prev: 6.85781e-01
Iter: 3400, Loss: 9.04990e-01, Loss0: 6.17509e-02, Loss_b: 3.46291e-04, Loss_f: 1.84221e-01, Loss_prev: 6.58672e-01
Iter: 3500, Loss: 8.75005e-01, Loss0: 5.85416e-02, Loss_b: 4.58426e-04, Loss_f: 1.72073e-01, Loss_prev: 6.43933e-01
Iter: 3600, Loss: 8.41295e-01, Loss0: 5.50711e-02, Loss_b: 4.07993e-04, Loss_f: 1.64439e-01, Loss_prev: 6.21377e-01
Iter: 3700, Loss: 8.10704e-01, Loss0: 5.31523e-02, Loss_b: 4.15493e-04, Loss_f: 1.58244e-01, Loss_prev: 5.98892e-01
Iter: 3800, Loss: 8.06654e-01, Loss0: 5.18526e-02, Loss_b: 3.93706e-04, Loss_f: 1.74322e-01, Loss_prev: 5.80086e-01
Iter: 3900, Loss: 7.60115e-01, Loss0: 4.94053e-02, Loss_b: 3.42299e-04, Loss_f: 1.44681e-01, Loss_prev: 5.65686e-01
Iter: 4000, Loss: 7.36330e-01, Loss0: 4.78146e-02, Loss_b: 3.11453e-04, Loss_f: 1.39541e-01, Loss_prev: 5.48663e-01
Iter: 4100, Loss: 8.08214e-01, Loss0: 4.62899e-02, Loss_b: 2.94230e-04, Loss_f: 2.21419e-01, Loss_prev: 5.40211e-01
Iter: 4200, Loss: 6.95740e-01, Loss0: 4.40712e-02, Loss_b: 2.61831e-04, Loss_f: 1.33781e-01, Loss_prev: 5.17626e-01
Iter: 4300, Loss: 6.66772e-01, Loss0: 4.27234e-02, Loss_b: 3.36727e-04, Loss_f: 1.25221e-01, Loss_prev: 4.98491e-01
Iter: 4400, Loss: 6.54033e-01, Loss0: 4.33417e-02, Loss_b: 2.57891e-04, Loss_f: 1.19371e-01, Loss_prev: 4.91063e-01
Iter: 4500, Loss: 6.24124e-01, Loss0: 3.86042e-02, Loss_b: 2.87612e-04, Loss_f: 1.18322e-01, Loss_prev: 4.66910e-01
Iter: 4600, Loss: 6.06812e-01, Loss0: 3.61434e-02, Loss_b: 2.45500e-04, Loss_f: 1.23551e-01, Loss_prev: 4.46872e-01
Iter: 4700, Loss: 5.89064e-01, Loss0: 3.56673e-02, Loss_b: 1.99235e-04, Loss_f: 1.21744e-01, Loss_prev: 4.31453e-01
Iter: 4800, Loss: 5.59484e-01, Loss0: 3.39171e-02, Loss_b: 2.20698e-04, Loss_f: 1.13007e-01, Loss_prev: 4.12340e-01
Iter: 4900, Loss: 6.67236e-01, Loss0: 3.25344e-02, Loss_b: 2.66982e-04, Loss_f: 2.45543e-01, Loss_prev: 3.88892e-01
Iter: 5000, Loss: 5.58669e-01, Loss0: 3.10988e-02, Loss_b: 2.35921e-04, Loss_f: 1.56165e-01, Loss_prev: 3.71170e-01
Iter: 5100, Loss: 5.08280e-01, Loss0: 3.16922e-02, Loss_b: 1.43067e-04, Loss_f: 1.15546e-01, Loss_prev: 3.60900e-01
Iter: 5200, Loss: 4.73327e-01, Loss0: 2.81739e-02, Loss_b: 1.58955e-04, Loss_f: 1.08077e-01, Loss_prev: 3.36917e-01
Iter: 5300, Loss: 4.50204e-01, Loss0: 2.70777e-02, Loss_b: 1.83951e-04, Loss_f: 1.00265e-01, Loss_prev: 3.22678e-01
Iter: 5400, Loss: 4.25818e-01, Loss0: 2.52456e-02, Loss_b: 1.29303e-04, Loss_f: 1.00260e-01, Loss_prev: 3.00183e-01
Iter: 5500, Loss: 4.13728e-01, Loss0: 2.37163e-02, Loss_b: 1.46675e-04, Loss_f: 1.11565e-01, Loss_prev: 2.78300e-01
Iter: 5600, Loss: 4.23208e-01, Loss0: 2.28173e-02, Loss_b: 3.27775e-05, Loss_f: 1.29944e-01, Loss_prev: 2.70414e-01
Iter: 5700, Loss: 3.68708e-01, Loss0: 2.05421e-02, Loss_b: 1.23879e-04, Loss_f: 1.00700e-01, Loss_prev: 2.47342e-01
Iter: 5800, Loss: 3.59222e-01, Loss0: 1.94741e-02, Loss_b: 9.64641e-05, Loss_f: 9.75807e-02, Loss_prev: 2.42071e-01
Iter: 5900, Loss: 3.32004e-01, Loss0: 1.77615e-02, Loss_b: 1.04679e-04, Loss_f: 8.60351e-02, Loss_prev: 2.28103e-01
Iter: 6000, Loss: 6.83559e-01, Loss0: 1.79691e-02, Loss_b: 1.01029e-04, Loss_f: 4.32912e-01, Loss_prev: 2.32577e-01
Iter: 6100, Loss: 3.05043e-01, Loss0: 1.49044e-02, Loss_b: 1.21718e-04, Loss_f: 8.57487e-02, Loss_prev: 2.04268e-01
Iter: 6200, Loss: 2.96462e-01, Loss0: 1.37558e-02, Loss_b: 1.04850e-04, Loss_f: 8.29288e-02, Loss_prev: 1.99672e-01
Iter: 6300, Loss: 2.83720e-01, Loss0: 1.28605e-02, Loss_b: 1.10481e-04, Loss_f: 8.24725e-02, Loss_prev: 1.88277e-01
Iter: 6400, Loss: 2.75816e-01, Loss0: 1.16231e-02, Loss_b: 1.05529e-04, Loss_f: 8.38961e-02, Loss_prev: 1.80191e-01
Iter: 6500, Loss: 5.67312e-01, Loss0: 1.14009e-02, Loss_b: 2.22508e-04, Loss_f: 3.75155e-01, Loss_prev: 1.80534e-01
Iter: 6600, Loss: 2.63257e-01, Loss0: 1.02929e-02, Loss_b: 8.41663e-05, Loss_f: 8.35784e-02, Loss_prev: 1.69302e-01
Iter: 6700, Loss: 6.99391e-01, Loss0: 9.86780e-03, Loss_b: 2.83075e-05, Loss_f: 5.20166e-01, Loss_prev: 1.69329e-01
Iter: 6800, Loss: 3.05302e-01, Loss0: 8.91773e-03, Loss_b: 6.86794e-05, Loss_f: 1.31396e-01, Loss_prev: 1.64919e-01
Iter: 6900, Loss: 3.57691e-01, Loss0: 9.51888e-03, Loss_b: 2.19727e-05, Loss_f: 1.75599e-01, Loss_prev: 1.72552e-01
Iter: 7000, Loss: 3.52178e-01, Loss0: 8.47137e-03, Loss_b: 4.69809e-05, Loss_f: 1.85044e-01, Loss_prev: 1.58616e-01
Iter: 7100, Loss: 4.16034e-01, Loss0: 6.93191e-03, Loss_b: 9.43020e-05, Loss_f: 2.59279e-01, Loss_prev: 1.49729e-01
Iter: 7200, Loss: 3.57117e-01, Loss0: 6.20803e-03, Loss_b: 6.04372e-05, Loss_f: 2.14588e-01, Loss_prev: 1.36261e-01
Iter: 7300, Loss: 2.19298e-01, Loss0: 5.78293e-03, Loss_b: 4.96074e-05, Loss_f: 7.35129e-02, Loss_prev: 1.39952e-01
Iter: 7400, Loss: 3.91316e-01, Loss0: 7.43223e-03, Loss_b: 2.98628e-05, Loss_f: 2.23024e-01, Loss_prev: 1.60830e-01
Iter: 7500, Loss: 4.04477e-01, Loss0: 6.09278e-03, Loss_b: 2.17136e-05, Loss_f: 2.49705e-01, Loss_prev: 1.48657e-01
Iter: 7600, Loss: 3.20261e-01, Loss0: 6.38797e-03, Loss_b: 3.51399e-04, Loss_f: 1.48045e-01, Loss_prev: 1.65477e-01
Iter: 7700, Loss: 2.04134e-01, Loss0: 4.64981e-03, Loss_b: 5.09771e-05, Loss_f: 6.77225e-02, Loss_prev: 1.31711e-01
Iter: 7800, Loss: 2.03156e-01, Loss0: 4.50022e-03, Loss_b: 5.44777e-05, Loss_f: 6.51965e-02, Loss_prev: 1.33405e-01
Iter: 7900, Loss: 2.02639e-01, Loss0: 4.11027e-03, Loss_b: 4.40943e-05, Loss_f: 6.21862e-02, Loss_prev: 1.36298e-01
Iter: 8000, Loss: 4.94620e-01, Loss0: 4.86289e-03, Loss_b: 5.81914e-05, Loss_f: 3.55911e-01, Loss_prev: 1.33787e-01
Iter: 8100, Loss: 3.40160e-01, Loss0: 5.66721e-03, Loss_b: 2.05446e-04, Loss_f: 1.96235e-01, Loss_prev: 1.38051e-01
Iter: 8200, Loss: 2.87407e-01, Loss0: 5.66240e-03, Loss_b: 1.99808e-04, Loss_f: 1.36476e-01, Loss_prev: 1.45069e-01
