Start Training:
Iter: 0, Loss: 2.17734e-06, Loss_0: 1.22506e-07, Loss_b: 1.67172e-08, Loss_f: 2.03812e-06
Iter: 100, Loss: 4.15285e-05, Loss_0: 1.60018e-05, Loss_b: 5.46265e-07, Loss_f: 2.49804e-05
Iter: 200, Loss: 7.74094e-06, Loss_0: 1.93010e-06, Loss_b: 3.05904e-08, Loss_f: 5.78025e-06
Iter: 300, Loss: 3.83981e-06, Loss_0: 4.71199e-07, Loss_b: 1.84009e-08, Loss_f: 3.35021e-06
Iter: 400, Loss: 2.97843e-06, Loss_0: 2.64202e-07, Loss_b: 1.69322e-08, Loss_f: 2.69730e-06
Iter: 500, Loss: 3.76708e-05, Loss_0: 2.85644e-06, Loss_b: 2.16782e-05, Loss_f: 1.31361e-05
Iter: 600, Loss: 2.46742e-06, Loss_0: 1.72599e-07, Loss_b: 2.29608e-08, Loss_f: 2.27186e-06
Iter: 700, Loss: 2.66735e-04, Loss_0: 4.61845e-06, Loss_b: 4.46126e-05, Loss_f: 2.17504e-04
Iter: 800, Loss: 3.63742e-06, Loss_0: 3.00036e-07, Loss_b: 5.45026e-08, Loss_f: 3.28288e-06
Iter: 900, Loss: 4.43413e-06, Loss_0: 8.90192e-07, Loss_b: 4.41101e-08, Loss_f: 3.49983e-06
Iter: 1000, Loss: 9.60052e-06, Loss_0: 2.36944e-06, Loss_b: 3.95707e-07, Loss_f: 6.83538e-06
Iter: 1100, Loss: 2.16897e-05, Loss_0: 4.67065e-06, Loss_b: 3.39296e-06, Loss_f: 1.36261e-05
Iter: 1200, Loss: 1.91674e-05, Loss_0: 3.53179e-06, Loss_b: 2.68803e-07, Loss_f: 1.53668e-05
Iter: 1300, Loss: 1.77252e-05, Loss_0: 3.10203e-06, Loss_b: 3.30396e-06, Loss_f: 1.13192e-05
Iter: 1400, Loss: 1.14246e-05, Loss_0: 2.11515e-06, Loss_b: 8.26681e-08, Loss_f: 9.22676e-06
Iter: 1500, Loss: 8.50661e-04, Loss_0: 2.88761e-04, Loss_b: 1.79543e-05, Loss_f: 5.43945e-04
Iter: 1600, Loss: 2.09193e-05, Loss_0: 6.94204e-06, Loss_b: 1.47438e-07, Loss_f: 1.38298e-05
Iter: 1700, Loss: 8.53825e-06, Loss_0: 1.78737e-06, Loss_b: 8.03972e-08, Loss_f: 6.67048e-06
Iter: 1800, Loss: 5.84516e-06, Loss_0: 8.90873e-07, Loss_b: 5.39791e-08, Loss_f: 4.90031e-06
Iter: 1900, Loss: 4.75432e-06, Loss_0: 5.84410e-07, Loss_b: 4.20477e-08, Loss_f: 4.12787e-06
Iter: 2000, Loss: 4.13854e-06, Loss_0: 4.35509e-07, Loss_b: 3.58714e-08, Loss_f: 3.66716e-06
Iter: 2100, Loss: 3.72653e-06, Loss_0: 3.49863e-07, Loss_b: 3.18481e-08, Loss_f: 3.34482e-06
Iter: 2200, Loss: 3.42484e-06, Loss_0: 2.95999e-07, Loss_b: 2.87482e-08, Loss_f: 3.10009e-06
Iter: 2300, Loss: 3.19325e-06, Loss_0: 2.60441e-07, Loss_b: 2.61786e-08, Loss_f: 2.90663e-06
Iter: 2400, Loss: 3.01032e-06, Loss_0: 2.36073e-07, Loss_b: 2.39858e-08, Loss_f: 2.75026e-06
Iter: 2500, Loss: 1.10118e-05, Loss_0: 1.66521e-06, Loss_b: 2.29724e-07, Loss_f: 9.11684e-06
Iter: 2600, Loss: 3.55676e-05, Loss_0: 7.88145e-06, Loss_b: 1.72937e-06, Loss_f: 2.59568e-05
Iter: 2700, Loss: 1.87747e-05, Loss_0: 4.03145e-06, Loss_b: 5.16375e-06, Loss_f: 9.57948e-06
Iter: 2800, Loss: 1.07581e-05, Loss_0: 2.23174e-06, Loss_b: 7.76730e-07, Loss_f: 7.74960e-06
Iter: 2900, Loss: 3.44544e-05, Loss_0: 1.04335e-05, Loss_b: 2.85072e-06, Loss_f: 2.11702e-05
Iter: 3000, Loss: 4.46621e-06, Loss_0: 6.40322e-07, Loss_b: 5.05505e-08, Loss_f: 3.77533e-06
