Start Training:
Iter: 0, Loss: 1.31296e+00, Loss_0: 1.28521e+00, Loss_b: 1.30612e-02, Loss_f: 1.46899e-02
Iter: 100, Loss: 2.16306e-01, Loss_0: 1.40140e-01, Loss_b: 2.19975e-03, Loss_f: 7.39657e-02
Iter: 200, Loss: 1.06716e-01, Loss_0: 5.46081e-02, Loss_b: 9.72487e-05, Loss_f: 5.20103e-02
Iter: 300, Loss: 8.40687e-02, Loss_0: 4.71574e-02, Loss_b: 1.94626e-04, Loss_f: 3.67167e-02
Iter: 400, Loss: 6.90388e-02, Loss_0: 4.05051e-02, Loss_b: 3.62773e-04, Loss_f: 2.81709e-02
Iter: 500, Loss: 5.33138e-02, Loss_0: 3.18289e-02, Loss_b: 6.56440e-05, Loss_f: 2.14193e-02
Iter: 600, Loss: 4.67280e-02, Loss_0: 2.73255e-02, Loss_b: 6.57511e-04, Loss_f: 1.87449e-02
Iter: 700, Loss: 3.95240e-02, Loss_0: 2.36318e-02, Loss_b: 1.21362e-04, Loss_f: 1.57708e-02
Iter: 800, Loss: 3.33023e-02, Loss_0: 1.92821e-02, Loss_b: 7.07562e-05, Loss_f: 1.39494e-02
Iter: 900, Loss: 2.84905e-02, Loss_0: 1.63806e-02, Loss_b: 8.99885e-05, Loss_f: 1.20200e-02
Iter: 1000, Loss: 3.04160e-02, Loss_0: 1.43412e-02, Loss_b: 6.59317e-05, Loss_f: 1.60089e-02
Iter: 1100, Loss: 2.22640e-02, Loss_0: 1.25160e-02, Loss_b: 1.75380e-05, Loss_f: 9.73052e-03
Iter: 1200, Loss: 2.18327e-02, Loss_0: 1.15166e-02, Loss_b: 2.31229e-05, Loss_f: 1.02930e-02
Iter: 1300, Loss: 1.89623e-02, Loss_0: 1.06602e-02, Loss_b: 8.97690e-06, Loss_f: 8.29318e-03
Iter: 1400, Loss: 1.77986e-02, Loss_0: 1.00185e-02, Loss_b: 9.08131e-06, Loss_f: 7.77105e-03
Iter: 1500, Loss: 1.75414e-02, Loss_0: 9.48155e-03, Loss_b: 4.24329e-05, Loss_f: 8.01741e-03
Iter: 1600, Loss: 2.20216e-02, Loss_0: 9.26959e-03, Loss_b: 1.80527e-05, Loss_f: 1.27340e-02
Iter: 1700, Loss: 1.60573e-02, Loss_0: 8.68080e-03, Loss_b: 7.82443e-06, Loss_f: 7.36864e-03
Iter: 1800, Loss: 1.53114e-02, Loss_0: 8.01924e-03, Loss_b: 7.51276e-06, Loss_f: 7.28466e-03
Iter: 1900, Loss: 1.49753e-02, Loss_0: 7.28581e-03, Loss_b: 1.43480e-05, Loss_f: 7.67517e-03
Iter: 2000, Loss: 1.46231e-02, Loss_0: 7.13596e-03, Loss_b: 1.30566e-05, Loss_f: 7.47407e-03
Iter: 2100, Loss: 1.28719e-02, Loss_0: 6.50318e-03, Loss_b: 6.72419e-06, Loss_f: 6.36195e-03
Iter: 2200, Loss: 1.22264e-02, Loss_0: 6.17025e-03, Loss_b: 4.78910e-06, Loss_f: 6.05140e-03
Iter: 2300, Loss: 2.92041e-02, Loss_0: 5.80448e-03, Loss_b: 2.66812e-05, Loss_f: 2.33730e-02
Iter: 2400, Loss: 1.20798e-02, Loss_0: 5.88347e-03, Loss_b: 5.73402e-06, Loss_f: 6.19063e-03
Iter: 2500, Loss: 1.11198e-02, Loss_0: 5.63501e-03, Loss_b: 4.55346e-06, Loss_f: 5.48019e-03
Iter: 2600, Loss: 1.08993e-02, Loss_0: 5.48852e-03, Loss_b: 3.86940e-06, Loss_f: 5.40690e-03
Iter: 2700, Loss: 1.08126e-02, Loss_0: 5.36740e-03, Loss_b: 3.58927e-06, Loss_f: 5.44158e-03
Iter: 2800, Loss: 1.05545e-02, Loss_0: 5.22309e-03, Loss_b: 4.38650e-06, Loss_f: 5.32706e-03
Iter: 2900, Loss: 1.04334e-02, Loss_0: 5.31709e-03, Loss_b: 3.25548e-06, Loss_f: 5.11306e-03
