Start Training:
Iter: 0, Loss: 1.59128e+00, Loss_0: 1.58097e+00, Loss_b: 2.63611e-04, Loss_f: 1.00421e-02
Iter: 100, Loss: 4.20365e-01, Loss_0: 3.43199e-01, Loss_b: 2.97465e-03, Loss_f: 7.41912e-02
Iter: 200, Loss: 4.26283e-02, Loss_0: 1.85563e-02, Loss_b: 3.48565e-05, Loss_f: 2.40371e-02
Iter: 300, Loss: 2.60111e-02, Loss_0: 1.51230e-02, Loss_b: 1.61109e-05, Loss_f: 1.08720e-02
Iter: 400, Loss: 1.59919e-02, Loss_0: 1.16504e-02, Loss_b: 9.11886e-06, Loss_f: 4.33239e-03
Iter: 500, Loss: 1.05833e-02, Loss_0: 7.96023e-03, Loss_b: 1.86671e-04, Loss_f: 2.43645e-03
Iter: 600, Loss: 7.32776e-03, Loss_0: 5.71072e-03, Loss_b: 4.35019e-05, Loss_f: 1.57354e-03
Iter: 700, Loss: 5.88854e-03, Loss_0: 3.77951e-03, Loss_b: 7.29588e-04, Loss_f: 1.37944e-03
Iter: 800, Loss: 4.06481e-03, Loss_0: 2.76393e-03, Loss_b: 7.37659e-05, Loss_f: 1.22711e-03
Iter: 900, Loss: 3.41098e-03, Loss_0: 1.98859e-03, Loss_b: 2.46970e-04, Loss_f: 1.17543e-03
Iter: 1000, Loss: 2.51659e-03, Loss_0: 1.48133e-03, Loss_b: 5.22706e-05, Loss_f: 9.82993e-04
Iter: 1100, Loss: 1.93926e-03, Loss_0: 1.08019e-03, Loss_b: 3.80989e-05, Loss_f: 8.20970e-04
Iter: 1200, Loss: 1.47793e-03, Loss_0: 7.81627e-04, Loss_b: 2.51220e-05, Loss_f: 6.71177e-04
Iter: 1300, Loss: 1.24928e-03, Loss_0: 5.82283e-04, Loss_b: 9.28204e-05, Loss_f: 5.74176e-04
Iter: 1400, Loss: 1.95738e-03, Loss_0: 4.86867e-04, Loss_b: 2.42773e-04, Loss_f: 1.22774e-03
Iter: 1500, Loss: 7.05367e-04, Loss_0: 3.16213e-04, Loss_b: 1.08627e-05, Loss_f: 3.78292e-04
Iter: 1600, Loss: 7.29939e-04, Loss_0: 2.99265e-04, Loss_b: 4.29231e-05, Loss_f: 3.87752e-04
Iter: 1700, Loss: 4.79531e-04, Loss_0: 1.99370e-04, Loss_b: 8.38248e-06, Loss_f: 2.71778e-04
Iter: 1800, Loss: 5.65107e-04, Loss_0: 1.80144e-04, Loss_b: 4.20414e-05, Loss_f: 3.42921e-04
Iter: 1900, Loss: 3.38285e-04, Loss_0: 1.33037e-04, Loss_b: 7.73361e-06, Loss_f: 1.97514e-04
Iter: 2000, Loss: 3.44836e-04, Loss_0: 1.21727e-04, Loss_b: 9.40640e-06, Loss_f: 2.13703e-04
Iter: 2100, Loss: 2.50813e-04, Loss_0: 9.48770e-05, Loss_b: 7.31147e-06, Loss_f: 1.48625e-04
Iter: 2200, Loss: 3.46012e-04, Loss_0: 9.38321e-05, Loss_b: 1.02496e-04, Loss_f: 1.49684e-04
Iter: 2300, Loss: 1.88675e-04, Loss_0: 6.60056e-05, Loss_b: 7.80292e-06, Loss_f: 1.14866e-04
Iter: 2400, Loss: 9.17246e-04, Loss_0: 1.87266e-04, Loss_b: 4.93813e-04, Loss_f: 2.36168e-04
Iter: 2500, Loss: 1.72174e-04, Loss_0: 4.85446e-05, Loss_b: 1.04786e-05, Loss_f: 1.13151e-04
Iter: 2600, Loss: 1.38807e-04, Loss_0: 4.50349e-05, Loss_b: 7.73466e-06, Loss_f: 8.60373e-05
