Start Training:
Iter: 0, Loss: 2.10505e+00, Loss_0: 1.55388e-02, Loss_1: 1.88537e+00, Loss_b: 1.28683e-01, Loss_f: 7.54637e-02
Iter: 100, Loss: 3.23335e-01, Loss_0: 9.18728e-03, Loss_1: 2.40497e-01, Loss_b: 3.84455e-03, Loss_f: 6.98062e-02
Iter: 200, Loss: 1.19665e-01, Loss_0: 9.17043e-03, Loss_1: 7.89806e-02, Loss_b: 1.86223e-03, Loss_f: 2.96521e-02
Iter: 300, Loss: 6.68555e-02, Loss_0: 9.23260e-03, Loss_1: 4.53458e-02, Loss_b: 1.88548e-04, Loss_f: 1.20885e-02
Iter: 400, Loss: 5.19640e-02, Loss_0: 9.12779e-03, Loss_1: 3.49573e-02, Loss_b: 1.38788e-04, Loss_f: 7.74017e-03
Iter: 500, Loss: 4.45665e-02, Loss_0: 9.12420e-03, Loss_1: 2.89141e-02, Loss_b: 2.31900e-05, Loss_f: 6.50500e-03
Iter: 600, Loss: 3.64303e-02, Loss_0: 9.09013e-03, Loss_1: 2.25416e-02, Loss_b: 1.44519e-04, Loss_f: 4.65400e-03
Iter: 700, Loss: 3.04552e-02, Loss_0: 9.09580e-03, Loss_1: 1.59464e-02, Loss_b: 4.46408e-04, Loss_f: 4.96660e-03
Iter: 800, Loss: 2.66051e-02, Loss_0: 9.05067e-03, Loss_1: 1.19409e-02, Loss_b: 6.43804e-05, Loss_f: 5.54912e-03
Iter: 900, Loss: 2.93237e-02, Loss_0: 9.03970e-03, Loss_1: 9.09599e-03, Loss_b: 2.00992e-04, Loss_f: 1.09871e-02
Iter: 1000, Loss: 1.96113e-02, Loss_0: 9.03444e-03, Loss_1: 7.29569e-03, Loss_b: 7.03299e-05, Loss_f: 3.21084e-03
Iter: 1100, Loss: 2.38841e-02, Loss_0: 9.17743e-03, Loss_1: 5.96315e-03, Loss_b: 1.27299e-04, Loss_f: 8.61621e-03
Iter: 1200, Loss: 1.73030e-02, Loss_0: 9.03629e-03, Loss_1: 4.98786e-03, Loss_b: 7.24306e-05, Loss_f: 3.20640e-03
Iter: 1300, Loss: 1.55832e-02, Loss_0: 9.02511e-03, Loss_1: 4.26505e-03, Loss_b: 5.45531e-05, Loss_f: 2.23852e-03
Iter: 1400, Loss: 1.46527e-02, Loss_0: 9.02361e-03, Loss_1: 3.64585e-03, Loss_b: 4.92489e-05, Loss_f: 1.93395e-03
Iter: 1500, Loss: 1.38290e-02, Loss_0: 9.02087e-03, Loss_1: 3.06793e-03, Loss_b: 4.81087e-05, Loss_f: 1.69213e-03
Iter: 1600, Loss: 1.30393e-02, Loss_0: 9.01685e-03, Loss_1: 2.54145e-03, Loss_b: 4.71777e-05, Loss_f: 1.43385e-03
Iter: 1700, Loss: 1.24391e-02, Loss_0: 9.01448e-03, Loss_1: 2.17500e-03, Loss_b: 4.82859e-05, Loss_f: 1.20139e-03
Iter: 1800, Loss: 1.20010e-02, Loss_0: 9.01376e-03, Loss_1: 1.86186e-03, Loss_b: 5.05478e-05, Loss_f: 1.07481e-03
Iter: 1900, Loss: 1.16414e-02, Loss_0: 9.00748e-03, Loss_1: 1.71291e-03, Loss_b: 5.07526e-05, Loss_f: 8.70235e-04
Iter: 2000, Loss: 1.37799e-02, Loss_0: 9.07659e-03, Loss_1: 1.55616e-03, Loss_b: 2.62281e-04, Loss_f: 2.88488e-03
Iter: 2100, Loss: 2.04020e-02, Loss_0: 9.00319e-03, Loss_1: 1.30813e-03, Loss_b: 9.56142e-05, Loss_f: 9.99510e-03
Iter: 2200, Loss: 1.61852e-02, Loss_0: 8.99895e-03, Loss_1: 1.16815e-03, Loss_b: 8.03912e-05, Loss_f: 5.93773e-03
Iter: 2300, Loss: 1.20333e-02, Loss_0: 8.99860e-03, Loss_1: 1.17471e-03, Loss_b: 6.54747e-05, Loss_f: 1.79447e-03
Iter: 2400, Loss: 1.49273e-02, Loss_0: 9.01571e-03, Loss_1: 9.21139e-04, Loss_b: 1.80806e-04, Loss_f: 4.80960e-03
Iter: 2500, Loss: 1.10768e-02, Loss_0: 8.98824e-03, Loss_1: 8.12715e-04, Loss_b: 5.34435e-05, Loss_f: 1.22238e-03
Iter: 2600, Loss: 1.45795e-02, Loss_0: 8.99215e-03, Loss_1: 8.94303e-04, Loss_b: 5.74549e-05, Loss_f: 4.63556e-03
Iter: 2700, Loss: 1.11162e-02, Loss_0: 9.02368e-03, Loss_1: 8.17482e-04, Loss_b: 1.07539e-04, Loss_f: 1.16753e-03
Iter: 2800, Loss: 1.04100e-02, Loss_0: 8.97807e-03, Loss_1: 7.77183e-04, Loss_b: 5.54544e-05, Loss_f: 5.99283e-04
Iter: 2900, Loss: 1.01421e-02, Loss_0: 8.97713e-03, Loss_1: 7.38432e-04, Loss_b: 5.48828e-05, Loss_f: 3.71646e-04
Iter: 3000, Loss: 1.01770e-02, Loss_0: 8.97362e-03, Loss_1: 6.88047e-04, Loss_b: 4.83909e-05, Loss_f: 4.66964e-04
Iter: 3100, Loss: 1.04024e-02, Loss_0: 8.97240e-03, Loss_1: 6.58534e-04, Loss_b: 5.21733e-05, Loss_f: 7.19309e-04
Iter: 3200, Loss: 1.05335e-02, Loss_0: 8.96959e-03, Loss_1: 6.77498e-04, Loss_b: 5.28564e-05, Loss_f: 8.33548e-04
Iter: 3300, Loss: 1.01679e-02, Loss_0: 8.97634e-03, Loss_1: 6.31387e-04, Loss_b: 6.05390e-05, Loss_f: 4.99653e-04
Iter: 3400, Loss: 1.00404e-02, Loss_0: 8.97184e-03, Loss_1: 6.49958e-04, Loss_b: 6.56615e-05, Loss_f: 3.52971e-04
Iter: 3500, Loss: 1.38916e-02, Loss_0: 8.96813e-03, Loss_1: 6.37139e-04, Loss_b: 7.45713e-05, Loss_f: 4.21174e-03
Iter: 3600, Loss: 1.01631e-02, Loss_0: 8.96505e-03, Loss_1: 6.40782e-04, Loss_b: 5.58663e-05, Loss_f: 5.01355e-04
Iter: 3700, Loss: 9.96601e-03, Loss_0: 8.97598e-03, Loss_1: 5.99031e-04, Loss_b: 7.00251e-05, Loss_f: 3.20982e-04
Iter: 3800, Loss: 1.00239e-02, Loss_0: 8.96294e-03, Loss_1: 5.72716e-04, Loss_b: 4.68918e-05, Loss_f: 4.41320e-04
Iter: 3900, Loss: 1.11065e-02, Loss_0: 8.97028e-03, Loss_1: 6.11390e-04, Loss_b: 5.78464e-05, Loss_f: 1.46698e-03
Iter: 4000, Loss: 9.94414e-03, Loss_0: 8.97900e-03, Loss_1: 5.79813e-04, Loss_b: 8.01467e-05, Loss_f: 3.05181e-04
Iter: 4100, Loss: 9.86335e-03, Loss_0: 8.95895e-03, Loss_1: 5.68334e-04, Loss_b: 4.40322e-05, Loss_f: 2.92044e-04
Iter: 4200, Loss: 9.92320e-03, Loss_0: 8.95946e-03, Loss_1: 5.67153e-04, Loss_b: 4.81982e-05, Loss_f: 3.48382e-04
