Start Training:
Iter: 0, Loss: 2.21340e+00, Loss_0: 1.54031e+00, Loss_b: 6.49295e-01, Loss_f: 2.37980e-02
Iter: 100, Loss: 9.45888e-01, Loss_0: 9.22238e-01, Loss_b: 1.47764e-02, Loss_f: 8.87395e-03
Iter: 200, Loss: 9.80379e-02, Loss_0: 7.30267e-02, Loss_b: 2.96717e-04, Loss_f: 2.47145e-02
Iter: 300, Loss: 3.08927e-02, Loss_0: 1.82367e-02, Loss_b: 8.36555e-05, Loss_f: 1.25723e-02
Iter: 400, Loss: 2.84301e-02, Loss_0: 1.77390e-02, Loss_b: 4.90068e-05, Loss_f: 1.06421e-02
Iter: 500, Loss: 2.59435e-02, Loss_0: 1.64305e-02, Loss_b: 9.71857e-05, Loss_f: 9.41573e-03
Iter: 600, Loss: 2.23062e-02, Loss_0: 1.47685e-02, Loss_b: 1.14115e-04, Loss_f: 7.42353e-03
Iter: 700, Loss: 1.74257e-02, Loss_0: 1.25295e-02, Loss_b: 3.09224e-04, Loss_f: 4.58695e-03
Iter: 800, Loss: 1.43264e-02, Loss_0: 1.03163e-02, Loss_b: 8.87042e-05, Loss_f: 3.92144e-03
Iter: 900, Loss: 1.17142e-02, Loss_0: 8.23070e-03, Loss_b: 6.66527e-05, Loss_f: 3.41682e-03
Iter: 1000, Loss: 9.07394e-03, Loss_0: 6.37471e-03, Loss_b: 4.69256e-05, Loss_f: 2.65230e-03
Iter: 1100, Loss: 6.60342e-03, Loss_0: 4.67372e-03, Loss_b: 8.15749e-05, Loss_f: 1.84813e-03
Iter: 1200, Loss: 4.38017e-03, Loss_0: 3.12346e-03, Loss_b: 8.61721e-05, Loss_f: 1.17055e-03
Iter: 1300, Loss: 2.78367e-03, Loss_0: 1.92793e-03, Loss_b: 6.40666e-05, Loss_f: 7.91673e-04
Iter: 1400, Loss: 1.93547e-03, Loss_0: 1.23147e-03, Loss_b: 4.57651e-05, Loss_f: 6.58231e-04
Iter: 1500, Loss: 1.50706e-03, Loss_0: 8.69772e-04, Loss_b: 3.55371e-05, Loss_f: 6.01750e-04
Iter: 1600, Loss: 1.21394e-03, Loss_0: 6.49171e-04, Loss_b: 2.18887e-05, Loss_f: 5.42884e-04
