Start Training:
Iter: 0, Loss: 4.04097e+00, Loss_0: 2.03004e+00, Loss_b: 1.02530e-02, Loss_f: 4.20192e-05, Loss_s: 2.00063e+00
Iter: 100, Loss: 1.23206e+00, Loss_0: 3.60327e-01, Loss_b: 1.51178e-04, Loss_f: 3.04726e-01, Loss_s: 5.66853e-01
Iter: 200, Loss: 4.16727e-01, Loss_0: 6.86032e-02, Loss_b: 8.42636e-04, Loss_f: 9.90307e-02, Loss_s: 2.48250e-01
Iter: 300, Loss: 9.12129e-02, Loss_0: 1.30381e-02, Loss_b: 1.64412e-06, Loss_f: 1.39343e-02, Loss_s: 6.42388e-02
Iter: 400, Loss: 3.46255e-02, Loss_0: 4.30631e-03, Loss_b: 7.93181e-06, Loss_f: 6.56908e-03, Loss_s: 2.37422e-02
Iter: 500, Loss: 1.31176e-02, Loss_0: 1.34161e-03, Loss_b: 2.10088e-05, Loss_f: 3.57215e-03, Loss_s: 8.18280e-03
Iter: 600, Loss: 6.83293e-03, Loss_0: 6.46975e-04, Loss_b: 2.70283e-05, Loss_f: 2.62186e-03, Loss_s: 3.53707e-03
Iter: 700, Loss: 4.29527e-03, Loss_0: 3.78384e-04, Loss_b: 5.10754e-06, Loss_f: 1.87179e-03, Loss_s: 2.03998e-03
Iter: 800, Loss: 3.88211e-03, Loss_0: 2.67081e-04, Loss_b: 2.45779e-05, Loss_f: 2.20983e-03, Loss_s: 1.38062e-03
Iter: 900, Loss: 2.32270e-03, Loss_0: 1.74846e-04, Loss_b: 1.47987e-06, Loss_f: 1.15778e-03, Loss_s: 9.88595e-04
Iter: 1000, Loss: 2.20175e-03, Loss_0: 1.32917e-04, Loss_b: 1.60289e-05, Loss_f: 1.31146e-03, Loss_s: 7.41348e-04
Iter: 1100, Loss: 1.47842e-03, Loss_0: 1.05078e-04, Loss_b: 5.25152e-07, Loss_f: 7.21796e-04, Loss_s: 6.51025e-04
Iter: 1200, Loss: 1.22428e-03, Loss_0: 8.65330e-05, Loss_b: 5.10564e-07, Loss_f: 6.29666e-04, Loss_s: 5.07571e-04
Iter: 1300, Loss: 1.00327e-03, Loss_0: 7.26030e-05, Loss_b: 6.31258e-07, Loss_f: 5.17162e-04, Loss_s: 4.12874e-04
Iter: 1400, Loss: 8.67276e-04, Loss_0: 6.36285e-05, Loss_b: 4.82488e-07, Loss_f: 4.52047e-04, Loss_s: 3.51118e-04
Iter: 1500, Loss: 7.68253e-04, Loss_0: 5.68195e-05, Loss_b: 1.40393e-06, Loss_f: 4.00725e-04, Loss_s: 3.09304e-04
Iter: 1600, Loss: 6.89594e-04, Loss_0: 5.21294e-05, Loss_b: 5.15531e-07, Loss_f: 3.51257e-04, Loss_s: 2.85692e-04
Iter: 1700, Loss: 8.63285e-04, Loss_0: 5.12765e-05, Loss_b: 7.53164e-06, Loss_f: 4.96779e-04, Loss_s: 3.07698e-04
Iter: 1800, Loss: 1.20590e-03, Loss_0: 5.42136e-05, Loss_b: 1.61677e-05, Loss_f: 9.01773e-04, Loss_s: 2.33743e-04
Iter: 1900, Loss: 4.93523e-04, Loss_0: 4.04687e-05, Loss_b: 4.24128e-07, Loss_f: 2.54722e-04, Loss_s: 1.97909e-04
Iter: 2000, Loss: 7.35763e-04, Loss_0: 4.52619e-05, Loss_b: 1.44701e-05, Loss_f: 4.07570e-04, Loss_s: 2.68460e-04
