Start Training:
Iter: 0, Loss: 8.52861e+00, Loss_0: 1.90383e+00, Loss_b: 8.13507e-01, Loss_f: 2.21248e-02, Loss_s: 5.78914e+00
Iter: 100, Loss: 2.82354e+00, Loss_0: 7.39956e-01, Loss_b: 3.36315e-03, Loss_f: 1.41951e-01, Loss_s: 1.93827e+00
Iter: 200, Loss: 1.04721e+00, Loss_0: 4.96133e-01, Loss_b: 4.21653e-03, Loss_f: 1.63208e-01, Loss_s: 3.83655e-01
Iter: 300, Loss: 4.86599e-01, Loss_0: 2.62845e-01, Loss_b: 2.25751e-04, Loss_f: 6.77942e-02, Loss_s: 1.55734e-01
Iter: 400, Loss: 1.79918e-01, Loss_0: 7.79441e-02, Loss_b: 2.06182e-04, Loss_f: 2.70035e-02, Loss_s: 7.47642e-02
Iter: 500, Loss: 8.07020e-02, Loss_0: 2.14547e-02, Loss_b: 1.96712e-04, Loss_f: 1.80590e-02, Loss_s: 4.09916e-02
Iter: 600, Loss: 4.35709e-02, Loss_0: 7.94654e-03, Loss_b: 4.62705e-05, Loss_f: 1.25177e-02, Loss_s: 2.30604e-02
Iter: 700, Loss: 2.96328e-02, Loss_0: 3.95655e-03, Loss_b: 8.83447e-05, Loss_f: 1.12836e-02, Loss_s: 1.43043e-02
Iter: 800, Loss: 2.86360e-02, Loss_0: 2.63807e-03, Loss_b: 1.38045e-04, Loss_f: 1.65599e-02, Loss_s: 9.29998e-03
Iter: 900, Loss: 2.42696e-02, Loss_0: 2.02973e-03, Loss_b: 1.17450e-04, Loss_f: 1.55995e-02, Loss_s: 6.52288e-03
Iter: 1000, Loss: 1.03046e-02, Loss_0: 1.69100e-03, Loss_b: 4.13520e-05, Loss_f: 3.77584e-03, Loss_s: 4.79646e-03
Iter: 1100, Loss: 8.49708e-03, Loss_0: 1.50765e-03, Loss_b: 4.70841e-05, Loss_f: 3.21989e-03, Loss_s: 3.72246e-03
Iter: 1200, Loss: 6.94684e-03, Loss_0: 1.32647e-03, Loss_b: 4.76284e-05, Loss_f: 2.57541e-03, Loss_s: 2.99733e-03
