Start Training:
Iter: 0, Loss: 3.12821e+00, Loss0: 1.98893e+00, Loss_b: 1.90187e-07, Loss_f: 2.19567e-05, Loss_prev: 1.13926e+00
Iter: 100, Loss: 4.92380e-01, Loss0: 5.35677e-02, Loss_b: 5.84382e-04, Loss_f: 1.45281e-01, Loss_prev: 2.92947e-01
Iter: 200, Loss: 3.09180e-01, Loss0: 2.64006e-02, Loss_b: 1.51549e-04, Loss_f: 1.00496e-01, Loss_prev: 1.82132e-01
Iter: 300, Loss: 2.00911e-01, Loss0: 1.65990e-02, Loss_b: 1.32322e-04, Loss_f: 6.96604e-02, Loss_prev: 1.14519e-01
Iter: 400, Loss: 1.05641e-01, Loss0: 1.03456e-02, Loss_b: 1.41142e-04, Loss_f: 4.07840e-02, Loss_prev: 5.43704e-02
Iter: 500, Loss: 9.13729e-02, Loss0: 5.84185e-03, Loss_b: 7.21432e-04, Loss_f: 5.20611e-02, Loss_prev: 3.27485e-02
Iter: 600, Loss: 4.17754e-02, Loss0: 3.84590e-03, Loss_b: 1.41524e-04, Loss_f: 1.64404e-02, Loss_prev: 2.13475e-02
Iter: 700, Loss: 3.57137e-02, Loss0: 2.93740e-03, Loss_b: 2.23173e-04, Loss_f: 1.37869e-02, Loss_prev: 1.87663e-02
Iter: 800, Loss: 3.01112e-02, Loss0: 2.10202e-03, Loss_b: 1.05793e-04, Loss_f: 1.23287e-02, Loss_prev: 1.55747e-02
Iter: 900, Loss: 3.04798e-02, Loss0: 1.61069e-03, Loss_b: 1.04544e-04, Loss_f: 1.40954e-02, Loss_prev: 1.46692e-02
Iter: 1000, Loss: 5.78531e-02, Loss0: 2.06180e-03, Loss_b: 2.75248e-04, Loss_f: 4.25668e-02, Loss_prev: 1.29492e-02
Iter: 1100, Loss: 2.29159e-02, Loss0: 1.17307e-03, Loss_b: 7.32700e-05, Loss_f: 1.01043e-02, Loss_prev: 1.15653e-02
Iter: 1200, Loss: 2.43272e-02, Loss0: 1.01302e-03, Loss_b: 1.71577e-04, Loss_f: 1.16745e-02, Loss_prev: 1.14681e-02
Iter: 1300, Loss: 5.72503e-02, Loss0: 1.51100e-03, Loss_b: 8.78563e-04, Loss_f: 4.48869e-02, Loss_prev: 9.97382e-03
Iter: 1400, Loss: 4.15372e-02, Loss0: 7.96418e-04, Loss_b: 4.83049e-04, Loss_f: 3.07192e-02, Loss_prev: 9.53853e-03
Iter: 1500, Loss: 2.52141e-02, Loss0: 6.88758e-04, Loss_b: 2.06105e-04, Loss_f: 1.57768e-02, Loss_prev: 8.54252e-03
Iter: 1600, Loss: 3.11273e-02, Loss0: 8.74149e-04, Loss_b: 7.78609e-04, Loss_f: 2.14369e-02, Loss_prev: 8.03757e-03
Iter: 1700, Loss: 3.97631e-02, Loss0: 1.01335e-03, Loss_b: 9.54479e-04, Loss_f: 3.02440e-02, Loss_prev: 7.55126e-03
Iter: 1800, Loss: 3.13295e-02, Loss0: 8.36074e-04, Loss_b: 9.00427e-04, Loss_f: 2.26453e-02, Loss_prev: 6.94770e-03
Iter: 1900, Loss: 8.22885e-02, Loss0: 1.42560e-03, Loss_b: 1.61509e-03, Loss_f: 7.29850e-02, Loss_prev: 6.26277e-03
Iter: 2000, Loss: 2.57490e-02, Loss0: 6.23118e-04, Loss_b: 2.81086e-04, Loss_f: 1.92123e-02, Loss_prev: 5.63250e-03
Iter: 2100, Loss: 1.95624e-02, Loss0: 5.07893e-04, Loss_b: 2.48497e-04, Loss_f: 1.35563e-02, Loss_prev: 5.24975e-03
Iter: 2200, Loss: 3.27045e-02, Loss0: 6.94827e-04, Loss_b: 6.48987e-04, Loss_f: 2.64813e-02, Loss_prev: 4.87939e-03
Iter: 2300, Loss: 2.64527e-02, Loss0: 6.29988e-04, Loss_b: 4.78749e-04, Loss_f: 2.05002e-02, Loss_prev: 4.84381e-03
Iter: 2400, Loss: 1.43519e-02, Loss0: 4.17758e-04, Loss_b: 3.52302e-04, Loss_f: 8.97061e-03, Loss_prev: 4.61118e-03
Iter: 2500, Loss: 1.07047e-02, Loss0: 3.06301e-04, Loss_b: 4.34190e-05, Loss_f: 6.17155e-03, Loss_prev: 4.18348e-03
Iter: 2600, Loss: 2.82867e-02, Loss0: 5.98165e-04, Loss_b: 9.01310e-04, Loss_f: 2.21320e-02, Loss_prev: 4.65521e-03
Iter: 2700, Loss: 1.88207e-02, Loss0: 4.59286e-04, Loss_b: 4.40218e-04, Loss_f: 1.39265e-02, Loss_prev: 3.99465e-03
Iter: 2800, Loss: 3.88630e-02, Loss0: 5.97186e-04, Loss_b: 1.48650e-03, Loss_f: 3.21907e-02, Loss_prev: 4.58864e-03
Iter: 2900, Loss: 1.41624e-02, Loss0: 2.91029e-04, Loss_b: 3.70777e-04, Loss_f: 9.42674e-03, Loss_prev: 4.07383e-03
Iter: 3000, Loss: 5.60218e-02, Loss0: 9.09072e-04, Loss_b: 2.46901e-03, Loss_f: 4.79321e-02, Loss_prev: 4.71155e-03
Iter: 3100, Loss: 1.17405e-02, Loss0: 2.64906e-04, Loss_b: 1.25418e-04, Loss_f: 8.29959e-03, Loss_prev: 3.05056e-03
Iter: 3200, Loss: 2.16580e-02, Loss0: 3.21868e-04, Loss_b: 3.46348e-04, Loss_f: 1.74081e-02, Loss_prev: 3.58174e-03
Iter: 3300, Loss: 1.97389e-02, Loss0: 4.70199e-04, Loss_b: 8.47645e-04, Loss_f: 1.55004e-02, Loss_prev: 2.92065e-03
Iter: 3400, Loss: 3.78383e-02, Loss0: 5.34887e-04, Loss_b: 1.26568e-03, Loss_f: 3.30965e-02, Loss_prev: 2.94126e-03
Iter: 3500, Loss: 4.83368e-02, Loss0: 5.22560e-04, Loss_b: 1.18684e-03, Loss_f: 4.28858e-02, Loss_prev: 3.74163e-03
Iter: 3600, Loss: 3.11663e-02, Loss0: 8.58290e-04, Loss_b: 2.04393e-03, Loss_f: 2.51259e-02, Loss_prev: 3.13820e-03
Iter: 3700, Loss: 3.38621e-02, Loss0: 6.85534e-04, Loss_b: 1.56682e-03, Loss_f: 2.87410e-02, Loss_prev: 2.86875e-03
Iter: 3800, Loss: 1.95794e-02, Loss0: 2.81362e-04, Loss_b: 3.93458e-04, Loss_f: 1.59726e-02, Loss_prev: 2.93197e-03
Iter: 3900, Loss: 9.38969e-02, Loss0: 1.02529e-03, Loss_b: 2.92765e-03, Loss_f: 8.57139e-02, Loss_prev: 4.23002e-03
Iter: 4000, Loss: 1.61165e-02, Loss0: 4.61731e-04, Loss_b: 7.67628e-04, Loss_f: 1.20833e-02, Loss_prev: 2.80389e-03
Iter: 4100, Loss: 7.82199e-03, Loss0: 2.01922e-04, Loss_b: 1.07311e-04, Loss_f: 5.02189e-03, Loss_prev: 2.49086e-03
Iter: 4200, Loss: 1.08857e-02, Loss0: 2.64093e-04, Loss_b: 3.66989e-04, Loss_f: 7.61577e-03, Loss_prev: 2.63879e-03
Iter: 4300, Loss: 1.22168e-02, Loss0: 2.48445e-04, Loss_b: 3.18162e-04, Loss_f: 9.11071e-03, Loss_prev: 2.53947e-03
Iter: 4400, Loss: 7.26381e-03, Loss0: 1.94142e-04, Loss_b: 1.02585e-04, Loss_f: 4.66975e-03, Loss_prev: 2.29733e-03
Iter: 4500, Loss: 1.17881e-02, Loss0: 1.99356e-04, Loss_b: 1.90585e-04, Loss_f: 8.97181e-03, Loss_prev: 2.42638e-03
Iter: 4600, Loss: 2.30834e-02, Loss0: 3.10235e-04, Loss_b: 5.87303e-04, Loss_f: 1.96117e-02, Loss_prev: 2.57421e-03
Iter: 4700, Loss: 1.40466e-02, Loss0: 3.34407e-04, Loss_b: 6.35053e-04, Loss_f: 1.10258e-02, Loss_prev: 2.05134e-03
Iter: 4800, Loss: 1.33773e-02, Loss0: 2.99564e-04, Loss_b: 4.56317e-04, Loss_f: 1.06497e-02, Loss_prev: 1.97173e-03
Iter: 4900, Loss: 1.31124e-02, Loss0: 3.14507e-04, Loss_b: 3.21517e-04, Loss_f: 1.04643e-02, Loss_prev: 2.01210e-03
Iter: 5000, Loss: 1.16448e-02, Loss0: 3.08366e-04, Loss_b: 3.18719e-04, Loss_f: 8.62499e-03, Loss_prev: 2.39271e-03
Iter: 5100, Loss: 1.29327e-02, Loss0: 3.40079e-04, Loss_b: 4.21121e-04, Loss_f: 1.00986e-02, Loss_prev: 2.07292e-03
Iter: 5200, Loss: 6.95999e-02, Loss0: 2.08535e-03, Loss_b: 5.07723e-03, Loss_f: 5.84072e-02, Loss_prev: 4.03012e-03
Iter: 5300, Loss: 5.39729e-03, Loss0: 1.40650e-04, Loss_b: 6.74881e-06, Loss_f: 3.33680e-03, Loss_prev: 1.91309e-03
Iter: 5400, Loss: 1.14058e-02, Loss0: 2.39417e-04, Loss_b: 2.48160e-04, Loss_f: 9.29374e-03, Loss_prev: 1.62443e-03
Iter: 5500, Loss: 2.74625e-02, Loss0: 3.70661e-04, Loss_b: 8.27104e-04, Loss_f: 2.39887e-02, Loss_prev: 2.27597e-03
Iter: 5600, Loss: 1.21968e-02, Loss0: 2.56649e-04, Loss_b: 3.73647e-04, Loss_f: 9.51474e-03, Loss_prev: 2.05180e-03
Iter: 5700, Loss: 8.24033e-03, Loss0: 1.94040e-04, Loss_b: 1.26262e-04, Loss_f: 6.21922e-03, Loss_prev: 1.70081e-03
Iter: 5800, Loss: 4.89439e-03, Loss0: 1.26109e-04, Loss_b: 1.40408e-05, Loss_f: 3.19389e-03, Loss_prev: 1.56035e-03
Iter: 5900, Loss: 2.57746e-02, Loss0: 6.52557e-04, Loss_b: 1.20668e-03, Loss_f: 2.15163e-02, Loss_prev: 2.39899e-03
