Start Training:
Iter: 0, Loss: 7.21315e+00, Loss0: 6.78910e+00, Loss_b: 5.21712e-08, Loss_f: 5.78759e-06, Loss_prev: 4.24040e-01
Iter: 100, Loss: 2.87326e-01, Loss0: 7.82201e-02, Loss_b: 1.52614e-04, Loss_f: 4.80618e-02, Loss_prev: 1.60892e-01
Iter: 200, Loss: 1.52074e-01, Loss0: 2.30999e-02, Loss_b: 1.36144e-04, Loss_f: 3.78250e-02, Loss_prev: 9.10130e-02
Iter: 300, Loss: 1.10070e-01, Loss0: 9.47812e-03, Loss_b: 8.09786e-05, Loss_f: 3.28316e-02, Loss_prev: 6.76789e-02
Iter: 400, Loss: 8.91149e-02, Loss0: 5.74966e-03, Loss_b: 5.28367e-05, Loss_f: 2.97338e-02, Loss_prev: 5.35786e-02
Iter: 500, Loss: 1.02782e-01, Loss0: 4.03347e-03, Loss_b: 3.14982e-04, Loss_f: 5.41376e-02, Loss_prev: 4.42956e-02
Iter: 600, Loss: 6.31070e-02, Loss0: 2.86996e-03, Loss_b: 4.21475e-05, Loss_f: 2.40565e-02, Loss_prev: 3.61384e-02
Iter: 700, Loss: 5.58283e-02, Loss0: 2.29224e-03, Loss_b: 4.13538e-05, Loss_f: 2.18347e-02, Loss_prev: 3.16600e-02
Iter: 800, Loss: 5.36436e-02, Loss0: 1.92613e-03, Loss_b: 1.09659e-04, Loss_f: 2.33585e-02, Loss_prev: 2.82493e-02
Iter: 900, Loss: 5.72716e-02, Loss0: 1.96238e-03, Loss_b: 2.62289e-04, Loss_f: 2.88180e-02, Loss_prev: 2.62289e-02
Iter: 1000, Loss: 5.42367e-02, Loss0: 1.52552e-03, Loss_b: 3.49035e-04, Loss_f: 2.87025e-02, Loss_prev: 2.36596e-02
Iter: 1100, Loss: 5.04755e-02, Loss0: 1.50575e-03, Loss_b: 3.25954e-04, Loss_f: 2.58155e-02, Loss_prev: 2.28283e-02
Iter: 1200, Loss: 3.68898e-02, Loss0: 1.16512e-03, Loss_b: 7.12415e-05, Loss_f: 1.46148e-02, Loss_prev: 2.10386e-02
Iter: 1300, Loss: 6.04174e-02, Loss0: 1.37782e-03, Loss_b: 9.29856e-04, Loss_f: 3.81291e-02, Loss_prev: 1.99807e-02
Iter: 1400, Loss: 4.46253e-02, Loss0: 1.26642e-03, Loss_b: 3.76464e-04, Loss_f: 2.39663e-02, Loss_prev: 1.90161e-02
Iter: 1500, Loss: 4.10180e-02, Loss0: 1.11365e-03, Loss_b: 3.39536e-04, Loss_f: 2.12886e-02, Loss_prev: 1.82762e-02
Iter: 1600, Loss: 3.39126e-02, Loss0: 8.76748e-04, Loss_b: 2.06709e-04, Loss_f: 1.62593e-02, Loss_prev: 1.65698e-02
Iter: 1700, Loss: 9.45171e-02, Loss0: 2.27980e-03, Loss_b: 1.94656e-03, Loss_f: 7.14812e-02, Loss_prev: 1.88095e-02
Iter: 1800, Loss: 2.70124e-02, Loss0: 6.94443e-04, Loss_b: 1.30358e-04, Loss_f: 1.08686e-02, Loss_prev: 1.53190e-02
Iter: 1900, Loss: 3.03953e-02, Loss0: 7.44016e-04, Loss_b: 2.41604e-04, Loss_f: 1.46743e-02, Loss_prev: 1.47353e-02
Iter: 2000, Loss: 2.55549e-02, Loss0: 6.66496e-04, Loss_b: 2.06806e-04, Loss_f: 1.07833e-02, Loss_prev: 1.38983e-02
Iter: 2100, Loss: 2.69301e-02, Loss0: 6.50381e-04, Loss_b: 2.06498e-04, Loss_f: 1.25540e-02, Loss_prev: 1.35192e-02
Iter: 2200, Loss: 2.75656e-02, Loss0: 7.45689e-04, Loss_b: 3.35945e-04, Loss_f: 1.32811e-02, Loss_prev: 1.32029e-02
Iter: 2300, Loss: 3.43875e-02, Loss0: 7.67796e-04, Loss_b: 7.72083e-04, Loss_f: 1.91448e-02, Loss_prev: 1.37028e-02
Iter: 2400, Loss: 2.86826e-02, Loss0: 7.13051e-04, Loss_b: 6.03509e-04, Loss_f: 1.55628e-02, Loss_prev: 1.18033e-02
Iter: 2500, Loss: 4.93237e-02, Loss0: 1.14288e-03, Loss_b: 1.19831e-03, Loss_f: 3.43819e-02, Loss_prev: 1.26007e-02
Iter: 2600, Loss: 2.28517e-02, Loss0: 5.26995e-04, Loss_b: 2.08487e-04, Loss_f: 1.12377e-02, Loss_prev: 1.08785e-02
Iter: 2700, Loss: 2.03527e-02, Loss0: 4.56749e-04, Loss_b: 2.02832e-04, Loss_f: 8.60562e-03, Loss_prev: 1.10875e-02
Iter: 2800, Loss: 5.12651e-02, Loss0: 1.10909e-03, Loss_b: 1.22068e-03, Loss_f: 3.75185e-02, Loss_prev: 1.14168e-02
Iter: 2900, Loss: 2.11964e-02, Loss0: 4.71863e-04, Loss_b: 2.71910e-04, Loss_f: 1.05533e-02, Loss_prev: 9.89933e-03
Iter: 3000, Loss: 2.57016e-02, Loss0: 5.10821e-04, Loss_b: 3.97997e-04, Loss_f: 1.48286e-02, Loss_prev: 9.96412e-03
Iter: 3100, Loss: 2.04142e-02, Loss0: 4.61611e-04, Loss_b: 3.42295e-04, Loss_f: 9.92235e-03, Loss_prev: 9.68798e-03
Iter: 3200, Loss: 1.72823e-02, Loss0: 3.76699e-04, Loss_b: 1.36666e-04, Loss_f: 7.16711e-03, Loss_prev: 9.60182e-03
Iter: 3300, Loss: 5.49493e-02, Loss0: 1.42699e-03, Loss_b: 1.84487e-03, Loss_f: 4.20032e-02, Loss_prev: 9.67426e-03
