Start Training:
Iter: 0, Loss: 9.67397e-01, Loss0: 8.80086e-01, Loss_b: 7.19754e-02, Loss_f: 1.53351e-02, Loss_prev: 0.00000e+00
Iter: 100, Loss: 4.98267e-01, Loss0: 4.53536e-01, Loss_b: 1.65519e-02, Loss_f: 2.81791e-02, Loss_prev: 0.00000e+00
Iter: 200, Loss: 2.24931e-01, Loss0: 1.71952e-01, Loss_b: 4.98100e-03, Loss_f: 4.79980e-02, Loss_prev: 0.00000e+00
Iter: 300, Loss: 1.28744e-01, Loss0: 8.50132e-02, Loss_b: 1.02349e-02, Loss_f: 3.34954e-02, Loss_prev: 0.00000e+00
Iter: 400, Loss: 7.76679e-02, Loss0: 4.67325e-02, Loss_b: 2.99534e-04, Loss_f: 3.06358e-02, Loss_prev: 0.00000e+00
Iter: 500, Loss: 5.76597e-02, Loss0: 3.19162e-02, Loss_b: 3.44907e-04, Loss_f: 2.53986e-02, Loss_prev: 0.00000e+00
Iter: 600, Loss: 4.68840e-02, Loss0: 2.18853e-02, Loss_b: 6.72431e-04, Loss_f: 2.43263e-02, Loss_prev: 0.00000e+00
Iter: 700, Loss: 3.96257e-02, Loss0: 1.69886e-02, Loss_b: 3.73927e-04, Loss_f: 2.22632e-02, Loss_prev: 0.00000e+00
Iter: 800, Loss: 3.73163e-02, Loss0: 1.54898e-02, Loss_b: 1.43431e-03, Loss_f: 2.03922e-02, Loss_prev: 0.00000e+00
Iter: 900, Loss: 3.47930e-02, Loss0: 1.24981e-02, Loss_b: 1.30636e-03, Loss_f: 2.09886e-02, Loss_prev: 0.00000e+00
Iter: 1000, Loss: 2.80360e-02, Loss0: 1.20437e-02, Loss_b: 5.58332e-04, Loss_f: 1.54340e-02, Loss_prev: 0.00000e+00
Iter: 1100, Loss: 2.33271e-02, Loss0: 1.03587e-02, Loss_b: 4.76416e-05, Loss_f: 1.29208e-02, Loss_prev: 0.00000e+00
Iter: 1200, Loss: 2.26571e-02, Loss0: 8.86064e-03, Loss_b: 2.05253e-04, Loss_f: 1.35912e-02, Loss_prev: 0.00000e+00
Iter: 1300, Loss: 1.97615e-02, Loss0: 7.71363e-03, Loss_b: 4.86067e-05, Loss_f: 1.19992e-02, Loss_prev: 0.00000e+00
Iter: 1400, Loss: 1.83430e-02, Loss0: 7.25337e-03, Loss_b: 3.25421e-05, Loss_f: 1.10571e-02, Loss_prev: 0.00000e+00
Iter: 1500, Loss: 1.71839e-02, Loss0: 6.52768e-03, Loss_b: 4.24407e-05, Loss_f: 1.06138e-02, Loss_prev: 0.00000e+00
Iter: 1600, Loss: 1.60308e-02, Loss0: 6.22956e-03, Loss_b: 4.38681e-05, Loss_f: 9.75733e-03, Loss_prev: 0.00000e+00
Iter: 1700, Loss: 1.49511e-02, Loss0: 5.63567e-03, Loss_b: 3.27214e-05, Loss_f: 9.28266e-03, Loss_prev: 0.00000e+00
Iter: 1800, Loss: 1.39516e-02, Loss0: 5.39862e-03, Loss_b: 2.18035e-05, Loss_f: 8.53121e-03, Loss_prev: 0.00000e+00
Iter: 1900, Loss: 2.47982e-02, Loss0: 6.05999e-03, Loss_b: 1.05200e-03, Loss_f: 1.76862e-02, Loss_prev: 0.00000e+00
Iter: 2000, Loss: 1.23887e-02, Loss0: 4.70061e-03, Loss_b: 2.10561e-05, Loss_f: 7.66701e-03, Loss_prev: 0.00000e+00
Iter: 2100, Loss: 1.17785e-02, Loss0: 4.54871e-03, Loss_b: 2.12437e-05, Loss_f: 7.20850e-03, Loss_prev: 0.00000e+00
Iter: 2200, Loss: 1.11701e-02, Loss0: 4.19516e-03, Loss_b: 2.23089e-05, Loss_f: 6.95267e-03, Loss_prev: 0.00000e+00
Iter: 2300, Loss: 1.07239e-02, Loss0: 4.05017e-03, Loss_b: 2.94449e-05, Loss_f: 6.64428e-03, Loss_prev: 0.00000e+00
Iter: 2400, Loss: 1.01824e-02, Loss0: 3.88467e-03, Loss_b: 2.30177e-05, Loss_f: 6.27469e-03, Loss_prev: 0.00000e+00
Iter: 2500, Loss: 1.04430e-02, Loss0: 3.71518e-03, Loss_b: 8.39464e-05, Loss_f: 6.64390e-03, Loss_prev: 0.00000e+00
