Start Training:
Iter: 0, Loss: 3.36706e+00, Loss0: 2.22204e+00, Loss_b: 7.34136e-08, Loss_f: 1.83787e-05, Loss_prev: 1.14500e+00
Iter: 100, Loss: 4.04498e-01, Loss0: 5.86111e-02, Loss_b: 4.21039e-04, Loss_f: 1.26044e-01, Loss_prev: 2.19423e-01
Iter: 200, Loss: 2.35849e-01, Loss0: 2.71149e-02, Loss_b: 1.38880e-04, Loss_f: 7.99607e-02, Loss_prev: 1.28635e-01
Iter: 300, Loss: 1.14943e-01, Loss0: 1.71692e-02, Loss_b: 1.31329e-04, Loss_f: 4.40329e-02, Loss_prev: 5.36101e-02
Iter: 400, Loss: 6.86354e-02, Loss0: 9.91225e-03, Loss_b: 7.69998e-05, Loss_f: 2.71856e-02, Loss_prev: 3.14605e-02
Iter: 500, Loss: 5.11717e-02, Loss0: 6.26387e-03, Loss_b: 6.15764e-05, Loss_f: 1.99645e-02, Loss_prev: 2.48817e-02
Iter: 600, Loss: 4.26223e-02, Loss0: 4.30922e-03, Loss_b: 5.41902e-05, Loss_f: 1.64694e-02, Loss_prev: 2.17895e-02
Iter: 700, Loss: 3.75240e-02, Loss0: 3.09824e-03, Loss_b: 4.63579e-05, Loss_f: 1.45140e-02, Loss_prev: 1.98655e-02
Iter: 800, Loss: 3.35055e-02, Loss0: 2.39813e-03, Loss_b: 4.05202e-05, Loss_f: 1.31324e-02, Loss_prev: 1.79344e-02
Iter: 900, Loss: 3.09445e-02, Loss0: 1.91439e-03, Loss_b: 4.30610e-05, Loss_f: 1.23566e-02, Loss_prev: 1.66304e-02
Iter: 1000, Loss: 2.76536e-02, Loss0: 1.51418e-03, Loss_b: 3.17535e-05, Loss_f: 1.11998e-02, Loss_prev: 1.49079e-02
Iter: 1100, Loss: 2.54265e-02, Loss0: 1.20603e-03, Loss_b: 2.78330e-05, Loss_f: 1.04986e-02, Loss_prev: 1.36941e-02
Iter: 1200, Loss: 2.40642e-02, Loss0: 1.03388e-03, Loss_b: 6.74397e-05, Loss_f: 9.92782e-03, Loss_prev: 1.30351e-02
Iter: 1300, Loss: 5.38052e-02, Loss0: 1.01364e-03, Loss_b: 1.17607e-03, Loss_f: 3.92723e-02, Loss_prev: 1.23432e-02
Iter: 1400, Loss: 2.00621e-02, Loss0: 6.89836e-04, Loss_b: 2.27038e-05, Loss_f: 8.85960e-03, Loss_prev: 1.04900e-02
