Start Training:
Iter: 0, Loss: 3.94859e+00, Loss0: 3.53282e+00, Loss_b: 3.00163e-08, Loss_f: 3.71763e-06, Loss_prev: 4.15769e-01
Iter: 100, Loss: 2.58184e-01, Loss0: 6.08792e-02, Loss_b: 9.10290e-05, Loss_f: 3.61752e-02, Loss_prev: 1.61039e-01
Iter: 200, Loss: 1.44758e-01, Loss0: 1.71746e-02, Loss_b: 6.49369e-05, Loss_f: 3.17160e-02, Loss_prev: 9.58027e-02
Iter: 300, Loss: 1.06787e-01, Loss0: 8.41410e-03, Loss_b: 3.91914e-05, Loss_f: 2.78294e-02, Loss_prev: 7.05041e-02
Iter: 400, Loss: 8.17546e-02, Loss0: 5.00347e-03, Loss_b: 3.10280e-05, Loss_f: 2.47915e-02, Loss_prev: 5.19286e-02
Iter: 500, Loss: 6.52240e-02, Loss0: 3.50111e-03, Loss_b: 2.63617e-05, Loss_f: 2.19909e-02, Loss_prev: 3.97057e-02
Iter: 600, Loss: 5.46562e-02, Loss0: 2.57997e-03, Loss_b: 3.17825e-05, Loss_f: 1.92899e-02, Loss_prev: 3.27545e-02
Iter: 700, Loss: 1.91023e-01, Loss0: 3.83656e-03, Loss_b: 8.40753e-03, Loss_f: 1.46485e-01, Loss_prev: 3.22948e-02
Iter: 800, Loss: 6.62449e-02, Loss0: 2.00515e-03, Loss_b: 7.61498e-04, Loss_f: 3.79692e-02, Loss_prev: 2.55090e-02
Iter: 900, Loss: 4.38051e-02, Loss0: 1.36169e-03, Loss_b: 2.94458e-04, Loss_f: 2.04587e-02, Loss_prev: 2.16903e-02
Iter: 1000, Loss: 3.42024e-02, Loss0: 1.08015e-03, Loss_b: 7.30105e-05, Loss_f: 1.37090e-02, Loss_prev: 1.93403e-02
Iter: 1100, Loss: 3.62056e-02, Loss0: 1.04342e-03, Loss_b: 3.75157e-04, Loss_f: 1.74219e-02, Loss_prev: 1.73651e-02
Iter: 1200, Loss: 2.79014e-02, Loss0: 8.40381e-04, Loss_b: 2.69049e-05, Loss_f: 1.06826e-02, Loss_prev: 1.63516e-02
Iter: 1300, Loss: 2.85754e-02, Loss0: 8.37122e-04, Loss_b: 1.73200e-04, Loss_f: 1.20592e-02, Loss_prev: 1.55058e-02
Iter: 1400, Loss: 3.25873e-02, Loss0: 8.37310e-04, Loss_b: 5.42052e-04, Loss_f: 1.68895e-02, Loss_prev: 1.43184e-02
Iter: 1500, Loss: 2.47108e-02, Loss0: 7.24709e-04, Loss_b: 2.03820e-04, Loss_f: 9.97638e-03, Loss_prev: 1.38059e-02
Iter: 1600, Loss: 2.39347e-02, Loss0: 6.96721e-04, Loss_b: 2.82200e-04, Loss_f: 1.07717e-02, Loss_prev: 1.21840e-02
Iter: 1700, Loss: 2.45462e-02, Loss0: 7.29941e-04, Loss_b: 5.59617e-04, Loss_f: 1.13866e-02, Loss_prev: 1.18700e-02
Iter: 1800, Loss: 1.97146e-02, Loss0: 5.55002e-04, Loss_b: 4.30655e-05, Loss_f: 7.48559e-03, Loss_prev: 1.16309e-02
Iter: 1900, Loss: 1.94979e-02, Loss0: 5.47356e-04, Loss_b: 1.24342e-04, Loss_f: 7.77570e-03, Loss_prev: 1.10505e-02
Iter: 2000, Loss: 2.90854e-02, Loss0: 7.64497e-04, Loss_b: 1.03676e-03, Loss_f: 1.69291e-02, Loss_prev: 1.03551e-02
Iter: 2100, Loss: 2.03624e-02, Loss0: 5.85434e-04, Loss_b: 3.51603e-04, Loss_f: 8.63640e-03, Loss_prev: 1.07890e-02
Iter: 2200, Loss: 1.87772e-02, Loss0: 4.75994e-04, Loss_b: 1.45127e-04, Loss_f: 7.67365e-03, Loss_prev: 1.04824e-02
Iter: 2300, Loss: 2.83237e-02, Loss0: 6.98005e-04, Loss_b: 9.08330e-04, Loss_f: 1.71591e-02, Loss_prev: 9.55827e-03
Iter: 2400, Loss: 2.45867e-02, Loss0: 5.86419e-04, Loss_b: 7.30314e-04, Loss_f: 1.27640e-02, Loss_prev: 1.05060e-02
Iter: 2500, Loss: 1.87453e-02, Loss0: 4.40676e-04, Loss_b: 3.13543e-04, Loss_f: 8.25558e-03, Loss_prev: 9.73550e-03
Iter: 2600, Loss: 2.15242e-02, Loss0: 4.76588e-04, Loss_b: 5.28650e-04, Loss_f: 1.05416e-02, Loss_prev: 9.97734e-03
Iter: 2700, Loss: 1.69257e-02, Loss0: 3.82279e-04, Loss_b: 1.85769e-04, Loss_f: 7.24042e-03, Loss_prev: 9.11722e-03
Iter: 2800, Loss: 3.94476e-02, Loss0: 9.90598e-04, Loss_b: 2.76746e-03, Loss_f: 2.45921e-02, Loss_prev: 1.10974e-02
Iter: 2900, Loss: 2.40498e-02, Loss0: 6.87333e-04, Loss_b: 1.17653e-03, Loss_f: 1.24391e-02, Loss_prev: 9.74684e-03
Iter: 3000, Loss: 1.42643e-02, Loss0: 2.69696e-04, Loss_b: 9.29890e-06, Loss_f: 5.15127e-03, Loss_prev: 8.83409e-03
Iter: 3100, Loss: 1.52995e-02, Loss0: 2.94628e-04, Loss_b: 1.69381e-04, Loss_f: 6.16237e-03, Loss_prev: 8.67310e-03
Iter: 3200, Loss: 4.84728e-02, Loss0: 1.27925e-03, Loss_b: 3.87838e-03, Loss_f: 3.23244e-02, Loss_prev: 1.09908e-02
Iter: 3300, Loss: 3.34423e-02, Loss0: 9.24790e-04, Loss_b: 2.35468e-03, Loss_f: 2.08764e-02, Loss_prev: 9.28651e-03
Iter: 3400, Loss: 3.77560e-02, Loss0: 9.09968e-04, Loss_b: 2.38663e-03, Loss_f: 2.52459e-02, Loss_prev: 9.21350e-03
Iter: 3500, Loss: 1.59244e-02, Loss0: 2.95685e-04, Loss_b: 2.69688e-04, Loss_f: 7.90607e-03, Loss_prev: 7.45299e-03
Iter: 3600, Loss: 1.59831e-02, Loss0: 3.05013e-04, Loss_b: 2.51310e-04, Loss_f: 7.69597e-03, Loss_prev: 7.73078e-03
Iter: 3700, Loss: 2.10625e-02, Loss0: 4.34798e-04, Loss_b: 7.18871e-04, Loss_f: 1.14380e-02, Loss_prev: 8.47078e-03
Iter: 3800, Loss: 1.25455e-02, Loss0: 2.08800e-04, Loss_b: 3.62327e-05, Loss_f: 4.58736e-03, Loss_prev: 7.71311e-03
Iter: 3900, Loss: 1.21896e-02, Loss0: 1.99766e-04, Loss_b: 3.09306e-05, Loss_f: 4.53804e-03, Loss_prev: 7.42090e-03
Iter: 4000, Loss: 2.07291e-02, Loss0: 3.73037e-04, Loss_b: 8.30360e-04, Loss_f: 1.14152e-02, Loss_prev: 8.11056e-03
Iter: 4100, Loss: 2.42577e-02, Loss0: 5.04084e-04, Loss_b: 1.51738e-03, Loss_f: 1.37183e-02, Loss_prev: 8.51798e-03
Iter: 4200, Loss: 1.24516e-02, Loss0: 2.02034e-04, Loss_b: 1.33745e-04, Loss_f: 4.93378e-03, Loss_prev: 7.18206e-03
Iter: 4300, Loss: 1.11661e-02, Loss0: 1.77337e-04, Loss_b: 1.82668e-05, Loss_f: 4.39050e-03, Loss_prev: 6.58002e-03
Iter: 4400, Loss: 1.53951e-02, Loss0: 2.51271e-04, Loss_b: 3.34392e-04, Loss_f: 7.81374e-03, Loss_prev: 6.99566e-03
Iter: 4500, Loss: 1.70388e-02, Loss0: 3.21435e-04, Loss_b: 5.81888e-04, Loss_f: 8.28924e-03, Loss_prev: 7.84619e-03
Iter: 4600, Loss: 1.13965e-02, Loss0: 1.82491e-04, Loss_b: 1.06918e-04, Loss_f: 4.42158e-03, Loss_prev: 6.68554e-03
Iter: 4700, Loss: 3.40361e-02, Loss0: 5.78670e-04, Loss_b: 2.31734e-03, Loss_f: 2.37302e-02, Loss_prev: 7.40994e-03
Iter: 4800, Loss: 1.22429e-02, Loss0: 2.31128e-04, Loss_b: 1.47155e-04, Loss_f: 5.38719e-03, Loss_prev: 6.47743e-03
Iter: 4900, Loss: 1.01315e-02, Loss0: 1.62932e-04, Loss_b: 2.74520e-05, Loss_f: 3.87372e-03, Loss_prev: 6.06742e-03
Iter: 5000, Loss: 1.45317e-02, Loss0: 2.47280e-04, Loss_b: 3.07261e-04, Loss_f: 8.37766e-03, Loss_prev: 5.59952e-03
Iter: 5100, Loss: 1.21957e-02, Loss0: 1.97216e-04, Loss_b: 1.85762e-04, Loss_f: 5.49175e-03, Loss_prev: 6.32096e-03
Iter: 5200, Loss: 1.54205e-02, Loss0: 2.90525e-04, Loss_b: 3.75687e-04, Loss_f: 8.77791e-03, Loss_prev: 5.97637e-03
Iter: 5300, Loss: 9.28684e-03, Loss0: 1.44669e-04, Loss_b: 3.26157e-05, Loss_f: 3.63676e-03, Loss_prev: 5.47280e-03
Iter: 5400, Loss: 1.21534e-02, Loss0: 2.77603e-04, Loss_b: 3.07651e-04, Loss_f: 6.19248e-03, Loss_prev: 5.37570e-03
Iter: 5500, Loss: 1.03238e-02, Loss0: 2.09927e-04, Loss_b: 1.27568e-04, Loss_f: 4.03941e-03, Loss_prev: 5.94691e-03
Iter: 5600, Loss: 8.68652e-03, Loss0: 1.25324e-04, Loss_b: 4.09241e-06, Loss_f: 2.97102e-03, Loss_prev: 5.58608e-03
