Start Training:
Iter: 0, Loss: 1.36763e+00, Loss_0: 7.33317e-01, Loss_b: 5.98653e-01, Loss_f: 3.56630e-02
Iter: 100, Loss: 8.96864e-02, Loss_0: 8.75606e-02, Loss_b: 6.91618e-04, Loss_f: 1.43420e-03
Iter: 200, Loss: 7.43615e-02, Loss_0: 7.30712e-02, Loss_b: 3.29195e-04, Loss_f: 9.61110e-04
Iter: 300, Loss: 3.72967e-02, Loss_0: 3.21351e-02, Loss_b: 8.78976e-05, Loss_f: 5.07379e-03
Iter: 400, Loss: 9.27744e-03, Loss_0: 7.44277e-03, Loss_b: 9.86126e-04, Loss_f: 8.48540e-04
Iter: 500, Loss: 1.65356e-03, Loss_0: 1.09932e-03, Loss_b: 1.41469e-04, Loss_f: 4.12769e-04
Iter: 600, Loss: 9.29161e-04, Loss_0: 4.12474e-04, Loss_b: 1.45836e-05, Loss_f: 5.02103e-04
Iter: 700, Loss: 8.33391e-04, Loss_0: 2.74945e-04, Loss_b: 8.26284e-05, Loss_f: 4.75818e-04
Iter: 800, Loss: 6.42729e-04, Loss_0: 2.04652e-04, Loss_b: 1.75512e-05, Loss_f: 4.20526e-04
Iter: 900, Loss: 5.20649e-04, Loss_0: 1.31434e-04, Loss_b: 4.72566e-06, Loss_f: 3.84489e-04
Iter: 1000, Loss: 1.41748e-03, Loss_0: 3.46108e-04, Loss_b: 7.34102e-04, Loss_f: 3.37273e-04
Iter: 1100, Loss: 3.60746e-04, Loss_0: 7.51926e-05, Loss_b: 3.63840e-06, Loss_f: 2.81915e-04
Iter: 1200, Loss: 3.08095e-04, Loss_0: 6.10834e-05, Loss_b: 9.64158e-06, Loss_f: 2.37370e-04
Iter: 1300, Loss: 2.40068e-04, Loss_0: 3.66728e-05, Loss_b: 2.72036e-06, Loss_f: 2.00674e-04
Iter: 1400, Loss: 7.09861e-04, Loss_0: 1.60746e-04, Loss_b: 3.86594e-04, Loss_f: 1.62521e-04
Iter: 1500, Loss: 1.63546e-04, Loss_0: 2.29168e-05, Loss_b: 1.13508e-06, Loss_f: 1.39494e-04
Iter: 1600, Loss: 1.43160e-04, Loss_0: 1.92284e-05, Loss_b: 2.22596e-06, Loss_f: 1.21706e-04
Iter: 1700, Loss: 1.37209e-04, Loss_0: 2.38033e-05, Loss_b: 6.20602e-06, Loss_f: 1.07199e-04
Iter: 1800, Loss: 1.08036e-04, Loss_0: 1.00069e-05, Loss_b: 3.83017e-07, Loss_f: 9.76462e-05
Iter: 1900, Loss: 1.22400e-04, Loss_0: 2.80073e-05, Loss_b: 2.77712e-06, Loss_f: 9.16151e-05
Iter: 2000, Loss: 9.33568e-05, Loss_0: 8.33947e-06, Loss_b: 1.77212e-07, Loss_f: 8.48401e-05
Iter: 2100, Loss: 1.04148e-04, Loss_0: 2.11026e-05, Loss_b: 2.63146e-06, Loss_f: 8.04141e-05
Iter: 2200, Loss: 8.16136e-05, Loss_0: 5.49511e-06, Loss_b: 9.73058e-07, Loss_f: 7.51454e-05
Iter: 2300, Loss: 7.94127e-05, Loss_0: 5.65879e-06, Loss_b: 1.53208e-06, Loss_f: 7.22218e-05
Iter: 2400, Loss: 8.25743e-04, Loss_0: 6.99376e-04, Loss_b: 2.39367e-05, Loss_f: 1.02430e-04
Iter: 2500, Loss: 7.03113e-05, Loss_0: 4.86058e-06, Loss_b: 1.42154e-07, Loss_f: 6.53086e-05
Iter: 2600, Loss: 7.78722e-04, Loss_0: 6.80990e-04, Loss_b: 3.87120e-06, Loss_f: 9.38604e-05
Iter: 2700, Loss: 1.22198e-04, Loss_0: 9.79466e-06, Loss_b: 4.97551e-05, Loss_f: 6.26481e-05
Iter: 2800, Loss: 6.20559e-05, Loss_0: 3.42893e-06, Loss_b: 3.73488e-07, Loss_f: 5.82534e-05
Iter: 2900, Loss: 6.07035e-05, Loss_0: 4.64753e-06, Loss_b: 1.70804e-07, Loss_f: 5.58852e-05
Iter: 3000, Loss: 1.05319e-04, Loss_0: 1.21517e-05, Loss_b: 3.83519e-05, Loss_f: 5.48156e-05
Iter: 3100, Loss: 5.37628e-05, Loss_0: 3.15487e-06, Loss_b: 1.64617e-07, Loss_f: 5.04433e-05
Iter: 3200, Loss: 6.35505e-05, Loss_0: 5.56078e-06, Loss_b: 5.65709e-06, Loss_f: 5.23327e-05
Iter: 3300, Loss: 5.47988e-05, Loss_0: 3.34966e-06, Loss_b: 2.58868e-06, Loss_f: 4.88605e-05
Iter: 3400, Loss: 4.80043e-05, Loss_0: 2.64305e-06, Loss_b: 3.08175e-07, Loss_f: 4.50530e-05
Iter: 3500, Loss: 5.34026e-05, Loss_0: 4.03739e-06, Loss_b: 4.58488e-06, Loss_f: 4.47803e-05
Iter: 3600, Loss: 2.19816e-04, Loss_0: 9.16697e-05, Loss_b: 7.64403e-05, Loss_f: 5.17064e-05
Iter: 3700, Loss: 1.32873e-04, Loss_0: 1.47382e-05, Loss_b: 7.71304e-05, Loss_f: 4.10042e-05
Iter: 3800, Loss: 3.99277e-05, Loss_0: 2.35401e-06, Loss_b: 3.18389e-07, Loss_f: 3.72553e-05
Iter: 3900, Loss: 8.66158e-05, Loss_0: 1.97020e-05, Loss_b: 2.56964e-05, Loss_f: 4.12175e-05
Iter: 4000, Loss: 3.67700e-05, Loss_0: 2.25671e-06, Loss_b: 2.49789e-07, Loss_f: 3.42635e-05
Iter: 4100, Loss: 5.77763e-05, Loss_0: 8.14814e-06, Loss_b: 1.28732e-05, Loss_f: 3.67550e-05
Iter: 4200, Loss: 4.11192e-05, Loss_0: 2.72203e-06, Loss_b: 6.00332e-06, Loss_f: 3.23938e-05
Iter: 4300, Loss: 3.43827e-05, Loss_0: 2.40071e-06, Loss_b: 3.78761e-07, Loss_f: 3.16032e-05
Iter: 4400, Loss: 3.62996e-03, Loss_0: 1.20457e-03, Loss_b: 2.35049e-03, Loss_f: 7.49070e-05
Iter: 4500, Loss: 3.14579e-05, Loss_0: 1.97964e-06, Loss_b: 2.63861e-07, Loss_f: 2.92144e-05
Iter: 4600, Loss: 4.67188e-03, Loss_0: 1.72725e-03, Loss_b: 2.78608e-03, Loss_f: 1.58546e-04
Iter: 4700, Loss: 3.23264e-05, Loss_0: 2.07975e-06, Loss_b: 3.37034e-07, Loss_f: 2.99097e-05
Iter: 4800, Loss: 2.83172e-05, Loss_0: 1.75460e-06, Loss_b: 2.45786e-07, Loss_f: 2.63168e-05
Iter: 4900, Loss: 3.96948e-05, Loss_0: 5.00302e-06, Loss_b: 8.27108e-06, Loss_f: 2.64207e-05
Iter: 5000, Loss: 2.58542e-05, Loss_0: 1.70285e-06, Loss_b: 2.40623e-07, Loss_f: 2.39107e-05
Iter: 5100, Loss: 1.24882e-04, Loss_0: 3.00443e-05, Loss_b: 6.30947e-05, Loss_f: 3.17430e-05
Iter: 5200, Loss: 2.96010e-05, Loss_0: 2.56384e-06, Loss_b: 1.56842e-06, Loss_f: 2.54688e-05
Iter: 5300, Loss: 2.42292e-05, Loss_0: 1.55085e-06, Loss_b: 1.92589e-07, Loss_f: 2.24858e-05
Iter: 5400, Loss: 3.89454e-05, Loss_0: 4.74976e-06, Loss_b: 1.05772e-05, Loss_f: 2.36184e-05
Iter: 5500, Loss: 1.69259e-03, Loss_0: 7.09533e-04, Loss_b: 9.44690e-04, Loss_f: 3.83640e-05
Iter: 5600, Loss: 2.22580e-05, Loss_0: 1.59318e-06, Loss_b: 2.00444e-07, Loss_f: 2.04644e-05
Iter: 5700, Loss: 2.44343e-05, Loss_0: 1.78772e-06, Loss_b: 8.26051e-07, Loss_f: 2.18206e-05
Iter: 5800, Loss: 1.52155e-04, Loss_0: 1.95329e-05, Loss_b: 1.09971e-04, Loss_f: 2.26508e-05
Iter: 5900, Loss: 3.36701e-05, Loss_0: 1.29418e-05, Loss_b: 9.62591e-07, Loss_f: 1.97658e-05
Iter: 6000, Loss: 2.79385e-05, Loss_0: 3.19157e-06, Loss_b: 4.76365e-06, Loss_f: 1.99832e-05
Iter: 6100, Loss: 1.99319e-05, Loss_0: 1.32856e-06, Loss_b: 1.72806e-07, Loss_f: 1.84305e-05
Iter: 6200, Loss: 2.22498e-05, Loss_0: 2.65685e-06, Loss_b: 1.19482e-06, Loss_f: 1.83982e-05
Iter: 6300, Loss: 8.60219e-05, Loss_0: 3.42833e-05, Loss_b: 3.00239e-05, Loss_f: 2.17147e-05
Iter: 6400, Loss: 2.04569e-03, Loss_0: 6.51028e-04, Loss_b: 1.36889e-03, Loss_f: 2.57731e-05
Iter: 6500, Loss: 2.52645e-05, Loss_0: 3.57318e-06, Loss_b: 5.42612e-06, Loss_f: 1.62652e-05
Iter: 6600, Loss: 1.86060e-05, Loss_0: 1.55838e-06, Loss_b: 4.30353e-07, Loss_f: 1.66173e-05
Iter: 6700, Loss: 9.56065e-04, Loss_0: 4.58257e-04, Loss_b: 4.60301e-04, Loss_f: 3.75074e-05
Iter: 6800, Loss: 2.29176e-04, Loss_0: 1.58163e-04, Loss_b: 4.49185e-05, Loss_f: 2.60948e-05
Iter: 6900, Loss: 5.17660e-05, Loss_0: 5.97536e-06, Loss_b: 3.01023e-05, Loss_f: 1.56884e-05
Iter: 7000, Loss: 1.62182e-05, Loss_0: 1.58416e-06, Loss_b: 2.39578e-07, Loss_f: 1.43945e-05
Iter: 7100, Loss: 1.08591e-04, Loss_0: 3.93020e-05, Loss_b: 5.41422e-05, Loss_f: 1.51465e-05
Iter: 7200, Loss: 7.11730e-05, Loss_0: 3.00953e-05, Loss_b: 2.65391e-05, Loss_f: 1.45386e-05
Iter: 7300, Loss: 3.41664e-05, Loss_0: 9.20350e-06, Loss_b: 1.15676e-05, Loss_f: 1.33953e-05
Iter: 7400, Loss: 2.42241e-05, Loss_0: 6.96912e-06, Loss_b: 3.03096e-06, Loss_f: 1.42240e-05
Iter: 7500, Loss: 1.38185e-05, Loss_0: 1.24064e-06, Loss_b: 2.14784e-07, Loss_f: 1.23631e-05
Iter: 7600, Loss: 2.45812e-04, Loss_0: 1.80926e-04, Loss_b: 4.59533e-05, Loss_f: 1.89328e-05
Iter: 7700, Loss: 4.62704e-04, Loss_0: 2.69243e-04, Loss_b: 1.72118e-04, Loss_f: 2.13424e-05
Iter: 7800, Loss: 1.24423e-05, Loss_0: 1.18853e-06, Loss_b: 1.15134e-07, Loss_f: 1.11386e-05
Iter: 7900, Loss: 1.22870e-04, Loss_0: 6.23792e-05, Loss_b: 4.49078e-05, Loss_f: 1.55826e-05
Iter: 8000, Loss: 1.52548e-05, Loss_0: 3.18217e-06, Loss_b: 1.76906e-06, Loss_f: 1.03036e-05
