Start Training:
Iter: 0, Loss: 1.13659e+00, Loss_0: 6.01597e-01, Loss_b: 1.85343e-01, Loss_f: 3.49650e-01
Iter: 100, Loss: 4.12016e-01, Loss_0: 3.79149e-01, Loss_b: 1.48649e-03, Loss_f: 3.13808e-02
Iter: 200, Loss: 2.96800e-01, Loss_0: 2.63258e-01, Loss_b: 2.36972e-04, Loss_f: 3.33053e-02
Iter: 300, Loss: 2.72251e-01, Loss_0: 2.18179e-01, Loss_b: 1.37491e-02, Loss_f: 4.03228e-02
Iter: 400, Loss: 2.36505e-01, Loss_0: 1.89010e-01, Loss_b: 1.49768e-04, Loss_f: 4.73449e-02
Iter: 500, Loss: 2.24663e-01, Loss_0: 1.72297e-01, Loss_b: 7.44509e-04, Loss_f: 5.16214e-02
Iter: 600, Loss: 2.15068e-01, Loss_0: 1.63454e-01, Loss_b: 5.89629e-04, Loss_f: 5.10243e-02
Iter: 700, Loss: 2.04114e-01, Loss_0: 1.55239e-01, Loss_b: 9.04520e-05, Loss_f: 4.87842e-02
Iter: 800, Loss: 1.99173e-01, Loss_0: 1.49698e-01, Loss_b: 1.86294e-04, Loss_f: 4.92888e-02
Iter: 900, Loss: 1.89652e-01, Loss_0: 1.44312e-01, Loss_b: 1.88979e-04, Loss_f: 4.51503e-02
Iter: 1000, Loss: 1.86961e-01, Loss_0: 1.38207e-01, Loss_b: 1.97767e-04, Loss_f: 4.85561e-02
Iter: 1100, Loss: 1.80597e-01, Loss_0: 1.35135e-01, Loss_b: 1.51935e-04, Loss_f: 4.53098e-02
Iter: 1200, Loss: 1.90130e-01, Loss_0: 1.28900e-01, Loss_b: 2.06853e-03, Loss_f: 5.91621e-02
Iter: 1300, Loss: 1.65553e-01, Loss_0: 1.24786e-01, Loss_b: 9.93818e-05, Loss_f: 4.06684e-02
Iter: 1400, Loss: 1.63026e-01, Loss_0: 1.18935e-01, Loss_b: 1.22220e-04, Loss_f: 4.39691e-02
Iter: 1500, Loss: 1.57351e-01, Loss_0: 1.16311e-01, Loss_b: 1.86383e-04, Loss_f: 4.08530e-02
Iter: 1600, Loss: 1.65959e-01, Loss_0: 1.12336e-01, Loss_b: 1.73372e-04, Loss_f: 5.34493e-02
Iter: 1700, Loss: 1.39060e-01, Loss_0: 1.05170e-01, Loss_b: 1.22319e-04, Loss_f: 3.37676e-02
Iter: 1800, Loss: 1.34543e-01, Loss_0: 1.01697e-01, Loss_b: 1.11410e-03, Loss_f: 3.17315e-02
Iter: 1900, Loss: 1.31247e-01, Loss_0: 9.87885e-02, Loss_b: 9.26746e-05, Loss_f: 3.23658e-02
Iter: 2000, Loss: 1.30890e-01, Loss_0: 9.46967e-02, Loss_b: 3.67244e-04, Loss_f: 3.58260e-02
Iter: 2100, Loss: 1.23153e-01, Loss_0: 9.37354e-02, Loss_b: 9.82300e-05, Loss_f: 2.93189e-02
Iter: 2200, Loss: 1.24412e-01, Loss_0: 9.01964e-02, Loss_b: 9.60843e-05, Loss_f: 3.41192e-02
Iter: 2300, Loss: 1.17364e-01, Loss_0: 8.85947e-02, Loss_b: 8.61438e-05, Loss_f: 2.86828e-02
Iter: 2400, Loss: 1.24740e-01, Loss_0: 8.36997e-02, Loss_b: 2.41713e-04, Loss_f: 4.07990e-02
Iter: 2500, Loss: 1.10611e-01, Loss_0: 8.43367e-02, Loss_b: 7.87232e-05, Loss_f: 2.61957e-02
Iter: 2600, Loss: 1.09409e-01, Loss_0: 8.28011e-02, Loss_b: 1.72540e-04, Loss_f: 2.64352e-02
Iter: 2700, Loss: 1.18023e-01, Loss_0: 8.15756e-02, Loss_b: 9.95648e-05, Loss_f: 3.63482e-02
Iter: 2800, Loss: 1.06884e-01, Loss_0: 8.05850e-02, Loss_b: 9.88486e-05, Loss_f: 2.62004e-02
Iter: 2900, Loss: 1.03398e-01, Loss_0: 7.87792e-02, Loss_b: 9.66014e-05, Loss_f: 2.45226e-02
Iter: 3000, Loss: 1.01662e-01, Loss_0: 7.76804e-02, Loss_b: 1.12351e-04, Loss_f: 2.38690e-02
