Start Training:
Iter: 0, Loss: 1.24060e+00, Loss_0: 9.58936e-01, Loss_b: 2.80011e-01, Loss_f: 1.65367e-03
Iter: 100, Loss: 5.10854e-01, Loss_0: 4.77637e-01, Loss_b: 1.31898e-02, Loss_f: 2.00268e-02
Iter: 200, Loss: 2.43692e-01, Loss_0: 1.89975e-01, Loss_b: 5.95578e-03, Loss_f: 4.77611e-02
Iter: 300, Loss: 1.20249e-01, Loss_0: 7.69619e-02, Loss_b: 7.77663e-04, Loss_f: 4.25096e-02
Iter: 400, Loss: 7.52744e-02, Loss_0: 4.06443e-02, Loss_b: 7.42977e-04, Loss_f: 3.38871e-02
Iter: 500, Loss: 5.35823e-02, Loss_0: 2.49768e-02, Loss_b: 4.71509e-04, Loss_f: 2.81339e-02
Iter: 600, Loss: 4.20258e-02, Loss_0: 1.73433e-02, Loss_b: 3.57503e-04, Loss_f: 2.43250e-02
Iter: 700, Loss: 4.81320e-02, Loss_0: 1.20094e-02, Loss_b: 7.87360e-03, Loss_f: 2.82490e-02
Iter: 800, Loss: 2.96493e-02, Loss_0: 9.01829e-03, Loss_b: 7.64184e-04, Loss_f: 1.98668e-02
Iter: 900, Loss: 2.47746e-02, Loss_0: 7.44606e-03, Loss_b: 1.30743e-04, Loss_f: 1.71978e-02
Iter: 1000, Loss: 2.16406e-02, Loss_0: 6.42530e-03, Loss_b: 1.13568e-04, Loss_f: 1.51017e-02
Iter: 1100, Loss: 1.98548e-02, Loss_0: 6.18473e-03, Loss_b: 2.50126e-04, Loss_f: 1.34199e-02
Iter: 1200, Loss: 2.34295e-02, Loss_0: 7.31141e-03, Loss_b: 8.85710e-04, Loss_f: 1.52324e-02
Iter: 1300, Loss: 1.82693e-02, Loss_0: 3.56052e-03, Loss_b: 1.20336e-03, Loss_f: 1.35054e-02
Iter: 1400, Loss: 1.44433e-02, Loss_0: 3.57901e-03, Loss_b: 3.13303e-05, Loss_f: 1.08329e-02
Iter: 1500, Loss: 1.34689e-02, Loss_0: 3.17711e-03, Loss_b: 7.88033e-05, Loss_f: 1.02130e-02
Iter: 1600, Loss: 1.27023e-02, Loss_0: 3.28282e-03, Loss_b: 1.22741e-04, Loss_f: 9.29678e-03
Iter: 1700, Loss: 1.25531e-02, Loss_0: 3.15054e-03, Loss_b: 2.14616e-04, Loss_f: 9.18793e-03
Iter: 1800, Loss: 1.24324e-02, Loss_0: 2.76977e-03, Loss_b: 5.51264e-04, Loss_f: 9.11138e-03
Iter: 1900, Loss: 1.18140e-02, Loss_0: 2.40886e-03, Loss_b: 4.55853e-04, Loss_f: 8.94932e-03
