Start Training:
Iter: 0, Loss: 1.50809e+00, Loss_0: 1.35310e+00, Loss_b: 9.43783e-02, Loss_f: 6.06132e-02
Iter: 100, Loss: 3.81288e-01, Loss_0: 3.67400e-01, Loss_b: 1.74973e-03, Loss_f: 1.21378e-02
Iter: 200, Loss: 1.31584e-01, Loss_0: 8.94015e-02, Loss_b: 4.44301e-04, Loss_f: 4.17379e-02
Iter: 300, Loss: 8.05217e-02, Loss_0: 4.52910e-02, Loss_b: 5.22343e-03, Loss_f: 3.00074e-02
Iter: 400, Loss: 5.97200e-02, Loss_0: 2.63246e-02, Loss_b: 6.97780e-03, Loss_f: 2.64176e-02
Iter: 500, Loss: 4.29187e-02, Loss_0: 1.94466e-02, Loss_b: 4.61097e-04, Loss_f: 2.30109e-02
Iter: 600, Loss: 5.09378e-02, Loss_0: 1.92440e-02, Loss_b: 1.04090e-02, Loss_f: 2.12849e-02
Iter: 700, Loss: 3.59681e-02, Loss_0: 1.53193e-02, Loss_b: 8.27682e-04, Loss_f: 1.98211e-02
Iter: 800, Loss: 3.29910e-02, Loss_0: 1.39394e-02, Loss_b: 5.32899e-05, Loss_f: 1.89982e-02
Iter: 900, Loss: 3.22213e-02, Loss_0: 1.27728e-02, Loss_b: 5.00890e-04, Loss_f: 1.89476e-02
Iter: 1000, Loss: 3.04892e-02, Loss_0: 1.27696e-02, Loss_b: 4.86534e-04, Loss_f: 1.72331e-02
Iter: 1100, Loss: 3.46606e-02, Loss_0: 1.11768e-02, Loss_b: 2.77169e-03, Loss_f: 2.07121e-02
Iter: 1200, Loss: 2.76445e-02, Loss_0: 1.13964e-02, Loss_b: 2.27164e-04, Loss_f: 1.60210e-02
Iter: 1300, Loss: 2.62098e-02, Loss_0: 1.13244e-02, Loss_b: 2.44447e-05, Loss_f: 1.48610e-02
Iter: 1400, Loss: 2.51868e-02, Loss_0: 1.09478e-02, Loss_b: 1.70787e-05, Loss_f: 1.42219e-02
Iter: 1500, Loss: 2.63437e-02, Loss_0: 1.00896e-02, Loss_b: 8.08566e-04, Loss_f: 1.54456e-02
Iter: 1600, Loss: 2.37671e-02, Loss_0: 1.04745e-02, Loss_b: 7.88086e-05, Loss_f: 1.32138e-02
Iter: 1700, Loss: 2.44977e-02, Loss_0: 9.98327e-03, Loss_b: 7.11889e-04, Loss_f: 1.38026e-02
Iter: 1800, Loss: 2.25536e-02, Loss_0: 1.03782e-02, Loss_b: 6.52715e-05, Loss_f: 1.21101e-02
Iter: 1900, Loss: 2.25452e-02, Loss_0: 9.86284e-03, Loss_b: 2.39928e-04, Loss_f: 1.24424e-02
Iter: 2000, Loss: 2.41819e-02, Loss_0: 9.29770e-03, Loss_b: 6.96809e-04, Loss_f: 1.41874e-02
Iter: 2100, Loss: 2.20093e-02, Loss_0: 9.14722e-03, Loss_b: 1.93501e-04, Loss_f: 1.26685e-02
Iter: 2200, Loss: 2.07686e-02, Loss_0: 9.81292e-03, Loss_b: 3.61699e-05, Loss_f: 1.09195e-02
Iter: 2300, Loss: 2.03763e-02, Loss_0: 9.47093e-03, Loss_b: 1.68695e-05, Loss_f: 1.08885e-02
Iter: 2400, Loss: 2.00310e-02, Loss_0: 9.36140e-03, Loss_b: 1.36966e-05, Loss_f: 1.06559e-02
Iter: 2500, Loss: 1.97623e-02, Loss_0: 9.38634e-03, Loss_b: 1.34563e-05, Loss_f: 1.03625e-02
Iter: 2600, Loss: 1.94933e-02, Loss_0: 9.11559e-03, Loss_b: 5.83283e-05, Loss_f: 1.03194e-02
Iter: 2700, Loss: 2.37670e-02, Loss_0: 1.10843e-02, Loss_b: 1.45621e-03, Loss_f: 1.12265e-02
Iter: 2800, Loss: 1.89997e-02, Loss_0: 9.17081e-03, Loss_b: 1.69523e-05, Loss_f: 9.81195e-03
Iter: 2900, Loss: 1.87719e-02, Loss_0: 9.11439e-03, Loss_b: 4.19017e-05, Loss_f: 9.61559e-03
Iter: 3000, Loss: 1.88948e-02, Loss_0: 9.39703e-03, Loss_b: 2.22306e-04, Loss_f: 9.27547e-03
Iter: 3100, Loss: 2.85472e-02, Loss_0: 8.70059e-03, Loss_b: 2.48221e-03, Loss_f: 1.73644e-02
Iter: 3200, Loss: 1.92802e-02, Loss_0: 8.18863e-03, Loss_b: 1.71995e-04, Loss_f: 1.09196e-02
Iter: 3300, Loss: 1.90758e-02, Loss_0: 8.99855e-03, Loss_b: 5.37046e-04, Loss_f: 9.54023e-03
Iter: 3400, Loss: 1.76732e-02, Loss_0: 8.68951e-03, Loss_b: 2.05708e-05, Loss_f: 8.96314e-03
Iter: 3500, Loss: 1.75736e-02, Loss_0: 8.01431e-03, Loss_b: 2.10811e-04, Loss_f: 9.34852e-03
Iter: 3600, Loss: 1.70556e-02, Loss_0: 8.31719e-03, Loss_b: 2.06583e-05, Loss_f: 8.71772e-03
Iter: 3700, Loss: 1.73529e-02, Loss_0: 8.02189e-03, Loss_b: 2.34820e-05, Loss_f: 9.30750e-03
Iter: 3800, Loss: 1.67574e-02, Loss_0: 7.85823e-03, Loss_b: 1.13313e-04, Loss_f: 8.78590e-03
Iter: 3900, Loss: 1.78589e-02, Loss_0: 8.33633e-03, Loss_b: 1.08366e-04, Loss_f: 9.41416e-03
Iter: 4000, Loss: 1.63514e-02, Loss_0: 7.91087e-03, Loss_b: 5.65731e-05, Loss_f: 8.38396e-03
Iter: 4100, Loss: 2.20919e-02, Loss_0: 7.03283e-03, Loss_b: 1.58897e-03, Loss_f: 1.34701e-02
Iter: 4200, Loss: 1.60574e-02, Loss_0: 7.35768e-03, Loss_b: 1.48864e-04, Loss_f: 8.55084e-03
Iter: 4300, Loss: 1.58258e-02, Loss_0: 7.07251e-03, Loss_b: 7.41617e-05, Loss_f: 8.67914e-03
Iter: 4400, Loss: 1.72486e-02, Loss_0: 7.51256e-03, Loss_b: 7.09673e-04, Loss_f: 9.02635e-03
Iter: 4500, Loss: 1.64606e-02, Loss_0: 7.52435e-03, Loss_b: 7.78074e-04, Loss_f: 8.15814e-03
Iter: 4600, Loss: 1.51248e-02, Loss_0: 6.97695e-03, Loss_b: 8.11113e-05, Loss_f: 8.06679e-03
Iter: 4700, Loss: 1.50427e-02, Loss_0: 6.86873e-03, Loss_b: 1.09980e-04, Loss_f: 8.06401e-03
Iter: 4800, Loss: 1.62714e-02, Loss_0: 6.79825e-03, Loss_b: 7.40430e-04, Loss_f: 8.73273e-03
Iter: 4900, Loss: 1.47005e-02, Loss_0: 6.64385e-03, Loss_b: 3.36106e-05, Loss_f: 8.02306e-03
Iter: 5000, Loss: 1.42902e-02, Loss_0: 6.58022e-03, Loss_b: 1.26734e-05, Loss_f: 7.69729e-03
Iter: 5100, Loss: 1.15646e-02, Loss_0: 4.87298e-03, Loss_b: 1.06335e-05, Loss_f: 6.68097e-03
Iter: 5200, Loss: 9.37658e-03, Loss_0: 3.64876e-03, Loss_b: 1.98258e-05, Loss_f: 5.70800e-03
Iter: 5300, Loss: 7.46077e-03, Loss_0: 2.71719e-03, Loss_b: 1.42636e-05, Loss_f: 4.72932e-03
Iter: 5400, Loss: 5.69701e-03, Loss_0: 1.85764e-03, Loss_b: 1.44999e-05, Loss_f: 3.82487e-03
Iter: 5500, Loss: 4.37923e-03, Loss_0: 1.26705e-03, Loss_b: 1.14060e-05, Loss_f: 3.10078e-03
Iter: 5600, Loss: 3.38716e-03, Loss_0: 9.93006e-04, Loss_b: 5.27517e-06, Loss_f: 2.38888e-03
Iter: 5700, Loss: 2.71381e-03, Loss_0: 7.40274e-04, Loss_b: 7.20144e-06, Loss_f: 1.96634e-03
Iter: 5800, Loss: 2.22615e-03, Loss_0: 5.73616e-04, Loss_b: 1.28183e-05, Loss_f: 1.63971e-03
Iter: 5900, Loss: 1.83440e-03, Loss_0: 4.55151e-04, Loss_b: 1.09111e-05, Loss_f: 1.36834e-03
Iter: 6000, Loss: 1.54386e-03, Loss_0: 3.70546e-04, Loss_b: 7.55094e-06, Loss_f: 1.16576e-03
Iter: 6100, Loss: 1.30305e-03, Loss_0: 3.06369e-04, Loss_b: 7.06075e-06, Loss_f: 9.89623e-04
Iter: 6200, Loss: 1.11353e-03, Loss_0: 1.94321e-04, Loss_b: 4.29429e-06, Loss_f: 9.14913e-04
Iter: 6300, Loss: 9.53861e-04, Loss_0: 1.66525e-04, Loss_b: 1.87403e-06, Loss_f: 7.85462e-04
Iter: 6400, Loss: 8.21021e-04, Loss_0: 1.41378e-04, Loss_b: 1.79385e-06, Loss_f: 6.77849e-04
Iter: 6500, Loss: 7.31668e-04, Loss_0: 1.23567e-04, Loss_b: 2.16064e-06, Loss_f: 6.05941e-04
Iter: 6600, Loss: 6.59420e-04, Loss_0: 1.12306e-04, Loss_b: 1.40974e-06, Loss_f: 5.45704e-04
Iter: 6700, Loss: 5.97988e-04, Loss_0: 9.49417e-05, Loss_b: 1.35871e-06, Loss_f: 5.01688e-04
Iter: 6800, Loss: 5.45697e-04, Loss_0: 8.31669e-05, Loss_b: 9.87046e-07, Loss_f: 4.61543e-04
Iter: 6900, Loss: 4.93315e-04, Loss_0: 7.45919e-05, Loss_b: 1.01776e-06, Loss_f: 4.17705e-04
Iter: 7000, Loss: 4.44351e-04, Loss_0: 6.77698e-05, Loss_b: 1.53690e-06, Loss_f: 3.75045e-04
Iter: 7100, Loss: 4.06159e-04, Loss_0: 5.94403e-05, Loss_b: 1.20792e-06, Loss_f: 3.45511e-04
Iter: 7200, Loss: 3.74673e-04, Loss_0: 4.96964e-05, Loss_b: 1.08738e-06, Loss_f: 3.23890e-04
Iter: 7300, Loss: 3.43278e-04, Loss_0: 4.59034e-05, Loss_b: 6.22138e-07, Loss_f: 2.96752e-04
Iter: 7400, Loss: 3.18342e-04, Loss_0: 4.37837e-05, Loss_b: 5.15912e-07, Loss_f: 2.74042e-04
Iter: 7500, Loss: 2.96159e-04, Loss_0: 3.52535e-05, Loss_b: 6.04669e-07, Loss_f: 2.60301e-04
Iter: 7600, Loss: 2.74830e-04, Loss_0: 3.30104e-05, Loss_b: 9.88437e-07, Loss_f: 2.40831e-04
Iter: 7700, Loss: 2.53819e-04, Loss_0: 2.67302e-05, Loss_b: 7.43568e-07, Loss_f: 2.26345e-04
Iter: 7800, Loss: 2.35700e-04, Loss_0: 2.27329e-05, Loss_b: 7.58953e-07, Loss_f: 2.12209e-04
Iter: 7900, Loss: 2.18161e-04, Loss_0: 2.32433e-05, Loss_b: 8.63100e-07, Loss_f: 1.94054e-04
Iter: 8000, Loss: 2.02112e-04, Loss_0: 2.23211e-05, Loss_b: 1.04463e-06, Loss_f: 1.78747e-04
Iter: 8100, Loss: 1.87274e-04, Loss_0: 2.17283e-05, Loss_b: 1.18322e-06, Loss_f: 1.64363e-04
Iter: 8200, Loss: 1.73720e-04, Loss_0: 1.99927e-05, Loss_b: 1.29534e-06, Loss_f: 1.52432e-04
Iter: 8300, Loss: 1.60671e-04, Loss_0: 1.87809e-05, Loss_b: 1.04588e-06, Loss_f: 1.40844e-04
Iter: 8400, Loss: 1.49649e-04, Loss_0: 1.84378e-05, Loss_b: 9.23748e-07, Loss_f: 1.30288e-04
Iter: 8500, Loss: 1.38711e-04, Loss_0: 1.67579e-05, Loss_b: 8.56954e-07, Loss_f: 1.21096e-04
Iter: 8600, Loss: 1.28401e-04, Loss_0: 1.41940e-05, Loss_b: 6.47081e-07, Loss_f: 1.13560e-04
Iter: 8700, Loss: 1.20249e-04, Loss_0: 1.22122e-05, Loss_b: 4.36312e-07, Loss_f: 1.07600e-04
Iter: 8800, Loss: 1.13034e-04, Loss_0: 1.06503e-05, Loss_b: 4.71644e-07, Loss_f: 1.01912e-04
Iter: 8900, Loss: 1.06383e-04, Loss_0: 9.35719e-06, Loss_b: 5.49337e-07, Loss_f: 9.64763e-05
Iter: 9000, Loss: 1.00415e-04, Loss_0: 8.47516e-06, Loss_b: 6.24815e-07, Loss_f: 9.13152e-05
Iter: 9100, Loss: 9.51810e-05, Loss_0: 8.14569e-06, Loss_b: 4.99215e-07, Loss_f: 8.65361e-05
Iter: 9200, Loss: 9.05450e-05, Loss_0: 7.71793e-06, Loss_b: 4.55930e-07, Loss_f: 8.23711e-05
