Start Training:
Iter: 0, Loss: 1.21470e+00, Loss_0: 1.01651e+00, Loss_b: 1.94577e-01, Loss_f: 3.61739e-03
Iter: 100, Loss: 5.18838e-01, Loss_0: 4.92114e-01, Loss_b: 1.17687e-02, Loss_f: 1.49554e-02
Iter: 200, Loss: 2.10958e-01, Loss_0: 1.56045e-01, Loss_b: 9.83356e-04, Loss_f: 5.39296e-02
Iter: 300, Loss: 1.32736e-01, Loss_0: 8.90144e-02, Loss_b: 7.44658e-04, Loss_f: 4.29773e-02
Iter: 400, Loss: 8.30489e-02, Loss_0: 4.47463e-02, Loss_b: 1.30731e-03, Loss_f: 3.69953e-02
Iter: 500, Loss: 6.21300e-02, Loss_0: 2.85362e-02, Loss_b: 4.92182e-04, Loss_f: 3.31016e-02
Iter: 600, Loss: 4.75843e-02, Loss_0: 1.92102e-02, Loss_b: 3.77218e-04, Loss_f: 2.79968e-02
Iter: 700, Loss: 3.82015e-02, Loss_0: 1.37727e-02, Loss_b: 2.47621e-04, Loss_f: 2.41812e-02
Iter: 800, Loss: 3.24097e-02, Loss_0: 1.08059e-02, Loss_b: 2.58454e-04, Loss_f: 2.13454e-02
Iter: 900, Loss: 2.93432e-02, Loss_0: 9.70009e-03, Loss_b: 7.42011e-04, Loss_f: 1.89011e-02
Iter: 1000, Loss: 2.51946e-02, Loss_0: 7.62257e-03, Loss_b: 1.51048e-04, Loss_f: 1.74210e-02
Iter: 1100, Loss: 2.29977e-02, Loss_0: 6.55143e-03, Loss_b: 8.27111e-05, Loss_f: 1.63636e-02
Iter: 1200, Loss: 2.12899e-02, Loss_0: 5.93539e-03, Loss_b: 8.97695e-05, Loss_f: 1.52647e-02
Iter: 1300, Loss: 2.09097e-02, Loss_0: 6.08772e-03, Loss_b: 5.76425e-04, Loss_f: 1.42455e-02
Iter: 1400, Loss: 1.94481e-02, Loss_0: 5.10098e-03, Loss_b: 4.15765e-04, Loss_f: 1.39313e-02
Iter: 1500, Loss: 1.74322e-02, Loss_0: 4.41978e-03, Loss_b: 1.14677e-04, Loss_f: 1.28977e-02
Iter: 1600, Loss: 1.63513e-02, Loss_0: 4.20778e-03, Loss_b: 1.12391e-04, Loss_f: 1.20311e-02
Iter: 1700, Loss: 1.53534e-02, Loss_0: 3.94809e-03, Loss_b: 1.12164e-04, Loss_f: 1.12931e-02
Iter: 1800, Loss: 1.44237e-02, Loss_0: 3.69199e-03, Loss_b: 1.02261e-04, Loss_f: 1.06294e-02
Iter: 1900, Loss: 1.35360e-02, Loss_0: 3.45412e-03, Loss_b: 9.13919e-05, Loss_f: 9.99046e-03
Iter: 2000, Loss: 1.31489e-02, Loss_0: 3.54689e-03, Loss_b: 1.56987e-04, Loss_f: 9.44499e-03
