Start Training:
Iter: 0, Loss: 2.69857e+00, Loss_0: 1.43487e+00, Loss_b: 1.25652e+00, Loss_f: 7.16969e-03
Iter: 100, Loss: 1.03894e+00, Loss_0: 1.02520e+00, Loss_b: 1.34931e-02, Loss_f: 2.44126e-04
Iter: 200, Loss: 5.78974e-01, Loss_0: 5.03396e-01, Loss_b: 3.83476e-02, Loss_f: 3.72305e-02
Iter: 300, Loss: 2.19073e-01, Loss_0: 1.60552e-01, Loss_b: 1.73204e-03, Loss_f: 5.67887e-02
Iter: 400, Loss: 1.04080e-01, Loss_0: 6.25206e-02, Loss_b: 9.85096e-04, Loss_f: 4.05743e-02
Iter: 500, Loss: 5.31533e-02, Loss_0: 2.65491e-02, Loss_b: 4.28946e-04, Loss_f: 2.61752e-02
Iter: 600, Loss: 3.35073e-02, Loss_0: 1.41817e-02, Loss_b: 8.95225e-05, Loss_f: 1.92361e-02
Iter: 700, Loss: 2.47573e-02, Loss_0: 9.31814e-03, Loss_b: 9.64316e-05, Loss_f: 1.53427e-02
Iter: 800, Loss: 2.59176e-02, Loss_0: 9.18808e-03, Loss_b: 4.88463e-03, Loss_f: 1.18449e-02
Iter: 900, Loss: 1.60414e-02, Loss_0: 4.87906e-03, Loss_b: 1.16087e-04, Loss_f: 1.10463e-02
Iter: 1000, Loss: 1.40872e-02, Loss_0: 3.86379e-03, Loss_b: 2.85978e-04, Loss_f: 9.93741e-03
Iter: 1100, Loss: 1.23703e-02, Loss_0: 3.05532e-03, Loss_b: 7.39241e-05, Loss_f: 9.24106e-03
Iter: 1200, Loss: 1.13208e-02, Loss_0: 2.60018e-03, Loss_b: 5.74313e-05, Loss_f: 8.66320e-03
Iter: 1300, Loss: 1.04890e-02, Loss_0: 2.28338e-03, Loss_b: 5.01132e-05, Loss_f: 8.15549e-03
Iter: 1400, Loss: 9.83968e-03, Loss_0: 1.99793e-03, Loss_b: 3.88905e-05, Loss_f: 7.80285e-03
Iter: 1500, Loss: 9.32549e-03, Loss_0: 1.74564e-03, Loss_b: 3.20638e-05, Loss_f: 7.54779e-03
Iter: 1600, Loss: 9.07538e-03, Loss_0: 1.39467e-03, Loss_b: 5.31583e-05, Loss_f: 7.62755e-03
Iter: 1700, Loss: 1.94167e-02, Loss_0: 3.89876e-03, Loss_b: 6.99555e-03, Loss_f: 8.52242e-03
Iter: 1800, Loss: 8.21155e-03, Loss_0: 1.31432e-03, Loss_b: 2.52557e-05, Loss_f: 6.87198e-03
Iter: 1900, Loss: 7.92849e-03, Loss_0: 1.27013e-03, Loss_b: 2.10895e-05, Loss_f: 6.63727e-03
Iter: 2000, Loss: 7.70057e-03, Loss_0: 1.18922e-03, Loss_b: 2.16701e-05, Loss_f: 6.48968e-03
Iter: 2100, Loss: 7.56056e-03, Loss_0: 1.14433e-03, Loss_b: 7.09874e-05, Loss_f: 6.34525e-03
Iter: 2200, Loss: 7.31986e-03, Loss_0: 1.06267e-03, Loss_b: 1.81054e-05, Loss_f: 6.23908e-03
Iter: 2300, Loss: 7.16271e-03, Loss_0: 9.94489e-04, Loss_b: 2.00148e-05, Loss_f: 6.14820e-03
Iter: 2400, Loss: 7.01842e-03, Loss_0: 1.01313e-03, Loss_b: 3.16041e-05, Loss_f: 5.97369e-03
Iter: 2500, Loss: 8.37134e-03, Loss_0: 8.89912e-04, Loss_b: 8.88061e-04, Loss_f: 6.59337e-03
Iter: 2600, Loss: 8.00915e-03, Loss_0: 1.00845e-03, Loss_b: 8.82239e-04, Loss_f: 6.11847e-03
Iter: 2700, Loss: 1.17006e-02, Loss_0: 2.34572e-03, Loss_b: 1.09014e-03, Loss_f: 8.26476e-03
Iter: 2800, Loss: 7.24824e-03, Loss_0: 8.75014e-04, Loss_b: 1.53206e-04, Loss_f: 6.22002e-03
Iter: 2900, Loss: 7.10398e-03, Loss_0: 1.13884e-03, Loss_b: 5.56780e-04, Loss_f: 5.40836e-03
Iter: 3000, Loss: 1.06945e-02, Loss_0: 7.07464e-04, Loss_b: 1.88235e-03, Loss_f: 8.10468e-03
Iter: 3100, Loss: 6.34810e-03, Loss_0: 7.93227e-04, Loss_b: 1.54287e-04, Loss_f: 5.40059e-03
Iter: 3200, Loss: 6.45681e-03, Loss_0: 1.00771e-03, Loss_b: 4.16620e-05, Loss_f: 5.40744e-03
Iter: 3300, Loss: 6.98549e-03, Loss_0: 5.97258e-04, Loss_b: 4.88101e-04, Loss_f: 5.90013e-03
Iter: 3400, Loss: 6.12270e-03, Loss_0: 8.06956e-04, Loss_b: 1.35727e-04, Loss_f: 5.18001e-03
Iter: 3500, Loss: 5.78721e-03, Loss_0: 7.58386e-04, Loss_b: 3.64301e-05, Loss_f: 4.99239e-03
Iter: 3600, Loss: 5.62781e-03, Loss_0: 7.16179e-04, Loss_b: 1.10265e-05, Loss_f: 4.90060e-03
Iter: 3700, Loss: 5.63426e-03, Loss_0: 6.87869e-04, Loss_b: 5.63399e-05, Loss_f: 4.89005e-03
Iter: 3800, Loss: 9.39228e-03, Loss_0: 1.37852e-03, Loss_b: 1.69331e-03, Loss_f: 6.32045e-03
Iter: 3900, Loss: 5.65870e-03, Loss_0: 7.57295e-04, Loss_b: 1.32174e-04, Loss_f: 4.76923e-03
Iter: 4000, Loss: 8.65345e-03, Loss_0: 1.81233e-03, Loss_b: 1.29558e-03, Loss_f: 5.54553e-03
Iter: 4100, Loss: 5.34278e-03, Loss_0: 6.40183e-04, Loss_b: 6.01419e-05, Loss_f: 4.64245e-03
Iter: 4200, Loss: 5.45808e-03, Loss_0: 7.01004e-04, Loss_b: 6.03512e-05, Loss_f: 4.69672e-03
Iter: 4300, Loss: 5.30190e-03, Loss_0: 6.83452e-04, Loss_b: 9.37550e-05, Loss_f: 4.52469e-03
Iter: 4400, Loss: 5.17471e-03, Loss_0: 6.44168e-04, Loss_b: 7.45915e-05, Loss_f: 4.45595e-03
Iter: 4500, Loss: 5.22933e-03, Loss_0: 7.13552e-04, Loss_b: 7.24950e-05, Loss_f: 4.44329e-03
Iter: 4600, Loss: 6.38461e-03, Loss_0: 9.72664e-04, Loss_b: 5.46906e-04, Loss_f: 4.86504e-03
Iter: 4700, Loss: 5.06522e-03, Loss_0: 6.96545e-04, Loss_b: 1.90906e-05, Loss_f: 4.34959e-03
Iter: 4800, Loss: 7.18271e-03, Loss_0: 8.18412e-04, Loss_b: 1.10832e-03, Loss_f: 5.25597e-03
Iter: 4900, Loss: 5.47280e-03, Loss_0: 8.16647e-04, Loss_b: 1.14398e-04, Loss_f: 4.54175e-03
Iter: 5000, Loss: 6.41533e-03, Loss_0: 7.30438e-04, Loss_b: 6.53891e-04, Loss_f: 5.03100e-03
Iter: 5100, Loss: 4.30972e-03, Loss_0: 5.07073e-04, Loss_b: 2.19634e-05, Loss_f: 3.78068e-03
Iter: 5200, Loss: 3.76808e-03, Loss_0: 4.52071e-04, Loss_b: 2.92630e-05, Loss_f: 3.28674e-03
Iter: 5300, Loss: 3.40459e-03, Loss_0: 4.44600e-04, Loss_b: 2.58919e-05, Loss_f: 2.93410e-03
Iter: 5400, Loss: 3.13254e-03, Loss_0: 4.33628e-04, Loss_b: 1.91780e-05, Loss_f: 2.67973e-03
Iter: 5500, Loss: 2.90422e-03, Loss_0: 4.04772e-04, Loss_b: 1.96736e-05, Loss_f: 2.47977e-03
Iter: 5600, Loss: 2.71639e-03, Loss_0: 3.97937e-04, Loss_b: 2.45123e-05, Loss_f: 2.29394e-03
Iter: 5700, Loss: 2.56952e-03, Loss_0: 4.38699e-04, Loss_b: 2.59451e-05, Loss_f: 2.10487e-03
Iter: 5800, Loss: 2.37947e-03, Loss_0: 4.19368e-04, Loss_b: 1.69177e-05, Loss_f: 1.94319e-03
Iter: 5900, Loss: 2.19343e-03, Loss_0: 3.91973e-04, Loss_b: 1.91372e-05, Loss_f: 1.78232e-03
Iter: 6000, Loss: 1.99322e-03, Loss_0: 3.37844e-04, Loss_b: 2.13663e-05, Loss_f: 1.63401e-03
Iter: 6100, Loss: 1.74020e-03, Loss_0: 2.57732e-04, Loss_b: 2.12479e-05, Loss_f: 1.46122e-03
Iter: 6200, Loss: 1.49992e-03, Loss_0: 1.92890e-04, Loss_b: 2.44318e-05, Loss_f: 1.28260e-03
Iter: 6300, Loss: 1.32265e-03, Loss_0: 1.83727e-04, Loss_b: 2.12447e-05, Loss_f: 1.11768e-03
Iter: 6400, Loss: 1.15198e-03, Loss_0: 1.60067e-04, Loss_b: 2.54665e-05, Loss_f: 9.66447e-04
Iter: 6500, Loss: 1.01557e-03, Loss_0: 1.44482e-04, Loss_b: 2.22305e-05, Loss_f: 8.48858e-04
Iter: 6600, Loss: 8.86173e-04, Loss_0: 1.16882e-04, Loss_b: 1.54824e-05, Loss_f: 7.53809e-04
Iter: 6700, Loss: 7.91572e-04, Loss_0: 1.06216e-04, Loss_b: 1.42166e-05, Loss_f: 6.71139e-04
Iter: 6800, Loss: 6.74670e-04, Loss_0: 8.45096e-05, Loss_b: 1.59562e-05, Loss_f: 5.74204e-04
Iter: 6900, Loss: 5.78442e-04, Loss_0: 6.04731e-05, Loss_b: 1.99992e-05, Loss_f: 4.97970e-04
Iter: 7000, Loss: 5.05540e-04, Loss_0: 5.03505e-05, Loss_b: 1.97348e-05, Loss_f: 4.35455e-04
Iter: 7100, Loss: 4.46115e-04, Loss_0: 4.78752e-05, Loss_b: 1.51519e-05, Loss_f: 3.83088e-04
Iter: 7200, Loss: 3.89650e-04, Loss_0: 4.12188e-05, Loss_b: 1.45628e-05, Loss_f: 3.33869e-04
Iter: 7300, Loss: 3.51417e-04, Loss_0: 3.58227e-05, Loss_b: 1.42624e-05, Loss_f: 3.01332e-04
Iter: 7400, Loss: 3.21464e-04, Loss_0: 3.10601e-05, Loss_b: 1.40462e-05, Loss_f: 2.76358e-04
Iter: 7500, Loss: 2.98705e-04, Loss_0: 2.72228e-05, Loss_b: 1.10854e-05, Loss_f: 2.60397e-04
Iter: 7600, Loss: 2.74501e-04, Loss_0: 2.34994e-05, Loss_b: 9.53681e-06, Loss_f: 2.41465e-04
Iter: 7700, Loss: 2.54749e-04, Loss_0: 2.27534e-05, Loss_b: 8.52895e-06, Loss_f: 2.23467e-04
Iter: 7800, Loss: 2.39196e-04, Loss_0: 2.09569e-05, Loss_b: 9.52005e-06, Loss_f: 2.08719e-04
Iter: 7900, Loss: 2.25351e-04, Loss_0: 1.94356e-05, Loss_b: 9.17547e-06, Loss_f: 1.96740e-04
Iter: 8000, Loss: 2.11974e-04, Loss_0: 1.97183e-05, Loss_b: 8.73843e-06, Loss_f: 1.83518e-04
