Start Training:
Iter: 0, Loss: 1.56791e+00, Loss_0: 1.25045e+00, Loss_b: 3.00349e-01, Loss_f: 1.71110e-02
Iter: 100, Loss: 7.14485e-01, Loss_0: 6.89072e-01, Loss_b: 8.42734e-03, Loss_f: 1.69849e-02
Iter: 200, Loss: 3.89331e-01, Loss_0: 3.35569e-01, Loss_b: 2.12554e-03, Loss_f: 5.16364e-02
Iter: 300, Loss: 3.14452e-01, Loss_0: 2.52432e-01, Loss_b: 1.27135e-03, Loss_f: 6.07489e-02
Iter: 400, Loss: 2.79345e-01, Loss_0: 2.14843e-01, Loss_b: 4.09617e-03, Loss_f: 6.04055e-02
Iter: 500, Loss: 2.46994e-01, Loss_0: 1.89547e-01, Loss_b: 6.51774e-04, Loss_f: 5.67949e-02
Iter: 600, Loss: 2.32258e-01, Loss_0: 1.70239e-01, Loss_b: 1.78952e-03, Loss_f: 6.02295e-02
Iter: 700, Loss: 2.32204e-01, Loss_0: 1.56609e-01, Loss_b: 7.75443e-04, Loss_f: 7.48201e-02
Iter: 800, Loss: 1.92742e-01, Loss_0: 1.44440e-01, Loss_b: 6.89587e-04, Loss_f: 4.76130e-02
Iter: 900, Loss: 1.82649e-01, Loss_0: 1.33268e-01, Loss_b: 4.25743e-04, Loss_f: 4.89551e-02
Iter: 1000, Loss: 1.69198e-01, Loss_0: 1.22002e-01, Loss_b: 4.97139e-04, Loss_f: 4.66988e-02
Iter: 1100, Loss: 1.66423e-01, Loss_0: 1.16465e-01, Loss_b: 6.31810e-04, Loss_f: 4.93265e-02
Iter: 1200, Loss: 1.47705e-01, Loss_0: 1.05600e-01, Loss_b: 5.39352e-04, Loss_f: 4.15657e-02
Iter: 1300, Loss: 1.50230e-01, Loss_0: 1.01115e-01, Loss_b: 5.23255e-04, Loss_f: 4.85918e-02
Iter: 1400, Loss: 1.44065e-01, Loss_0: 9.35483e-02, Loss_b: 3.79416e-04, Loss_f: 5.01376e-02
Iter: 1500, Loss: 1.23740e-01, Loss_0: 8.62802e-02, Loss_b: 5.30810e-04, Loss_f: 3.69293e-02
Iter: 1600, Loss: 1.38706e-01, Loss_0: 7.88763e-02, Loss_b: 4.72412e-04, Loss_f: 5.93569e-02
Iter: 1700, Loss: 1.08594e-01, Loss_0: 7.54611e-02, Loss_b: 5.80911e-04, Loss_f: 3.25522e-02
Iter: 1800, Loss: 1.02713e-01, Loss_0: 7.18703e-02, Loss_b: 2.55412e-04, Loss_f: 3.05875e-02
Iter: 1900, Loss: 9.53374e-02, Loss_0: 6.56380e-02, Loss_b: 2.53856e-04, Loss_f: 2.94456e-02
Iter: 2000, Loss: 9.76491e-02, Loss_0: 6.36767e-02, Loss_b: 3.82685e-04, Loss_f: 3.35896e-02
Iter: 2100, Loss: 9.57891e-02, Loss_0: 5.94335e-02, Loss_b: 4.09955e-04, Loss_f: 3.59456e-02
Iter: 2200, Loss: 9.54486e-02, Loss_0: 5.69664e-02, Loss_b: 2.84353e-04, Loss_f: 3.81978e-02
Iter: 2300, Loss: 8.20702e-02, Loss_0: 5.41681e-02, Loss_b: 3.64044e-04, Loss_f: 2.75380e-02
Iter: 2400, Loss: 7.94238e-02, Loss_0: 5.43349e-02, Loss_b: 4.03300e-04, Loss_f: 2.46855e-02
Iter: 2500, Loss: 1.19878e-01, Loss_0: 5.17984e-02, Loss_b: 3.43371e-04, Loss_f: 6.77361e-02
Iter: 2600, Loss: 7.57662e-02, Loss_0: 4.93166e-02, Loss_b: 2.58256e-04, Loss_f: 2.61913e-02
Iter: 2700, Loss: 9.62625e-02, Loss_0: 4.81263e-02, Loss_b: 3.48867e-04, Loss_f: 4.77873e-02
Iter: 2800, Loss: 6.97546e-02, Loss_0: 4.65627e-02, Loss_b: 2.65706e-04, Loss_f: 2.29262e-02
Iter: 2900, Loss: 8.19530e-02, Loss_0: 4.63770e-02, Loss_b: 3.58840e-04, Loss_f: 3.52172e-02
Iter: 3000, Loss: 6.96692e-02, Loss_0: 4.50237e-02, Loss_b: 2.66892e-04, Loss_f: 2.43787e-02
Iter: 3100, Loss: 7.66792e-02, Loss_0: 4.58228e-02, Loss_b: 6.98762e-04, Loss_f: 3.01577e-02
Iter: 3200, Loss: 6.54420e-02, Loss_0: 4.37760e-02, Loss_b: 2.97857e-04, Loss_f: 2.13681e-02
Iter: 3300, Loss: 6.77583e-02, Loss_0: 4.03598e-02, Loss_b: 2.96989e-04, Loss_f: 2.71015e-02
Iter: 3400, Loss: 7.46195e-02, Loss_0: 4.07683e-02, Loss_b: 2.70871e-04, Loss_f: 3.35803e-02
Iter: 3500, Loss: 7.62240e-02, Loss_0: 3.88746e-02, Loss_b: 3.38610e-04, Loss_f: 3.70108e-02
Iter: 3600, Loss: 6.08691e-02, Loss_0: 3.95370e-02, Loss_b: 2.78010e-04, Loss_f: 2.10540e-02
Iter: 3700, Loss: 6.06934e-02, Loss_0: 3.86885e-02, Loss_b: 2.83310e-04, Loss_f: 2.17216e-02
Iter: 3800, Loss: 6.71154e-02, Loss_0: 3.96668e-02, Loss_b: 5.49790e-04, Loss_f: 2.68987e-02
Iter: 3900, Loss: 7.16153e-02, Loss_0: 3.77133e-02, Loss_b: 4.02791e-04, Loss_f: 3.34992e-02
Iter: 4000, Loss: 6.28366e-02, Loss_0: 3.52775e-02, Loss_b: 3.20857e-04, Loss_f: 2.72383e-02
