Start Training:
Iter: 0, Loss: 1.04805e+00, Loss_0: 9.84265e-01, Loss_b: 6.17179e-02, Loss_f: 2.06979e-03
Iter: 100, Loss: 9.53631e-01, Loss_0: 9.53344e-01, Loss_b: 2.74664e-04, Loss_f: 1.20541e-05
Iter: 200, Loss: 9.47899e-01, Loss_0: 9.46763e-01, Loss_b: 1.02289e-03, Loss_f: 1.13131e-04
Iter: 300, Loss: 9.37106e-01, Loss_0: 9.33414e-01, Loss_b: 2.27416e-03, Loss_f: 1.41787e-03
Iter: 400, Loss: 9.28750e-01, Loss_0: 9.20146e-01, Loss_b: 4.55329e-03, Loss_f: 4.05048e-03
Iter: 500, Loss: 9.09068e-01, Loss_0: 9.03552e-01, Loss_b: 1.18745e-03, Loss_f: 4.32895e-03
Iter: 600, Loss: 8.94865e-01, Loss_0: 8.84459e-01, Loss_b: 1.72310e-03, Loss_f: 8.68337e-03
Iter: 700, Loss: 9.15266e-01, Loss_0: 8.77322e-01, Loss_b: 2.81267e-02, Loss_f: 9.81702e-03
Iter: 800, Loss: 8.52255e-01, Loss_0: 8.34915e-01, Loss_b: 2.09607e-03, Loss_f: 1.52446e-02
Iter: 900, Loss: 8.14578e-01, Loss_0: 7.90250e-01, Loss_b: 3.17698e-03, Loss_f: 2.11506e-02
Iter: 1000, Loss: 7.56776e-01, Loss_0: 7.20567e-01, Loss_b: 3.40087e-03, Loss_f: 3.28078e-02
Iter: 1100, Loss: 6.82841e-01, Loss_0: 6.34913e-01, Loss_b: 2.35988e-03, Loss_f: 4.55678e-02
Iter: 1200, Loss: 5.81762e-01, Loss_0: 5.18595e-01, Loss_b: 1.27353e-03, Loss_f: 6.18937e-02
Iter: 1300, Loss: 5.09330e-01, Loss_0: 4.00661e-01, Loss_b: 9.27105e-03, Loss_f: 9.93982e-02
Iter: 1400, Loss: 4.31923e-01, Loss_0: 3.19709e-01, Loss_b: 9.16879e-03, Loss_f: 1.03046e-01
Iter: 1500, Loss: 3.66144e-01, Loss_0: 2.58801e-01, Loss_b: 6.50708e-03, Loss_f: 1.00835e-01
Iter: 1600, Loss: 2.82274e-01, Loss_0: 1.84884e-01, Loss_b: 1.15498e-02, Loss_f: 8.58399e-02
Iter: 1700, Loss: 1.98019e-01, Loss_0: 1.26339e-01, Loss_b: 5.65122e-03, Loss_f: 6.60292e-02
Iter: 1800, Loss: 1.84215e-01, Loss_0: 1.08875e-01, Loss_b: 7.74461e-03, Loss_f: 6.75956e-02
Iter: 1900, Loss: 1.54662e-01, Loss_0: 9.42866e-02, Loss_b: 6.43016e-03, Loss_f: 5.39448e-02
Iter: 2000, Loss: 1.38123e-01, Loss_0: 8.59816e-02, Loss_b: 7.00991e-03, Loss_f: 4.51315e-02
Iter: 2100, Loss: 1.33108e-01, Loss_0: 8.29694e-02, Loss_b: 6.68845e-03, Loss_f: 4.34502e-02
Iter: 2200, Loss: 1.45650e-01, Loss_0: 8.24340e-02, Loss_b: 6.73862e-03, Loss_f: 5.64777e-02
Iter: 2300, Loss: 1.32415e-01, Loss_0: 7.64447e-02, Loss_b: 6.20646e-03, Loss_f: 4.97635e-02
Iter: 2400, Loss: 1.19303e-01, Loss_0: 6.86955e-02, Loss_b: 7.66448e-03, Loss_f: 4.29435e-02
Iter: 2500, Loss: 1.14354e-01, Loss_0: 6.56493e-02, Loss_b: 7.20089e-03, Loss_f: 4.15038e-02
Iter: 2600, Loss: 1.09787e-01, Loss_0: 6.29159e-02, Loss_b: 7.32265e-03, Loss_f: 3.95484e-02
Iter: 2700, Loss: 1.09448e-01, Loss_0: 6.18742e-02, Loss_b: 6.53371e-03, Loss_f: 4.10397e-02
Iter: 2800, Loss: 1.01495e-01, Loss_0: 5.77952e-02, Loss_b: 6.61813e-03, Loss_f: 3.70815e-02
Iter: 2900, Loss: 1.01640e-01, Loss_0: 5.56621e-02, Loss_b: 6.48248e-03, Loss_f: 3.94951e-02
Iter: 3000, Loss: 9.89368e-02, Loss_0: 5.47964e-02, Loss_b: 7.32780e-03, Loss_f: 3.68125e-02
