Start Training:
Iter: 0, Loss: 2.12965e+00, Loss_0: 1.26182e+00, Loss_b: 8.35630e-01, Loss_f: 3.22084e-02
Iter: 100, Loss: 4.35181e-01, Loss_0: 4.16464e-01, Loss_b: 5.23561e-03, Loss_f: 1.34815e-02
Iter: 200, Loss: 1.54037e-01, Loss_0: 1.07913e-01, Loss_b: 1.20732e-03, Loss_f: 4.49167e-02
Iter: 300, Loss: 8.84212e-02, Loss_0: 5.48089e-02, Loss_b: 2.98915e-03, Loss_f: 3.06232e-02
Iter: 400, Loss: 5.78944e-02, Loss_0: 3.09227e-02, Loss_b: 2.81903e-04, Loss_f: 2.66898e-02
Iter: 500, Loss: 4.83057e-02, Loss_0: 2.29026e-02, Loss_b: 1.75891e-04, Loss_f: 2.52271e-02
Iter: 600, Loss: 4.29096e-02, Loss_0: 1.95647e-02, Loss_b: 1.30355e-04, Loss_f: 2.32145e-02
Iter: 700, Loss: 3.92924e-02, Loss_0: 1.73962e-02, Loss_b: 1.49850e-04, Loss_f: 2.17463e-02
Iter: 800, Loss: 3.66002e-02, Loss_0: 1.59964e-02, Loss_b: 1.08686e-04, Loss_f: 2.04951e-02
Iter: 900, Loss: 3.44331e-02, Loss_0: 1.48512e-02, Loss_b: 9.09516e-05, Loss_f: 1.94909e-02
Iter: 1000, Loss: 3.24620e-02, Loss_0: 1.40474e-02, Loss_b: 5.96162e-05, Loss_f: 1.83550e-02
Iter: 1100, Loss: 3.76684e-02, Loss_0: 1.46355e-02, Loss_b: 5.57294e-03, Loss_f: 1.74600e-02
Iter: 1200, Loss: 2.94034e-02, Loss_0: 1.29039e-02, Loss_b: 8.10152e-05, Loss_f: 1.64184e-02
Iter: 1300, Loss: 3.09640e-02, Loss_0: 1.11409e-02, Loss_b: 1.38843e-03, Loss_f: 1.84347e-02
Iter: 1400, Loss: 2.72166e-02, Loss_0: 1.22118e-02, Loss_b: 7.02475e-05, Loss_f: 1.49345e-02
Iter: 1500, Loss: 2.81645e-02, Loss_0: 1.14105e-02, Loss_b: 1.80210e-03, Loss_f: 1.49519e-02
Iter: 1600, Loss: 2.50826e-02, Loss_0: 1.11229e-02, Loss_b: 2.61411e-05, Loss_f: 1.39335e-02
Iter: 1700, Loss: 2.44292e-02, Loss_0: 1.06319e-02, Loss_b: 3.52827e-05, Loss_f: 1.37621e-02
Iter: 1800, Loss: 3.16949e-02, Loss_0: 1.38488e-02, Loss_b: 1.95864e-03, Loss_f: 1.58875e-02
Iter: 1900, Loss: 2.29533e-02, Loss_0: 1.03575e-02, Loss_b: 1.83739e-05, Loss_f: 1.25773e-02
Iter: 2000, Loss: 2.24013e-02, Loss_0: 1.01730e-02, Loss_b: 1.94408e-05, Loss_f: 1.22089e-02
Iter: 2100, Loss: 2.18769e-02, Loss_0: 9.94198e-03, Loss_b: 1.92313e-05, Loss_f: 1.19157e-02
Iter: 2200, Loss: 2.14364e-02, Loss_0: 9.81002e-03, Loss_b: 3.38504e-05, Loss_f: 1.15925e-02
Iter: 2300, Loss: 2.10237e-02, Loss_0: 9.79170e-03, Loss_b: 3.57742e-05, Loss_f: 1.11962e-02
Iter: 2400, Loss: 2.05378e-02, Loss_0: 9.52403e-03, Loss_b: 1.30894e-05, Loss_f: 1.10007e-02
Iter: 2500, Loss: 2.01477e-02, Loss_0: 9.48569e-03, Loss_b: 1.71978e-05, Loss_f: 1.06448e-02
Iter: 2600, Loss: 2.33986e-02, Loss_0: 1.12430e-02, Loss_b: 7.71891e-04, Loss_f: 1.13837e-02
Iter: 2700, Loss: 2.04165e-02, Loss_0: 9.47984e-03, Loss_b: 2.03397e-04, Loss_f: 1.07333e-02
Iter: 2800, Loss: 1.94064e-02, Loss_0: 8.89991e-03, Loss_b: 1.97864e-04, Loss_f: 1.03086e-02
Iter: 2900, Loss: 2.09690e-02, Loss_0: 9.02313e-03, Loss_b: 6.49842e-04, Loss_f: 1.12961e-02
Iter: 3000, Loss: 1.84243e-02, Loss_0: 8.68141e-03, Loss_b: 6.20213e-06, Loss_f: 9.73665e-03
Iter: 3100, Loss: 1.81665e-02, Loss_0: 8.49629e-03, Loss_b: 7.22821e-06, Loss_f: 9.66298e-03
Iter: 3200, Loss: 1.78964e-02, Loss_0: 8.41647e-03, Loss_b: 1.32437e-05, Loss_f: 9.46668e-03
Iter: 3300, Loss: 1.76444e-02, Loss_0: 8.27200e-03, Loss_b: 8.11579e-06, Loss_f: 9.36428e-03
Iter: 3400, Loss: 1.73818e-02, Loss_0: 8.02935e-03, Loss_b: 1.06074e-05, Loss_f: 9.34181e-03
Iter: 3500, Loss: 1.72326e-02, Loss_0: 8.26917e-03, Loss_b: 2.42296e-05, Loss_f: 8.93915e-03
Iter: 3600, Loss: 1.68993e-02, Loss_0: 7.90506e-03, Loss_b: 1.60945e-05, Loss_f: 8.97813e-03
Iter: 3700, Loss: 1.66515e-02, Loss_0: 7.70734e-03, Loss_b: 1.32189e-05, Loss_f: 8.93097e-03
Iter: 3800, Loss: 1.72491e-02, Loss_0: 7.76013e-03, Loss_b: 3.82955e-05, Loss_f: 9.45067e-03
