Start Training:
Iter: 0, Loss: 9.80597e-01, Loss_0: 8.67445e-01, Loss_b: 1.00867e-01, Loss_f: 1.22845e-02
Iter: 100, Loss: 2.24978e-01, Loss_0: 1.73779e-01, Loss_b: 1.23475e-03, Loss_f: 4.99648e-02
Iter: 200, Loss: 8.15161e-02, Loss_0: 5.55782e-02, Loss_b: 1.06983e-04, Loss_f: 2.58310e-02
Iter: 300, Loss: 3.55813e-02, Loss_0: 2.44249e-02, Loss_b: 8.64101e-05, Loss_f: 1.10700e-02
Iter: 400, Loss: 2.01852e-02, Loss_0: 1.34370e-02, Loss_b: 7.26076e-06, Loss_f: 6.74095e-03
Iter: 500, Loss: 1.56164e-02, Loss_0: 8.92235e-03, Loss_b: 7.32519e-05, Loss_f: 6.62076e-03
Iter: 600, Loss: 1.25510e-02, Loss_0: 6.99203e-03, Loss_b: 5.50749e-06, Loss_f: 5.55343e-03
Iter: 700, Loss: 1.07335e-02, Loss_0: 5.73594e-03, Loss_b: 4.05891e-06, Loss_f: 4.99354e-03
Iter: 800, Loss: 9.14416e-03, Loss_0: 4.71638e-03, Loss_b: 2.76855e-06, Loss_f: 4.42501e-03
Iter: 900, Loss: 7.55786e-03, Loss_0: 4.00182e-03, Loss_b: 1.10379e-05, Loss_f: 3.54500e-03
Iter: 1000, Loss: 8.14901e-03, Loss_0: 3.77904e-03, Loss_b: 9.90515e-06, Loss_f: 4.36006e-03
Iter: 1100, Loss: 5.22043e-03, Loss_0: 2.46568e-03, Loss_b: 1.39800e-05, Loss_f: 2.74076e-03
Iter: 1200, Loss: 3.70228e-03, Loss_0: 1.91176e-03, Loss_b: 2.51785e-06, Loss_f: 1.78799e-03
Iter: 1300, Loss: 3.06720e-03, Loss_0: 1.53436e-03, Loss_b: 8.64787e-07, Loss_f: 1.53197e-03
Iter: 1400, Loss: 2.62295e-03, Loss_0: 1.23728e-03, Loss_b: 1.46218e-06, Loss_f: 1.38421e-03
Iter: 1500, Loss: 5.82058e-03, Loss_0: 9.31469e-04, Loss_b: 5.36514e-04, Loss_f: 4.35260e-03
Iter: 1600, Loss: 1.99544e-03, Loss_0: 9.62049e-04, Loss_b: 9.90004e-07, Loss_f: 1.03240e-03
Iter: 1700, Loss: 6.31436e-03, Loss_0: 1.26061e-03, Loss_b: 1.09405e-05, Loss_f: 5.04281e-03
Iter: 1800, Loss: 6.41904e-03, Loss_0: 1.25500e-03, Loss_b: 4.76969e-05, Loss_f: 5.11634e-03
Iter: 1900, Loss: 6.20722e-03, Loss_0: 9.41920e-04, Loss_b: 6.89707e-05, Loss_f: 5.19632e-03
Iter: 2000, Loss: 1.75367e-03, Loss_0: 5.59634e-04, Loss_b: 4.46363e-06, Loss_f: 1.18957e-03
Iter: 2100, Loss: 4.48298e-04, Loss_0: 6.12230e-05, Loss_b: 1.81517e-06, Loss_f: 3.85260e-04
Iter: 2200, Loss: 2.50956e-04, Loss_0: 3.40209e-05, Loss_b: 1.11641e-06, Loss_f: 2.15819e-04
Iter: 2300, Loss: 1.75109e-04, Loss_0: 2.55872e-05, Loss_b: 3.97157e-07, Loss_f: 1.49125e-04
Iter: 2400, Loss: 1.38366e-04, Loss_0: 1.74310e-05, Loss_b: 3.57374e-07, Loss_f: 1.20578e-04
Iter: 2500, Loss: 1.07218e-04, Loss_0: 1.05100e-05, Loss_b: 4.18368e-07, Loss_f: 9.62901e-05
Iter: 2600, Loss: 8.24444e-05, Loss_0: 6.11312e-06, Loss_b: 3.49444e-07, Loss_f: 7.59818e-05
Iter: 2700, Loss: 6.87065e-05, Loss_0: 5.39781e-06, Loss_b: 4.84726e-07, Loss_f: 6.28240e-05
Iter: 2800, Loss: 5.82963e-05, Loss_0: 3.50987e-06, Loss_b: 2.28077e-07, Loss_f: 5.45583e-05
Iter: 2900, Loss: 5.14784e-05, Loss_0: 3.71863e-06, Loss_b: 6.18443e-08, Loss_f: 4.76980e-05
Iter: 3000, Loss: 4.58538e-05, Loss_0: 3.24148e-06, Loss_b: 1.06483e-07, Loss_f: 4.25058e-05
Iter: 3100, Loss: 4.12181e-05, Loss_0: 3.04543e-06, Loss_b: 7.85223e-08, Loss_f: 3.80941e-05
