Start Training:
Iter: 0, Loss: 1.13680e+00, Loss_0: 9.16079e-01, Loss_b: 1.96118e-01, Loss_f: 2.46016e-02
Iter: 100, Loss: 2.89814e-01, Loss_0: 2.37493e-01, Loss_b: 1.29060e-03, Loss_f: 5.10298e-02
Iter: 200, Loss: 1.11579e-01, Loss_0: 7.65601e-02, Loss_b: 3.26511e-04, Loss_f: 3.46927e-02
Iter: 300, Loss: 8.03028e-02, Loss_0: 5.41146e-02, Loss_b: 7.37340e-05, Loss_f: 2.61145e-02
Iter: 400, Loss: 3.77804e-02, Loss_0: 2.55431e-02, Loss_b: 1.73130e-04, Loss_f: 1.20642e-02
Iter: 500, Loss: 2.46883e-02, Loss_0: 1.38300e-02, Loss_b: 5.87020e-05, Loss_f: 1.07996e-02
Iter: 600, Loss: 1.94331e-02, Loss_0: 1.05262e-02, Loss_b: 5.94081e-05, Loss_f: 8.84750e-03
Iter: 700, Loss: 1.50945e-02, Loss_0: 8.12827e-03, Loss_b: 4.88946e-05, Loss_f: 6.91733e-03
Iter: 800, Loss: 1.16629e-02, Loss_0: 6.26721e-03, Loss_b: 5.42008e-05, Loss_f: 5.34153e-03
Iter: 900, Loss: 1.19402e-02, Loss_0: 5.38941e-03, Loss_b: 2.22693e-04, Loss_f: 6.32806e-03
Iter: 1000, Loss: 8.08076e-03, Loss_0: 4.14642e-03, Loss_b: 6.28645e-06, Loss_f: 3.92805e-03
Iter: 1100, Loss: 7.22692e-03, Loss_0: 3.65057e-03, Loss_b: 5.10914e-06, Loss_f: 3.57124e-03
Iter: 1200, Loss: 6.45267e-03, Loss_0: 3.24151e-03, Loss_b: 4.49286e-06, Loss_f: 3.20667e-03
Iter: 1300, Loss: 5.83383e-03, Loss_0: 2.91878e-03, Loss_b: 5.43247e-06, Loss_f: 2.90962e-03
Iter: 1400, Loss: 6.32057e-03, Loss_0: 2.46717e-03, Loss_b: 4.41499e-04, Loss_f: 3.41189e-03
Iter: 1500, Loss: 4.79782e-03, Loss_0: 2.45852e-03, Loss_b: 9.17664e-06, Loss_f: 2.33012e-03
Iter: 1600, Loss: 1.57266e-02, Loss_0: 1.87995e-03, Loss_b: 1.87375e-04, Loss_f: 1.36592e-02
Iter: 1700, Loss: 3.82059e-03, Loss_0: 1.91067e-03, Loss_b: 8.18827e-06, Loss_f: 1.90174e-03
Iter: 1800, Loss: 3.50531e-03, Loss_0: 1.72654e-03, Loss_b: 1.60611e-05, Loss_f: 1.76271e-03
Iter: 1900, Loss: 3.24482e-03, Loss_0: 1.56898e-03, Loss_b: 2.42039e-05, Loss_f: 1.65164e-03
Iter: 2000, Loss: 2.87331e-03, Loss_0: 1.41552e-03, Loss_b: 7.06075e-06, Loss_f: 1.45073e-03
Iter: 2100, Loss: 2.72272e-03, Loss_0: 1.37466e-03, Loss_b: 1.56887e-05, Loss_f: 1.33238e-03
Iter: 2200, Loss: 2.41308e-03, Loss_0: 1.17060e-03, Loss_b: 6.72303e-06, Loss_f: 1.23575e-03
Iter: 2300, Loss: 1.42112e-02, Loss_0: 1.93703e-03, Loss_b: 1.48664e-04, Loss_f: 1.21255e-02
Iter: 2400, Loss: 2.06267e-03, Loss_0: 9.83425e-04, Loss_b: 5.97054e-06, Loss_f: 1.07327e-03
Iter: 2500, Loss: 2.11926e-03, Loss_0: 8.60294e-04, Loss_b: 2.00129e-05, Loss_f: 1.23896e-03
Iter: 2600, Loss: 1.78275e-03, Loss_0: 8.40407e-04, Loss_b: 5.55808e-06, Loss_f: 9.36784e-04
Iter: 2700, Loss: 1.66291e-03, Loss_0: 7.99545e-04, Loss_b: 4.71439e-06, Loss_f: 8.58653e-04
Iter: 2800, Loss: 1.66798e-03, Loss_0: 7.90042e-04, Loss_b: 5.20952e-06, Loss_f: 8.72727e-04
Iter: 2900, Loss: 1.82628e-03, Loss_0: 5.77656e-04, Loss_b: 1.26178e-05, Loss_f: 1.23601e-03
Iter: 3000, Loss: 1.36130e-03, Loss_0: 6.09339e-04, Loss_b: 3.02396e-06, Loss_f: 7.48934e-04
Iter: 3100, Loss: 1.29404e-03, Loss_0: 5.60729e-04, Loss_b: 4.69901e-06, Loss_f: 7.28615e-04
Iter: 3200, Loss: 1.78531e-03, Loss_0: 6.96406e-04, Loss_b: 5.20652e-05, Loss_f: 1.03684e-03
Iter: 3300, Loss: 1.16779e-03, Loss_0: 4.81038e-04, Loss_b: 5.91897e-06, Loss_f: 6.80828e-04
Iter: 3400, Loss: 6.78459e-03, Loss_0: 8.71903e-04, Loss_b: 7.65435e-05, Loss_f: 5.83615e-03
Iter: 3500, Loss: 1.04774e-03, Loss_0: 4.29333e-04, Loss_b: 1.85115e-06, Loss_f: 6.16552e-04
Iter: 3600, Loss: 1.02332e-03, Loss_0: 4.00282e-04, Loss_b: 2.17735e-06, Loss_f: 6.20863e-04
Iter: 3700, Loss: 1.40024e-03, Loss_0: 4.73587e-04, Loss_b: 7.31995e-05, Loss_f: 8.53449e-04
Iter: 3800, Loss: 9.91801e-04, Loss_0: 3.50905e-04, Loss_b: 2.24820e-06, Loss_f: 6.38648e-04
Iter: 3900, Loss: 8.87787e-04, Loss_0: 3.40121e-04, Loss_b: 1.22110e-06, Loss_f: 5.46445e-04
Iter: 4000, Loss: 8.63049e-04, Loss_0: 3.35385e-04, Loss_b: 1.02152e-06, Loss_f: 5.26643e-04
Iter: 4100, Loss: 1.71651e-03, Loss_0: 4.02155e-04, Loss_b: 1.06132e-04, Loss_f: 1.20822e-03
Iter: 4200, Loss: 7.98452e-04, Loss_0: 2.84647e-04, Loss_b: 9.36502e-07, Loss_f: 5.12869e-04
Iter: 4300, Loss: 7.74985e-04, Loss_0: 2.80495e-04, Loss_b: 1.07125e-06, Loss_f: 4.93419e-04
Iter: 4400, Loss: 9.07672e-04, Loss_0: 3.25998e-04, Loss_b: 6.12741e-06, Loss_f: 5.75546e-04
Iter: 4500, Loss: 7.55598e-04, Loss_0: 2.75114e-04, Loss_b: 1.38745e-06, Loss_f: 4.79097e-04
Iter: 4600, Loss: 5.08255e-03, Loss_0: 5.10900e-04, Loss_b: 7.20179e-05, Loss_f: 4.49964e-03
Iter: 4700, Loss: 6.79410e-04, Loss_0: 2.31361e-04, Loss_b: 5.48663e-07, Loss_f: 4.47501e-04
Iter: 4800, Loss: 7.32067e-04, Loss_0: 2.49012e-04, Loss_b: 7.92287e-06, Loss_f: 4.75132e-04
Iter: 4900, Loss: 7.03615e-04, Loss_0: 2.11376e-04, Loss_b: 1.48559e-06, Loss_f: 4.90754e-04
Iter: 5000, Loss: 6.21458e-04, Loss_0: 1.99755e-04, Loss_b: 4.56419e-07, Loss_f: 4.21246e-04
Iter: 5100, Loss: 6.42116e-04, Loss_0: 2.17756e-04, Loss_b: 9.74899e-07, Loss_f: 4.23386e-04
Iter: 5200, Loss: 5.87274e-04, Loss_0: 1.81651e-04, Loss_b: 5.15459e-07, Loss_f: 4.05108e-04
Iter: 5300, Loss: 6.13482e-04, Loss_0: 1.70793e-04, Loss_b: 1.16025e-06, Loss_f: 4.41528e-04
Iter: 5400, Loss: 5.58596e-04, Loss_0: 1.75865e-04, Loss_b: 3.45530e-07, Loss_f: 3.82385e-04
Iter: 5500, Loss: 2.41593e-03, Loss_0: 1.52020e-04, Loss_b: 3.07101e-05, Loss_f: 2.23320e-03
Iter: 5600, Loss: 5.32074e-04, Loss_0: 1.66544e-04, Loss_b: 3.06701e-07, Loss_f: 3.65223e-04
Iter: 5700, Loss: 8.50013e-04, Loss_0: 2.44282e-04, Loss_b: 5.80098e-05, Loss_f: 5.47721e-04
Iter: 5800, Loss: 4.99123e-04, Loss_0: 1.45320e-04, Loss_b: 2.88737e-07, Loss_f: 3.53514e-04
