Start Training:
Iter: 0, Loss: 1.46237e+00, Loss_0: 1.08239e-01, Loss_1: 3.63178e-01, Loss_b: 7.94616e-01, Loss_f: 1.96341e-01
Iter: 100, Loss: 2.50356e-01, Loss_0: 2.89535e-04, Loss_1: 2.37006e-01, Loss_b: 3.61635e-05, Loss_f: 1.30241e-02
Iter: 200, Loss: 2.08332e-01, Loss_0: 3.80999e-04, Loss_1: 2.05225e-01, Loss_b: 7.03074e-06, Loss_f: 2.71876e-03
Iter: 300, Loss: 1.14590e-01, Loss_0: 7.19481e-04, Loss_1: 1.10549e-01, Loss_b: 2.72404e-04, Loss_f: 3.04912e-03
Iter: 400, Loss: 7.90828e-02, Loss_0: 5.61387e-04, Loss_1: 7.64062e-02, Loss_b: 1.12080e-04, Loss_f: 2.00308e-03
Iter: 500, Loss: 5.26722e-02, Loss_0: 3.85861e-04, Loss_1: 5.09651e-02, Loss_b: 3.80466e-04, Loss_f: 9.40833e-04
Iter: 600, Loss: 3.87142e-02, Loss_0: 3.94530e-04, Loss_1: 3.54625e-02, Loss_b: 2.21375e-03, Loss_f: 6.43470e-04
Iter: 700, Loss: 2.63304e-02, Loss_0: 9.56804e-05, Loss_1: 2.57805e-02, Loss_b: 1.12158e-05, Loss_f: 4.43070e-04
Iter: 800, Loss: 2.00794e-02, Loss_0: 9.06350e-05, Loss_1: 1.95710e-02, Loss_b: 1.01388e-05, Loss_f: 4.07555e-04
Iter: 900, Loss: 1.60330e-02, Loss_0: 7.11396e-05, Loss_1: 1.56097e-02, Loss_b: 9.83546e-06, Loss_f: 3.42271e-04
Iter: 1000, Loss: 1.31762e-02, Loss_0: 5.26496e-05, Loss_1: 1.28601e-02, Loss_b: 7.77933e-06, Loss_f: 2.55630e-04
Iter: 1100, Loss: 1.11512e-02, Loss_0: 4.52100e-05, Loss_1: 1.09029e-02, Loss_b: 8.86937e-06, Loss_f: 1.94197e-04
Iter: 1200, Loss: 9.69017e-03, Loss_0: 4.26143e-05, Loss_1: 9.47836e-03, Loss_b: 6.44717e-06, Loss_f: 1.62752e-04
Iter: 1300, Loss: 8.62332e-03, Loss_0: 3.92526e-05, Loss_1: 8.43773e-03, Loss_b: 7.91365e-06, Loss_f: 1.38427e-04
Iter: 1400, Loss: 7.76136e-03, Loss_0: 3.55767e-05, Loss_1: 7.60338e-03, Loss_b: 4.27342e-06, Loss_f: 1.18125e-04
Iter: 1500, Loss: 7.04960e-03, Loss_0: 3.45085e-05, Loss_1: 6.89889e-03, Loss_b: 1.72233e-05, Loss_f: 9.89826e-05
Iter: 1600, Loss: 6.40207e-03, Loss_0: 2.66009e-05, Loss_1: 6.28733e-03, Loss_b: 2.07662e-06, Loss_f: 8.60679e-05
Iter: 1700, Loss: 5.90622e-03, Loss_0: 3.23861e-05, Loss_1: 5.74670e-03, Loss_b: 4.96593e-05, Loss_f: 7.74667e-05
Iter: 1800, Loss: 5.34967e-03, Loss_0: 2.03869e-05, Loss_1: 5.26234e-03, Loss_b: 1.11825e-06, Loss_f: 6.58301e-05
Iter: 1900, Loss: 4.90696e-03, Loss_0: 1.87559e-05, Loss_1: 4.82779e-03, Loss_b: 1.46103e-06, Loss_f: 5.89600e-05
Iter: 2000, Loss: 4.50129e-03, Loss_0: 1.72207e-05, Loss_1: 4.43037e-03, Loss_b: 5.71582e-07, Loss_f: 5.31281e-05
