Start Training:
Iter: 0, Loss: 4.69574e-01, Loss_0: 6.05023e-02, Loss_1: 2.07326e-01, Loss_b: 1.33934e-01, Loss_f: 6.78109e-02
Iter: 100, Loss: 1.64277e-01, Loss_0: 7.89714e-04, Loss_1: 1.62057e-01, Loss_b: 3.91957e-05, Loss_f: 1.39156e-03
Iter: 200, Loss: 1.00008e-01, Loss_0: 5.26916e-04, Loss_1: 9.78129e-02, Loss_b: 2.92478e-05, Loss_f: 1.63938e-03
Iter: 300, Loss: 6.25531e-02, Loss_0: 3.73342e-04, Loss_1: 6.15410e-02, Loss_b: 1.14571e-04, Loss_f: 5.24207e-04
Iter: 400, Loss: 4.09146e-02, Loss_0: 1.07921e-04, Loss_1: 4.04790e-02, Loss_b: 1.10092e-05, Loss_f: 3.16639e-04
Iter: 500, Loss: 2.29856e-02, Loss_0: 6.58856e-05, Loss_1: 2.27374e-02, Loss_b: 8.67018e-06, Loss_f: 1.73678e-04
Iter: 600, Loss: 1.56892e-02, Loss_0: 4.97285e-05, Loss_1: 1.54915e-02, Loss_b: 9.15616e-06, Loss_f: 1.38835e-04
Iter: 700, Loss: 1.15654e-02, Loss_0: 7.61605e-05, Loss_1: 1.11191e-02, Loss_b: 2.32668e-04, Loss_f: 1.37422e-04
Iter: 800, Loss: 8.72488e-03, Loss_0: 2.94563e-05, Loss_1: 8.59793e-03, Loss_b: 8.58625e-07, Loss_f: 9.66418e-05
Iter: 900, Loss: 7.17856e-03, Loss_0: 2.51532e-05, Loss_1: 7.07005e-03, Loss_b: 2.59479e-06, Loss_f: 8.07624e-05
Iter: 1000, Loss: 6.18436e-03, Loss_0: 3.82111e-05, Loss_1: 6.05057e-03, Loss_b: 3.13206e-05, Loss_f: 6.42603e-05
Iter: 1100, Loss: 5.36571e-03, Loss_0: 1.65901e-05, Loss_1: 5.29346e-03, Loss_b: 3.35918e-06, Loss_f: 5.23043e-05
Iter: 1200, Loss: 4.76100e-03, Loss_0: 1.27490e-05, Loss_1: 4.70145e-03, Loss_b: 3.84260e-06, Loss_f: 4.29588e-05
Iter: 1300, Loss: 5.84589e-03, Loss_0: 4.32610e-04, Loss_1: 4.48875e-03, Loss_b: 8.36517e-04, Loss_f: 8.80123e-05
Iter: 1400, Loss: 3.82494e-03, Loss_0: 7.68224e-06, Loss_1: 3.78398e-03, Loss_b: 3.62602e-06, Loss_f: 2.96525e-05
Iter: 1500, Loss: 3.45137e-03, Loss_0: 6.35906e-06, Loss_1: 3.41717e-03, Loss_b: 2.94811e-06, Loss_f: 2.48996e-05
Iter: 1600, Loss: 3.42012e-03, Loss_0: 9.38140e-05, Loss_1: 3.15161e-03, Loss_b: 1.42693e-04, Loss_f: 3.20040e-05
Iter: 1700, Loss: 3.92529e-03, Loss_0: 2.67430e-04, Loss_1: 3.00689e-03, Loss_b: 6.02128e-04, Loss_f: 4.88496e-05
Iter: 1800, Loss: 2.67327e-03, Loss_0: 3.60097e-05, Loss_1: 2.58306e-03, Loss_b: 3.32382e-05, Loss_f: 2.09630e-05
Iter: 1900, Loss: 2.74217e-03, Loss_0: 7.21291e-05, Loss_1: 2.41499e-03, Loss_b: 2.27908e-04, Loss_f: 2.71395e-05
Iter: 2000, Loss: 2.21360e-03, Loss_0: 1.35005e-05, Loss_1: 2.16307e-03, Loss_b: 2.00999e-05, Loss_f: 1.69326e-05
Iter: 2100, Loss: 2.40640e-03, Loss_0: 2.33685e-04, Loss_1: 2.08195e-03, Loss_b: 4.55797e-05, Loss_f: 4.51858e-05
Iter: 2200, Loss: 2.15285e-03, Loss_0: 6.73039e-05, Loss_1: 1.88133e-03, Loss_b: 1.82949e-04, Loss_f: 2.12658e-05
Iter: 2300, Loss: 2.06812e-03, Loss_0: 7.92215e-05, Loss_1: 1.76381e-03, Loss_b: 1.99959e-04, Loss_f: 2.51306e-05
Iter: 2400, Loss: 1.59142e-03, Loss_0: 3.37967e-06, Loss_1: 1.57442e-03, Loss_b: 1.28847e-06, Loss_f: 1.23300e-05
Iter: 2500, Loss: 2.00523e-03, Loss_0: 8.39060e-05, Loss_1: 1.53610e-03, Loss_b: 3.61181e-04, Loss_f: 2.40386e-05
Iter: 2600, Loss: 1.37369e-03, Loss_0: 3.12069e-06, Loss_1: 1.35924e-03, Loss_b: 5.92934e-07, Loss_f: 1.07375e-05
Iter: 2700, Loss: 1.28899e-03, Loss_0: 5.25278e-06, Loss_1: 1.26531e-03, Loss_b: 7.75746e-06, Loss_f: 1.06658e-05
Iter: 2800, Loss: 1.19013e-03, Loss_0: 4.06024e-06, Loss_1: 1.17521e-03, Loss_b: 1.45914e-06, Loss_f: 9.40163e-06
Iter: 2900, Loss: 1.10355e-03, Loss_0: 3.17487e-06, Loss_1: 1.09097e-03, Loss_b: 5.29478e-07, Loss_f: 8.87738e-06
Iter: 3000, Loss: 1.02565e-03, Loss_0: 3.51736e-06, Loss_1: 1.01250e-03, Loss_b: 1.23937e-06, Loss_f: 8.39430e-06
Iter: 3100, Loss: 1.00268e-03, Loss_0: 2.59866e-05, Loss_1: 9.50895e-04, Loss_b: 1.49167e-05, Loss_f: 1.08825e-05
Iter: 3200, Loss: 8.77341e-04, Loss_0: 2.49678e-06, Loss_1: 8.67233e-04, Loss_b: 4.79090e-07, Loss_f: 7.13213e-06
Iter: 3300, Loss: 9.75780e-04, Loss_0: 6.12678e-05, Loss_1: 8.31886e-04, Loss_b: 6.89601e-05, Loss_f: 1.36663e-05
Iter: 3400, Loss: 8.83063e-04, Loss_0: 4.06879e-05, Loss_1: 7.61137e-04, Loss_b: 7.06963e-05, Loss_f: 1.05415e-05
Iter: 3500, Loss: 6.89151e-04, Loss_0: 4.06365e-06, Loss_1: 6.77113e-04, Loss_b: 2.17376e-06, Loss_f: 5.80134e-06
