Start Training:
Iter: 0, Loss: 1.19955e+00, Loss_0: 3.62837e-02, Loss_1: 8.78085e-01, Loss_b: 2.34195e-01, Loss_f: 5.09902e-02
Iter: 100, Loss: 5.43434e-01, Loss_0: 6.42577e-02, Loss_1: 4.72241e-01, Loss_b: 9.15828e-05, Loss_f: 6.84365e-03
Iter: 200, Loss: 3.72797e-01, Loss_0: 9.50771e-02, Loss_1: 2.55267e-01, Loss_b: 1.45258e-03, Loss_f: 2.10006e-02
Iter: 300, Loss: 2.48090e-01, Loss_0: 4.79211e-02, Loss_1: 1.86468e-01, Loss_b: 2.96710e-04, Loss_f: 1.34036e-02
Iter: 400, Loss: 1.61422e-01, Loss_0: 2.43885e-02, Loss_1: 1.26614e-01, Loss_b: 5.92662e-05, Loss_f: 1.03603e-02
Iter: 500, Loss: 1.06604e-01, Loss_0: 1.15804e-02, Loss_1: 8.63496e-02, Loss_b: 3.90064e-05, Loss_f: 8.63479e-03
Iter: 600, Loss: 8.03499e-02, Loss_0: 7.95446e-03, Loss_1: 6.42220e-02, Loss_b: 5.75151e-05, Loss_f: 8.11592e-03
Iter: 700, Loss: 6.28471e-02, Loss_0: 6.31043e-03, Loss_1: 5.16965e-02, Loss_b: 1.40422e-05, Loss_f: 4.82607e-03
Iter: 800, Loss: 5.32724e-02, Loss_0: 5.35103e-03, Loss_1: 4.39761e-02, Loss_b: 2.55480e-05, Loss_f: 3.91968e-03
Iter: 900, Loss: 4.79669e-02, Loss_0: 4.65049e-03, Loss_1: 3.90592e-02, Loss_b: 1.18952e-04, Loss_f: 4.13827e-03
Iter: 1000, Loss: 5.52357e-02, Loss_0: 4.26593e-03, Loss_1: 3.62192e-02, Loss_b: 1.62759e-04, Loss_f: 1.45878e-02
Iter: 1100, Loss: 4.01491e-02, Loss_0: 3.74529e-03, Loss_1: 3.26904e-02, Loss_b: 6.78588e-05, Loss_f: 3.64558e-03
Iter: 1200, Loss: 3.54313e-02, Loss_0: 3.37896e-03, Loss_1: 2.97344e-02, Loss_b: 3.28574e-06, Loss_f: 2.31463e-03
Iter: 1300, Loss: 3.34913e-02, Loss_0: 3.21393e-03, Loss_1: 2.78799e-02, Loss_b: 9.36152e-05, Loss_f: 2.30389e-03
Iter: 1400, Loss: 3.16346e-02, Loss_0: 3.01245e-03, Loss_1: 2.61726e-02, Loss_b: 5.68556e-05, Loss_f: 2.39260e-03
Iter: 1500, Loss: 2.99553e-02, Loss_0: 2.84657e-03, Loss_1: 2.46253e-02, Loss_b: 1.22553e-04, Loss_f: 2.36088e-03
Iter: 1600, Loss: 2.83868e-02, Loss_0: 2.72679e-03, Loss_1: 2.36185e-02, Loss_b: 1.40210e-04, Loss_f: 1.90127e-03
Iter: 1700, Loss: 2.76271e-02, Loss_0: 2.74119e-03, Loss_1: 2.24546e-02, Loss_b: 4.24859e-04, Loss_f: 2.00648e-03
Iter: 1800, Loss: 2.65453e-02, Loss_0: 2.57496e-03, Loss_1: 2.08499e-02, Loss_b: 2.78627e-05, Loss_f: 3.09257e-03
Iter: 1900, Loss: 2.55971e-02, Loss_0: 2.49746e-03, Loss_1: 1.99933e-02, Loss_b: 3.05440e-05, Loss_f: 3.07576e-03
Iter: 2000, Loss: 2.28289e-02, Loss_0: 2.40819e-03, Loss_1: 1.90662e-02, Loss_b: 2.08944e-06, Loss_f: 1.35247e-03
Iter: 2100, Loss: 1.89163e-02, Loss_0: 2.12792e-03, Loss_1: 1.57353e-02, Loss_b: 3.90866e-06, Loss_f: 1.04916e-03
Iter: 2200, Loss: 1.78109e-02, Loss_0: 2.05339e-03, Loss_1: 1.51614e-02, Loss_b: 2.33056e-06, Loss_f: 5.93784e-04
Iter: 2300, Loss: 1.72366e-02, Loss_0: 2.07080e-03, Loss_1: 1.47706e-02, Loss_b: 4.65461e-06, Loss_f: 3.90493e-04
