Start Training:
Iter: 0, Loss: 1.86630e+00, Loss_0: 1.38844e-01, Loss_1: 3.71063e-01, Loss_b: 8.60693e-01, Loss_f: 4.95697e-01
Iter: 100, Loss: 2.58248e-01, Loss_0: 1.01093e-03, Loss_1: 2.43950e-01, Loss_b: 1.09605e-04, Loss_f: 1.31771e-02
Iter: 200, Loss: 2.24198e-01, Loss_0: 2.35374e-04, Loss_1: 2.23107e-01, Loss_b: 3.91146e-06, Loss_f: 8.51076e-04
Iter: 300, Loss: 1.87887e-01, Loss_0: 6.76053e-04, Loss_1: 1.83786e-01, Loss_b: 2.59299e-04, Loss_f: 3.16591e-03
Iter: 400, Loss: 1.00769e-01, Loss_0: 4.28749e-04, Loss_1: 9.68408e-02, Loss_b: 8.72840e-05, Loss_f: 3.41225e-03
Iter: 500, Loss: 6.22322e-02, Loss_0: 4.07233e-04, Loss_1: 5.99711e-02, Loss_b: 5.36522e-05, Loss_f: 1.80019e-03
Iter: 600, Loss: 3.95583e-02, Loss_0: 3.43540e-04, Loss_1: 3.80557e-02, Loss_b: 9.56396e-05, Loss_f: 1.06346e-03
Iter: 700, Loss: 2.88067e-02, Loss_0: 2.16019e-04, Loss_1: 2.80464e-02, Loss_b: 1.07052e-05, Loss_f: 5.33599e-04
Iter: 800, Loss: 2.22444e-02, Loss_0: 1.83363e-04, Loss_1: 2.16181e-02, Loss_b: 1.23866e-05, Loss_f: 4.30468e-04
Iter: 900, Loss: 1.78003e-02, Loss_0: 1.87601e-04, Loss_1: 1.72347e-02, Loss_b: 4.71456e-06, Loss_f: 3.73245e-04
Iter: 1000, Loss: 1.49052e-02, Loss_0: 1.94878e-04, Loss_1: 1.43762e-02, Loss_b: 7.45475e-06, Loss_f: 3.26644e-04
Iter: 1100, Loss: 1.29543e-02, Loss_0: 2.13266e-04, Loss_1: 1.24409e-02, Loss_b: 5.32636e-06, Loss_f: 2.94798e-04
Iter: 1200, Loss: 1.15038e-02, Loss_0: 2.28718e-04, Loss_1: 1.10207e-02, Loss_b: 6.70057e-06, Loss_f: 2.47749e-04
Iter: 1300, Loss: 1.03075e-02, Loss_0: 2.10836e-04, Loss_1: 9.89875e-03, Loss_b: 4.01863e-06, Loss_f: 1.93886e-04
Iter: 1400, Loss: 9.49485e-03, Loss_0: 2.57999e-04, Loss_1: 8.94289e-03, Loss_b: 1.42246e-04, Loss_f: 1.51717e-04
Iter: 1500, Loss: 8.43840e-03, Loss_0: 1.85461e-04, Loss_1: 8.14101e-03, Loss_b: 2.75316e-06, Loss_f: 1.09174e-04
Iter: 1600, Loss: 8.05542e-03, Loss_0: 1.66536e-04, Loss_1: 7.53720e-03, Loss_b: 2.11839e-04, Loss_f: 1.39854e-04
Iter: 1700, Loss: 7.09319e-03, Loss_0: 1.62833e-04, Loss_1: 6.84034e-03, Loss_b: 1.73307e-06, Loss_f: 8.82843e-05
Iter: 1800, Loss: 6.55278e-03, Loss_0: 1.54486e-04, Loss_1: 6.31212e-03, Loss_b: 1.33030e-06, Loss_f: 8.48496e-05
Iter: 1900, Loss: 6.10420e-03, Loss_0: 1.53369e-04, Loss_1: 5.85731e-03, Loss_b: 1.14653e-05, Loss_f: 8.20539e-05
