Start Training:
Iter: 0, Loss: 8.87953e-01, Loss_0: 9.51230e-02, Loss_1: 2.38989e-01, Loss_b: 4.15885e-01, Loss_f: 1.37957e-01
Iter: 100, Loss: 1.82177e-01, Loss_0: 8.85174e-05, Loss_1: 1.77553e-01, Loss_b: 4.98545e-05, Loss_f: 4.48588e-03
Iter: 200, Loss: 1.58063e-01, Loss_0: 3.03583e-04, Loss_1: 1.57395e-01, Loss_b: 6.53623e-06, Loss_f: 3.57124e-04
Iter: 300, Loss: 1.42023e-01, Loss_0: 3.00376e-04, Loss_1: 1.40430e-01, Loss_b: 7.51318e-06, Loss_f: 1.28553e-03
Iter: 400, Loss: 8.09857e-02, Loss_0: 4.39386e-04, Loss_1: 7.93038e-02, Loss_b: 8.07857e-05, Loss_f: 1.16170e-03
Iter: 500, Loss: 4.33692e-02, Loss_0: 4.69999e-04, Loss_1: 4.24597e-02, Loss_b: 4.75879e-05, Loss_f: 3.91931e-04
Iter: 600, Loss: 2.89099e-02, Loss_0: 5.27121e-05, Loss_1: 2.86902e-02, Loss_b: 8.37208e-06, Loss_f: 1.58593e-04
Iter: 700, Loss: 2.17553e-02, Loss_0: 9.57084e-05, Loss_1: 2.13983e-02, Loss_b: 1.28568e-04, Loss_f: 1.32693e-04
Iter: 800, Loss: 1.65385e-02, Loss_0: 1.19495e-04, Loss_1: 1.62834e-02, Loss_b: 1.02458e-05, Loss_f: 1.25374e-04
Iter: 900, Loss: 1.28793e-02, Loss_0: 4.34974e-05, Loss_1: 1.27252e-02, Loss_b: 5.88486e-06, Loss_f: 1.04694e-04
Iter: 1000, Loss: 1.03722e-02, Loss_0: 6.00940e-05, Loss_1: 1.01348e-02, Loss_b: 9.23121e-05, Loss_f: 8.50126e-05
Iter: 1100, Loss: 8.44038e-03, Loss_0: 2.88252e-05, Loss_1: 8.34163e-03, Loss_b: 1.98086e-06, Loss_f: 6.79405e-05
Iter: 1200, Loss: 7.16529e-03, Loss_0: 2.27237e-05, Loss_1: 7.08543e-03, Loss_b: 3.46480e-06, Loss_f: 5.36698e-05
Iter: 1300, Loss: 6.23255e-03, Loss_0: 2.20739e-05, Loss_1: 6.13941e-03, Loss_b: 2.65824e-05, Loss_f: 4.44836e-05
Iter: 1400, Loss: 5.46980e-03, Loss_0: 2.10490e-05, Loss_1: 5.40767e-03, Loss_b: 2.78672e-06, Loss_f: 3.82868e-05
Iter: 1500, Loss: 4.93194e-03, Loss_0: 5.03959e-05, Loss_1: 4.84103e-03, Loss_b: 3.79414e-06, Loss_f: 3.67190e-05
Iter: 1600, Loss: 4.38971e-03, Loss_0: 1.81261e-05, Loss_1: 4.33681e-03, Loss_b: 5.46286e-06, Loss_f: 2.93135e-05
Iter: 1700, Loss: 4.01886e-03, Loss_0: 2.54953e-05, Loss_1: 3.94172e-03, Loss_b: 2.48090e-05, Loss_f: 2.68333e-05
Iter: 1800, Loss: 3.65163e-03, Loss_0: 1.66913e-05, Loss_1: 3.60911e-03, Loss_b: 1.21419e-06, Loss_f: 2.46085e-05
Iter: 1900, Loss: 3.37144e-03, Loss_0: 1.42835e-05, Loss_1: 3.33182e-03, Loss_b: 1.89545e-06, Loss_f: 2.34410e-05
Iter: 2000, Loss: 3.12980e-03, Loss_0: 1.41970e-05, Loss_1: 3.09226e-03, Loss_b: 1.18773e-06, Loss_f: 2.21629e-05
Iter: 2100, Loss: 1.75857e-03, Loss_0: 1.88031e-05, Loss_1: 1.69890e-03, Loss_b: 2.95988e-06, Loss_f: 3.79087e-05
Iter: 2200, Loss: 1.08508e-03, Loss_0: 1.38778e-05, Loss_1: 1.03241e-03, Loss_b: 2.17436e-06, Loss_f: 3.66143e-05
Iter: 2300, Loss: 7.40132e-04, Loss_0: 1.16334e-05, Loss_1: 7.03803e-04, Loss_b: 2.00065e-06, Loss_f: 2.26945e-05
Iter: 2400, Loss: 5.69622e-04, Loss_0: 9.45003e-06, Loss_1: 5.46082e-04, Loss_b: 3.67488e-07, Loss_f: 1.37223e-05
Iter: 2500, Loss: 4.69594e-04, Loss_0: 8.80485e-06, Loss_1: 4.50251e-04, Loss_b: 1.96076e-07, Loss_f: 1.03418e-05
Iter: 2600, Loss: 4.12411e-04, Loss_0: 7.11080e-06, Loss_1: 3.96657e-04, Loss_b: 1.38271e-07, Loss_f: 8.50563e-06
Iter: 2700, Loss: 3.69931e-04, Loss_0: 7.58840e-06, Loss_1: 3.54275e-04, Loss_b: 8.52590e-08, Loss_f: 7.98184e-06
Iter: 2800, Loss: 3.43038e-04, Loss_0: 8.02890e-06, Loss_1: 3.25887e-04, Loss_b: 1.86780e-07, Loss_f: 8.93556e-06
Iter: 2900, Loss: 3.13699e-04, Loss_0: 7.18931e-06, Loss_1: 2.97207e-04, Loss_b: 1.47330e-07, Loss_f: 9.15558e-06
Iter: 3000, Loss: 2.89374e-04, Loss_0: 7.46384e-06, Loss_1: 2.73922e-04, Loss_b: 4.15338e-08, Loss_f: 7.94655e-06
Iter: 3100, Loss: 2.66473e-04, Loss_0: 6.63641e-06, Loss_1: 2.53859e-04, Loss_b: 2.03860e-07, Loss_f: 5.77360e-06
Iter: 3200, Loss: 2.45662e-04, Loss_0: 7.81046e-06, Loss_1: 2.32649e-04, Loss_b: 2.29803e-07, Loss_f: 4.97232e-06
Iter: 3300, Loss: 2.29240e-04, Loss_0: 6.59397e-06, Loss_1: 2.15182e-04, Loss_b: 5.44566e-07, Loss_f: 6.91885e-06
Iter: 3400, Loss: 2.12877e-04, Loss_0: 7.22692e-06, Loss_1: 1.99302e-04, Loss_b: 6.62019e-08, Loss_f: 6.28197e-06
Iter: 3500, Loss: 1.99818e-04, Loss_0: 7.07798e-06, Loss_1: 1.86211e-04, Loss_b: 2.22379e-08, Loss_f: 6.50697e-06
Iter: 3600, Loss: 1.89954e-04, Loss_0: 7.33767e-06, Loss_1: 1.76583e-04, Loss_b: 2.59796e-08, Loss_f: 6.00644e-06
Iter: 3700, Loss: 1.82448e-04, Loss_0: 7.23720e-06, Loss_1: 1.69205e-04, Loss_b: 6.36313e-08, Loss_f: 5.94230e-06
Iter: 3800, Loss: 1.74559e-04, Loss_0: 6.99153e-06, Loss_1: 1.61791e-04, Loss_b: 4.24358e-08, Loss_f: 5.73422e-06
Iter: 3900, Loss: 1.65171e-04, Loss_0: 6.96927e-06, Loss_1: 1.52988e-04, Loss_b: 2.24977e-08, Loss_f: 5.19093e-06
Iter: 4000, Loss: 1.58084e-04, Loss_0: 7.05771e-06, Loss_1: 1.46615e-04, Loss_b: 7.42178e-08, Loss_f: 4.33654e-06
Iter: 4100, Loss: 1.52155e-04, Loss_0: 6.95708e-06, Loss_1: 1.41122e-04, Loss_b: 6.22914e-08, Loss_f: 4.01319e-06
Iter: 4200, Loss: 1.46835e-04, Loss_0: 6.55316e-06, Loss_1: 1.36119e-04, Loss_b: 6.11964e-08, Loss_f: 4.10116e-06
Iter: 4300, Loss: 1.40664e-04, Loss_0: 6.35545e-06, Loss_1: 1.29901e-04, Loss_b: 1.79229e-07, Loss_f: 4.22868e-06
Iter: 4400, Loss: 1.35144e-04, Loss_0: 6.07471e-06, Loss_1: 1.24775e-04, Loss_b: 1.88704e-07, Loss_f: 4.10598e-06
Iter: 4500, Loss: 1.29089e-04, Loss_0: 5.98772e-06, Loss_1: 1.18640e-04, Loss_b: 1.61682e-07, Loss_f: 4.29967e-06
Iter: 4600, Loss: 1.23624e-04, Loss_0: 6.22072e-06, Loss_1: 1.13751e-04, Loss_b: 3.01280e-07, Loss_f: 3.35134e-06
Iter: 4700, Loss: 1.18347e-04, Loss_0: 5.82293e-06, Loss_1: 1.09067e-04, Loss_b: 2.14294e-07, Loss_f: 3.24334e-06
Iter: 4800, Loss: 1.14007e-04, Loss_0: 5.86208e-06, Loss_1: 1.04980e-04, Loss_b: 9.00387e-08, Loss_f: 3.07541e-06
Iter: 4900, Loss: 1.09879e-04, Loss_0: 5.93234e-06, Loss_1: 1.00112e-04, Loss_b: 1.21247e-07, Loss_f: 3.71288e-06
Iter: 5000, Loss: 1.05760e-04, Loss_0: 5.64965e-06, Loss_1: 9.58778e-05, Loss_b: 1.29984e-07, Loss_f: 4.10269e-06
Iter: 5100, Loss: 1.02363e-04, Loss_0: 5.40492e-06, Loss_1: 9.30137e-05, Loss_b: 7.16434e-08, Loss_f: 3.87225e-06
Iter: 5200, Loss: 9.91344e-05, Loss_0: 5.59041e-06, Loss_1: 8.97125e-05, Loss_b: 7.91938e-08, Loss_f: 3.75228e-06
Iter: 5300, Loss: 9.56114e-05, Loss_0: 5.82237e-06, Loss_1: 8.58107e-05, Loss_b: 8.58540e-08, Loss_f: 3.89244e-06
Iter: 5400, Loss: 9.15457e-05, Loss_0: 5.52264e-06, Loss_1: 8.16164e-05, Loss_b: 6.18963e-08, Loss_f: 4.34475e-06
Iter: 5500, Loss: 8.77992e-05, Loss_0: 5.39200e-06, Loss_1: 7.87300e-05, Loss_b: 6.16665e-08, Loss_f: 3.61556e-06
Iter: 5600, Loss: 8.46488e-05, Loss_0: 5.43020e-06, Loss_1: 7.59897e-05, Loss_b: 5.61092e-08, Loss_f: 3.17280e-06
Iter: 5700, Loss: 8.15331e-05, Loss_0: 5.49284e-06, Loss_1: 7.27766e-05, Loss_b: 4.83367e-08, Loss_f: 3.21529e-06
Iter: 5800, Loss: 7.87739e-05, Loss_0: 5.45325e-06, Loss_1: 7.00408e-05, Loss_b: 6.22554e-08, Loss_f: 3.21754e-06
Iter: 5900, Loss: 7.64555e-05, Loss_0: 5.62197e-06, Loss_1: 6.81970e-05, Loss_b: 6.99400e-08, Loss_f: 2.56658e-06
Iter: 6000, Loss: 7.40635e-05, Loss_0: 5.37437e-06, Loss_1: 6.62178e-05, Loss_b: 7.69144e-08, Loss_f: 2.39443e-06
Iter: 6100, Loss: 7.21333e-05, Loss_0: 5.44053e-06, Loss_1: 6.44120e-05, Loss_b: 5.53327e-08, Loss_f: 2.22549e-06
Iter: 6200, Loss: 7.04712e-05, Loss_0: 5.44551e-06, Loss_1: 6.28045e-05, Loss_b: 5.78924e-08, Loss_f: 2.16332e-06
Iter: 6300, Loss: 6.88747e-05, Loss_0: 5.43693e-06, Loss_1: 6.12664e-05, Loss_b: 7.17948e-08, Loss_f: 2.09958e-06
Iter: 6400, Loss: 6.70882e-05, Loss_0: 5.36860e-06, Loss_1: 5.98162e-05, Loss_b: 5.51052e-08, Loss_f: 1.84827e-06
Iter: 6500, Loss: 6.53276e-05, Loss_0: 5.37790e-06, Loss_1: 5.81999e-05, Loss_b: 4.48968e-08, Loss_f: 1.70497e-06
