Start Training:
Iter: 0, Loss: 1.04836e+00, Loss_0: 8.51438e-01, Loss_b: 1.87102e-01, Loss_f: 9.82422e-03
Iter: 100, Loss: 3.40964e-01, Loss_0: 3.24862e-01, Loss_b: 2.72550e-05, Loss_f: 1.60747e-02
Iter: 200, Loss: 8.56600e-02, Loss_0: 6.59886e-02, Loss_b: 1.42532e-04, Loss_f: 1.95288e-02
Iter: 300, Loss: 4.03260e-02, Loss_0: 2.26713e-02, Loss_b: 3.29556e-05, Loss_f: 1.76217e-02
Iter: 400, Loss: 2.15507e-02, Loss_0: 1.43112e-02, Loss_b: 6.99444e-06, Loss_f: 7.23256e-03
Iter: 500, Loss: 1.73557e-02, Loss_0: 1.05306e-02, Loss_b: 4.95393e-06, Loss_f: 6.82016e-03
Iter: 600, Loss: 1.53348e-02, Loss_0: 9.16486e-03, Loss_b: 5.19660e-04, Loss_f: 5.65031e-03
Iter: 700, Loss: 1.34482e-02, Loss_0: 7.20671e-03, Loss_b: 2.34260e-06, Loss_f: 6.23920e-03
Iter: 800, Loss: 1.18199e-02, Loss_0: 6.45890e-03, Loss_b: 3.76923e-06, Loss_f: 5.35723e-03
Iter: 900, Loss: 1.06564e-02, Loss_0: 5.89400e-03, Loss_b: 3.63194e-06, Loss_f: 4.75879e-03
Iter: 1000, Loss: 1.01285e-02, Loss_0: 5.02925e-03, Loss_b: 4.48789e-06, Loss_f: 5.09473e-03
Iter: 1100, Loss: 9.61804e-03, Loss_0: 4.53727e-03, Loss_b: 1.10850e-05, Loss_f: 5.06968e-03
Iter: 1200, Loss: 2.03176e-02, Loss_0: 6.21141e-03, Loss_b: 4.27214e-05, Loss_f: 1.40635e-02
Iter: 1300, Loss: 1.01937e-02, Loss_0: 4.21936e-03, Loss_b: 2.02545e-03, Loss_f: 3.94885e-03
Iter: 1400, Loss: 7.36246e-03, Loss_0: 3.27295e-03, Loss_b: 5.04002e-06, Loss_f: 4.08447e-03
Iter: 1500, Loss: 6.05700e-03, Loss_0: 3.16803e-03, Loss_b: 5.29794e-06, Loss_f: 2.88367e-03
Iter: 1600, Loss: 5.31464e-03, Loss_0: 2.72613e-03, Loss_b: 6.45730e-06, Loss_f: 2.58205e-03
Iter: 1700, Loss: 7.53175e-03, Loss_0: 2.94292e-03, Loss_b: 1.15679e-04, Loss_f: 4.47315e-03
Iter: 1800, Loss: 4.22864e-03, Loss_0: 2.01260e-03, Loss_b: 5.42976e-06, Loss_f: 2.21061e-03
Iter: 1900, Loss: 3.87112e-03, Loss_0: 1.84945e-03, Loss_b: 5.14752e-05, Loss_f: 1.97019e-03
Iter: 2000, Loss: 3.95014e-03, Loss_0: 1.60389e-03, Loss_b: 8.82344e-06, Loss_f: 2.33743e-03
Iter: 2100, Loss: 3.18958e-03, Loss_0: 1.47189e-03, Loss_b: 3.47689e-06, Loss_f: 1.71421e-03
