Start Training:
Iter: 0, Loss: 2.29036e+00, Loss_0: 8.42330e-01, Loss_b: 6.55510e-01, Loss_f: 9.95783e-03, Loss_s: 7.82565e-01
Iter: 100, Loss: 5.94792e-01, Loss_0: 2.78105e-01, Loss_b: 2.66199e-05, Loss_f: 7.87253e-02, Loss_s: 2.37934e-01
Iter: 200, Loss: 3.45227e-01, Loss_0: 1.45941e-01, Loss_b: 1.56271e-04, Loss_f: 5.62821e-02, Loss_s: 1.42848e-01
Iter: 300, Loss: 2.54558e-01, Loss_0: 8.94164e-02, Loss_b: 1.72680e-05, Loss_f: 5.85267e-02, Loss_s: 1.06598e-01
Iter: 400, Loss: 1.99522e-01, Loss_0: 7.07868e-02, Loss_b: 1.88309e-03, Loss_f: 4.60327e-02, Loss_s: 8.08190e-02
Iter: 500, Loss: 1.52144e-01, Loss_0: 4.90988e-02, Loss_b: 1.29517e-05, Loss_f: 3.44511e-02, Loss_s: 6.85808e-02
Iter: 600, Loss: 1.23688e-01, Loss_0: 3.41844e-02, Loss_b: 6.70916e-06, Loss_f: 2.77907e-02, Loss_s: 6.17061e-02
Iter: 700, Loss: 1.08461e-01, Loss_0: 2.82321e-02, Loss_b: 3.41448e-04, Loss_f: 2.26237e-02, Loss_s: 5.72634e-02
Iter: 800, Loss: 9.61165e-02, Loss_0: 2.46237e-02, Loss_b: 1.51738e-05, Loss_f: 1.67928e-02, Loss_s: 5.46847e-02
Iter: 900, Loss: 8.68673e-02, Loss_0: 2.07401e-02, Loss_b: 8.76935e-06, Loss_f: 1.31252e-02, Loss_s: 5.29932e-02
Iter: 1000, Loss: 8.14559e-02, Loss_0: 1.84658e-02, Loss_b: 8.06775e-06, Loss_f: 1.17867e-02, Loss_s: 5.11954e-02
Iter: 1100, Loss: 7.82128e-02, Loss_0: 1.71257e-02, Loss_b: 5.89278e-06, Loss_f: 1.15498e-02, Loss_s: 4.95314e-02
Iter: 1200, Loss: 7.33461e-02, Loss_0: 1.51426e-02, Loss_b: 3.90334e-06, Loss_f: 9.94400e-03, Loss_s: 4.82557e-02
Iter: 1300, Loss: 7.00774e-02, Loss_0: 1.39327e-02, Loss_b: 2.26430e-06, Loss_f: 9.12740e-03, Loss_s: 4.70150e-02
Iter: 1400, Loss: 6.76099e-02, Loss_0: 1.27800e-02, Loss_b: 5.76089e-06, Loss_f: 9.04212e-03, Loss_s: 4.57819e-02
Iter: 1500, Loss: 6.48105e-02, Loss_0: 1.16787e-02, Loss_b: 2.22688e-06, Loss_f: 8.08059e-03, Loss_s: 4.50490e-02
Iter: 1600, Loss: 6.28903e-02, Loss_0: 1.08948e-02, Loss_b: 2.67464e-06, Loss_f: 7.63571e-03, Loss_s: 4.43572e-02
Iter: 1700, Loss: 6.12329e-02, Loss_0: 1.01723e-02, Loss_b: 4.06115e-06, Loss_f: 7.32674e-03, Loss_s: 4.37298e-02
Iter: 1800, Loss: 6.82268e-02, Loss_0: 1.06682e-02, Loss_b: 3.10057e-06, Loss_f: 1.50054e-02, Loss_s: 4.25501e-02
Iter: 1900, Loss: 5.78768e-02, Loss_0: 8.93169e-03, Loss_b: 3.54323e-06, Loss_f: 6.39206e-03, Loss_s: 4.25495e-02
Iter: 2000, Loss: 5.64591e-02, Loss_0: 8.48221e-03, Loss_b: 3.09308e-06, Loss_f: 6.06429e-03, Loss_s: 4.19095e-02
Iter: 2100, Loss: 5.51855e-02, Loss_0: 8.06180e-03, Loss_b: 4.34032e-06, Loss_f: 5.79995e-03, Loss_s: 4.13195e-02
Iter: 2200, Loss: 5.40542e-02, Loss_0: 7.74053e-03, Loss_b: 1.08190e-05, Loss_f: 5.53075e-03, Loss_s: 4.07721e-02
