Start Training:
Iter: 0, Loss: 4.86229e+00, Loss_0: 9.98766e-01, Loss_b: 1.98268e+00, Loss_f: 1.42428e-01, Loss_s: 1.73841e+00
Iter: 100, Loss: 2.00468e+00, Loss_0: 9.48762e-01, Loss_b: 1.07166e-05, Loss_f: 2.48667e-02, Loss_s: 1.03104e+00
Iter: 200, Loss: 1.73634e+00, Loss_0: 9.52176e-01, Loss_b: 4.95483e-04, Loss_f: 4.43558e-02, Loss_s: 7.39312e-01
Iter: 300, Loss: 1.21983e+00, Loss_0: 7.24427e-01, Loss_b: 3.26146e-04, Loss_f: 5.51593e-02, Loss_s: 4.39918e-01
Iter: 400, Loss: 8.03317e-01, Loss_0: 4.15079e-01, Loss_b: 6.02156e-05, Loss_f: 7.29613e-02, Loss_s: 3.15216e-01
Iter: 500, Loss: 4.78047e-01, Loss_0: 1.63568e-01, Loss_b: 2.45586e-04, Loss_f: 5.78274e-02, Loss_s: 2.56406e-01
Iter: 600, Loss: 3.42949e-01, Loss_0: 8.79440e-02, Loss_b: 7.99160e-05, Loss_f: 3.81700e-02, Loss_s: 2.16755e-01
Iter: 700, Loss: 2.81702e-01, Loss_0: 5.50504e-02, Loss_b: 7.51360e-05, Loss_f: 3.55417e-02, Loss_s: 1.91035e-01
Iter: 800, Loss: 2.31867e-01, Loss_0: 3.73909e-02, Loss_b: 3.30731e-05, Loss_f: 2.24530e-02, Loss_s: 1.71990e-01
Iter: 900, Loss: 2.03359e-01, Loss_0: 2.73682e-02, Loss_b: 3.32981e-05, Loss_f: 1.89014e-02, Loss_s: 1.57057e-01
Iter: 1000, Loss: 1.83864e-01, Loss_0: 2.13506e-02, Loss_b: 2.15703e-05, Loss_f: 1.72378e-02, Loss_s: 1.45254e-01
Iter: 1100, Loss: 1.68843e-01, Loss_0: 1.77555e-02, Loss_b: 2.18029e-05, Loss_f: 1.57760e-02, Loss_s: 1.35290e-01
Iter: 1200, Loss: 1.56288e-01, Loss_0: 1.51430e-02, Loss_b: 2.33137e-05, Loss_f: 1.45790e-02, Loss_s: 1.26543e-01
Iter: 1300, Loss: 1.44861e-01, Loss_0: 1.30430e-02, Loss_b: 2.44905e-05, Loss_f: 1.31500e-02, Loss_s: 1.18644e-01
Iter: 1400, Loss: 1.35259e-01, Loss_0: 1.15840e-02, Loss_b: 2.26609e-05, Loss_f: 1.18323e-02, Loss_s: 1.11820e-01
Iter: 1500, Loss: 1.28053e-01, Loss_0: 1.05725e-02, Loss_b: 2.32027e-05, Loss_f: 1.15184e-02, Loss_s: 1.05939e-01
Iter: 1600, Loss: 1.33046e-01, Loss_0: 9.33145e-03, Loss_b: 2.76648e-05, Loss_f: 2.26840e-02, Loss_s: 1.01003e-01
Iter: 1700, Loss: 1.15577e-01, Loss_0: 8.93121e-03, Loss_b: 1.54014e-05, Loss_f: 9.74067e-03, Loss_s: 9.68894e-02
Iter: 1800, Loss: 1.13002e-01, Loss_0: 8.12701e-03, Loss_b: 4.63074e-05, Loss_f: 1.10841e-02, Loss_s: 9.37442e-02
Iter: 1900, Loss: 1.07599e-01, Loss_0: 7.79109e-03, Loss_b: 1.20777e-05, Loss_f: 9.11617e-03, Loss_s: 9.06792e-02
Iter: 2000, Loss: 1.04078e-01, Loss_0: 7.43099e-03, Loss_b: 9.37923e-06, Loss_f: 8.43339e-03, Loss_s: 8.82040e-02
Iter: 2100, Loss: 1.01038e-01, Loss_0: 7.09683e-03, Loss_b: 7.44845e-06, Loss_f: 7.93961e-03, Loss_s: 8.59939e-02
Iter: 2200, Loss: 9.92807e-02, Loss_0: 7.00540e-03, Loss_b: 7.35353e-06, Loss_f: 8.23099e-03, Loss_s: 8.40370e-02
Iter: 2300, Loss: 9.60269e-02, Loss_0: 6.50779e-03, Loss_b: 5.26366e-06, Loss_f: 7.09448e-03, Loss_s: 8.24194e-02
Iter: 2400, Loss: 9.39805e-02, Loss_0: 6.29076e-03, Loss_b: 4.71756e-06, Loss_f: 6.72240e-03, Loss_s: 8.09627e-02
Iter: 2500, Loss: 9.22535e-02, Loss_0: 6.10255e-03, Loss_b: 4.52771e-06, Loss_f: 6.50922e-03, Loss_s: 7.96372e-02
Iter: 2600, Loss: 9.23324e-02, Loss_0: 5.74846e-03, Loss_b: 5.08889e-06, Loss_f: 8.04280e-03, Loss_s: 7.85361e-02
Iter: 2700, Loss: 9.19664e-02, Loss_0: 5.41430e-03, Loss_b: 1.71096e-05, Loss_f: 8.87653e-03, Loss_s: 7.76585e-02
Iter: 2800, Loss: 8.82850e-02, Loss_0: 5.54781e-03, Loss_b: 8.97336e-06, Loss_f: 6.27253e-03, Loss_s: 7.64557e-02
Iter: 2900, Loss: 8.66454e-02, Loss_0: 5.24556e-03, Loss_b: 3.67005e-06, Loss_f: 5.68334e-03, Loss_s: 7.57128e-02
Iter: 3000, Loss: 8.89060e-02, Loss_0: 5.52669e-03, Loss_b: 2.29956e-05, Loss_f: 8.55744e-03, Loss_s: 7.47988e-02
Iter: 3100, Loss: 8.44263e-02, Loss_0: 5.14750e-03, Loss_b: 4.38451e-06, Loss_f: 5.03777e-03, Loss_s: 7.42366e-02
Iter: 3200, Loss: 8.36118e-02, Loss_0: 4.86483e-03, Loss_b: 4.67497e-06, Loss_f: 5.01528e-03, Loss_s: 7.37270e-02
Iter: 3300, Loss: 8.22868e-02, Loss_0: 4.69894e-03, Loss_b: 4.37541e-06, Loss_f: 4.40505e-03, Loss_s: 7.31784e-02
Iter: 3400, Loss: 9.98480e-02, Loss_0: 4.84795e-03, Loss_b: 1.65491e-05, Loss_f: 2.23054e-02, Loss_s: 7.26780e-02
Iter: 3500, Loss: 8.24532e-02, Loss_0: 4.73266e-03, Loss_b: 5.31530e-06, Loss_f: 5.62447e-03, Loss_s: 7.20907e-02
Iter: 3600, Loss: 8.01022e-02, Loss_0: 4.45723e-03, Loss_b: 4.97920e-06, Loss_f: 3.87529e-03, Loss_s: 7.17647e-02
Iter: 3700, Loss: 7.95253e-02, Loss_0: 4.33496e-03, Loss_b: 4.53156e-06, Loss_f: 3.77232e-03, Loss_s: 7.14135e-02
Iter: 3800, Loss: 9.04779e-02, Loss_0: 4.13702e-03, Loss_b: 2.94238e-05, Loss_f: 1.51438e-02, Loss_s: 7.11676e-02
Iter: 3900, Loss: 7.86684e-02, Loss_0: 4.17120e-03, Loss_b: 7.55223e-06, Loss_f: 3.77729e-03, Loss_s: 7.07123e-02
Iter: 4000, Loss: 7.78834e-02, Loss_0: 4.10399e-03, Loss_b: 7.30350e-06, Loss_f: 3.39463e-03, Loss_s: 7.03775e-02
Iter: 4100, Loss: 7.73186e-02, Loss_0: 3.98314e-03, Loss_b: 5.77623e-06, Loss_f: 3.18459e-03, Loss_s: 7.01451e-02
Iter: 4200, Loss: 7.72397e-02, Loss_0: 3.87646e-03, Loss_b: 1.14036e-05, Loss_f: 3.43973e-03, Loss_s: 6.99122e-02
Iter: 4300, Loss: 7.65265e-02, Loss_0: 3.84245e-03, Loss_b: 6.07786e-06, Loss_f: 3.06288e-03, Loss_s: 6.96151e-02
Iter: 4400, Loss: 8.40108e-02, Loss_0: 4.15774e-03, Loss_b: 3.41771e-05, Loss_f: 1.05779e-02, Loss_s: 6.92410e-02
Iter: 4500, Loss: 7.57770e-02, Loss_0: 3.70133e-03, Loss_b: 6.05525e-06, Loss_f: 2.89962e-03, Loss_s: 6.91700e-02
Iter: 4600, Loss: 7.57987e-02, Loss_0: 3.59555e-03, Loss_b: 9.66786e-06, Loss_f: 3.17973e-03, Loss_s: 6.90138e-02
Iter: 4700, Loss: 7.49266e-02, Loss_0: 3.61410e-03, Loss_b: 6.73760e-06, Loss_f: 2.54014e-03, Loss_s: 6.87657e-02
Iter: 4800, Loss: 8.33552e-02, Loss_0: 3.81067e-03, Loss_b: 1.88305e-05, Loss_f: 1.10457e-02, Loss_s: 6.84800e-02
Iter: 4900, Loss: 7.52839e-02, Loss_0: 3.49043e-03, Loss_b: 5.75508e-06, Loss_f: 3.34048e-03, Loss_s: 6.84472e-02
Iter: 5000, Loss: 7.45588e-02, Loss_0: 3.52064e-03, Loss_b: 1.06740e-05, Loss_f: 2.79325e-03, Loss_s: 6.82342e-02
Iter: 5100, Loss: 7.40459e-02, Loss_0: 3.36370e-03, Loss_b: 6.34751e-06, Loss_f: 2.53634e-03, Loss_s: 6.81395e-02
Iter: 5200, Loss: 7.69981e-02, Loss_0: 3.03825e-03, Loss_b: 1.18690e-05, Loss_f: 5.72322e-03, Loss_s: 6.82248e-02
