Start Training:
Iter: 0, Loss: 3.65536e+00, Loss_0: 6.82956e-01, Loss_b: 1.47829e-01, Loss_f: 1.97413e-01, Loss_s: 2.62716e+00
Iter: 100, Loss: 1.35884e+00, Loss_0: 4.46750e-01, Loss_b: 1.72759e-04, Loss_f: 7.20896e-02, Loss_s: 8.39826e-01
Iter: 200, Loss: 7.86818e-01, Loss_0: 2.55602e-01, Loss_b: 1.58340e-04, Loss_f: 5.95102e-02, Loss_s: 4.71548e-01
Iter: 300, Loss: 5.72197e-01, Loss_0: 1.43937e-01, Loss_b: 4.53793e-03, Loss_f: 4.05322e-02, Loss_s: 3.83189e-01
Iter: 400, Loss: 4.13443e-01, Loss_0: 7.76258e-02, Loss_b: 2.92188e-05, Loss_f: 4.14551e-02, Loss_s: 2.94332e-01
Iter: 500, Loss: 2.92865e-01, Loss_0: 3.98343e-02, Loss_b: 2.81792e-05, Loss_f: 2.82174e-02, Loss_s: 2.24785e-01
Iter: 600, Loss: 2.21245e-01, Loss_0: 2.44585e-02, Loss_b: 3.89070e-05, Loss_f: 2.39275e-02, Loss_s: 1.72820e-01
Iter: 700, Loss: 1.76815e-01, Loss_0: 1.74151e-02, Loss_b: 4.15904e-04, Loss_f: 1.87131e-02, Loss_s: 1.40271e-01
Iter: 800, Loss: 1.47595e-01, Loss_0: 1.20563e-02, Loss_b: 4.68660e-04, Loss_f: 1.48704e-02, Loss_s: 1.20200e-01
Iter: 900, Loss: 1.27836e-01, Loss_0: 8.66540e-03, Loss_b: 2.57707e-05, Loss_f: 1.24913e-02, Loss_s: 1.06654e-01
Iter: 1000, Loss: 1.18319e-01, Loss_0: 7.63444e-03, Loss_b: 1.74258e-04, Loss_f: 1.39764e-02, Loss_s: 9.65339e-02
Iter: 1100, Loss: 1.03027e-01, Loss_0: 5.05105e-03, Loss_b: 1.69412e-04, Loss_f: 9.22485e-03, Loss_s: 8.85812e-02
Iter: 1200, Loss: 9.43380e-02, Loss_0: 4.66169e-03, Loss_b: 6.11494e-05, Loss_f: 8.30315e-03, Loss_s: 8.13120e-02
Iter: 1300, Loss: 8.74499e-02, Loss_0: 3.69749e-03, Loss_b: 3.86915e-04, Loss_f: 8.28789e-03, Loss_s: 7.50776e-02
Iter: 1400, Loss: 8.09669e-02, Loss_0: 3.44949e-03, Loss_b: 5.72917e-05, Loss_f: 7.48847e-03, Loss_s: 6.99716e-02
