Start Training:
Iter: 0, Loss: 2.38091e+00, Loss_0: 1.77472e+00, Loss_b: 1.86386e-01, Loss_f: 4.19803e-01
Iter: 100, Loss: 1.91855e-01, Loss_0: 1.35264e-01, Loss_b: 6.37508e-05, Loss_f: 5.65271e-02
Iter: 200, Loss: 1.90111e-01, Loss_0: 1.34264e-01, Loss_b: 2.59665e-05, Loss_f: 5.58210e-02
Iter: 300, Loss: 1.88861e-01, Loss_0: 1.33450e-01, Loss_b: 1.52839e-05, Loss_f: 5.53958e-02
Iter: 400, Loss: 1.86387e-01, Loss_0: 1.31861e-01, Loss_b: 2.18458e-05, Loss_f: 5.45042e-02
Iter: 500, Loss: 1.72850e-01, Loss_0: 1.22359e-01, Loss_b: 6.61452e-05, Loss_f: 5.04251e-02
Iter: 600, Loss: 1.56346e-01, Loss_0: 1.06495e-01, Loss_b: 6.27871e-05, Loss_f: 4.97883e-02
Iter: 700, Loss: 1.46894e-01, Loss_0: 9.63821e-02, Loss_b: 1.31396e-04, Loss_f: 5.03809e-02
Iter: 800, Loss: 1.40867e-01, Loss_0: 8.50474e-02, Loss_b: 1.43201e-04, Loss_f: 5.56765e-02
Iter: 900, Loss: 1.35106e-01, Loss_0: 9.67403e-02, Loss_b: 2.41592e-04, Loss_f: 3.81241e-02
Iter: 1000, Loss: 1.23773e-01, Loss_0: 6.56914e-02, Loss_b: 2.40197e-04, Loss_f: 5.78414e-02
Iter: 1100, Loss: 1.09268e-01, Loss_0: 9.61009e-02, Loss_b: 1.78577e-04, Loss_f: 1.29880e-02
Iter: 1200, Loss: 6.19923e-02, Loss_0: 4.13940e-02, Loss_b: 1.94460e-04, Loss_f: 2.04039e-02
Iter: 1300, Loss: 3.32184e+00, Loss_0: 7.29861e-01, Loss_b: 3.16943e-01, Loss_f: 2.27503e+00
Iter: 1400, Loss: 1.72424e+00, Loss_0: 6.94957e-01, Loss_b: 2.43730e-01, Loss_f: 7.85556e-01
Iter: 1500, Loss: 1.40920e+00, Loss_0: 6.72486e-01, Loss_b: 2.07364e-01, Loss_f: 5.29346e-01
Iter: 1600, Loss: 1.22066e+00, Loss_0: 6.50117e-01, Loss_b: 1.80173e-01, Loss_f: 3.90365e-01
Iter: 1700, Loss: 1.08780e+00, Loss_0: 6.27539e-01, Loss_b: 1.57528e-01, Loss_f: 3.02734e-01
Iter: 1800, Loss: 9.85024e-01, Loss_0: 6.04398e-01, Loss_b: 1.37845e-01, Loss_f: 2.42781e-01
Iter: 1900, Loss: 9.00243e-01, Loss_0: 5.80352e-01, Loss_b: 1.20369e-01, Loss_f: 1.99522e-01
Iter: 2000, Loss: 8.26834e-01, Loss_0: 5.55057e-01, Loss_b: 1.04678e-01, Loss_f: 1.67100e-01
Iter: 2100, Loss: 7.60821e-01, Loss_0: 5.28172e-01, Loss_b: 9.05306e-02, Loss_f: 1.42118e-01
Iter: 2200, Loss: 6.99757e-01, Loss_0: 4.99456e-01, Loss_b: 7.78138e-02, Loss_f: 1.22488e-01
Iter: 2300, Loss: 6.42385e-01, Loss_0: 4.68947e-01, Loss_b: 6.65191e-02, Loss_f: 1.06919e-01
Iter: 2400, Loss: 5.88522e-01, Loss_0: 4.37239e-01, Loss_b: 5.66802e-02, Loss_f: 9.46024e-02
Iter: 2500, Loss: 5.38908e-01, Loss_0: 4.05598e-01, Loss_b: 4.82794e-02, Loss_f: 8.50302e-02
Iter: 2600, Loss: 4.94676e-01, Loss_0: 3.75686e-01, Loss_b: 4.11929e-02, Loss_f: 7.77968e-02
Iter: 2700, Loss: 4.56642e-01, Loss_0: 3.48903e-01, Loss_b: 3.52205e-02, Loss_f: 7.25183e-02
