Start Training:
Iter: 0, Loss: 1.11593e+00, Loss_0: 9.32127e-01, Loss_b: 1.83141e-01, Loss_f: 6.65844e-04
Iter: 100, Loss: 8.61348e-01, Loss_0: 8.54511e-01, Loss_b: 6.83173e-03, Loss_f: 5.30467e-06
Iter: 200, Loss: 8.59952e-01, Loss_0: 8.52020e-01, Loss_b: 7.91255e-03, Loss_f: 1.90649e-05
Iter: 300, Loss: 8.67064e-01, Loss_0: 8.49540e-01, Loss_b: 1.74718e-02, Loss_f: 5.17081e-05
Iter: 400, Loss: 8.68557e-01, Loss_0: 8.55924e-01, Loss_b: 1.25546e-02, Loss_f: 7.86475e-05
Iter: 500, Loss: 8.52537e-01, Loss_0: 8.49322e-01, Loss_b: 3.17234e-03, Loss_f: 4.29952e-05
Iter: 600, Loss: 8.60757e-01, Loss_0: 8.52233e-01, Loss_b: 8.47577e-03, Loss_f: 4.79322e-05
Iter: 700, Loss: 8.52035e-01, Loss_0: 8.47892e-01, Loss_b: 4.08750e-03, Loss_f: 5.50319e-05
Iter: 800, Loss: 8.55294e-01, Loss_0: 8.48822e-01, Loss_b: 6.40173e-03, Loss_f: 7.03987e-05
Iter: 900, Loss: 8.48433e-01, Loss_0: 8.44636e-01, Loss_b: 3.70805e-03, Loss_f: 8.83903e-05
Iter: 1000, Loss: 8.45434e-01, Loss_0: 8.39766e-01, Loss_b: 5.54133e-03, Loss_f: 1.26477e-04
Iter: 1100, Loss: 8.41854e-01, Loss_0: 8.37036e-01, Loss_b: 4.61257e-03, Loss_f: 2.05004e-04
Iter: 1200, Loss: 8.46728e-01, Loss_0: 8.35282e-01, Loss_b: 1.12036e-02, Loss_f: 2.42352e-04
Iter: 1300, Loss: 8.36104e-01, Loss_0: 8.32236e-01, Loss_b: 3.57058e-03, Loss_f: 2.97749e-04
Iter: 1400, Loss: 8.17407e-01, Loss_0: 8.04499e-01, Loss_b: 1.19965e-02, Loss_f: 9.11848e-04
Iter: 1500, Loss: 7.76112e-01, Loss_0: 7.58874e-01, Loss_b: 5.42568e-03, Loss_f: 1.18132e-02
Iter: 1600, Loss: 7.70548e-01, Loss_0: 7.48716e-01, Loss_b: 8.26210e-03, Loss_f: 1.35704e-02
Iter: 1700, Loss: 7.67267e-01, Loss_0: 7.41225e-01, Loss_b: 1.18051e-02, Loss_f: 1.42363e-02
Iter: 1800, Loss: 7.53274e-01, Loss_0: 7.32740e-01, Loss_b: 5.88324e-03, Loss_f: 1.46509e-02
Iter: 1900, Loss: 7.46012e-01, Loss_0: 7.24057e-01, Loss_b: 7.21621e-03, Loss_f: 1.47391e-02
Iter: 2000, Loss: 7.33381e-01, Loss_0: 7.11149e-01, Loss_b: 7.10517e-03, Loss_f: 1.51268e-02
Iter: 2100, Loss: 7.07622e-01, Loss_0: 6.87479e-01, Loss_b: 1.79835e-03, Loss_f: 1.83443e-02
Iter: 2200, Loss: 6.74204e-01, Loss_0: 6.34296e-01, Loss_b: 1.11020e-02, Loss_f: 2.88067e-02
Iter: 2300, Loss: 6.32137e-01, Loss_0: 5.88598e-01, Loss_b: 4.18024e-03, Loss_f: 3.93582e-02
Iter: 2400, Loss: 6.02372e-01, Loss_0: 5.52079e-01, Loss_b: 1.08670e-02, Loss_f: 3.94264e-02
Iter: 2500, Loss: 5.56112e-01, Loss_0: 5.09121e-01, Loss_b: 6.04973e-03, Loss_f: 4.09417e-02
Iter: 2600, Loss: 5.28365e-01, Loss_0: 4.73872e-01, Loss_b: 9.07381e-03, Loss_f: 4.54196e-02
Iter: 2700, Loss: 4.89016e-01, Loss_0: 4.37379e-01, Loss_b: 4.55920e-03, Loss_f: 4.70777e-02
Iter: 2800, Loss: 4.57961e-01, Loss_0: 3.98018e-01, Loss_b: 9.83751e-03, Loss_f: 5.01053e-02
Iter: 2900, Loss: 4.35614e-01, Loss_0: 3.70027e-01, Loss_b: 1.54393e-02, Loss_f: 5.01482e-02
Iter: 3000, Loss: 4.04463e-01, Loss_0: 3.44350e-01, Loss_b: 9.85497e-03, Loss_f: 5.02590e-02
Iter: 3100, Loss: 3.83376e-01, Loss_0: 3.25553e-01, Loss_b: 9.82074e-03, Loss_f: 4.80021e-02
Iter: 3200, Loss: 3.71766e-01, Loss_0: 3.08347e-01, Loss_b: 1.69716e-02, Loss_f: 4.64475e-02
Iter: 3300, Loss: 3.59583e-01, Loss_0: 2.94988e-01, Loss_b: 2.05129e-02, Loss_f: 4.40817e-02
Iter: 3400, Loss: 3.37288e-01, Loss_0: 2.85496e-01, Loss_b: 1.08710e-02, Loss_f: 4.09205e-02
Iter: 3500, Loss: 3.24940e-01, Loss_0: 2.78140e-01, Loss_b: 7.59895e-03, Loss_f: 3.92014e-02
Iter: 3600, Loss: 3.15443e-01, Loss_0: 2.69330e-01, Loss_b: 9.34928e-03, Loss_f: 3.67642e-02
Iter: 3700, Loss: 3.05171e-01, Loss_0: 2.60308e-01, Loss_b: 9.96860e-03, Loss_f: 3.48947e-02
Iter: 3800, Loss: 2.93989e-01, Loss_0: 2.51257e-01, Loss_b: 9.09266e-03, Loss_f: 3.36401e-02
Iter: 3900, Loss: 2.87778e-01, Loss_0: 2.42744e-01, Loss_b: 1.26132e-02, Loss_f: 3.24212e-02
Iter: 4000, Loss: 2.76234e-01, Loss_0: 2.33565e-01, Loss_b: 1.08778e-02, Loss_f: 3.17919e-02
Iter: 4100, Loss: 2.67924e-01, Loss_0: 2.24451e-01, Loss_b: 1.24473e-02, Loss_f: 3.10253e-02
Iter: 4200, Loss: 2.68472e-01, Loss_0: 2.15977e-01, Loss_b: 2.04840e-02, Loss_f: 3.20113e-02
Iter: 4300, Loss: 2.54523e-01, Loss_0: 2.07930e-01, Loss_b: 1.55621e-02, Loss_f: 3.10307e-02
Iter: 4400, Loss: 2.47511e-01, Loss_0: 1.98162e-01, Loss_b: 1.84767e-02, Loss_f: 3.08720e-02
Iter: 4500, Loss: 2.31166e-01, Loss_0: 1.87115e-01, Loss_b: 1.30442e-02, Loss_f: 3.10066e-02
Iter: 4600, Loss: 2.24936e-01, Loss_0: 1.77126e-01, Loss_b: 1.67898e-02, Loss_f: 3.10205e-02
Iter: 4700, Loss: 2.18064e-01, Loss_0: 1.65846e-01, Loss_b: 2.12976e-02, Loss_f: 3.09207e-02
Iter: 4800, Loss: 2.12262e-01, Loss_0: 1.54359e-01, Loss_b: 2.61853e-02, Loss_f: 3.17175e-02
Iter: 4900, Loss: 1.95735e-01, Loss_0: 1.43782e-01, Loss_b: 1.96066e-02, Loss_f: 3.23462e-02
Iter: 5000, Loss: 1.87571e-01, Loss_0: 1.34471e-01, Loss_b: 2.04832e-02, Loss_f: 3.26168e-02
Iter: 5100, Loss: 1.78277e-01, Loss_0: 1.24600e-01, Loss_b: 2.07247e-02, Loss_f: 3.29521e-02
Iter: 5200, Loss: 1.69077e-01, Loss_0: 1.14344e-01, Loss_b: 2.19225e-02, Loss_f: 3.28103e-02
Iter: 5300, Loss: 1.66049e-01, Loss_0: 1.02482e-01, Loss_b: 3.02700e-02, Loss_f: 3.32974e-02
Iter: 5400, Loss: 1.52353e-01, Loss_0: 9.01028e-02, Loss_b: 2.90156e-02, Loss_f: 3.32348e-02
Iter: 5500, Loss: 1.25566e-01, Loss_0: 5.93491e-02, Loss_b: 3.14617e-02, Loss_f: 3.47556e-02
