Start Training:
Iter: 0, Loss: 9.33078e-01, Loss_0: 8.79016e-01, Loss_b: 5.36773e-02, Loss_f: 3.84909e-04
Iter: 100, Loss: 8.50835e-01, Loss_0: 8.49356e-01, Loss_b: 1.25041e-03, Loss_f: 2.28723e-04
Iter: 200, Loss: 8.34104e-01, Loss_0: 8.32685e-01, Loss_b: 8.26672e-04, Loss_f: 5.92908e-04
Iter: 300, Loss: 8.12970e-01, Loss_0: 8.10772e-01, Loss_b: 9.74546e-04, Loss_f: 1.22411e-03
Iter: 400, Loss: 7.79521e-01, Loss_0: 7.74180e-01, Loss_b: 1.63118e-03, Loss_f: 3.70910e-03
Iter: 500, Loss: 6.74899e-01, Loss_0: 6.51884e-01, Loss_b: 1.21923e-03, Loss_f: 2.17959e-02
Iter: 600, Loss: 5.84775e-01, Loss_0: 5.57744e-01, Loss_b: 1.23346e-03, Loss_f: 2.57977e-02
Iter: 700, Loss: 5.30991e-01, Loss_0: 4.98290e-01, Loss_b: 2.34057e-03, Loss_f: 3.03601e-02
Iter: 800, Loss: 5.04155e-01, Loss_0: 4.70027e-01, Loss_b: 2.22727e-03, Loss_f: 3.19010e-02
Iter: 900, Loss: 4.98187e-01, Loss_0: 4.46879e-01, Loss_b: 1.72704e-02, Loss_f: 3.40377e-02
Iter: 1000, Loss: 4.50830e-01, Loss_0: 4.15039e-01, Loss_b: 3.22198e-03, Loss_f: 3.25691e-02
Iter: 1100, Loss: 1.36261e-01, Loss_0: 6.49307e-02, Loss_b: 7.54526e-04, Loss_f: 7.05754e-02
Iter: 1200, Loss: 8.77441e-02, Loss_0: 3.44825e-02, Loss_b: 1.09835e-03, Loss_f: 5.21633e-02
Iter: 1300, Loss: 7.33858e-02, Loss_0: 2.88252e-02, Loss_b: 1.72588e-03, Loss_f: 4.28347e-02
Iter: 1400, Loss: 5.91795e-02, Loss_0: 2.28963e-02, Loss_b: 1.52542e-03, Loss_f: 3.47578e-02
Training time: 47.0715
