Start Training:
Iter: 0, Loss: 1.60776e+00, Loss_0: 1.15891e+00, Loss_b: 8.98176e-02, Loss_f: 3.59035e-01
Iter: 100, Loss: 3.77174e-01, Loss_0: 3.68946e-01, Loss_b: 1.52644e-04, Loss_f: 8.07527e-03
Iter: 200, Loss: 9.23983e-02, Loss_0: 6.40776e-02, Loss_b: 7.07270e-05, Loss_f: 2.82500e-02
Iter: 300, Loss: 5.69187e-02, Loss_0: 3.23425e-02, Loss_b: 1.00451e-02, Loss_f: 1.45311e-02
Iter: 400, Loss: 3.40577e-02, Loss_0: 2.20527e-02, Loss_b: 1.27417e-03, Loss_f: 1.07309e-02
Iter: 500, Loss: 2.58431e-02, Loss_0: 1.69202e-02, Loss_b: 2.27121e-04, Loss_f: 8.69576e-03
Iter: 600, Loss: 1.99428e-02, Loss_0: 1.30695e-02, Loss_b: 7.82760e-05, Loss_f: 6.79496e-03
Iter: 700, Loss: 1.63893e-02, Loss_0: 1.02900e-02, Loss_b: 6.89338e-04, Loss_f: 5.40996e-03
Iter: 800, Loss: 1.26763e-02, Loss_0: 7.79188e-03, Loss_b: 4.11585e-04, Loss_f: 4.47287e-03
Iter: 900, Loss: 1.05843e-02, Loss_0: 6.43710e-03, Loss_b: 2.90064e-05, Loss_f: 4.11819e-03
Iter: 1000, Loss: 9.04590e-03, Loss_0: 5.52322e-03, Loss_b: 3.99986e-05, Loss_f: 3.48269e-03
Iter: 1100, Loss: 7.93976e-03, Loss_0: 4.62884e-03, Loss_b: 1.22402e-05, Loss_f: 3.29867e-03
Iter: 1200, Loss: 1.54837e-02, Loss_0: 4.01276e-03, Loss_b: 1.33257e-03, Loss_f: 1.01384e-02
Iter: 1300, Loss: 5.99725e-03, Loss_0: 3.75518e-03, Loss_b: 8.18344e-06, Loss_f: 2.23389e-03
Iter: 1400, Loss: 5.43841e-03, Loss_0: 3.39886e-03, Loss_b: 7.68320e-06, Loss_f: 2.03187e-03
Iter: 1500, Loss: 4.94671e-03, Loss_0: 3.08322e-03, Loss_b: 6.01427e-06, Loss_f: 1.85747e-03
Iter: 1600, Loss: 4.54039e-03, Loss_0: 2.84018e-03, Loss_b: 7.86837e-06, Loss_f: 1.69234e-03
Iter: 1700, Loss: 4.40521e-03, Loss_0: 2.69488e-03, Loss_b: 8.51793e-06, Loss_f: 1.70181e-03
Iter: 1800, Loss: 3.86603e-03, Loss_0: 2.37331e-03, Loss_b: 1.78539e-05, Loss_f: 1.47487e-03
Iter: 1900, Loss: 3.65135e-03, Loss_0: 2.06360e-03, Loss_b: 1.54287e-05, Loss_f: 1.57232e-03
Iter: 2000, Loss: 3.28078e-03, Loss_0: 1.83812e-03, Loss_b: 2.90998e-05, Loss_f: 1.41356e-03
Iter: 2100, Loss: 1.13034e-03, Loss_0: 3.60696e-04, Loss_b: 1.47236e-06, Loss_f: 7.68173e-04
Iter: 2200, Loss: 5.35314e-04, Loss_0: 1.10415e-04, Loss_b: 1.59782e-06, Loss_f: 4.23302e-04
Iter: 2300, Loss: 3.04645e-04, Loss_0: 5.28359e-05, Loss_b: 4.17984e-06, Loss_f: 2.47629e-04
Iter: 2400, Loss: 1.81095e-04, Loss_0: 2.92900e-05, Loss_b: 8.36716e-07, Loss_f: 1.50968e-04
Iter: 2500, Loss: 1.23376e-04, Loss_0: 1.05826e-05, Loss_b: 6.66319e-07, Loss_f: 1.12127e-04
Iter: 2600, Loss: 8.44858e-05, Loss_0: 6.45151e-06, Loss_b: 2.62005e-07, Loss_f: 7.77723e-05
Iter: 2700, Loss: 6.22306e-05, Loss_0: 4.17440e-06, Loss_b: 4.54357e-07, Loss_f: 5.76019e-05
Iter: 2800, Loss: 4.85216e-05, Loss_0: 3.37600e-06, Loss_b: 3.08800e-07, Loss_f: 4.48368e-05
Iter: 2900, Loss: 4.05108e-05, Loss_0: 2.07106e-06, Loss_b: 5.17324e-07, Loss_f: 3.79224e-05
Iter: 3000, Loss: 3.30277e-05, Loss_0: 2.29873e-06, Loss_b: 1.74310e-07, Loss_f: 3.05547e-05
Iter: 3100, Loss: 2.68230e-05, Loss_0: 1.69217e-06, Loss_b: 6.03352e-08, Loss_f: 2.50705e-05
Iter: 3200, Loss: 2.32337e-05, Loss_0: 1.31049e-06, Loss_b: 5.17382e-08, Loss_f: 2.18714e-05
Iter: 3300, Loss: 2.00738e-05, Loss_0: 1.09370e-06, Loss_b: 5.43501e-08, Loss_f: 1.89258e-05
Iter: 3400, Loss: 1.72336e-05, Loss_0: 9.28253e-07, Loss_b: 3.49979e-08, Loss_f: 1.62704e-05
Iter: 3500, Loss: 1.52778e-05, Loss_0: 9.65843e-07, Loss_b: 4.52246e-08, Loss_f: 1.42668e-05
Iter: 3600, Loss: 1.35426e-05, Loss_0: 7.92997e-07, Loss_b: 7.60134e-08, Loss_f: 1.26735e-05
Iter: 3700, Loss: 1.21305e-05, Loss_0: 7.14425e-07, Loss_b: 9.09957e-08, Loss_f: 1.13251e-05
Iter: 3800, Loss: 1.11102e-05, Loss_0: 6.91666e-07, Loss_b: 6.47238e-08, Loss_f: 1.03538e-05
Iter: 3900, Loss: 1.00465e-05, Loss_0: 6.04671e-07, Loss_b: 4.37839e-08, Loss_f: 9.39805e-06
Iter: 4000, Loss: 8.93914e-06, Loss_0: 3.90799e-07, Loss_b: 5.31453e-08, Loss_f: 8.49520e-06
Iter: 4100, Loss: 8.27032e-06, Loss_0: 3.09532e-07, Loss_b: 3.75156e-08, Loss_f: 7.92328e-06
Iter: 4200, Loss: 7.67893e-06, Loss_0: 2.75507e-07, Loss_b: 3.83583e-08, Loss_f: 7.36507e-06
Iter: 4300, Loss: 7.10771e-06, Loss_0: 2.56287e-07, Loss_b: 2.56883e-08, Loss_f: 6.82574e-06
Iter: 4400, Loss: 6.58674e-06, Loss_0: 2.41095e-07, Loss_b: 3.50923e-08, Loss_f: 6.31055e-06
Iter: 4500, Loss: 6.00378e-06, Loss_0: 2.49384e-07, Loss_b: 3.80021e-08, Loss_f: 5.71639e-06
Iter: 4600, Loss: 5.45306e-06, Loss_0: 2.48834e-07, Loss_b: 4.36265e-08, Loss_f: 5.16060e-06
Iter: 4700, Loss: 4.97944e-06, Loss_0: 2.17064e-07, Loss_b: 4.57174e-08, Loss_f: 4.71666e-06
Iter: 4800, Loss: 4.63549e-06, Loss_0: 2.26853e-07, Loss_b: 3.44858e-08, Loss_f: 4.37415e-06
Iter: 4900, Loss: 4.33947e-06, Loss_0: 1.89731e-07, Loss_b: 3.53591e-08, Loss_f: 4.11438e-06
Iter: 5000, Loss: 4.09308e-06, Loss_0: 1.70898e-07, Loss_b: 3.08871e-08, Loss_f: 3.89129e-06
Iter: 5100, Loss: 3.87767e-06, Loss_0: 1.87397e-07, Loss_b: 2.82904e-08, Loss_f: 3.66199e-06
Iter: 5200, Loss: 3.71651e-06, Loss_0: 1.55287e-07, Loss_b: 3.00014e-08, Loss_f: 3.53122e-06
Iter: 5300, Loss: 3.52542e-06, Loss_0: 1.42493e-07, Loss_b: 3.48444e-08, Loss_f: 3.34808e-06
Iter: 5400, Loss: 3.29912e-06, Loss_0: 1.29838e-07, Loss_b: 2.38635e-08, Loss_f: 3.14542e-06
Iter: 5500, Loss: 3.11695e-06, Loss_0: 1.02587e-07, Loss_b: 2.92755e-08, Loss_f: 2.98509e-06
Iter: 5600, Loss: 2.91302e-06, Loss_0: 1.18263e-07, Loss_b: 1.80340e-08, Loss_f: 2.77672e-06
Iter: 5700, Loss: 2.71147e-06, Loss_0: 1.12815e-07, Loss_b: 1.83305e-08, Loss_f: 2.58033e-06
Iter: 5800, Loss: 2.48909e-06, Loss_0: 1.03905e-07, Loss_b: 1.19720e-08, Loss_f: 2.37322e-06
Iter: 5900, Loss: 2.33219e-06, Loss_0: 9.65414e-08, Loss_b: 1.22153e-08, Loss_f: 2.22344e-06
Iter: 6000, Loss: 2.21971e-06, Loss_0: 8.85440e-08, Loss_b: 1.09650e-08, Loss_f: 2.12020e-06
Iter: 6100, Loss: 2.13614e-06, Loss_0: 7.88128e-08, Loss_b: 1.42592e-08, Loss_f: 2.04307e-06
Iter: 6200, Loss: 2.04782e-06, Loss_0: 7.77950e-08, Loss_b: 1.63291e-08, Loss_f: 1.95369e-06
Iter: 6300, Loss: 1.97068e-06, Loss_0: 7.84622e-08, Loss_b: 1.28504e-08, Loss_f: 1.87936e-06
Iter: 6400, Loss: 1.86033e-06, Loss_0: 6.84730e-08, Loss_b: 1.94912e-08, Loss_f: 1.77237e-06
Iter: 6500, Loss: 1.77289e-06, Loss_0: 7.23003e-08, Loss_b: 1.82276e-08, Loss_f: 1.68236e-06
Iter: 6600, Loss: 1.67719e-06, Loss_0: 6.81182e-08, Loss_b: 1.74148e-08, Loss_f: 1.59166e-06
Iter: 6700, Loss: 1.60071e-06, Loss_0: 6.71096e-08, Loss_b: 1.54761e-08, Loss_f: 1.51812e-06
Iter: 6800, Loss: 1.53618e-06, Loss_0: 6.47756e-08, Loss_b: 1.42840e-08, Loss_f: 1.45712e-06
Iter: 6900, Loss: 1.46702e-06, Loss_0: 5.83238e-08, Loss_b: 1.09205e-08, Loss_f: 1.39778e-06
Iter: 7000, Loss: 1.36649e-06, Loss_0: 5.71750e-08, Loss_b: 8.68874e-09, Loss_f: 1.30063e-06
Iter: 7100, Loss: 1.28871e-06, Loss_0: 4.09010e-08, Loss_b: 8.25411e-09, Loss_f: 1.23956e-06
Iter: 7200, Loss: 1.23615e-06, Loss_0: 4.29033e-08, Loss_b: 7.56945e-09, Loss_f: 1.18568e-06
Training time: 251.1810
