Start Training:
Iter: 0, Loss: 1.18067e+00, Loss_0: 6.97368e-01, Loss_b: 4.23465e-02, Loss_f: 4.40955e-01
Iter: 100, Loss: 1.93885e-01, Loss_0: 1.92808e-01, Loss_b: 2.62124e-06, Loss_f: 1.07397e-03
Iter: 200, Loss: 1.69393e-01, Loss_0: 1.61174e-01, Loss_b: 4.46509e-06, Loss_f: 8.21451e-03
Iter: 300, Loss: 6.67188e-02, Loss_0: 6.26366e-02, Loss_b: 3.60172e-05, Loss_f: 4.04622e-03
Iter: 400, Loss: 1.59689e-02, Loss_0: 1.06448e-02, Loss_b: 1.79252e-03, Loss_f: 3.53160e-03
Iter: 500, Loss: 4.50429e-03, Loss_0: 1.73071e-03, Loss_b: 6.93131e-05, Loss_f: 2.70427e-03
Iter: 600, Loss: 1.99481e-03, Loss_0: 5.62268e-04, Loss_b: 1.63330e-05, Loss_f: 1.41620e-03
Iter: 700, Loss: 1.09189e-03, Loss_0: 2.35168e-04, Loss_b: 4.34219e-06, Loss_f: 8.52384e-04
Iter: 800, Loss: 1.12106e-03, Loss_0: 1.68138e-04, Loss_b: 2.87963e-04, Loss_f: 6.64963e-04
Iter: 900, Loss: 6.70418e-04, Loss_0: 8.47687e-05, Loss_b: 9.98250e-07, Loss_f: 5.84652e-04
Iter: 1000, Loss: 6.17882e-04, Loss_0: 6.70141e-05, Loss_b: 1.52868e-05, Loss_f: 5.35581e-04
Iter: 1100, Loss: 5.51763e-04, Loss_0: 5.29618e-05, Loss_b: 4.51244e-07, Loss_f: 4.98349e-04
Iter: 1200, Loss: 5.22013e-04, Loss_0: 5.03929e-05, Loss_b: 2.57587e-06, Loss_f: 4.69044e-04
Iter: 1300, Loss: 4.85413e-04, Loss_0: 4.13265e-05, Loss_b: 5.55679e-07, Loss_f: 4.43531e-04
Iter: 1400, Loss: 4.62470e-04, Loss_0: 3.85786e-05, Loss_b: 2.08393e-06, Loss_f: 4.21807e-04
Iter: 1500, Loss: 4.35450e-04, Loss_0: 3.43787e-05, Loss_b: 2.52249e-07, Loss_f: 4.00819e-04
Iter: 1600, Loss: 4.35441e-04, Loss_0: 3.77160e-05, Loss_b: 7.49804e-06, Loss_f: 3.90227e-04
Iter: 1700, Loss: 6.82211e-04, Loss_0: 6.46701e-05, Loss_b: 2.51410e-04, Loss_f: 3.66131e-04
Iter: 1800, Loss: 3.79039e-04, Loss_0: 2.84032e-05, Loss_b: 1.09482e-06, Loss_f: 3.49540e-04
Iter: 1900, Loss: 3.59643e-04, Loss_0: 2.59780e-05, Loss_b: 1.74798e-07, Loss_f: 3.33490e-04
Iter: 2000, Loss: 3.49430e-04, Loss_0: 2.63508e-05, Loss_b: 2.53072e-06, Loss_f: 3.20549e-04
Iter: 2100, Loss: 1.56188e-04, Loss_0: 3.10491e-05, Loss_b: 8.55247e-07, Loss_f: 1.24284e-04
