Start Training:
Iter: 0, Loss: 1.90637e+00, Loss_0: 1.41740e+00, Loss_b: 4.80328e-01, Loss_f: 8.64576e-03
Iter: 100, Loss: 3.98523e-01, Loss_0: 3.97382e-01, Loss_b: 4.73108e-05, Loss_f: 1.09428e-03
Iter: 200, Loss: 3.97789e-01, Loss_0: 3.97296e-01, Loss_b: 3.51590e-05, Loss_f: 4.57608e-04
Iter: 300, Loss: 3.97413e-01, Loss_0: 3.97264e-01, Loss_b: 2.52458e-05, Loss_f: 1.22999e-04
Iter: 400, Loss: 3.97333e-01, Loss_0: 3.97260e-01, Loss_b: 6.96824e-06, Loss_f: 6.60410e-05
Iter: 500, Loss: 3.97307e-01, Loss_0: 3.97260e-01, Loss_b: 1.72046e-06, Loss_f: 4.61798e-05
Iter: 600, Loss: 3.97298e-01, Loss_0: 3.97259e-01, Loss_b: 4.80955e-07, Loss_f: 3.83837e-05
Iter: 700, Loss: 3.97294e-01, Loss_0: 3.97259e-01, Loss_b: 2.36326e-07, Loss_f: 3.43400e-05
Iter: 800, Loss: 3.97291e-01, Loss_0: 3.97259e-01, Loss_b: 1.78672e-07, Loss_f: 3.14068e-05
Iter: 900, Loss: 3.97288e-01, Loss_0: 3.97259e-01, Loss_b: 1.55699e-07, Loss_f: 2.90191e-05
Iter: 1000, Loss: 3.97288e-01, Loss_0: 3.97260e-01, Loss_b: 3.85166e-07, Loss_f: 2.74254e-05
Iter: 1100, Loss: 3.97285e-01, Loss_0: 3.97259e-01, Loss_b: 1.33186e-07, Loss_f: 2.53516e-05
Iter: 1200, Loss: 3.97389e-01, Loss_0: 3.97315e-01, Loss_b: 1.64113e-05, Loss_f: 5.70074e-05
Iter: 1300, Loss: 3.97282e-01, Loss_0: 3.97259e-01, Loss_b: 1.24632e-07, Loss_f: 2.27435e-05
Iter: 1400, Loss: 3.97281e-01, Loss_0: 3.97259e-01, Loss_b: 1.07393e-07, Loss_f: 2.17930e-05
Iter: 1500, Loss: 3.97328e-01, Loss_0: 3.97286e-01, Loss_b: 8.49902e-06, Loss_f: 3.39622e-05
Iter: 1600, Loss: 3.97280e-01, Loss_0: 3.97259e-01, Loss_b: 1.03122e-07, Loss_f: 2.01855e-05
Iter: 1700, Loss: 3.97279e-01, Loss_0: 3.97259e-01, Loss_b: 9.33965e-08, Loss_f: 1.95750e-05
Iter: 1800, Loss: 3.97286e-01, Loss_0: 3.97263e-01, Loss_b: 1.63366e-06, Loss_f: 2.07888e-05
Iter: 1900, Loss: 3.97278e-01, Loss_0: 3.97259e-01, Loss_b: 1.02470e-07, Loss_f: 1.85040e-05
Iter: 2000, Loss: 3.97277e-01, Loss_0: 3.97259e-01, Loss_b: 8.49037e-08, Loss_f: 1.80025e-05
Iter: 2100, Loss: 3.97277e-01, Loss_0: 3.97259e-01, Loss_b: 7.99553e-08, Loss_f: 1.75806e-05
Iter: 2200, Loss: 3.97276e-01, Loss_0: 3.97259e-01, Loss_b: 7.54342e-08, Loss_f: 1.71800e-05
Iter: 2300, Loss: 3.97276e-01, Loss_0: 3.97259e-01, Loss_b: 7.25100e-08, Loss_f: 1.66794e-05
Iter: 2400, Loss: 3.97276e-01, Loss_0: 3.97259e-01, Loss_b: 6.47457e-08, Loss_f: 1.62643e-05
Iter: 2500, Loss: 3.97275e-01, Loss_0: 3.97259e-01, Loss_b: 6.38464e-08, Loss_f: 1.59267e-05
Iter: 2600, Loss: 3.97275e-01, Loss_0: 3.97259e-01, Loss_b: 3.27244e-07, Loss_f: 1.56307e-05
Iter: 2700, Loss: 3.97275e-01, Loss_0: 3.97259e-01, Loss_b: 6.43198e-08, Loss_f: 1.52746e-05
Iter: 2800, Loss: 3.97274e-01, Loss_0: 3.97259e-01, Loss_b: 6.08934e-08, Loss_f: 1.49531e-05
Iter: 2900, Loss: 3.97274e-01, Loss_0: 3.97259e-01, Loss_b: 5.79658e-08, Loss_f: 1.46359e-05
Iter: 3000, Loss: 3.97274e-01, Loss_0: 3.97259e-01, Loss_b: 2.36279e-07, Loss_f: 1.41630e-05
Iter: 3100, Loss: 3.97273e-01, Loss_0: 3.97259e-01, Loss_b: 4.79843e-08, Loss_f: 1.38324e-05
Iter: 3200, Loss: 3.97335e-01, Loss_0: 3.97292e-01, Loss_b: 7.27345e-06, Loss_f: 3.65150e-05
Iter: 3300, Loss: 3.97273e-01, Loss_0: 3.97259e-01, Loss_b: 4.94490e-08, Loss_f: 1.33094e-05
Iter: 3400, Loss: 3.97273e-01, Loss_0: 3.97259e-01, Loss_b: 4.35556e-07, Loss_f: 1.32884e-05
Iter: 3500, Loss: 3.97272e-01, Loss_0: 3.97259e-01, Loss_b: 4.07041e-08, Loss_f: 1.25358e-05
Iter: 3600, Loss: 3.97272e-01, Loss_0: 3.97259e-01, Loss_b: 3.96042e-08, Loss_f: 1.22647e-05
Iter: 3700, Loss: 3.97324e-01, Loss_0: 3.97272e-01, Loss_b: 5.78506e-06, Loss_f: 4.57627e-05
Iter: 3800, Loss: 3.97287e-01, Loss_0: 3.97265e-01, Loss_b: 9.06866e-06, Loss_f: 1.30053e-05
Iter: 3900, Loss: 3.97271e-01, Loss_0: 3.97259e-01, Loss_b: 5.58532e-08, Loss_f: 1.13821e-05
Iter: 4000, Loss: 3.97270e-01, Loss_0: 3.97259e-01, Loss_b: 3.37643e-08, Loss_f: 1.11164e-05
Iter: 4100, Loss: 3.97271e-01, Loss_0: 3.97259e-01, Loss_b: 8.66889e-07, Loss_f: 1.13297e-05
Iter: 4200, Loss: 3.97270e-01, Loss_0: 3.97259e-01, Loss_b: 3.34517e-08, Loss_f: 1.05348e-05
Iter: 4300, Loss: 3.97270e-01, Loss_0: 3.97259e-01, Loss_b: 5.50450e-08, Loss_f: 1.04787e-05
Iter: 4400, Loss: 3.97269e-01, Loss_0: 3.97259e-01, Loss_b: 3.20930e-08, Loss_f: 1.01206e-05
Iter: 4500, Loss: 3.97271e-01, Loss_0: 3.97260e-01, Loss_b: 1.23100e-06, Loss_f: 1.04308e-05
Iter: 4600, Loss: 3.97299e-01, Loss_0: 3.97270e-01, Loss_b: 1.04006e-05, Loss_f: 1.81397e-05
Iter: 4700, Loss: 3.97269e-01, Loss_0: 3.97259e-01, Loss_b: 4.52439e-08, Loss_f: 9.51383e-06
Iter: 4800, Loss: 3.97268e-01, Loss_0: 3.97259e-01, Loss_b: 2.93244e-08, Loss_f: 9.24745e-06
Iter: 4900, Loss: 3.97410e-01, Loss_0: 3.97323e-01, Loss_b: 7.59534e-06, Loss_f: 7.99300e-05
Iter: 5000, Loss: 3.97268e-01, Loss_0: 3.97259e-01, Loss_b: 2.01048e-08, Loss_f: 9.02739e-06
Training time: 138.9467
